Time,User,Message
0.0,2afe0678f83f8d2ead3fd7651333b4063b7aabb2,proteins 
1.0,7a3378277baea3ff6af95c3d7567d3260fc25b87,2afe0678f83f8d2ead3fd7651333b4063b7aabb2 br4ker007 has 18691 proteins and is rank 2649/521105 on the leaderboard 
1.0,b4b0a23e8e32cce749ce644cd618773e57dbb4a7,kr+19 
1.0,00f260880d1a780163c19c502ff72907980f5550,brahtvdab brahtvdab brahtvdab brahtvdab brahtvdab 
4.0,6d154770d08834c31a696573bf589b5bb9e19631,whats the difference in damage between off hand sword and offhand dagger 
6.0,00f260880d1a780163c19c502ff72907980f5550,brahtvdance brahtvdance brahtvdance brahtvdance brahtvdance 
12.0,91ecbfb37ca45daf791baf9266133718a4d008ff,ad 18 
14.0,00f260880d1a780163c19c502ff72907980f5550,omg song 
17.0,1fc737aeda72acdcbea40b3ac9f6c6590f13d8df,20 ur c8e5d006045f9e0b88b07b926c40ae88c95cd9bd 
20.0,cde7af93ab1d885f2c8398ee59be6df9f46b10fd,fh 18 
20.0,00f260880d1a780163c19c502ff72907980f5550,brahtvdab brahtvdab brahtvdab brahtvdab 
23.0,4df1b7aeb42cdb146fe1a0dbb2e86be0beb2f9ba,[keystone: waycrest manor 13)] 
27.0,00f260880d1a780163c19c502ff72907980f5550,brahtvdance brahtvdance brahtvdance brahtvdance 
30.0,1623542608a4e268422df5e7fd791afb000eb50b,ml 16 
31.0,a3b078c584bf9c2ff25bda0b9704bd84af91c422,wm20 
35.0,d0160a6ea0637ed51d28c6cab7fc9b5826b0373b,shrine 16 
36.0,5835d6059db5b46d889fc0a5477cc8111eef3f04,heyguys 
36.0,4b25cfd9645b7d163d05be99001616f3670697f3,td +20 c8e5d006045f9e0b88b07b926c40ae88c95cd9bd 
41.0,c50a437ccf39437d10db34f2aede2d249b54078f,addon 
52.0,de57edc4c0ee988a1d0316a0e57aa8c3cf00c609,classic waiting room 
52.0,7a3378277baea3ff6af95c3d7567d3260fc25b87,musclebrah is going to play wow classic and has big plans for the first week of a big classic launch on twitch show with big giveaways forming a biggest eu community discord guild & playing with dedicated eu streamers dm me on discord if u are interested as a streamer join the biggest community right now -> https://discord gg/ktaeunb 
53.0,bfe35adcca212fe7ee104686b75903e7d947a006,viewerkeys 
53.0,7a3378277baea3ff6af95c3d7567d3260fc25b87,hey brah brahtvflirt on our viewerdays muscle is doin ur keys but its not the casual +10 weekly the brah gonna make u sexy brahtvgasm carrybrah gonna make ur key whatever the lvl is from 10 to 23 all u need is 20000 proteins than u can enter with ticket 1 - to see how u get proteins write gains in chat to check how many u have already write proteins subs collect 3x faster proteins i make you sexy ft musclebrah brahtvflirt brahtvdab 
55.0,08c1751f818487a50d57a984dec787a008c3c690,classic 
68.0,4da01788f48f31da13b5d2f12d6917b0230e63c2,proteins 
69.0,7a3378277baea3ff6af95c3d7567d3260fc25b87,4da01788f48f31da13b5d2f12d6917b0230e63c2 metzgermomo has 631 proteins and is rank 131445/521105 on the leaderboard 
91.0,304c96a79faa9ddfd8158e6bb22dfc6d445d16a2,click click keyboard typing click click 
99.0,f8054dbae843e5fcb318e7dd3159b292222afaa1,calvo 
110.0,cde7af93ab1d885f2c8398ee59be6df9f46b10fd,:) 
119.0,580ba91f4eeab7999f11102ad3c1b156db5e1de8,classic 
119.0,7a3378277baea3ff6af95c3d7567d3260fc25b87,musclebrah is going to play wow classic and has big plans for the first week of a big classic launch on twitch show with big giveaways forming a biggest eu community discord guild & playing with dedicated eu streamers dm me on discord if u are interested as a streamer join the biggest community right now -> https://discord gg/ktaeunb 
120.0,bfe35adcca212fe7ee104686b75903e7d947a006,proteins 
121.0,7a3378277baea3ff6af95c3d7567d3260fc25b87,bfe35adcca212fe7ee104686b75903e7d947a006 thundersmash has 1431 proteins and is rank 38623/521106 on the leaderboard 
128.0,da036ba1d16a82631f143240e9f45ba90672edde,viewerkeys 
