Time,User,Message
0.0,23683fe97406222576601b089c13165a34ffcf6f,any pylon 
2.0,94bcc8f90ef1e7af1eb2fdeda543c94ae2216e80,kkonaw 
11.0,1901a4641e4b36b332944e20bb8e7510bc5ea219,i blame the templar kappa 
17.0,2c11fee9ebed869d0b37d0c951af8fc772452221,this is such a reminder why i hated this game 
22.0,2c11fee9ebed869d0b37d0c951af8fc772452221,the mob ai is beyond retarded 
23.0,1e149b44dcca3ee8bb4839089139d46556cc8a68,2 primal drops for your troubles 
23.0,3b7c80af54af9f0942a3b1047a094346970099ee,blame templar haha 
36.0,50cd24a29be9b84f613f14062c0601df267c34da,are you using zeis or enforcer 
47.0,23683fe97406222576601b089c13165a34ffcf6f,3b7c80af54af9f0942a3b1047a094346970099ee templar is doing his best feelsbadman 
66.0,3b7c80af54af9f0942a3b1047a094346970099ee,templar demands to pay raise for sure 23683fe97406222576601b089c13165a34ffcf6f 
67.0,94bcc8f90ef1e7af1eb2fdeda543c94ae2216e80,rip templar kappa 
79.0,cbd4ba28eae999c57474f54cda43bae9393f02db,builds 
92.0,1901a4641e4b36b332944e20bb8e7510bc5ea219,119 goin down this time modzr 
100.0,8790dafab061ac055b964fec93468212576f9fac,templar carrying bruh 
104.0,3b7c80af54af9f0942a3b1047a094346970099ee,you heard that templar time to pack your bags ahha 
108.0,ca82793c3654071fbe93d5fd0c8a4544f6c987af,templar should be sucking some dick 
109.0,23683fe97406222576601b089c13165a34ffcf6f,is it good strat to ignore yellows 
110.0,52b3fc10db0e961e12e7c778e5ae838a2e46f61a,the biggest loss of vanilla d3 is no longer being able to bring along scoundrel pepehands 
112.0,0a98586a27f7584d65850fcc290e200dd04d36b3,what to do when not getting anchients for lon build feelsbadman 
112.0,86fa923e979273b984ec223c5078d596dd3b24b6,racist dansgame 
115.0,fb8c5fed19b883de1699649ceec512d84c3ccc51,he just wants a primal tf datmodz just give the pally what he wants 
116.0,553bbd3abb8fe43443eec638b733a4e688ccbdfc,lmao 
119.0,3763afb807583a14a47a2847f0c5617dd5f4abf3,lol 
