Time,User,Message
0.0,b273c2fbb3fbd592aa09a4a4eb73ffb44bb6e59c,d: 
5.0,b135562fb6474c25d7a2896b8823246b1c8e4198,hahaha 
20.0,9eebed37cece8613a6ea9a37c16ca6c899a37c5a,backfired 
22.0,9eebed37cece8613a6ea9a37c16ca6c899a37c5a,xd 
28.0,e574de5705500edf70fae354296ee907056b4ec6,lol 
29.0,b273c2fbb3fbd592aa09a4a4eb73ffb44bb6e59c,rip 
31.0,e1bfdb1e7598c948d88cb271fb04cb9a05a38c15,bluddrip 
36.0,b135562fb6474c25d7a2896b8823246b1c8e4198,control your own mind poggers 
44.0,5c89d5a98f2bbf746767af355d85f93413e8861e,bluddlul 
45.0,96dda6eef494642e739cc72c4dc2d55a95bbbec9,was just told by lexthos that it was here sorry 
50.0,4e5e738455617b34a7feacabe5fbaf323c46f9dc,bluddss bluddss bluddss bluddss bluddss bluddss 
53.0,689516bd027829c4e574c735ea6a31f02868987b,98fa69bd98f7faede3e96959963086a5b52ff14f tack för prenumerationsgåvan danboop 
61.0,98fa69bd98f7faede3e96959963086a5b52ff14f,i gotchu dude 
65.0,98fa69bd98f7faede3e96959963086a5b52ff14f,yes thank you lol 
73.0,4e5e738455617b34a7feacabe5fbaf323c46f9dc,failfish wutface 
81.0,b135562fb6474c25d7a2896b8823246b1c8e4198,when a game is more trolly the you kappa 
109.0,e574de5705500edf70fae354296ee907056b4ec6,whirlwind 
155.0,890e151b149f2b5514b675c2d55b7eaad752c19c,cheer5000 
164.0,4e5e738455617b34a7feacabe5fbaf323c46f9dc,and we'll be here tomorrow to make fun of you ; 
166.0,e1bfdb1e7598c948d88cb271fb04cb9a05a38c15,bludd whats your engineering at right now 
169.0,7e4be27f2a8ff647e9920fe404919ec38cdad34a,waffles are better than pancakes also hey everyone :) 
171.0,4e5e738455617b34a7feacabe5fbaf323c46f9dc,bluddss bluddss bluddss bluddss bluddss bluddss bluddss bluddss bluddss bluddss 
175.0,8d5246d77d4f83b0376b9a8b6d62e716e3b51943,bluemilk 
182.0,98fa69bd98f7faede3e96959963086a5b52ff14f,lots of love right now 
193.0,4881b798afef60fecfb93f98ec733a928baeed10,it was tanaris am sorry 
205.0,e1bfdb1e7598c948d88cb271fb04cb9a05a38c15,i'm seeing a few posts that say the book works in classic but doesn't become usable until 200 
225.0,4881b798afef60fecfb93f98ec733a928baeed10,https://classic wowhead com/object=177226/book-soothsaying-for-dummies 
225.0,e1bfdb1e7598c948d88cb271fb04cb9a05a38c15,oh 
234.0,4881b798afef60fecfb93f98ec733a928baeed10,ops 
249.0,ca215c5eae1a43d2c7a0fc7db0c44a67bcf5eaa9,permit fanjarta 
253.0,4881b798afef60fecfb93f98ec733a928baeed10,https://classic wowhead com/object=177226/book-soothsaying-for-dummies 
269.0,4881b798afef60fecfb93f98ec733a928baeed10,and you can read the 2nd comment 
286.0,6f0107462c47c438722c826ce96a9b3401e52a24,ca215c5eae1a43d2c7a0fc7db0c44a67bcf5eaa9 your builds are easily adaptable to console which makes me like them even more :) 
290.0,4881b798afef60fecfb93f98ec733a928baeed10,no i was wrong it was in tanaris 
292.0,699763db4477e2eb9ab93399d9521f19e09a9fda,good morning bludd how's it going 
305.0,e1bfdb1e7598c948d88cb271fb04cb9a05a38c15,do you really want to ask chat for advice 
320.0,e574de5705500edf70fae354296ee907056b4ec6,ab is trying to recoup lost wages from the raiders and patriots lul 
321.0,4881b798afef60fecfb93f98ec733a928baeed10,the 2nd comment will tell you step by step how to do it 
331.0,f58d113af3c58c25852de78faea74d41fcbff755,bluddlurk 
334.0,b0c7a6794df018a6a8e26d1fd57c31225a54c28b,gems in pants boi 
355.0,e574de5705500edf70fae354296ee907056b4ec6,what's the helm transmog for the monk 
355.0,4080a7726172628a0ddf2a999d2314ed4558e605,pantsu bludd 
359.0,0812ee98e65e5a6a956ca374b00b5c4bac007797,no gems in panmts 
363.0,bdca5cbd75c7622032a413b388279c86d939c3b7,gems in pants 
365.0,4881b798afef60fecfb93f98ec733a928baeed10,no gems in legs 
373.0,5c89d5a98f2bbf746767af355d85f93413e8861e,gems in pants ca215c5eae1a43d2c7a0fc7db0c44a67bcf5eaa9 
374.0,e1bfdb1e7598c948d88cb271fb04cb9a05a38c15,bluddpants 
376.0,e574de5705500edf70fae354296ee907056b4ec6,eh he's got it lol 
