Time,User,Message
0.0,b3387748aadd8ac128a930e9830280d7f577273e,wait is this artosis 
1.0,060ffd145f0c03fcd25f37d41ec8b28a1003b9d3,artosis pylon pogchamp 
13.0,48282cacb270bb917e510abb0b22e017107c77c7,i still always get the words smurf & nerf confused i always call them nerf accounts 
14.0,b3387748aadd8ac128a930e9830280d7f577273e,4head oh i get the joke now 
33.0,b3387748aadd8ac128a930e9830280d7f577273e,memba nerf balls 
52.0,dfe26ff99bc207dd1b771a194506ee3a18f1afbf,i memba 
62.0,e46757db12bf639dcc4ce7733d78c64118ec59ef,uptime 
63.0,bff6846953375e86132183550a21897a347e5547,e46757db12bf639dcc4ce7733d78c64118ec59ef neuro has been streaming for 6 hours 38 mins 
68.0,48282cacb270bb917e510abb0b22e017107c77c7,i still see the commercials 
72.0,48282cacb270bb917e510abb0b22e017107c77c7,cos i watch a ton of teen titans 
74.0,b3387748aadd8ac128a930e9830280d7f577273e,downtime 
74.0,bff6846953375e86132183550a21897a347e5547,b3387748aadd8ac128a930e9830280d7f577273e neuro has been streaming for 6 hours 38 mins 
84.0,b3387748aadd8ac128a930e9830280d7f577273e,cmonbruh 
94.0,b3387748aadd8ac128a930e9830280d7f577273e,why is downtime and uptime the same thing 
95.0,b3387748aadd8ac128a930e9830280d7f577273e,g 
95.0,86a6112bb754db9df23a6743dff52f876d99a020,g 
96.0,03d2b8f05aadec1fd01d054384c262016a1c10c0,neurogg 
99.0,735bc783259968d811a70b4b2bcf7497d1f4b9b2,g 
100.0,48282cacb270bb917e510abb0b22e017107c77c7,i wish they had sc commercials 
102.0,48282cacb270bb917e510abb0b22e017107c77c7,slayyyyy 
102.0,dfe26ff99bc207dd1b771a194506ee3a18f1afbf,neurogg 
105.0,e358cbc80290686b124923785771dc2ecf161344,i have never seen so many biles eaten 
105.0,02b102839a22f764e2e4df550726938b1c9e000d,beegg neurogg neurogg 
108.0,958487c8225ea23fe2455d854565b66f8d1b402a,neurogg neurogg 
111.0,02375c7de6055b5832f338820cb0780dbcfbd816,had to look for you there for a sec 
112.0,48282cacb270bb917e510abb0b22e017107c77c7,neuero gettin dorpeyyy 
115.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,neurogg 
127.0,b3387748aadd8ac128a930e9830280d7f577273e,but neuro why was the pylon in the front 
135.0,e545b0e9bab9d0b40e9799f9b576677f8e7ec402,neurogg neurogg 
142.0,46c426478dd80d4c49988d54c30c35d996e94a7c,it's neuro's birthday give some cheers 
144.0,48282cacb270bb917e510abb0b22e017107c77c7,hahahahhaha 
145.0,b3387748aadd8ac128a930e9830280d7f577273e,pogchamp ostrich time 
146.0,48282cacb270bb917e510abb0b22e017107c77c7,yasssss 
148.0,46c426478dd80d4c49988d54c30c35d996e94a7c,<3 <3 <3 
156.0,d6c79cf0a105ee552406695665ce05671d2794a0,ostrich party 
163.0,48282cacb270bb917e510abb0b22e017107c77c7,you're a legit good dancer neuro u have flow 
167.0,b3387748aadd8ac128a930e9830280d7f577273e,yo ostriches are scary yo 
167.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,bird party 
167.0,77bee6517b356fa572f84e32ad2664367b67fbf3,powerupl darkmode powerupr 
174.0,efaca52b3cde4a25257f0b708785153aea2bcd08,rip 
179.0,86a6112bb754db9df23a6743dff52f876d99a020,nice sc graphics kappa 
180.0,b3387748aadd8ac128a930e9830280d7f577273e,overlay 
189.0,b3387748aadd8ac128a930e9830280d7f577273e,actually this is better 
190.0,dfe26ff99bc207dd1b771a194506ee3a18f1afbf,he knows 
192.0,b3387748aadd8ac128a930e9830280d7f577273e,just leave it 
196.0,efaca52b3cde4a25257f0b708785153aea2bcd08,but i like the birds 
198.0,dfe26ff99bc207dd1b771a194506ee3a18f1afbf,neurow 
201.0,90d0f707c246ad0d45edb5629ba43a703514870a,they look so evil 
203.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,wait who wants the game 
205.0,b3387748aadd8ac128a930e9830280d7f577273e,ostrich craft all day 
207.0,02b102839a22f764e2e4df550726938b1c9e000d,neurod neurod neurow neurow 
209.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,i'm here for this 
214.0,2b82108d752ed530aad19451117793044a723642,sekret emu attack strat pog 
229.0,5b01ee65792d9c519fbc54f147d0b03af0281b85,how many ostritch does it take to get to teh center 
232.0,48282cacb270bb917e510abb0b22e017107c77c7,the time is 452am 
235.0,efaca52b3cde4a25257f0b708785153aea2bcd08,book 
236.0,bff6846953375e86132183550a21897a347e5547,https://twitter com/neurozerg/status/955544551158091776 
242.0,86a6112bb754db9df23a6743dff52f876d99a020,birb 
253.0,2b82108d752ed530aad19451117793044a723642,birb pog 
253.0,079e9d77670c190bb18c22e5431fa99f6b601653,i was so ready for neuro to switch back to the game and for him to be in the middle of a drone rush 
260.0,079e9d77670c190bb18c22e5431fa99f6b601653,it would've been glorious 
262.0,c40b3e4964bc0731a36cf225ca72114d37143b73,birbu 
287.0,69efb88d4fd51aa5fc6ad4decba0f9d5320148e7,sourpls 
297.0,69efb88d4fd51aa5fc6ad4decba0f9d5320148e7,howdy pardners kkona 
320.0,b3387748aadd8ac128a930e9830280d7f577273e,dfe26ff99bc207dd1b771a194506ee3a18f1afbf did you see my clip 
331.0,b3387748aadd8ac128a930e9830280d7f577273e,neuro reverse meme'd me and it was amazing 
337.0,b3387748aadd8ac128a930e9830280d7f577273e,i actually wasnt even mad 
344.0,48282cacb270bb917e510abb0b22e017107c77c7,this music got me litty~~ 
360.0,b3387748aadd8ac128a930e9830280d7f577273e,incgot 
366.0,69efb88d4fd51aa5fc6ad4decba0f9d5320148e7,no pardners in chat neurog 
371.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,link dub 
377.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,neurocowboy 
379.0,b3387748aadd8ac128a930e9830280d7f577273e,https://clips twitch tv/busyuglykleebleedpurple 
398.0,b3387748aadd8ac128a930e9830280d7f577273e,it was a solid and wholesome meme and i def had it coming 
410.0,b3387748aadd8ac128a930e9830280d7f577273e,we were sharing metal videos and that was my second 
451.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,that was fucking amazing 
453.0,da1f7f777fd55e371d049ddb043b19bcb48fd199,dnb 
454.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,neurolul 
456.0,da1f7f777fd55e371d049ddb043b19bcb48fd199,kreygasm 
461.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,man neuro has the best memes 
480.0,b3387748aadd8ac128a930e9830280d7f577273e,riiight 
489.0,b3387748aadd8ac128a930e9830280d7f577273e,he got me chicken bro 
495.0,b3387748aadd8ac128a930e9830280d7f577273e,i done got got 
502.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,you been had 
531.0,da1f7f777fd55e371d049ddb043b19bcb48fd199,lul 
562.0,06072416a7c64624f445c4992fdf0b4947cd32ce,whats the song 
563.0,da1f7f777fd55e371d049ddb043b19bcb48fd199,streets of rage 5 
565.0,da1f7f777fd55e371d049ddb043b19bcb48fd199,right here 
567.0,69efb88d4fd51aa5fc6ad4decba0f9d5320148e7,what an excellent clip b3387748aadd8ac128a930e9830280d7f577273e 
571.0,02375c7de6055b5832f338820cb0780dbcfbd816,i got got watching that clip just now too 
591.0,74ba0b950c3b2b57523032fcc89b252d50f1963c,battlemech in this map is painful to fight 
591.0,b3387748aadd8ac128a930e9830280d7f577273e,thanks boyz 
605.0,b3387748aadd8ac128a930e9830280d7f577273e,also i really like this map super creative 
612.0,da1f7f777fd55e371d049ddb043b19bcb48fd199,that guy is pretty cool dubstepp 
616.0,b3387748aadd8ac128a930e9830280d7f577273e,the whole mineral walls thing 
629.0,b3387748aadd8ac128a930e9830280d7f577273e,yeah leo is amazing 
658.0,b3387748aadd8ac128a930e9830280d7f577273e,4head does anyone know the words to this one 
661.0,c9e51f34dfb4780e43218d57e7e20311da06c96d,that song sounded like a ring tone 
670.0,74ba0b950c3b2b57523032fcc89b252d50f1963c,it is a bronze to gold protoss/terran wet dream imagine all the hidden bases 
788.0,127fc219bcf9e8811c609509272474271ebef309,gg 
790.0,69efb88d4fd51aa5fc6ad4decba0f9d5320148e7,ez clap 
792.0,da1f7f777fd55e371d049ddb043b19bcb48fd199,gg 
794.0,06072416a7c64624f445c4992fdf0b4947cd32ce,gg 
795.0,c9e51f34dfb4780e43218d57e7e20311da06c96d,gg 
796.0,12e9d43a114ec177bc53ef057c9f74c0114e19d7,gg 
800.0,8aa503312c87e062d54dacad1390b58a9d3dccb6,lmao 
803.0,81bb6677fce6f729edc9987ecb24b90e8070b891,jhowgotem 
809.0,37fb2a1b7b1b15b37f0f2e4b85fc2eda447b3861,honored speaker will refrain from dancing 
812.0,d8de305f5398d47e7ad44ef8f9a0b0ea92e9cbf3,neurogg neurogg 
814.0,37fb2a1b7b1b15b37f0f2e4b85fc2eda447b3861,kappa 
815.0,02375c7de6055b5832f338820cb0780dbcfbd816,put the music down this is not the place or the time 
819.0,46c426478dd80d4c49988d54c30c35d996e94a7c,*raises hand* 
821.0,d8de305f5398d47e7ad44ef8f9a0b0ea92e9cbf3,neuro do you already know if there will be world discussion tomorrow and if so around what time 
821.0,c9e51f34dfb4780e43218d57e7e20311da06c96d,my hand is lowered 
823.0,127fc219bcf9e8811c609509272474271ebef309,what meanes af 
823.0,8fa81c1e898aac02c10f128ff6ec4ae9e5891796,:raised_hand: 
826.0,f2d466a7d86e408fbcb1fd45860e7ab1eaaab307,regione lombardia is my region 
829.0,e3f74ceeec98cd2bb7ba16088dbf3e7e948b3017,perseverence 
832.0,c9e51f34dfb4780e43218d57e7e20311da06c96d,because i did not see it 
834.0,f2d466a7d86e408fbcb1fd45860e7ab1eaaab307,best stream ever 
834.0,c9e51f34dfb4780e43218d57e7e20311da06c96d,lol 
835.0,958487c8225ea23fe2455d854565b66f8d1b402a,these beats are siiick 
842.0,68d84e97e52425a29613d4d757fe1f6835e508c9,af = adequately fresh 
877.0,46c426478dd80d4c49988d54c30c35d996e94a7c,is there a topic neuro 
888.0,37fb2a1b7b1b15b37f0f2e4b85fc2eda447b3861,as hyuck 
888.0,81bb6677fce6f729edc9987ecb24b90e8070b891,hehe 
890.0,c9e51f34dfb4780e43218d57e7e20311da06c96d,i have a question if that's okay if you are taking submissions :face_with_tears_of_joy: 
899.0,d8de305f5398d47e7ad44ef8f9a0b0ea92e9cbf3,i constructed the mother of all agent smith questions neurow 
901.0,cabfe0c6ac5476c862df069b1f45d182ec5fac80,https://www youtube com/watch?v=yj6wgiwf2va 
917.0,ad7996e3a109eaa63d17fd26da3d722189feed1e,unce unce unce 
922.0,69efb88d4fd51aa5fc6ad4decba0f9d5320148e7,cabfe0c6ac5476c862df069b1f45d182ec5fac80 greetings broadcaster neurocowboy 
922.0,b77eb7320a120361eedff6c0c25230de53a3201e,cabfe0c6ac5476c862df069b1f45d182ec5fac80 whats the word of the day again 
928.0,7210be1321460f5e0235f08a55a088651e28b43e,i thought you are a metal guy :) 
930.0,958487c8225ea23fe2455d854565b66f8d1b402a,:d thanks for music link 
937.0,d8de305f5398d47e7ad44ef8f9a0b0ea92e9cbf3,will do <3 
952.0,235eaac3149a5cfb4bc4568f6b17ee16c70f1038,newer to sc2 ranked watched a bunch of z and placed in silver any ideas on what i should focus on to rank up 
952.0,02375c7de6055b5832f338820cb0780dbcfbd816,cabfe0c6ac5476c862df069b1f45d182ec5fac80 have you experimented with drugs this only came to mind because of the music 
960.0,b3387748aadd8ac128a930e9830280d7f577273e,trogolodite 
962.0,6f10b88cea9038f552be96d2b5114ae2fc6af89b,trilobite yaaaaaaaaaaaaaaay 
962.0,7ac5f3038cf3d57b081522cb45708a627a5209a9,pogchamp 
965.0,ad7996e3a109eaa63d17fd26da3d722189feed1e,trilobite emphasis on the bite neurog 
966.0,b3387748aadd8ac128a930e9830280d7f577273e,man these artist names are gettin weird 
967.0,b77eb7320a120361eedff6c0c25230de53a3201e,trilobite 
970.0,958487c8225ea23fe2455d854565b66f8d1b402a,i have a trilobite ring i love those hehe 
971.0,6f10b88cea9038f552be96d2b5114ae2fc6af89b,jambi is pleased 
972.0,69efb88d4fd51aa5fc6ad4decba0f9d5320148e7,pogchamp 
