Time,User,Message
0.0,c4dfc24650f89d273a93884d3f00127bf6f60049,only real ones know 
35.0,741f1bfcac1685dd3bfa2847abfb0f1c1a59fed1,i can't find u can u invite me 
51.0,741f1bfcac1685dd3bfa2847abfb0f1c1a59fed1,i am on 
109.0,741f1bfcac1685dd3bfa2847abfb0f1c1a59fed1,glitch let me restart the game 
134.0,741f1bfcac1685dd3bfa2847abfb0f1c1a59fed1,idk 
139.0,c4dfc24650f89d273a93884d3f00127bf6f60049,confirmed hacking 
146.0,741f1bfcac1685dd3bfa2847abfb0f1c1a59fed1,stfu 
192.0,741f1bfcac1685dd3bfa2847abfb0f1c1a59fed1,i sent invite 
200.0,741f1bfcac1685dd3bfa2847abfb0f1c1a59fed1,sry buns 
217.0,c4dfc24650f89d273a93884d3f00127bf6f60049,it's ok bro 
356.0,c4dfc24650f89d273a93884d3f00127bf6f60049,dang maybe i should sub to yoshi instead 
424.0,c4dfc24650f89d273a93884d3f00127bf6f60049,his moms credit card 
511.0,c4dfc24650f89d273a93884d3f00127bf6f60049,based on hearing yoshis voice roughly how old is he 
666.0,c4dfc24650f89d273a93884d3f00127bf6f60049,so is he goated orrrrr 
842.0,c4dfc24650f89d273a93884d3f00127bf6f60049,i'm out boys 
845.0,c4dfc24650f89d273a93884d3f00127bf6f60049,ggs 
856.0,c4dfc24650f89d273a93884d3f00127bf6f60049,tonight was a w stream 
1261.0,741f1bfcac1685dd3bfa2847abfb0f1c1a59fed1,lol 
