Time,User,Message
0.0,8a5916a48aa48915f480a1cc14e82ea35fb912d4,ccdacf7cefbce62d2222ab961b06b89ad66a226d what do you think of clinkz right now he feels extremely strong in solo 4k bracket 
4.0,9cc99ab4848eb653a4e9da4a03e73571fc3cb2ea,mom i'm strimming babyrage 
5.0,d1238417ca3fdeff1566d13cc3f9e4ea15c67d4b,ea752bbca27bfb308e3f97d181aeafaf89767a14 no 
7.0,d5a6e0badb0d2a037d400429d88c5ce2d40d7a56,no salve 
10.0,948821640c94a92c1fb1d94848fe5c6564407321,water kappa 
10.0,2315a895bdf7590ebf17c1f4ad45fd0b44c2447b,medal 
17.0,2255c4d5269be11a42cc95e8fd234095f8ed37e9,you should look into the water bottle company miir they donate 3% of their proceeds to clean water projects 
21.0,19d6c3c9eae8a13d2d92df761096a4c8d48250c9,can also do a gorp and play bounty safe lane 
27.0,47334b6e689ed40c0d9823fa07510106604b7fa0,its not water dont let him fool u pepelaugh 
31.0,5cacd42ab9d00feb1ec46763171e72638973be9c,jebaited 
31.0,ba4c688cd65f35bd02a90e9adc7ff517a9b353dc,water = vodka 
32.0,c2e4c633bfe8a9caf4cb073a2366ae9c378455ac,wtff 
38.0,e61d98717ef7db9c797ef7f99d53a3d4b2f34b29,how do you increase the font size on console 
40.0,124e363e3ed4770cc30cdb4cb47c54d75fcc11f7,cmonbruh 
43.0,5cacd42ab9d00feb1ec46763171e72638973be9c,or just donate to charity if you want to be charitable and give 100% instead of 3% 
53.0,dc7b04bc39d581b48d610236cfbc64737be494b4,make sure you wash your hands :) 
60.0,b717be6881bb7b879c84b3ade3712ca398c3b515,d: khezu hacker d: reported 
75.0,124e363e3ed4770cc30cdb4cb47c54d75fcc11f7,any trihard in germany 
91.0,4c96ae4e89a7808841f6a2fd03726ae77737219b,ph good the border is gone 
97.0,bbee7164121a8585afd3491a2de50ed0cf254809,feelshackerman 
102.0,ba4c688cd65f35bd02a90e9adc7ff517a9b353dc,ngga stfu 
117.0,e61d98717ef7db9c797ef7f99d53a3d4b2f34b29,weirdchamp 
124.0,dc7b04bc39d581b48d610236cfbc64737be494b4,i should just go to sleep honestly residentsleeper 
126.0,3c0f75bbf6fa30ccd4da06e0a7666410dbbf63bf,water and has a fridge full of beer wutface 
138.0,5cacd42ab9d00feb1ec46763171e72638973be9c,if he was american that would be the same thing 3c0f75bbf6fa30ccd4da06e0a7666410dbbf63bf 
140.0,8a5916a48aa48915f480a1cc14e82ea35fb912d4,ccdacf7cefbce62d2222ab961b06b89ad66a226d what do you think of clinkz right now he feels extremely strong in solo 4k bracket 
142.0,7af02bc9fd9a7ff6c0bdc60b51ceddb55428d014,khezulul to handolo realquick 
150.0,7fdc330507aa5c416cf8036d79c0823cd2a232e7,gorgcpeepeehands gorgcpeepeehands gorgcpeepeehands gorgcpeepeehands gorgcpeepeehands 
154.0,9d415bba0a8bfea938de67d4773fcd424301273a,np 
159.0,5cacd42ab9d00feb1ec46763171e72638973be9c,beer is liquid bread kkona 
162.0,099756832b9b9bed44cb98c0519ea082b64a6b61,hi khezu 
164.0,b7c79fd82362e8089b61be6248437adf6328ea8f,ccdacf7cefbce62d2222ab961b06b89ad66a226d how can i be the best offlaner play carry first or what ty 
166.0,9cc99ab4848eb653a4e9da4a03e73571fc3cb2ea,envylul show cat 
173.0,9d415bba0a8bfea938de67d4773fcd424301273a,ccdacf7cefbce62d2222ab961b06b89ad66a226d u are carry now monkahmm 
175.0,3db4e38a0aabeb13ac393afe57d96f15b8c431ba,score 
179.0,ba4c688cd65f35bd02a90e9adc7ff517a9b353dc,kok 
188.0,5cacd42ab9d00feb1ec46763171e72638973be9c,practice offlane keep queuing offlane you'll get better over time 
200.0,099756832b9b9bed44cb98c0519ea082b64a6b61,monkaw 
201.0,4059e36be01a5f178c4bff67d09dd9879411ac8a,monkaw 
214.0,ed78dd572c8813d0d1b15ed84eef8bc709d57ae1,mmr 
216.0,e61d98717ef7db9c797ef7f99d53a3d4b2f34b29,just try to copy better players 
216.0,b7c79fd82362e8089b61be6248437adf6328ea8f,5cacd42ab9d00feb1ec46763171e72638973be9c feelsokayman yo 
228.0,8075e9cd0aefc0fdb7a3192a21a2defe5a42945b,pepelaugh 
239.0,5cacd42ab9d00feb1ec46763171e72638973be9c,how do you improve at anything in life dedication and practice doesnt matter if its programming music or video games 
242.0,4904ec100a46e495547b21f55f976ab1a36aba7b,kekw 
242.0,3e5406a5d1a88c9982794ef557df9bcf6b6dcd36,mmr 
250.0,3c0f75bbf6fa30ccd4da06e0a7666410dbbf63bf,proplayer hit by arrow lul 
251.0,b7c79fd82362e8089b61be6248437adf6328ea8f,aha 
260.0,b7c79fd82362e8089b61be6248437adf6328ea8f,thanks guys for guids 
270.0,025bb937e2edf7be60395ac2be44897701457086,medal 
275.0,e37cea972f2dab43424f1af2a3d753a462be1174,mmr 
278.0,065105e15f930a420ed5a298663fb52c48e1a806,np 
289.0,e37cea972f2dab43424f1af2a3d753a462be1174,gm 
304.0,065105e15f930a420ed5a298663fb52c48e1a806,ancient lul 
309.0,9d415bba0a8bfea938de67d4773fcd424301273a,any manchester united fans feelsokayman 
315.0,9d415bba0a8bfea938de67d4773fcd424301273a,any manchester united fans feelsokayman :beer_mug: 
316.0,6ec2f151db654f3b8fcfacd07f9e95fec0b60d95,help 
319.0,0045b94392cd27a2342b16575dab660574ec2c38,lul 
327.0,8b9f3935e66885068abe5dbfa541eb8fc356bfa4,9d415bba0a8bfea938de67d4773fcd424301273a man utd lulw 
328.0,261cb60fd2e2314586b65d311d40bd99b1690ffa,mu pepelaugh 
337.0,8b9f3935e66885068abe5dbfa541eb8fc356bfa4,pepeds 
337.0,099756832b9b9bed44cb98c0519ea082b64a6b61,im man utd fan pepehands 
338.0,9d415bba0a8bfea938de67d4773fcd424301273a,any manchester united fans feelsokayman :wine_glass: 
341.0,8b9f3935e66885068abe5dbfa541eb8fc356bfa4,hala madrid pepeds 
343.0,1062baed4d165a27854d09d2f1be6d8fc7db781c,practice makes perfect khezusub 
347.0,e61d98717ef7db9c797ef7f99d53a3d4b2f34b29,weirdchamp 
355.0,dfe7c0b638dbcdbc2c70b2477f8546e3d03a4741,madrid kekw 
362.0,af5097747222362e8ad9eaf54bbd5fb9d04b528f,peepoclap 
363.0,9d415bba0a8bfea938de67d4773fcd424301273a,mu barca kekw 
364.0,61e51f1f00b476e559f9b5cfd84a677b480fa688,trikool clap 
365.0,af5097747222362e8ad9eaf54bbd5fb9d04b528f,peepoclap peepoclap 
