Time,User,Message
0.0,6eb9ca9f15af342e1a891b8a389adc65b63e6546,mobi boots 2head 
9.0,17458034fff08fbd228f595f5dc13987c9881dbb,because he is 2head 
14.0,dba9509060e64bae15c773a1cc60c915a5075196,cause he phat 
20.0,10e23571ece1de8729c73c137236ecee8512d35a,how much did your pc setup cost 
21.0,4d54f57e0ecae2e46d7d8c3657b87f3508c56e44,because he is anele 
23.0,3a5d539d3447de5e3e933a95c8c54e04a98181ee,bigger hitbox 
23.0,db7955d59ef84999f966c8ae04595d73dee9986f,cannon lulw 
24.0,cb3e63f8b4e93ec2050a61652c5b2535960f56d0,cann omegalul n 
24.0,d68942f6612ca5fa126ad9d1bba68c073d2ab041,cannon lul 
24.0,888eb0cde46d43af4b9d0d20464b0ae9e2140ec0,biscuit crusader 
28.0,d7913f16390560d7d597858fefab623567bea3b5,his model is thicc 
32.0,ba1aeab5bf55007dfad231078d85264160568ce6,play vs mi 
35.0,8c4a0eb33eed935b45cf9a1b16b3a24e6847af15,cannon 
44.0,4d54f57e0ecae2e46d7d8c3657b87f3508c56e44,winning streak pogey 
45.0,db7955d59ef84999f966c8ae04595d73dee9986f,that cannon was a pink ward 
47.0,888eb0cde46d43af4b9d0d20464b0ae9e2140ec0,cdf87c546141c82db0fc7b5ad6a7c23181e29cdd what do u think about tear on jayce the old built 
54.0,a0c558072475cdc6a4585007d97af6cd7ca0142e,chat sitting here in silver 3 with 4 cs per minutes saying cannon xd 
76.0,db7955d59ef84999f966c8ae04595d73dee9986f,i reckon 5head 
81.0,817ac450fa5ac7d287108754271783e7b9fb13c4,xd 
85.0,d68942f6612ca5fa126ad9d1bba68c073d2ab041,lmao naut 
92.0,5753a30f052a5fc55e9805f036f6848a26ccd18f,oi you reckon mate 3head 
105.0,ca2bc25b2a58f661aba02de27447ca79188dedc8,harold 
106.0,3968e1b9e4fd9fa4613221fe22b969a43ce9ef63,harold 
107.0,4acb0ae4d59f1a01d78a6fb4e3008f39d377b0ec,har omegalul ld 
108.0,4d54f57e0ecae2e46d7d8c3657b87f3508c56e44,harold midb2head 
110.0,fcb803dd0fc12fc775ecd7831853b7fcbbdc074e,pepega harold 
112.0,5feb35d1043b157b9fbee00888634d0cef74eae8,aour harold 
115.0,6924ac641c91641bf5beda0ff0107cbb1d325b16,oi any aussie lads bruv 3head 
115.0,41bc26b3cc3adeb38aef7f624fa0d3b0281b0ef2,a0c558072475cdc6a4585007d97af6cd7ca0142e just because you aren't a professional footballer doesn't mean you cannot make fun of one who misses a ball pepega 
119.0,41e7121244d2d709f188bbe55a4996bbe6c04425,harold 2head 
122.0,1b55eba2431caf7e7c2cc42fc2dbdd2491fab5c1,any lads in the chat 3head 
125.0,ff8e84f0f6258c63f5f10abbe2f20ff821589f54,harold the giraffe lul 
129.0,feb905c6337091babe0902ed877e152a0c37d4cc,oi bruv 2head 
133.0,41e7121244d2d709f188bbe55a4996bbe6c04425,3head 
139.0,7fc01370c4e20d42e80dcf0242fcc43491ce60cf,anele 
140.0,10e23571ece1de8729c73c137236ecee8512d35a,any lasses in the chat 
