Time,User,Message
0.0,fedd06c0df4da11499e9abb9afa3c50c78cccef8,xvxguitar xvxheadbang 
2.0,d734273397e437b412ba2b21082bbb3c4e60b117,the ice looks bad switch it for wood xd 
3.0,6eb8717373990cbd28280db48915d726b29d61dd,do you like redhotchilipeppers 
5.0,c524b4a447a91607bceccfd05a86ab08ce897efe,korn vs black eyes peas epic rap battles of history 
14.0,7e278d376e8ab84fafa4810eb1618502690b36b8,xisuma the bamboo farm is behind you 
19.0,fdce11564f822308534eb8fb615dd1e9dd79fbc7,my fave nu metal band has to be system of a down 
19.0,0811ce57d6e50c27d02887b9eb665c726baabfa5,hello stream o/ 
20.0,aa0bf273366ed4ca43ca389411e76669bc3cea4d,what a year 94 was for music 
20.0,acefc023e065c02d5586fb2a31f05d52a097c4e1,what do you think of falling in reverse 
20.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,eedbd2822aee2cd20cd937c8f14f77c23b80eaaa linking it like that is no use and not needed xisuma is trolling and we don't need links to video's that are not xisuma's 
23.0,fab174e2a18bca5d08e14b366c15f66d51358b13,chek mumbou episode 97 
25.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,hi 0811ce57d6e50c27d02887b9eb665c726baabfa5 
27.0,3d9f037b28b18fcb66dcf5fb1e2f9a18229ebeb8,how would i get into metal if i like harder/noiserock 
27.0,92f8e5e26436595eb3d8ae64608531e503333571,ce1d0874db4805aa5afb71d4eea0c03855759f9e what does soulsideeclipse mean 
28.0,c1222cfdff9201399f2194b128e2792e32ad3f75,my subscription didn't go through 
28.0,a74d2a8b910c5b0de65f77ffbafc7bcb0a1160e9,hi 
31.0,71f19c1111a0c3845700adbd42b49d31e2e867ee,7e278d376e8ab84fafa4810eb1618502690b36b8 he's just trolling 
33.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,fab174e2a18bca5d08e14b366c15f66d51358b13 he doesn't need to he's trolling all of you 
38.0,2e72a199b238b95f144108f836a8edf53741d302,ce1d0874db4805aa5afb71d4eea0c03855759f9e you can build faster now in 1 14 with going up 3 and shifting instead of 2 hope this msg gets too ya and dont drown in chat 
38.0,3959ac6bb12b59e7a8180eaa1708421b31bc8f23,mumbo's bamboo farm is mostly just a dirt field 
41.0,91afa8df5532762d1fdbd4430d72fd2c8ac55128,impulse and mumbo have cactus farms not bamboo farms silly chat 
43.0,92aba7c91faf937441583444182e593944f5e673,xisuma did you know you can place 3 blocks vertically downward due to changes in player height while shifting it may help you do it faster 
44.0,e2f1b227ba0d333c00109fbda9aa7e9e36b10978,in korn you can actually hear the bass guitar 
45.0,e7c8f48a529dd5582b47d02c770b087314ed26ae,episode 97 mumbo jumbo check now pls 
46.0,d676eb5711bb5ec1e334e2e84cbf2e571cef93fe,alvarocebrian it's showing your sub 
50.0,470097a359584296ede1e6141aa32f4cba413b8b,were you able to fix impulse's bamboo/scaffolding shop 
50.0,77b38d00c56666603ebca926e23e5b789047c93d,it is not dead go to norway 
53.0,2810e0ae81a4fdab237dbaa48522d25c89a37414,c1222cfdff9201399f2194b128e2792e32ad3f75 you gotta press on share 
54.0,68a87be815a77ffb67822629ecc8b37947ad19b0,i would really really like to know why hes using ice for the cactus farm 
55.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,e7c8f48a529dd5582b47d02c770b087314ed26ae again he doesn't need to he's trolling you 
59.0,6549e630565fabce79dea038b9e2a3bb32ee3895,x you know you can place three blocks down whilst sneaking since 1 14 
59.0,8aa8de50de474b5bbee62859307d1d866676dba2,everyone here is mistaken bamboo has a mumbo farm not vice versa kappa 
62.0,edaff7e76c4985f3f72a448d427680947dffbc17,what are you doing 
63.0,a9c49ed038f935af92b3db05508b368f1d6c3177,xisuma where are you from am just curious 
66.0,24f35c8f7d1614d3d89a4d220afe3fd7e3c1704c,that scaffold is looking maaad 
67.0,e4daccf93802ce41aa20c20d4c95ea1168412d24,the punk rock mba he made the what killed death metal video ce1d0874db4805aa5afb71d4eea0c03855759f9e 
69.0,c6e204e0fcb0a76965ada42c2d55eb1aed884497,x you may now be my favorite ermit dude you have no idea how happy you've made me i asked wells about alice in chains one time and was significantly disappointed with his answer also yeah i know about that channel 
70.0,7caff8fe9d54e6455f8e3c063d558d04379751e5,remember xisumanniti 
71.0,1de366efbd952237c946b6b6868351baea15a5be,mumbo has a bamboo farm in his destroyed area with huge farms 
71.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,edaff7e76c4985f3f72a448d427680947dffbc17 he's making a bamboo farm 
72.0,ef29518671e98a5332a3d61af9eeaa1e0914fbba,ce1d0874db4805aa5afb71d4eea0c03855759f9e i think mumbojumbo built a gullible farm that's what people are so confused about 
74.0,a6b54c802b029eb99042242c723822486f335ffa,tea reminder 
75.0,d676eb5711bb5ec1e334e2e84cbf2e571cef93fe,defaultj he's from the uk 
78.0,d5b944a8bb2d93c1d72b4153c4f7f58ac93b021b,ce1d0874db4805aa5afb71d4eea0c03855759f9e you can go up 3 blocks if you crouch in 1 14 
78.0,cecdc8640908e279d8f2464159d6ed31574509e4,6845de14bb3db616ce84325a247e4f59f68e2ad4 thanks not caught up to this season yet almost there at episode 670 something 
79.0,06cec3d9950cb9ba752ddc0dcfea139a980a5fc3,91afa8df5532762d1fdbd4430d72fd2c8ac55128 exactly i can't believe this chat x3 
82.0,88422bd55d598627ef8149cd69bdda8b7e55cd34,is it philza 
82.0,01a6a91b1222dcaebbf2d99dd450ed04270fda2c,i love coming to this stream and listen to xisuma talking about music it's just so fascinating 
84.0,8e6baeb420eb0999c7d822345cc469f888b60e7a,e7c8f48a529dd5582b47d02c770b087314ed26ae thats is not mumbo's vid its warner chappels kappa 
85.0,15ac26c5efb8fe2ea92a3458088c293632d583f2,minecraft dungeons or minecraft earth 
86.0,c3409134ea406cc4fae24f0d053221eb85041328,isn't quorn what mo farah eats 
88.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,cecdc8640908e279d8f2464159d6ed31574509e4 you are welcome 
88.0,6eb8717373990cbd28280db48915d726b29d61dd,yeah its like a livestream on twitch but ist a karaokie 
88.0,3886420e347b22d84f34219c4b3909b1d4acb745,sr blue 
93.0,9a325982ca489542c50ac4f8aef955f1a56dfa7b,hey everyone 
95.0,660ecffb41e3d62c973dd06426618a9cc9d78240,the bamboo has a *** 
96.0,c1222cfdff9201399f2194b128e2792e32ad3f75,share wheres that 
98.0,db0d14ebe88b133fa648a6e089d95cb373c313a9,hey x how are you 
102.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,3886420e347b22d84f34219c4b3909b1d4acb745 no song requests here 
102.0,5b05a36d5d4b293eae3a6da7bc47fa6165e3890d,what 
103.0,0d93ff0d8c1d318809e749b93ff88a66d98ffae4,what are we doing x 
104.0,e2d44ca0238e00d5363731a32f6c4bd22dacbd27,x you should replace mumbo's cactus farm with bamboo if that's what you're thinking 
104.0,e7c8f48a529dd5582b47d02c770b087314ed26ae,xisuma is trolling us lol he knows mumbo has one lop 
108.0,51ab154367e4b2b1d7441f405547a7c9ddb02e40,okay going to have to choose a different charity because it thinks my debit card is a testing card lol 
109.0,4424cadb097a62da405d7bca0eb0a2bda563f076,lul i've done twitch sings before was a little bit of a disaster 
110.0,eaa82df78e43b4b6c9bb396a414dcbdad2528b28,docs stream music is amazing 
110.0,91afa8df5532762d1fdbd4430d72fd2c8ac55128,impulse and mumbo have cactus farms not bamboo farms silly chat 
110.0,ab9da27d9480e4a1258eddb7ca3690ecca13c90e,this stream is just so chill 
113.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,0d93ff0d8c1d318809e749b93ff88a66d98ffae4 making a bamboo farm 
114.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,song 
119.0,68a87be815a77ffb67822629ecc8b37947ad19b0,why is it that the moment i say something the chat speeds up and no one sees the message 
124.0,5462b3d49bea9f89b6a5c084bc74fd4a1eed08cb,this stream is so chill 
124.0,24f35c8f7d1614d3d89a4d220afe3fd7e3c1704c,btw - did i miss the mumbo prank 
126.0,de4e12a3f1c9cdc1abc4ac90a32a882276888b46,ce1d0874db4805aa5afb71d4eea0c03855759f9e what happens if the ice melts 
128.0,fab174e2a18bca5d08e14b366c15f66d51358b13,im angry 
128.0,ffe858c7069554c4878c2d778156febe2fb204de,i was introduced to hermit craft via mumbo 
130.0,d734273397e437b412ba2b21082bbb3c4e60b117,you killed death 
131.0,c6e204e0fcb0a76965ada42c2d55eb1aed884497,that dude is awesome oh mah gawd i had no idea bout these ermits 
132.0,edaff7e76c4985f3f72a448d427680947dffbc17,what are you doing x 
133.0,1d010ad231f83edba9abadcc0de81c6e3fe60d6a,i thought doc only had david haslehoff 
135.0,4863b5e93f534c74ce98ea4acae2c7f3210e8f7e,i love twitch sings sooo much fun it's karaoke but with all my friends on twitch 
138.0,b417a628f6f60f91af3222989826251dc8f3b0d7,what the name of this music 
141.0,a74d2a8b910c5b0de65f77ffbafc7bcb0a1160e9,i just woke up and came straight on and now i'm wide awake 
142.0,3d81cd2628e0a53f67972f84babc5f4be2e58a2e,why does ice looks so strage in inventory hand 
144.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,24f35c8f7d1614d3d89a4d220afe3fd7e3c1704c you missed that prank but you are witnessing x pranking chat right now 
146.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,song 
147.0,a8b2db131592341105b24067043ebffb01910603,where's bambooni 
148.0,77b38d00c56666603ebca926e23e5b789047c93d,if you like death metal just go to norway 
149.0,9573862bfd0300a4ab5d929aac6c9ea47fa9ffb4,wjhat about linkin park 
150.0,7a0e0c3def4e144732823ddc9550cb87dcf0354d,has anyone ever gottin the minceraft title screen 
151.0,8aa8de50de474b5bbee62859307d1d866676dba2,d734273397e437b412ba2b21082bbb3c4e60b117 the best comment i have ever seen 
151.0,e4daccf93802ce41aa20c20d4c95ea1168412d24,i'm preparing for the backlash: alice in chains > nirvana 
152.0,5c52b6a400e1462a9a2e88d8ea04ee1e9a5537ad,why dont u build ilmango 0 tick bamboo farm 
157.0,a9c49ed038f935af92b3db05508b368f1d6c3177,d676eb5711bb5ec1e334e2e84cbf2e571cef93fe so he stream at 9:49 am 
158.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,b417a628f6f60f91af3222989826251dc8f3b0d7 title and artist in lower left of stream and more info in chat 
159.0,41a2dda421e19e525c3a8e1ed3366a34c8b9da89,the swedish potato should love metal 
160.0,7caff8fe9d54e6455f8e3c063d558d04379751e5,good night i think i should be off to bed now 
161.0,60a4db89ae6bb0a0d891596ffd6845655a6a63c1,why is xisuma using ice 
161.0,9a325982ca489542c50ac4f8aef955f1a56dfa7b,wait a second do you record at the same time you are live streaming? 
162.0,3886420e347b22d84f34219c4b3909b1d4acb745,i don't really like minecraft but this dude is so good a commentary 
164.0,78a8e179f0d684499201c7b0e421642844d0600d,first time watching science i was in italy 
165.0,283546d9246fe65b854e4d0fda423d8eb393143d,i'm from between grunge and nu metal i got the best of them both 
165.0,d5b944a8bb2d93c1d72b4153c4f7f58ac93b021b,ce1d0874db4805aa5afb71d4eea0c03855759f9e if you crouch you can place 3 blocks instead of 2 i think :d 
170.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,xtime 
172.0,a044dbd21a74cf5a562873c6f623c4cf4a073f6d,keep it up man 
173.0,e7c8f48a529dd5582b47d02c770b087314ed26ae,if been here for 36 minutes but x pls say hi omg 
173.0,e2d44ca0238e00d5363731a32f6c4bd22dacbd27,x prank mumbo's bamboo/cactus farm with cactus/bamboo 
174.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,schedule 
177.0,d676eb5711bb5ec1e334e2e84cbf2e571cef93fe,he streams when he streams 
180.0,d676eb5711bb5ec1e334e2e84cbf2e571cef93fe,sub 
180.0,68a87be815a77ffb67822629ecc8b37947ad19b0,ill ask again why ks he using ice for a cactus farm 
184.0,d676eb5711bb5ec1e334e2e84cbf2e571cef93fe,prime 
184.0,92f8e5e26436595eb3d8ae64608531e503333571,where does the name soulsideeclipse come from 
187.0,d676eb5711bb5ec1e334e2e84cbf2e571cef93fe,discord 
191.0,631bde4003b006467377dab2f6e5e8366be73989,the compression of those scaffolding blocks is soooo bad 
193.0,64f6613f6c2d85aed4a5fbfe2fd969de9db0f59f,have you seen the phil collins documentary you may or may not like his music but his process of writing and reading music with a system of notation that he developed is fascinating also his adventures into big band music is pure gold 
193.0,822427efe377af27d176d90f612761501957ce46,like a chainsaw 
194.0,2810e0ae81a4fdab237dbaa48522d25c89a37414,what are you building 
194.0,c6e204e0fcb0a76965ada42c2d55eb1aed884497,lighting is pretty goofy for handheld 3-d objects does not help 
194.0,d676eb5711bb5ec1e334e2e84cbf2e571cef93fe,schedule 
195.0,afd975d1127296e83af16bd7cff11afaae778c80,i'm one of them watchers 
196.0,91afa8df5532762d1fdbd4430d72fd2c8ac55128,no one cares about ice 
199.0,581eab89c92a29c1bf68f7d464d83cac9bebd6dc,ce1d0874db4805aa5afb71d4eea0c03855759f9e are you happy with hermitville or did u imagine a more homogen village and not such a mess of styles 
202.0,06cec3d9950cb9ba752ddc0dcfea139a980a5fc3,it should be easier honestly 
203.0,6845de14bb3db616ce84325a247e4f59f68e2ad4,e7c8f48a529dd5582b47d02c770b087314ed26ae please don't expect a shoutout xisuma rarely does and there are almost 1500 people in chat he can't say hi to every single person here 
204.0,f3ad21a6cbc078aa390b2b4e9f4de28757a76966,yo ce1d0874db4805aa5afb71d4eea0c03855759f9e i've been watching nearly every episode since hermitcraft season 2 how many hours do you think that is 
205.0,c756c6485e8fd5c90d93f8a895a7d260aa030633,ce1d0874db4805aa5afb71d4eea0c03855759f9e try placing three block at once 
211.0,fedd06c0df4da11499e9abb9afa3c50c78cccef8,1 14 xvxhype 
212.0,24f35c8f7d1614d3d89a4d220afe3fd7e3c1704c,really excited about the 1 14 hermitcraft stream(s 
218.0,f2af6a9465ec9449fa7ed63d7289ffa55af8ff39,did you fix the raids on hermitcraft 
219.0,d00411dd0e3e076de90d501f5093747aa50e8081,ello 
