Time,User,Message
0.0,22b28db12bf35f7d6d77616590b86004d1dc946f,was the teamate too far away 
1.0,a364ae86d4d27a1ae614534ed90bca3d5598eb82,oh nvm 1 team left lmfao 
5.0,a1a545e2bd7615c9fb510035931f4d66ef63b497,wrist 
8.0,da22f4bae7e8e59f0f7a1a42cc4447fc4d133966,exactly why i asked ced85828b1a6ecfb0674f9adf161c8d9637fd27d i always scuff it 
11.0,a1a545e2bd7615c9fb510035931f4d66ef63b497,socials 
16.0,9db948a2ac63a67f0a91967990c57542eee533b3,lmao 
33.0,11a7994d40911dfe98ce6823df53c58db5a89e07,clap clap 
36.0,41e927d6a3481bb3f43f35e1494654d8036bfb39,so how can someone improve in apex any tips for high kill games etc 
36.0,21ceb5bbfb33aa8c142ced1c9da98c714e23ea2f,beast mode 
42.0,58c3937fffcc1fd87fa1c01e89b2e8d81c253cb3,gg 
54.0,e3b54082ca989653b6aff8d4c6c385e31e06539f,2c06ec9629586c4a7f034c3862f78a960fbfdb5c me too i love the longbow better at a distance 
61.0,36c50266b3244a5572822ca5786cc9bf0383a29d,just play 4head 
63.0,22b9fef261489b05333e4e1b9296931217b6f7c6,damn brothurr poppin off today i see 
67.0,a1a545e2bd7615c9fb510035931f4d66ef63b497,lickr syncedezayaya lickl 
86.0,5d4f978ad96023f26001b4df9594a1fc1cb787a7,i'm pretty good with my aim but i have trouble tracking people when i'm ads 
98.0,2c06ec9629586c4a7f034c3862f78a960fbfdb5c,ced85828b1a6ecfb0674f9adf161c8d9637fd27d is this your first fps game 
101.0,5d4f978ad96023f26001b4df9594a1fc1cb787a7,any way to get better at tracking while you're ads 
110.0,36c50266b3244a5572822ca5786cc9bf0383a29d,5d4f978ad96023f26001b4df9594a1fc1cb787a7 lower your ads speed multiplier 
113.0,257d6e923892266c3498dff83360c6c983890c70,1k viewers syncedezpog syncedezpog syncedezpog syncedezpog syncedezpog syncedezpog syncedezpog 
114.0,a1a545e2bd7615c9fb510035931f4d66ef63b497,2c06ec9629586c4a7f034c3862f78a960fbfdb5c tj used to be a semi pro at csgo 
