Time,User,Message
0.0,6b0dce15d85e8112951ed9364d51337638005cc4,alright lee time to whip out their whole team 
4.0,6b0dce15d85e8112951ed9364d51337638005cc4,i believe in you 
28.0,56176f43f8acb9448b7219420896a63b72d9b284,oh 
36.0,56176f43f8acb9448b7219420896a63b72d9b284,oh shit is lee gunna be omega bigdick 
36.0,210084d8961edabc3200f80e95164127c2bccbde,oh yeah he's definitely out of the clan 
66.0,56176f43f8acb9448b7219420896a63b72d9b284,woooo 
72.0,99845905393f6035e249b91f3a47fb24262174c3,bopped 
80.0,322082d00a1624bbe58646084f062d5e4a993294,ayyyyyyyyyyyyy 
81.0,56176f43f8acb9448b7219420896a63b72d9b284,the dud tried to get a seat 
85.0,210084d8961edabc3200f80e95164127c2bccbde,thank martyr lytdunked 
87.0,99845905393f6035e249b91f3a47fb24262174c3,what lee got 2 
91.0,077f3b3093cdc29ab5b0ae923d71bf7ff3878ff9,random hit them with the xd 
94.0,99845905393f6035e249b91f3a47fb24262174c3,that wasn't a 4-kill 
96.0,cb181a242cc2d0231d42e750406ab631c8dec73f,a necessary sacrifice 
104.0,a7aa4a9beada89cc7e5eab059f20e9ce7905671b,there you are 
105.0,35b6d5d1d3a81934d8c9b39b1d73347fa3c7ab04,who are we gonna murder lytusegun 
112.0,210084d8961edabc3200f80e95164127c2bccbde,077f3b3093cdc29ab5b0ae923d71bf7ff3878ff9 the small smirk into you gotta calm down lmao 
113.0,1ffe34fd6e3d03095233f7b9d80c7e3dcd12bd11,пиздец блять 
113.0,99845905393f6035e249b91f3a47fb24262174c3,that's true 
118.0,3a55158e4e701afa39829d922520d5fccc01a325,follow the bullet holes in my body 
119.0,99845905393f6035e249b91f3a47fb24262174c3,win more important 
140.0,077f3b3093cdc29ab5b0ae923d71bf7ff3878ff9,210084d8961edabc3200f80e95164127c2bccbde :bluto2smirk: 
140.0,99845905393f6035e249b91f3a47fb24262174c3,angry play-doh 
149.0,210084d8961edabc3200f80e95164127c2bccbde,c4 really is just angry playdoh come to think of it 
151.0,1ffe34fd6e3d03095233f7b9d80c7e3dcd12bd11,го аниме 
189.0,210084d8961edabc3200f80e95164127c2bccbde,haha that fucking hook 
190.0,1ffe34fd6e3d03095233f7b9d80c7e3dcd12bd11,no kill go anime блять 
191.0,35b6d5d1d3a81934d8c9b39b1d73347fa3c7ab04,lyttasty 
215.0,56176f43f8acb9448b7219420896a63b72d9b284,isn't napalm more like angry playdoh 
219.0,8996c636b7e0482b9b559a2f162d8f1141a7d11f,help zyzxwaa 
225.0,99845905393f6035e249b91f3a47fb24262174c3,lee the god 
225.0,1ffe34fd6e3d03095233f7b9d80c7e3dcd12bd11,блять что он так кричит 
233.0,210084d8961edabc3200f80e95164127c2bccbde,hey that's me 
256.0,2f50ccd961ca755ffb45ea8533fb00cd439eee1a,take them down lytusegun 
261.0,2f50ccd961ca755ffb45ea8533fb00cd439eee1a,damn 
286.0,077f3b3093cdc29ab5b0ae923d71bf7ff3878ff9,sourpls 
289.0,fff9c102855cb5a5f8db37861e6337d3945f7b57,sourpls 
291.0,7c3844af62fb5129dae2486296ab1f503eea6e63,sourpls 
294.0,b3f5d786a0cdff11ea0f22978a42491ad4d13dc8,sourpls 
297.0,35b6d5d1d3a81934d8c9b39b1d73347fa3c7ab04,sourpls 
314.0,210084d8961edabc3200f80e95164127c2bccbde,still lookin god 
327.0,210084d8961edabc3200f80e95164127c2bccbde,good* even 
347.0,210084d8961edabc3200f80e95164127c2bccbde,two more 
351.0,210084d8961edabc3200f80e95164127c2bccbde,maybe three i dunno 
352.0,322082d00a1624bbe58646084f062d5e4a993294,aisu 
357.0,6b0dce15d85e8112951ed9364d51337638005cc4,nice 
418.0,56176f43f8acb9448b7219420896a63b72d9b284,i am afraid of f u n n y h o r n 
421.0,210084d8961edabc3200f80e95164127c2bccbde,i'm not afraid of no sweat - smash streamer 
436.0,e67f660dcba75a8eab824261f92e5d2aea2b44be,siege pogchamp 
468.0,7190cc229848de6a021006142ff9505abd56c663,going to bed have a good night all d1xhey 
476.0,210084d8961edabc3200f80e95164127c2bccbde,dang 
481.0,210084d8961edabc3200f80e95164127c2bccbde,very soft hands 
484.0,210084d8961edabc3200f80e95164127c2bccbde,ouch 
488.0,2f50ccd961ca755ffb45ea8533fb00cd439eee1a,uh oh 
488.0,56176f43f8acb9448b7219420896a63b72d9b284,i have special eyes 
505.0,99845905393f6035e249b91f3a47fb24262174c3,uh 
506.0,56176f43f8acb9448b7219420896a63b72d9b284,what lmao 
509.0,2f50ccd961ca755ffb45ea8533fb00cd439eee1a,uhh 
511.0,2f50ccd961ca755ffb45ea8533fb00cd439eee1a,what? 
512.0,210084d8961edabc3200f80e95164127c2bccbde,lee has ascended 
514.0,b3f5d786a0cdff11ea0f22978a42491ad4d13dc8,nani 
515.0,f8945896348ac981010d16ca6a8e27ec42bbf55f,found a bug 
517.0,77d4433360e37889591452946bb37a17987355ae,glitched 
519.0,cc8576eae714c2c1a7ce51a1ff4d86a7355e106f,immortal 
519.0,496845ded6cc95f55a80259c044e8c444c523afe,what the hell 
526.0,6b0dce15d85e8112951ed9364d51337638005cc4,lee your a zombie 
526.0,99845905393f6035e249b91f3a47fb24262174c3,he's bleeding out 
527.0,cc8576eae714c2c1a7ce51a1ff4d86a7355e106f,he has been rendered invincible 
529.0,077f3b3093cdc29ab5b0ae923d71bf7ff3878ff9,cfd2070fb48300fc5a046cdf4bec1e91a7ed82fe you don't need hacks 
530.0,cc8576eae714c2c1a7ce51a1ff4d86a7355e106f,or not 
530.0,496845ded6cc95f55a80259c044e8c444c523afe,lul 
531.0,6165a9d948a8663a67524ae97389d3c37c70b8ce,what 
531.0,56176f43f8acb9448b7219420896a63b72d9b284,haahahaha 
531.0,33cf63c09fca9de19aa24306b5b6d5415fd55e33,what happened 
532.0,77d4433360e37889591452946bb37a17987355ae,lul 
533.0,2f50ccd961ca755ffb45ea8533fb00cd439eee1a,what the hell? 
533.0,b3f5d786a0cdff11ea0f22978a42491ad4d13dc8,lul 
533.0,423892a3059576c7f5905ea23d29a3b96e6c4bab,lytcrya lytcrya lytcrya lytcrya 
534.0,6165a9d948a8663a67524ae97389d3c37c70b8ce,clip 
535.0,33cf63c09fca9de19aa24306b5b6d5415fd55e33,what happened i just came in 
535.0,7c3844af62fb5129dae2486296ab1f503eea6e63,the fuck happened there 
537.0,33cf63c09fca9de19aa24306b5b6d5415fd55e33,explain 
537.0,198e49603d6c2ec4cdaae7e06a7f67d012129b36,lytggs 
540.0,322082d00a1624bbe58646084f062d5e4a993294,goobyeeee 
541.0,56176f43f8acb9448b7219420896a63b72d9b284,let's see that again 
542.0,e3baa15975bc24a8b576c89a83df39f204e8a9bb,whaaaaaaaat 
542.0,599bce27b0b5eef633aefd809a5f1db298fa098c,lul 
545.0,8852ecf213087ab2b709775d8a18dd923f2b9712,grappled same time he got downed 
546.0,35b6d5d1d3a81934d8c9b39b1d73347fa3c7ab04,clip that 
547.0,5f196ad1d0fb68e3935b46377f4fa9c053f1af5a,ubi support please 
558.0,210084d8961edabc3200f80e95164127c2bccbde,clipping and requesting damage claims from ubi 
