Time,User,Message
0.0,63c4417f2645a5be40968259f53f4d62d9a8168f,adderal max frost is fire 
3.0,be4fbacdda71fdf5cd5b8c3b5378ed0e6b5fa5e3,sr minus the bear ghost town 
3.0,38bdbf7ba104bc93637083133c68aae560cc5eb6,song request https://www youtube com/watch?v=8cdccd5v-d8 
6.0,44c851d8ed0d105b30f09a7ede6a93bcb2e6382a,cfe298b96b3d65ea159faf45f04bbd241f934985 you like some forever young 
9.0,d2c52fc2e0c8b0ccf745d5914ccd5bf2d8451a5a,how do you sog request 
9.0,ca1cd46b84dfbec54a44512cb9f14107e25abf27,songrequest smash mouth allstar 
12.0,a7578b0c84b76f1cc7d62c3707d203d214d22cdc,missed the end of the last game did he win 
13.0,b8f74fca89f662536f9c6d68c62eea8d92a7be5f,cfe298b96b3d65ea159faf45f04bbd241f934985 do you like bananas 
14.0,85ae0220c8321d724f2cbedbc6d7ad4d7f60a2bc,gypsy music lulw 
17.0,359e8844b9d7fb15a66677494d42963724e9a404,hey cfe298b96b3d65ea159faf45f04bbd241f934985 how do you become dog how can i become dog how can chat become dog how can my mom become dog please help 
23.0,4656b988a1d7c2d2f7b2507dabc2bb01a0cc7957,no 
24.0,582d60e11284b58c243c9239cecaf14b7c02eb4c,a7578b0c84b76f1cc7d62c3707d203d214d22cdc yeah he won 
30.0,a7578b0c84b76f1cc7d62c3707d203d214d22cdc,ty 
30.0,c7fa0b1e2f94924b30a5071742a4af8425a4247a,pepog 
31.0,38bdbf7ba104bc93637083133c68aae560cc5eb6,sr https://www youtube com/watch?v=8cdccd5v-d8 
32.0,f3f2a3fdb8a1a2939f3dadf4939b4655782e1831,cfe298b96b3d65ea159faf45f04bbd241f934985 why elven archer 
42.0,448c01d11b786fd427527b606393e1f349bdba5f,f3f2a3fdb8a1a2939f3dadf4939b4655782e1831 memes 
44.0,38bdbf7ba104bc93637083133c68aae560cc5eb6,sr venom 
49.0,ca968250e0c1037a0d01ab6df12bab02387a6c59,cfe298b96b3d65ea159faf45f04bbd241f934985 have you found archer working better than bloodsail 
52.0,54641d2346ac846efead962b32cd90c00b0cf55b,how can hunter play so slow 
53.0,acb6ba396ec20765c310d5f120f788cff98600aa,do you just stall with this deck until you get d d 
56.0,298625fde3d68da28f30b4a5f3f06eb6904c62b1,kill equalize or shirnk ray 
57.0,660ff553b31fe21a092d7382468197b772927b84,cfe298b96b3d65ea159faf45f04bbd241f934985 u seem cool 
58.0,ca1cd46b84dfbec54a44512cb9f14107e25abf27,i wish i lived in big city feelsbadman 
60.0,b257596ec01061f2f3fb0a796400ad8e399d823a,krippweird 
