Time,User,Message
0.0,b6d82da3d17189f3b197b0db98aa249132f2c817,literally just windfury 
0.0,2b05f2652b1071c6db919802fe4c8ac9a394fcd1,why not worgen 
2.0,bc7eede7070be938a1686e63c8a33981b4c2618a,misplay 
3.0,eb5712ac11ecaa3cbe5e76ed1975b644921b83ec,-8 omegalul 
4.0,c8e05af5190bd6cfeac6cbb1d97d759701e4ff7a,wrong* 
4.0,8d09c9be38f43b3871162bf6111c0c1be78e4275,lettuce 
5.0,4d05354f8f908196fe9c8022c7a13b530b87ffdf,pyro lulw 
7.0,369cf9baecacfefa9c9498051f1ab50594412e4b,now lul 
7.0,e7a14a7227c5686117f234837ac159118f1eb8bc,k 
9.0,07799de43f6b4c59ffd9979114eacdc87e10c2e8,worgen ping 
13.0,8a2f171fecef9423d1edb9d61774b834eef22009,all you die 
14.0,bcbbaa42130a6ecdf4224d7dccab484d7f80a88e,the kidney stone joke in the title made me lol so hard 
18.0,47c72653bb0e8a51675418c2b76db9d324410b7a,squadw 
18.0,a21835dc475333835640c5fc6ec156f94d20f918,ez 
18.0,977e7999407f596365de8a29742e3e17165be548,saved pog 
19.0,5d8ea6eee14b237afc4752dccee31966d7a96d77,dead to frostbolt wtf 
20.0,09fe098c357953b169c8cfdb02aa2087905d058b,kripp1 stvogasm kripp2 
21.0,354014a82585e64f566547ae6bf067e00df8d3fe,followage 
22.0,5fdbf594713bfd75411af6922c89fa0c92fcd9be,ez 
22.0,d01f305e8db44936c61e1274b83f6f8ef814b9a0,left trade failfish 
22.0,690b666285c3266c57a9bd5c9334e01a76e78641,ez 
23.0,b6d82da3d17189f3b197b0db98aa249132f2c817,omegalul 
26.0,aea03ebb56002cd8e8fe6dd49589de24c21da666,oh pepega 
27.0,3413b7b32ce0210a224e767e4c05a584b55025f6,omegalul 
29.0,b6d82da3d17189f3b197b0db98aa249132f2c817,0 iq 
34.0,81783fcf10d9e7963cdf0e268e948b653e4936f3,dumb mage 
36.0,09f0971c02c93ea903d99a2158aa8ed8358fe806,smorc 
42.0,35a2defec08220f347319d93455c0aa9ea54f3e9,cmonbruh 
43.0,40b308ecbe64bdbd4af0ae8cf2b44a728022e3fc,ok that was a misplay lol 
43.0,d94ba5f5e6b4e81efbc245c029cd52de9210c25d,spawn tumour omegalul 
46.0,f3d2ee082394fa8b6b63b70d69f49743ceb42d97,smorc again 
46.0,ec426169dbf365f344cac27573f37ab3175eee49,pepega you wrong 
48.0,2d30dd33463ca699ccc4545e6e47639486b57d81,iskrippsexy 
50.0,a3dff53179c08c6e2754663b2acaa89a57a650a1,i might jack off 
53.0,a14e5587fc1f4d9f039697da10abba8deb455eaf,lulw 
55.0,f3d2ee082394fa8b6b63b70d69f49743ceb42d97,smorc :thumbs_down: 
55.0,1d443a87f65ee82fa5b2397412e99816910fd2ea,krippyawn 
55.0,cc1f5229d9b56596afc87fc6774563ec336037b3,sniped 
57.0,55c8df34376dcf0d9d7a7abd5e046b5cc6567fcb,squash 
57.0,12c6369384bc0a6390bc2c9325ccec7ceff7fa53,do it pussy 
61.0,7d21eaaecee657921697443da922b238894d0caa,lettuce 
61.0,3a40feeed749427e93c89841c85f7ca55f909089,you know nothing :) 
62.0,063ca5444259778fdbdefa713553e15a6064bab4,heal 
62.0,f579a1a811f95c8eab3a32b58d97871fa80fb94e,sniper clearly kapp 
64.0,3413b7b32ce0210a224e767e4c05a584b55025f6,full heal 
68.0,e61e5251310894d08732c109bf9614b7d2ebf8da,tturktier2 tturktier2 tturktier2 tturktier2 dansmug tturktier2 tturktier2 tturktier2 tturktier2 
70.0,cf7040df910a029a87a6bf7f37e564a835e6ecd3,ez 
73.0,a4f5341fcba9185307d64b369a560829fda3e55f,ez clap 
80.0,ff6c4f8ae151f7ecd654301ea520ce0696d44f8a,ez 
81.0,b6d82da3d17189f3b197b0db98aa249132f2c817,arcane explosion 
83.0,38c19e1ebc42cd581f1ea605f210200f4162df06,blizz or flamestrike blessrng 
84.0,cb110c26e1cace16fec3bee0ff173071a442087d,busted 
84.0,4bb7bdbf51a8930d84f904561d404a0e93ee0140,a3dff53179c08c6e2754663b2acaa89a57a650a1 might don't lie to yourself 
87.0,1d443a87f65ee82fa5b2397412e99816910fd2ea,:wind_chime: :sweat_droplets: krippyawn 
88.0,0f03e528c7ca0c2b3fc0de6b1b5bc598e76d5a45,blastwave 
89.0,9b46ce10ed64e2c417907908a5a6e4509405b673,weirdchamp :backhand_index_pointing_down: this guy gachis women 
89.0,b553c92b7643d2e751eefd71b6fccec0886da6c8,blast wave inc 
91.0,3413b7b32ce0210a224e767e4c05a584b55025f6,arcane blessrng 
92.0,09f0971c02c93ea903d99a2158aa8ed8358fe806,lul 
93.0,a6142965676c118dfab617095b53f49cb0e31a73,dragonfire scorcher blessrng 
94.0,62742687b7de7299ae3b26e2ffa46ab8430acda2,lul 
94.0,a21835dc475333835640c5fc6ec156f94d20f918,ez 
94.0,99a07a6051c9d4d1a2e27b61f671a7512012dc54,smorc 
96.0,977e7999407f596365de8a29742e3e17165be548,smorc 
96.0,51b6f56ec9ac95404a1597c6365d8e518683a483,pog 
97.0,b6d82da3d17189f3b197b0db98aa249132f2c817,pog 
97.0,79b00bf53630fec16f7505e3015d4b1bce5f66be,lul 
98.0,43abe5aa9d45bd8899c22452d333e9675c8453d1,amazin 
98.0,baad3e1bc79c8d3ad5da081960df0fa64f5d8cef,rekt 
98.0,2519489cca4b61b1cc0ba720240b1d46a7630390,w omegalul w 
98.0,6310a35267aed9d5f5cb2f0014bf7a8dd0ba1ba8,ez 
99.0,f86c1d826b49acd8db105f9f2a8fb911e06f5dd4,lul 
100.0,bc8ced0e1b3a0045ad27056b36d68e83bf672586,lol 
100.0,12c6369384bc0a6390bc2c9325ccec7ceff7fa53,deathwing 
100.0,3413b7b32ce0210a224e767e4c05a584b55025f6,ez 
100.0,d6cb22ec547507b0545c17f14ebb322415635f5c,lulw 
101.0,f3d2ee082394fa8b6b63b70d69f49743ceb42d97,smorc not bad 
101.0,c00899f6dba0f4cd04923e66aa8145330686b094,super unlikely 
101.0,71ec6fe9aa4d28670f3dc5e5b13c11b15e9fbf07,ez clap 
101.0,b553c92b7643d2e751eefd71b6fccec0886da6c8,lul 
102.0,6c69da5645edf3bf45e14c7d7bf3588af22750d8,lul 
103.0,f355162205953997c4befa9e38df5b9748e96f56,ffffffffff 
104.0,1cb6f5e784b9215478cd9765d4f3a3858a3c58fc,lettuce 
105.0,1d443a87f65ee82fa5b2397412e99816910fd2ea,woman gachibass 
106.0,57c7b3ee503e2936d031fb86b4e0c28646d7945f,i woulda lost 6 units there 
106.0,07799de43f6b4c59ffd9979114eacdc87e10c2e8,face is da place 
107.0,2f188be24e7032af5f69ce361dc1ee8438b4e693,それはゲイ 
108.0,2d30dd33463ca699ccc4545e6e47639486b57d81,krippo 
108.0,d2f11a81420701cc6e3a316c6319466f4b8a9951,our salt who art in hearthstone hallowed be thy game your kripparian comes your aggro decks be done on constructed as it is in arena give us today our daily meme deck and forgive us our rng bullshit as we also have forgiven others rng bullshit and lead us not into smorc but deliver us from the evil aggro decks amen 
113.0,63616f5930d91511294c4e32d7c70d369863cb09,lol kripp with the mind games telling him to trade 
114.0,79fd9bb29dbd7fc2da711951ce15edb539a25e6a,seemsgood 
114.0,300c32d5fb009404d47a66d5dd44f860f9ad7daa,gachibass gachi at women gachibass 
116.0,59641f03005566e4e7fb754e1519752795212a4b,lettuce 
117.0,a129b42d7bcdd62715b0492f0ab9f49bd927b698,d2f11a81420701cc6e3a316c6319466f4b8a9951 hi 
118.0,2d30dd33463ca699ccc4545e6e47639486b57d81,iskrippsexy 
