Time,User,Message
0.0,7d80701f8e6db8eef3d0fd80f7006e30fb487818,d1e56a7edaf3b988996824d27e247b1ff5d1533f nah not training like real training - just messing around get a feeling for the guns - ne drop system aso 
3.0,965ca7c0ca02da2a77c94a9448210ef63fa22a2f,i mean yeah you have the advantage there it's like using a wall hack and losing the guy you can see thru the walls 
35.0,7d80701f8e6db8eef3d0fd80f7006e30fb487818,98e416ec0060bc5bd4d252fb027f5d15984e9f41 sure im gonna win im getting you first ;p 
44.0,ddecb70f73ad5156393862469bac1a0a88c0f4d0,bonjwaherz bonjwaherz bonjwaherz 
46.0,e7462fcb089c5702522affd24f210dcd0c8eb391,hi 
50.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,i dont play 7d80701f8e6db8eef3d0fd80f7006e30fb487818 ^^ 
51.0,62203137661138f3cae289c2239ff59e77bdf1fd,98e416ec0060bc5bd4d252fb027f5d15984e9f41 if those plebs just knew that there is an unkillable mod in every round who wins kappa 
53.0,fe6b06cab3be41eaaeb65eb26b7b468905486d10,pogchamp 
58.0,de91e49b1b1d17226ea13b0a067f52dded1dcc38,pogchamp pogchamp pogchamp 
58.0,f874bf98ab6126840d2b21800394857266fbcd40,d1e56a7edaf3b988996824d27e247b1ff5d1533f has there been any change to the lightweight grip been using it after your recommendation and been loving it for spraying so far 
64.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,kappa 
74.0,d4a017c980187d6925f53f7f1084f45c388dc824,hey d1e56a7edaf3b988996824d27e247b1ff5d1533f 
82.0,f3f9d2b33b2973f8a48b2f3662768cff675ea3ac,are u good in this game 
82.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,is that sacriel's skinns you wear there d1e56a7edaf3b988996824d27e247b1ff5d1533f 
93.0,f3f9d2b33b2973f8a48b2f3662768cff675ea3ac,i think u are trash 
109.0,387a09d5fe3e5eca7995ad75fdd902c52ce318f4,spilenz cmonbruh 
116.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,dansgame 
117.0,62203137661138f3cae289c2239ff59e77bdf1fd,f3f9d2b33b2973f8a48b2f3662768cff675ea3ac lostaimraus 
117.0,a53b6fe716d990d1f5bb56c12c9a20e5af3fe75b,yes it is 98e416ec0060bc5bd4d252fb027f5d15984e9f41 
126.0,e175a31052749067d09ba43c5fbf7399952430ba,do u like tpp d1e56a7edaf3b988996824d27e247b1ff5d1533f 
131.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,pp 
152.0,ad85c9b789e223aba13e36d4b5c1ec73e57102a0,wassap 
153.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,i want them also so badly grey is just so nice they look so nice on the site too 
189.0,a53b6fe716d990d1f5bb56c12c9a20e5af3fe75b,i like the 3 mod bullying one idiot :d 98e416ec0060bc5bd4d252fb027f5d15984e9f41 387a09d5fe3e5eca7995ad75fdd902c52ce318f4 & 62203137661138f3cae289c2239ff59e77bdf1fd pownyml 
195.0,c3608969db1fe2762eef89bf6fdb813a78ad8da4,why he was banned 
215.0,f6f50a55a503fe734b5a38456c3baaa60e82a3fc,checkpad 
216.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,because he cant behave himself c3608969db1fe2762eef89bf6fdb813a78ad8da4 
219.0,e6f2c3a1078298eb9a65f3929e4cc7a658a9c8d8,what are those yellow lines on the top of the screen 
229.0,4b3c87e89f978b2868b155a708f6ef8315f75f40,lul 
245.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,quick mark feature e6f2c3a1078298eb9a65f3929e4cc7a658a9c8d8 
255.0,62203137661138f3cae289c2239ff59e77bdf1fd,a53b6fe716d990d1f5bb56c12c9a20e5af3fe75b nah that's not bullying that would be timing him out for 5-10 mins wait for him to come back to time him out again elegiggle 
256.0,c3608969db1fe2762eef89bf6fdb813a78ad8da4,got it 
257.0,e6f2c3a1078298eb9a65f3929e4cc7a658a9c8d8,98e416ec0060bc5bd4d252fb027f5d15984e9f41 ty 
278.0,dda19d64d960d427897feca9753b638dca94385f,giveawa 
281.0,219d6a1f08182f39ce30936788c7c58952a9523d,tournament 
283.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,social experiments pownycreep 
285.0,733b9c82cb3c75a235dd9aa9b8d130301ef53968,and fire rate doubled 
300.0,62203137661138f3cae289c2239ff59e77bdf1fd,yes social experiments pownycreep pownysci 
350.0,d4ee598744c50bd64bf34e3bd145447b0c3334d1,action cuddles cschaos91 and xbamb00ster pownyhug 
361.0,62203137661138f3cae289c2239ff59e77bdf1fd,action cuddles smagjus pownyhug pownyl 
372.0,bef99586edc611d0fc00cda2a4559df2d3751c8e,doctoryaya doctoryaya doctoryaya doctoryaya doctoryaya doctoryaya 
374.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,action cuddles smagjus pownyhug 
410.0,ddecb70f73ad5156393862469bac1a0a88c0f4d0,and i play on ps4 notlikethis 
424.0,44834750d21e7e6d43512e534b0276362c0b8676,moin moin daddyhof :) 
476.0,733b9c82cb3c75a235dd9aa9b8d130301ef53968,and how butthurt does the console players get when facing pc players :o 
503.0,531828193dcc51d93e1d2e7ae7a900b6b010fca9,but isnt crossplatform kinda stupid cause of the fps difference or is it for everyone the same low fps then 
505.0,4414090567b7e6bdf1a6e2271334e9bb99c9e8b9,they dont because it doesnt happen ahahhaa 
507.0,733b9c82cb3c75a235dd9aa9b8d130301ef53968,then i would cry for a week straight 
543.0,4414090567b7e6bdf1a6e2271334e9bb99c9e8b9,a mouse to rule them all 
580.0,4414090567b7e6bdf1a6e2271334e9bb99c9e8b9,i think consoles should just switch over to keyboard mouse for people who want to 
589.0,e57074f239c914edda3c8552f8a40213111d758f,this tourney will be lots of fun i hope this becomes a regular thing 
592.0,875067b1c30ae78c16c54714c881fe7304a88153,hey p4wny hope the fam is doing well 
594.0,94434a557c8dacb6eaaa5700710dc1a3cd81589b,slay the spire isn't on switch :( :/ 
608.0,718de83518cca9d11f6c8b82d742fa2850203043,chinnjchinnjlove 
646.0,bb3253c21eab63c6bda661e84896cacf845c788e,especially for online games it shouldnt matter what device endgerät the user utilizes 
646.0,e57074f239c914edda3c8552f8a40213111d758f,sweet can't wait to show how to truly potato one's shots lol 
664.0,d84b138e0d26092c89ffffb3bcbab14210cc32c7,now he just smokes at the computer 
681.0,72351f14681158ebfdcfafa9c3e1cf7944956a5d,hello everyone :d 
684.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,tournament 
687.0,ddecb70f73ad5156393862469bac1a0a88c0f4d0,i play my hole life on consoles and so i have a better aim with pad 
718.0,107e2dfdba92e20292d496ce272ebabe0c211edb,gg 
726.0,d4ee598744c50bd64bf34e3bd145447b0c3334d1,those two kills were anticlimatic 
727.0,d84b138e0d26092c89ffffb3bcbab14210cc32c7,aim isn't everything d1e56a7edaf3b988996824d27e247b1ff5d1533f 
727.0,72351f14681158ebfdcfafa9c3e1cf7944956a5d,that poor guy was on panic feelsbadman 
762.0,bfa589a7385889cc9ae5d4a38cbfb2590b6fd1ad,ein bisschen p4wny am morgen vertreibt kummer und sorgen d1e56a7edaf3b988996824d27e247b1ff5d1533f 
782.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,pownylul pownylul pownylul 
784.0,ddecb70f73ad5156393862469bac1a0a88c0f4d0,bfa589a7385889cc9ae5d4a38cbfb2590b6fd1ad genau :) 
785.0,9375b0a36a61436d733e91a51802d3ae34cc826f,how can u get so many blood on hit 
797.0,531828193dcc51d93e1d2e7ae7a900b6b010fca9,having 1 chile every 1 1/2 y and u never need to work again lul 
819.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,brb 
832.0,9502a595cb4d9e8c8ee555a560e572113958509f,tournament 
855.0,8eef20d150cb220faa5f82341dee4ae3934c4bf1,u got more cash in norway i think 
861.0,97fca9a6f17f7f404962866a65d57faa6852195f,ella 
867.0,ff5416fa0951e458ded2cc6a4c0f0d335c848984,germans need to work 
868.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,we got 620 euro every 3 months here in holland d1e56a7edaf3b988996824d27e247b1ff5d1533f :p 
879.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,thats why everyone drives big cars lul 
896.0,bfa589a7385889cc9ae5d4a38cbfb2590b6fd1ad,d1e56a7edaf3b988996824d27e247b1ff5d1533f when do u update ur actual pc specs 
899.0,7ca05ee02167c7663afbe2948276c14c8a98699c,if it's worth doing it's worth overdoing 
918.0,98e416ec0060bc5bd4d252fb027f5d15984e9f41,yeah and if you get more childeren the money will drive up crazy 
925.0,12b5fdc94367ef74a2aa19f6e58dfcf015d4e529,smacebulgeman smacebulgeman smacebulgeman smacebulgeman 
934.0,063042b4f4917ed9b89e5eac2b0b238c6e68248c,how much can you dead lift 
938.0,107e2dfdba92e20292d496ce272ebabe0c211edb,98e416ec0060bc5bd4d252fb027f5d15984e9f41 i come to holland :d 
939.0,d8d4a20fd8446a82805fee0f2553d71921214231,i find what lul 
941.0,330d2e54b52e93a8aa83dc3fa55f0a7504a3a398,in germany you get monthly 204 euro for your first and second child for the third 210 and the fourth 235 :d 
