Time,User,Message
0.0,cdb3f35e778653b902008be2e8840056796670fb,respect 
0.0,f7377277ef161ffffff42430fdbe1d5ff9ebb872,who is faster 
1.0,7c188ab475d5646a91e4b55c77f37a13690cf080,just eat in ur room 
2.0,aeaa9a75f333d3d2bc4980e5ddc0e8eea431392c,imagine fastin at edc holy moly 
2.0,9daf532d9ab9528b9e47b5a7b363f6aaced233f1,d401a61130aecc9ccfff46509c578ee56591576e taco spot in sd is heat when ur here for twitchcon 
3.0,72b21e547e397f75bb3ab0aa669e832225905196,are u muslim 
4.0,fc1944e411d89425e128585f6e7a578ee0a8c4d1,d401a61130aecc9ccfff46509c578ee56591576e how tall are you dawg 
4.0,c549253830962067c132cee304b6191efc79fb5e,respect 
5.0,abdf237dde1d376ba5de0bc4fbfddd6d6c16c50c,is your tong white 
5.0,a490350825aaedbe29151cce21880b8d0add26a2,078baeba296f393178cd6a887c6a7d3c557e52b4 when u dont eat 
5.0,f09f6e949e8488cfc503553ebf99f5d4155698f8,its braum lul 
6.0,9d41987ed491482872562c997b20ed3d56a95093,d401a61130aecc9ccfff46509c578ee56591576e do u think akali deserves the nerfs in pbe 
6.0,062e87f39e48b5989c328497639cadf4c11d43a1,lol 
7.0,a08e3c15cc84e653c3f27b1d02d6b87302bdbf5a,<3 
7.0,302a1d6f2e5838dcd03de7d5d554fce23fa58091,e anayın amına koyam aatrox ne yav süleleni sikem yav 
7.0,bb69652e4d08df14d3fb56f485122045c7820086,<3 
7.0,f09f6e949e8488cfc503553ebf99f5d4155698f8,its braum lul 
7.0,b1d3c6e45d2592a0909e3e70128331eaade198fd,wow mad respect for you moe 
7.0,0662c3214eff1c25a60f3fb4898905f38f8e6c9b,shout me out big nose d401a61130aecc9ccfff46509c578ee56591576e 
8.0,d6380a8fb871c2fc0632fcb331c82cd74aadafc7,respect 
9.0,7286e689a82f6151c06bc338ae76bf789a7b1982,d401a61130aecc9ccfff46509c578ee56591576e are you virgin 
10.0,b21f925f2d1ecc36f1a214b5a6b520f0caaf48a2,d401a61130aecc9ccfff46509c578ee56591576e check twitter replies 
10.0,baa4c2ae266a8a220d5ab347d91261e1e37ec725,good boy moe 
11.0,df61e5d2b7e306456f1066e513d8976cc87fb635,<3 
