Time,User,Message
0.0,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad,loora ok im sorry fudgweee 
1.0,327f4333f2c3aef6181907c91297576f97c81d43,rose morfangry 
5.0,b2fb51c64d6a3bf4c9417972a1ba5c8c3e6241bd,misssarah hugers 
5.0,327f4333f2c3aef6181907c91297576f97c81d43,lul 
6.0,23daca01e2262322fc9ef0054265359278ec0b5b,crayon morfangry 
11.0,b2fb51c64d6a3bf4c9417972a1ba5c8c3e6241bd,ahhh the one we played 
13.0,73a4e26652bad04f577ff59dbba8720370217394,why are we yelling wutface 
15.0,327f4333f2c3aef6181907c91297576f97c81d43,me fudgw 
18.0,23daca01e2262322fc9ef0054265359278ec0b5b,retro rockets fudgsrsly 
25.0,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad,hai dreklo fudgaww fudg3 
27.0,327f4333f2c3aef6181907c91297576f97c81d43,phoenix morfangry 
33.0,327f4333f2c3aef6181907c91297576f97c81d43,dreekkk where 
46.0,23daca01e2262322fc9ef0054265359278ec0b5b,can confirm 
54.0,327f4333f2c3aef6181907c91297576f97c81d43,fudgfeels 
65.0,2153768bcf9012d3e123646a7bec2f5d36a2f156,yeah it's sad 
65.0,327f4333f2c3aef6181907c91297576f97c81d43,oof 
66.0,2248f9767a9ddc8e95147d81e197ea6ca7c122fc,omegalul 
72.0,94b37ff9e2e8249edbf6f98519aa749122fdc8f9,one of the indie team i know makes disco elysium it comes out in october 15 on steam 
73.0,9326029c8c458c94ef44e61f0adc8630ff2cea36,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad 327f4333f2c3aef6181907c91297576f97c81d43 fudglove fudgpoyfect fudghi 
81.0,911655429e534dffa3bc90228c8f59a0aaacb349,tfuhi 
85.0,327f4333f2c3aef6181907c91297576f97c81d43,how can you have -1 followers d: 
90.0,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad,heya kodijagger fudghi 
93.0,327f4333f2c3aef6181907c91297576f97c81d43,is that possible d: 
93.0,b2fb51c64d6a3bf4c9417972a1ba5c8c3e6241bd,dreklo fudglove 
94.0,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad,crayon morfo 
97.0,327f4333f2c3aef6181907c91297576f97c81d43,fudgpoyfect 
98.0,327f4333f2c3aef6181907c91297576f97c81d43,goteem 
105.0,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad,sweet burn poggies 
110.0,327f4333f2c3aef6181907c91297576f97c81d43,fudgdog 
115.0,2153768bcf9012d3e123646a7bec2f5d36a2f156,it's still a lot of effort i mean most people are indie developers and we are used to the great graphics people want it to be up for free etc 
130.0,8469817cb669643ebe0575a790319d7cce45843c,327f4333f2c3aef6181907c91297576f97c81d43 0 followers you can follow your self fudgw 
130.0,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad,depressing af 
136.0,2153768bcf9012d3e123646a7bec2f5d36a2f156,yeah that's awful 
138.0,a9c7cf46d23b49ad36153fdaea2b33e3b582b127,better to start small and build off a tiny successes 
148.0,029a7277121809f265462902f3ed3155352e274c,fudghi fudghi 
149.0,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad,heya vegetarianzombee fudg3 
158.0,911655429e534dffa3bc90228c8f59a0aaacb349,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad tfug 
164.0,9326029c8c458c94ef44e61f0adc8630ff2cea36,d50d0263e8169f4239fd3e30bdcb63e43292faf9 i'm still learning that 
165.0,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad,killacacti oh shit waddap kittygogo fudgsociety fudgglitch fudgaww fudglove fudg3 fudgpeek fudgpat 
168.0,a9c7cf46d23b49ad36153fdaea2b33e3b582b127,hi 958c95fd6c94031e671da2b4b33c4bc8fdaf61ad 
172.0,b2fb51c64d6a3bf4c9417972a1ba5c8c3e6241bd,killacacti fudglove fudglove 
177.0,327f4333f2c3aef6181907c91297576f97c81d43,ive come to feel comfortable with not relying on the acceptance from others of my art to validate my art 
182.0,029a7277121809f265462902f3ed3155352e274c,958c95fd6c94031e671da2b4b33c4bc8fdaf61ad ubcsmash bigham fudglove tallersus talleryay 
187.0,327f4333f2c3aef6181907c91297576f97c81d43,omegalul 
189.0,2153768bcf9012d3e123646a7bec2f5d36a2f156,yeah but thing is you need that expectation to keep your energy up for such a long time 
189.0,23daca01e2262322fc9ef0054265359278ec0b5b,heya killacacti 
191.0,a26cf444e860789e0aedf4bcb357974224ece8d4,iatethecrayon geefpoint geefchicken 
196.0,2153768bcf9012d3e123646a7bec2f5d36a2f156,you wouldn't do it if you wouldn't believe in it 
199.0,327f4333f2c3aef6181907c91297576f97c81d43,8469817cb669643ebe0575a790319d7cce45843c lul 
206.0,327f4333f2c3aef6181907c91297576f97c81d43,crash fudgw <3 
