Time,User,Message
0.0,5bacba076fc528ea3e21515d19e1743cce2e2c27,100t apparel is fire 
4.0,864d63d5df3fa8ef29b33cad1f925fbb230df700,love watching you run the og routes in snd 
7.0,205b79b7bf66988ba0fa240667383d639693680e,79264570aacb77fcd10c3cbbd032c5f1e20b77f9 arbok and ekans backwards are kobra and snake blew my mind as a kid 
20.0,8a4de55740b21cef2080e5dbb614116d48c7dcaa,gangup gangup gangup 
28.0,1e5e163d4e516c4d13dadaa0c7f7431af517640a,this is the most fun stream to be apart of 
33.0,5bacba076fc528ea3e21515d19e1743cce2e2c27,the stream is popping lately you guys are grinding 
34.0,657501b28de7eecd0a0c30bf7ca1b35501bba2a5,off 
39.0,f202f1b62d4bf22b933f95dd2087720011e6304a,gotta go for the ninja 
41.0,1e5e163d4e516c4d13dadaa0c7f7431af517640a,my guys 
41.0,c1ff3b84bf9c8d99d2f7f491b763bf64602100b1,match 
42.0,e6b7375ec9f6164066717c94e05b835d000ceb0c,205b79b7bf66988ba0fa240667383d639693680e damn i never noticed that 
42.0,be54167d861eadca9f66ab0d0629440789b6da3a,shouldve flanked all the way around 
49.0,633703c0010acf7d927752ac6d1dc73d78d10078,what game blake 
58.0,41ef247b1b6df0de1be5247ad8328a8f94fdca54,damn did i just join into the sexiest stream on twitch 
58.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww new sub bingomg xewc with the $4 99 ◕‿◕ welcome to the gang draconhappy draconlove draconhappy 
61.0,9af95dadf8cc8ef6a0a30fac2f7c24204d94e0fd,qotd 
61.0,864d63d5df3fa8ef29b33cad1f925fbb230df700,i might have to end my 14 month courage sub for the tst boys ngl 
72.0,282b15481f1b8188df9f8c85c423d1bf46fb1ae4,team summertime 
74.0,633703c0010acf7d927752ac6d1dc73d78d10078,i freaking love soul silver 
82.0,487296eb0cabf17ffce2a0aefb916f262b6eb5a5,emerald is goat 
83.0,bc21d56203f554ac0885bc6924ed7dd28a87719d,when is tstcon 
84.0,282b15481f1b8188df9f8c85c423d1bf46fb1ae4,gangcash gangcash gangcash gangcash gangcash gangcash 
