Time,User,Message
0.0,36977260e48f79080c010b835011b373252197d7,it works for talents 
1.0,c049d60bb5837b7b6cd75499a18bc8f94c893dc4,you need to do a return after the #show d69b0c2ca1860a9d5b790ad4077b67aecc031a0d 
5.0,36977260e48f79080c010b835011b373252197d7,for pvp talents they don't work 
12.0,2e4fea28ee5a5d1d6d4b4e9f94c73d345b78e3ff,oh word 
25.0,2e4fea28ee5a5d1d6d4b4e9f94c73d345b78e3ff,yeah i was trying to demon/nether armor on my lock and spent about 4 hours beating my head against the wall 
29.0,2e4fea28ee5a5d1d6d4b4e9f94c73d345b78e3ff,before realizing its broke 
43.0,36977260e48f79080c010b835011b373252197d7,no more tiers in pvp they've yet to update the pvp talent listing 
62.0,e72910e596f71040955036a86578306092988ada,anyone have a clue on classic wow beta dates 
68.0,2e4fea28ee5a5d1d6d4b4e9f94c73d345b78e3ff,all they would need to add is the prefix [pvptalent: #/#] 
76.0,c049d60bb5837b7b6cd75499a18bc8f94c893dc4,e72910e596f71040955036a86578306092988ada soon kappa 
84.0,36977260e48f79080c010b835011b373252197d7,as in [pvptalent:n] where n would be the number of the pvp talent in the list from top to bottom 
90.0,e72910e596f71040955036a86578306092988ada,c049d60bb5837b7b6cd75499a18bc8f94c893dc4 sigh biblethump 
117.0,5bd5dd73a36da7ee96893ed5693a8b7b3e7870dd,wait what arc mage and arms warr lol u cant lose this xd 
155.0,7915a5d1a70be15bde6354023421385f3b8a426f,arc mage is good dont underestimate it 
156.0,2e4fea28ee5a5d1d6d4b4e9f94c73d345b78e3ff,itd be [pvptalent:x/y] where x is the position top to bottom and y is the talent in the talent list right 
167.0,5bd5dd73a36da7ee96893ed5693a8b7b3e7870dd,7915a5d1a70be15bde6354023421385f3b8a426f it is but not with an arms warrior 
203.0,5bd5dd73a36da7ee96893ed5693a8b7b3e7870dd,2e4fea28ee5a5d1d6d4b4e9f94c73d345b78e3ff what u saying xd 
238.0,5bd5dd73a36da7ee96893ed5693a8b7b3e7870dd,imagine losing form a arms warrior xd 
244.0,13d4933b9e3b60dab504924886fafdf728c5ea2f,guys what addon does he use to show the effects in the portrait wnidow 
287.0,c049d60bb5837b7b6cd75499a18bc8f94c893dc4,you need to hit return after the #show in the macro d69b0c2ca1860a9d5b790ad4077b67aecc031a0d 
293.0,5bd5dd73a36da7ee96893ed5693a8b7b3e7870dd,lul lul lul lul lul lul lul lul lul lul 
294.0,7915a5d1a70be15bde6354023421385f3b8a426f,big debuffs i think could also just be a defualt setting 
301.0,47f7cffc71a0002ac670885b52153be5f73dd2d1,could you of casted heals on mage at the end 
306.0,28770324f1abb23bc58396fd8bbc4284206970ef,better play lock 
308.0,656bf556dfed91922c16d6b2521c91242e5c69c9,full mooon 
342.0,7915a5d1a70be15bde6354023421385f3b8a426f,i love the full moon talent tbh 
354.0,7915a5d1a70be15bde6354023421385f3b8a426f,shit looks sick n does good dam 
358.0,47f7cffc71a0002ac670885b52153be5f73dd2d1,full moon does like no dmg 
369.0,47f7cffc71a0002ac670885b52153be5f73dd2d1,atleast not like it did last xpac 
373.0,7a66b76340fc4c9dc1fd978d2793ee86a4b07cf5,yeah not good 
376.0,375a6059c0240a39d61eb0e4f784ec34c2558cf0,its less dmg overall but burst potential 
390.0,ead08a237f9f8953039dec79b07d37e55f674ff2,full moon his like a truck and you get a free starsurge in afterwards 
392.0,7a66b76340fc4c9dc1fd978d2793ee86a4b07cf5,warrior of elune is honestly better if you want burst 
394.0,01eab0e420a7282eccb437ef87f37ab8ce9306de,please go warlock 
398.0,ead08a237f9f8953039dec79b07d37e55f674ff2,its insane burst if theyre training mage like that last game 
410.0,c049d60bb5837b7b6cd75499a18bc8f94c893dc4,yes it does d69b0c2ca1860a9d5b790ad4077b67aecc031a0d 
417.0,c049d60bb5837b7b6cd75499a18bc8f94c893dc4,try it 
423.0,455d76957eac943d40098d2b42987e6d008e8509,full moon does slap it also has the intimidation factor where it will eat kicks and you can still clone or vise verse 
