Time,User,Message
0.0,80fdcd462757a2d00ca66a2c4a6f6b56f2a3082d,a6f0a753e66128b2216f2d5503cf0b1ee4702657 jorah mormont is dead since 2 episodes :o 
2.0,ead08a237f9f8953039dec79b07d37e55f674ff2,oof no moonfire 123 macro 
13.0,a6f0a753e66128b2216f2d5503cf0b1ee4702657,80fdcd462757a2d00ca66a2c4a6f6b56f2a3082d i'm trolling you bruh 
85.0,a6f0a753e66128b2216f2d5503cf0b1ee4702657,gamble all 
98.0,ea789ab93e4819427959beb79337a5433b8c0565,i don't wait for anyone 
101.0,ea789ab93e4819427959beb79337a5433b8c0565,gets kill 
116.0,1330ea4bcc26f5948b62fc6c36836191d45c5302,did ppl already get beta access d69b0c2ca1860a9d5b790ad4077b67aecc031a0d 
294.0,7cc91939bd1b3f31e03635354eb5b6ab7dea18ec,heyguys 
301.0,7cc91939bd1b3f31e03635354eb5b6ab7dea18ec,would be wizard with you as lock kreygasm 
352.0,809f516c42c5e7494490bbf10936cf9a3da76dfc,d69b0c2ca1860a9d5b790ad4077b67aecc031a0d how u doing bro is 1800 cr good in 2s for a rogue that just started learning the class and playing arena srsly for bout 3-4 weeks 
380.0,047c994f52aa92d8a35a9bc194c988833914b951,what spec are you 
428.0,809f516c42c5e7494490bbf10936cf9a3da76dfc,assas lmao sub just got decent within the last week nad didnt wanna give up learning assas when i already started 
490.0,ea789ab93e4819427959beb79337a5433b8c0565,is dreamblink streaming 
509.0,047c994f52aa92d8a35a9bc194c988833914b951,nice to see some non fotm specs in arena 
523.0,047c994f52aa92d8a35a9bc194c988833914b951,cant remember the last time i saw a balance druid 
578.0,8e0c8a929a46899f66ed78a76f09f995f4c28210,theyre in arena pretty often 
798.0,8c3b4b8be72f73ff4afa77761f78723179a7a525,hey 
884.0,7cc91939bd1b3f31e03635354eb5b6ab7dea18ec,is gyazo excluded from bot 
895.0,833c06ff260079208c07316fcdd6ab7f0fde1ffa,nice fight 
904.0,7cc91939bd1b3f31e03635354eb5b6ab7dea18ec,sadness 
910.0,34064fcea100166b9e4ae6877b362cff68a8a048,d69b0c2ca1860a9d5b790ad4077b67aecc031a0d what do you think is stronger in 2s: ele destro sub rouge or warr 
