Time,User,Message
0.0,a5e9f13fa2903d4096b1314bbb126a52f3a2bce8,hswp 
0.0,315ccf5ab7949f9fe4ffafce97f464d477fe62a1,st1mpebeautiful st1mpegun 
6.0,d6c8f74701a3cf0f76a151df63ddc33f5da91379,pogchamp 
10.0,349f4013401e9138261dd536547efd4dade54fe9,stop analyzing so much it's only latam it's not like they're winning anything lul lul 
11.0,c2173c5c71faccccbfab769fc2030712ca5a877b,r6 actually named a jewish girl ash 
12.0,dbf166501a008eb40eebcf20e94d7f00d25af31e,lol 
15.0,703ac04beeeef7565c8e4c8afbcc7e4be7207ff3,-_- 
20.0,c4c79d05a466d8435f8b302e56f693f7e1471205,que balinha 
26.0,9c420c209787d1c9b87bab2995b11ad7ed0674a0,#letthemplay 
30.0,78557a1ef734901e38836682e17a48467764e007,lets play siege and win pl bro d6c8f74701a3cf0f76a151df63ddc33f5da91379 
34.0,9c420c209787d1c9b87bab2995b11ad7ed0674a0,#letthemplayy 
34.0,124a87640ea011fc4705c8cf7b1d55a6d24c9d26,lurk 
35.0,315ccf5ab7949f9fe4ffafce97f464d477fe62a1,c2173c5c71faccccbfab769fc2030712ca5a877b she's jewish 
37.0,b5b7455eff911b33c07a40daa2876a15f0bd4598,349f4013401e9138261dd536547efd4dade54fe9 latam is actually strong lol 
38.0,d6c8f74701a3cf0f76a151df63ddc33f5da91379,yea vro 
38.0,9c420c209787d1c9b87bab2995b11ad7ed0674a0,#letthemplay 
39.0,8d09c531cf0bf1dedd63fa8847a9c0d558031b6b,mibr lul 
39.0,a80bcd768351c73320151a734ea664a8a44190d7,c2173c5c71faccccbfab769fc2030712ca5a877b tangyweird 
40.0,1fb4170f3da8ee7bc848081c0057f3033e1e2268,الو alo katieo1luxyayaya 
46.0,0e1a81c6e75f3065767507687d4ea39b3e0fdccd,~_~ 
48.0,5fab262b1ab0a0e428f0f2d0bdcd82adfb34be5e,punoko 
49.0,a5e9f13fa2903d4096b1314bbb126a52f3a2bce8,d6c8f74701a3cf0f76a151df63ddc33f5da91379 only plays casual 
52.0,321326b9f2794cf164ced6d45a4be6b7f676faf2,residentsleeper 
54.0,30afd35bee960f4686efffce80dcbe529a502a19,i got an iq and amaru lmg skin from my unranked alpha pack 
54.0,a5e9f13fa2903d4096b1314bbb126a52f3a2bce8,:beaming_face_with_smiling_eyes: :beaming_face_with_smiling_eyes: :beaming_face_with_smiling_eyes: :smiling_face_with_sunglasses: :smiling_face_with_sunglasses: 
55.0,30afd35bee960f4686efffce80dcbe529a502a19,it sucks 
60.0,349f4013401e9138261dd536547efd4dade54fe9,b5b7455eff911b33c07a40daa2876a15f0bd4598 yea strong lul 
63.0,033e06568b2ad311585e02fca075159de41a3f4c,ez4ence 
64.0,703ac04beeeef7565c8e4c8afbcc7e4be7207ff3,notlikethis 
66.0,d6c8f74701a3cf0f76a151df63ddc33f5da91379,315ccf5ab7949f9fe4ffafce97f464d477fe62a1 nop she's israeli tho 
66.0,4fd072181b9065d73b128ef82441139c357e87a2,who's the cute blonde ayaya 
67.0,9c420c209787d1c9b87bab2995b11ad7ed0674a0,#letthemplayy 
71.0,c2173c5c71faccccbfab769fc2030712ca5a877b,315ccf5ab7949f9fe4ffafce97f464d477fe62a1 yeah i found it ironic kinda 
71.0,9c420c209787d1c9b87bab2995b11ad7ed0674a0,#letthemplay 
72.0,0e1a81c6e75f3065767507687d4ea39b3e0fdccd,lul biblethump 
73.0,f9bfb5034333d56ff7d741c42d20905ff4820fd5,sha77ewut 
74.0,5fab262b1ab0a0e428f0f2d0bdcd82adfb34be5e,residentsleeper 
84.0,a5e9f13fa2903d4096b1314bbb126a52f3a2bce8,#smartfridge 
85.0,5fab262b1ab0a0e428f0f2d0bdcd82adfb34be5e,ralpherz 
86.0,e04a0e9f2cd7e1ef59e11b00fc27b1e62c9b22dc,pogchamp 
90.0,44ac3231743d76c2f434f98b005ad89871892e14,does milosh even get any sleep 
