Time,User,Message
0.0,0611b03b5324cab4e66e387be9039d6e107a6244,yeah 
5.0,4f7d70d982a6d5c8e1e5e1c2c38de6d87fb286a7,the numbers mason what do they mean 
5.0,20c59de680659d3114a1f322bba1cc0c4f5f573c,blue numbers are nonspawnable blocks 
15.0,7fa0ed22f401e1b660eb9e9c2b05377c6d9e0e50,we got this feelsgoodman 
16.0,3d4fa9f12e33c6e1f2e3daba679a529bd6e7b4cc,w-where did the epic go 
19.0,50e1d38b4c3befaeb2ce2f302e15f5c06ec5ab27,where are they monkas 
19.0,b1152c6fc792a08675baf077960a518dd938f858,2h characters can totally carry shields though it just reduces attack speed 
21.0,afc2af4edcb4f451f5112a969299c029768cafb5,horse armor pog 
24.0,4ab681076d518c1bd44fde81f556b5c6e01d124c,woulda thought that someone who's played minecraft for years would remember that torches esit :thinking_emoji: 
26.0,7c53c3f3cd19da4a6939eb43aeaea4915b2b5a0d,ca2996b5e8f018bbedff18b49195c57549aa8235 yeah probably sigh 
30.0,a2396ed04279d312823b249eb2f1ffb57c0d7f63,ohh okay thank you sparrow 
30.0,0f19507d530d4fe8cb1df6885a8f4ff02c8932a8,guess theyre on holiday monkas 
41.0,50e1d38b4c3befaeb2ce2f302e15f5c06ec5ab27,nope this way 
44.0,587e4ff96ec6e4d20a39d25da9bbaa1c7826af8b,monkas 
45.0,3d4fa9f12e33c6e1f2e3daba679a529bd6e7b4cc,cave system broke it up 
46.0,eab99761a8899f47006e8e6f538f53b0b90c5166,can anyone tell me what this resource pack is called :) 
46.0,4000c1a5ae2fa949f5624cc924e0b8d3a551328b,fuckin get torches 
46.0,2b69e644ec99d722fd9f642a1f99ad59353df7da,i can't see shit lul 
49.0,20c59de680659d3114a1f322bba1cc0c4f5f573c,boon25salute a2396ed04279d312823b249eb2f1ffb57c0d7f63 
49.0,ee860cf59f8d3b96ddff503d229e915b4cdd8a34,they dug too deep 
58.0,7fa0ed22f401e1b660eb9e9c2b05377c6d9e0e50,someone placed a bookshelf here for chillin feelsgoodman 
61.0,49ad0f4464bac613845ff783a709f7488fde5c00,too greedily 
66.0,e72bd5de0013c436f9e320b23c8ea0023f7fded4,вы педики 
67.0,c8bb1f4e7f9ad3539b3732d61988079b2f1853d6,say shouldn't there be grues showing up in zero light 
68.0,2d93cb627eb6e8e2f90ad97b8246f1e8ba12f4dd,i have no memory of this place 
68.0,5d53d0b38507b5f1615b078fcf805bea76a1cb72,yo dip this feels like a death trap lul 
69.0,2b69e644ec99d722fd9f642a1f99ad59353df7da,can anyone see a thing lul 
76.0,3d4fa9f12e33c6e1f2e3daba679a529bd6e7b4cc,no 
78.0,4acbf3d8ab6f9e18db90ef198b0a99b87692427b,whats with the numbers 
82.0,c8bb1f4e7f9ad3539b3732d61988079b2f1853d6,i see a lot of red zeroes :) 
84.0,4acbf3d8ab6f9e18db90ef198b0a99b87692427b,sorry drunk and just joined 
85.0,29991ef4f3963818005f146335a19b42ad417748,may it be a light to you in dark places when all other lights go out galadriel tomatohappy 
85.0,e72bd5de0013c436f9e320b23c8ea0023f7fded4,суки ебанные 
90.0,7fa0ed22f401e1b660eb9e9c2b05377c6d9e0e50,yes i see many 00000s :) 
91.0,0611b03b5324cab4e66e387be9039d6e107a6244,2b69e644ec99d722fd9f642a1f99ad59353df7da only if i raise my head above the pc lul 
94.0,2b69e644ec99d722fd9f642a1f99ad59353df7da,the numbers do actually kind of light up the way lul 
97.0,e542d47a044bc9b941f4eb7b21977aaa0c4ded73,cave 
98.0,3d4fa9f12e33c6e1f2e3daba679a529bd6e7b4cc,that's just a cave 
98.0,2b69e644ec99d722fd9f642a1f99ad59353df7da,but i can't see anything else 
104.0,50e1d38b4c3befaeb2ce2f302e15f5c06ec5ab27,excellent choice 
107.0,5ad55ccb174885c5fb214127667f2a551bf256d8,pretty monkas 
108.0,50e1d38b4c3befaeb2ce2f302e15f5c06ec5ab27,poor choice 
114.0,c8bb1f4e7f9ad3539b3732d61988079b2f1853d6,was that a skeleton sound 
121.0,4acbf3d8ab6f9e18db90ef198b0a99b87692427b,are the numbers lifht levels 
