Time,User,Message
0.0,4d3b9b815589a896d98d3c9f65f9e89df644be22,hey there 
4.0,739e2f60809b233ff461d024c55d1e71e59639c8,one at bottom of the house you were in 
29.0,4740dbe4db6dd4ee6afbb9037e3ce2ca23d9910e,蛤？ 
36.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,bronfury just subscribed with tier 1 
38.0,5b93aa8e8f8a3aa94147999bad178b3e3575b629,english pls 
38.0,b64f2ae217332a24ec8fb46c004a9782c64d8c5c,sry i cant do more im broke just moved places in real life haha 
46.0,e9b31e0a09faf91997aca30cbe78d62188c8e173,fire 
46.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you curselit twitchlit this fire burns for you 
52.0,6708308c7530096fdb66e7d1e9d6261b3501618f,profirebongo profirebongo profirebongo profirebongo 
54.0,65d1a6a8b40677fab464f972ed400e362231bb26,have a great stream headed to bed :) 
54.0,d4f9a2071832c8889d3784bbe37b81c175e65506,love 
54.0,c78df10b00bb0105a0133a2ff9fc8920ec666b3c,don't worry life is hard 
54.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit bleedpurple curselit 
55.0,4740dbe4db6dd4ee6afbb9037e3ce2ca23d9910e,honestdude you talk too much:hushed_face: :hushed_face: 
57.0,b64f2ae217332a24ec8fb46c004a9782c64d8c5c,didnt wanna just crahs party and eat nad drink for free at least :p 
62.0,b0e7c5cdaac611bd1545fe27451c3b13da97ac11,wwtvcast wwtvmag wwtvmis 
64.0,e6bc679a7b78848cb22fc19d87052fb8badd2d77,are you a real prophet 
70.0,b28afd04facd4127c8eef866c03db345127c4ef0,a gamer only needs practice a person is a fool 0 suseptable to infinate potential referancing a game i love to death 
81.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thesmittywebenjagerman1 just hosted the stream for 1 viewers 
90.0,b64f2ae217332a24ec8fb46c004a9782c64d8c5c,streamers cant talk too much :s 
94.0,e6bc679a7b78848cb22fc19d87052fb8badd2d77,lol 
96.0,e6bc679a7b78848cb22fc19d87052fb8badd2d77,darn 
98.0,b64f2ae217332a24ec8fb46c004a9782c64d8c5c,no such thing xd 
101.0,4740dbe4db6dd4ee6afbb9037e3ce2ca23d9910e,why you always talking 
104.0,27faed7446339b4db2af1d792d9850b84ab7ce73,i prefer to have a streamer talk to the chat than not too much 
113.0,e9b31e0a09faf91997aca30cbe78d62188c8e173,tell me my future streamer 
114.0,b19d504164eab181322d5d22d1f583b2d04ea667,at least he has humour 
115.0,c78df10b00bb0105a0133a2ff9fc8920ec666b3c,streamers who always interact with chat are the best 
117.0,b64f2ae217332a24ec8fb46c004a9782c64d8c5c,27faed7446339b4db2af1d792d9850b84ab7ce73 +1 
124.0,d4f9a2071832c8889d3784bbe37b81c175e65506,pogchamp 
124.0,1f602ffb9b3d111fafe5facd8af1a8668b24ad1e,wutface 
128.0,27faed7446339b4db2af1d792d9850b84ab7ce73,lul 
128.0,5b93aa8e8f8a3aa94147999bad178b3e3575b629,4740dbe4db6dd4ee6afbb9037e3ce2ca23d9910e because this his channel and he likes to talk 
130.0,b0e7c5cdaac611bd1545fe27451c3b13da97ac11,wwtvlol 
130.0,739e2f60809b233ff461d024c55d1e71e59639c8,burn it 
130.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following sadraazad32 
132.0,e9b31e0a09faf91997aca30cbe78d62188c8e173,boobs 
132.0,bedbb36675069096ff57b1ebe8e951adefa0604c,is this man not allowed to talk 
134.0,65d1a6a8b40677fab464f972ed400e362231bb26,rhesuslul 
136.0,c78df10b00bb0105a0133a2ff9fc8920ec666b3c,did i hear a grill pogchamp 
141.0,7579906b539c7e4777cf768a722b12f35ee04634,:d 
142.0,1f602ffb9b3d111fafe5facd8af1a8668b24ad1e,bobs kappa 
144.0,c78df10b00bb0105a0133a2ff9fc8920ec666b3c,kappa 
153.0,e9b31e0a09faf91997aca30cbe78d62188c8e173,pollo 
155.0,22a0ec3b682d5e7850a20c94a51da2fba5b755c2,oh hunni ; 
156.0,27faed7446339b4db2af1d792d9850b84ab7ce73,i hear bewbs where are they? 
156.0,739e2f60809b233ff461d024c55d1e71e59639c8,grill? vohiyo vohiyo 
158.0,d4f9a2071832c8889d3784bbe37b81c175e65506,yes bobs kappa 
161.0,4740dbe4db6dd4ee6afbb9037e3ce2ca23d9910e,au ha 
166.0,7579906b539c7e4777cf768a722b12f35ee04634,youdontsay 
177.0,6708308c7530096fdb66e7d1e9d6261b3501618f,no grills here 
