Time,User,Message
0.0,8212397ff873fa173d8d3394387b9d0e1b09efa2,u should try drood d9f3f65e05146e9f5cf80b983a0783a79fc03d06 it seems perfect for u 
1.0,e0bf7920b7ad2ce8b7231339fca424675bea67aa,its venruki 
5.0,bf2bf339d38017d88300f6d60a6125f3cae49325,gamble all 
10.0,642ac83039a10ecf34b8fe3248290c18f21fa367,also spamming holy nova was eating alot 
18.0,5b0153d3001fc46e30f3b76d189bfbee5ae106ae,summit was playing bfa last night and he was liking it 
18.0,6bc6da346df5a834f0172eddd574a60f23868acb,lets make a new macro 
18.0,7635c3f1ce0cfe276876ed9d72b781c098a71aef,lul 
18.0,0e85ddffe8d74c56fd808da5c5f200f03f6b3b03,seemsgood seemsgood seemsgood seemsgood 
19.0,9d5f66ad540cdeea589d1f262afbf6914490c6f4,at 60 you get candles 
23.0,9f0b63c30571859451a5d53e2e1b45400b153688,think fortitude spell consume a lot 
23.0,39740d147a4beb3000d79ea65cb1e5a193aaa80c,d9f3f65e05146e9f5cf80b983a0783a79fc03d06 inner focus mana burn lul 
24.0,0e85ddffe8d74c56fd808da5c5f200f03f6b3b03,yeah 
25.0,9d5f66ad540cdeea589d1f262afbf6914490c6f4,don't forget mana burn 
27.0,071173a26e79becf0a3ad34ad34f7319ae89cfe6,mind blast and mana burn 
30.0,6496f114f7e9d9fb622cdd02594ba7eed478b8af,gamble all 
32.0,e664715726caa724c34f0089c28f0d8ba5dfdea4,d9f3f65e05146e9f5cf80b983a0783a79fc03d06 try holy paladin buddy they're priests but good :p 
32.0,4bcbe29e557605eb8a1dc63ac3388c2a045f1520,sacyikes this guy 
37.0,2b3c20acded8129f191ccd40237cb5568de8046f,hahahaha 
37.0,71d754472a0166c210b5fccebe69e4a989b02677,lol 
42.0,071173a26e79becf0a3ad34ad34f7319ae89cfe6,fear 
42.0,2b3c20acded8129f191ccd40237cb5568de8046f,noob 
42.0,39740d147a4beb3000d79ea65cb1e5a193aaa80c,d9f3f65e05146e9f5cf80b983a0783a79fc03d06 you fear 
44.0,d12f4d78ae73a02f24b4d7de511b0de34625efbb,points 
44.0,71d754472a0166c210b5fccebe69e4a989b02677,uo fear and dot 
45.0,7f7fd9172cad1ccdf3c3118ae013010a466af3a9,points 
46.0,3e02b7271829ff72090a03d7c053924aa47d62c8,mana burns with blue flames 
46.0,2b3c20acded8129f191ccd40237cb5568de8046f,swiftyfacepalm swiftyfacepalm swiftyfacepalm 
46.0,69edf7450422b2ecfa3fff17bcaa52089f9063aa,scream 
48.0,2b3c20acded8129f191ccd40237cb5568de8046f,atheneriot 
48.0,6ef5884aad0b9971a77cf0d85442b0a28f274d8d,you can switch to individual fort instead of group/raid fort 
49.0,d58cabe20e02f449d37ef3c8644cdd79ae285b29,you cry 
54.0,e8c1fce3f73c36a4d8c62deacd6d416d07936288,max bubble into shadow word pain 
55.0,0dff22f10bcc92c11b1a87ebe8a01fd68a7086b0,i think i love swifty because his self chat is exactly what i say to myself lol 
55.0,ef12567c188e146b4d0f714efa1377a49c78fcaf,*** sick pvp mage vid 
56.0,de5d65cdaa84e5f2d39ac4d90d1c1d11b1cdc2a4,i saw chat lazy on the screen lul 
59.0,551b2c743401d7d4e085c4c8cb079972ced391c3,points 
59.0,e53bd8bee84c19c9cee2b6f883679bd238625aca,stoneform 
60.0,071173a26e79becf0a3ad34ad34f7319ae89cfe6,bubble 
61.0,5edaca471bec129bbd0d347db0d0506b79beac9f,stoneform 
63.0,2b3c20acded8129f191ccd40237cb5568de8046f,bubble fear and flash heal 
64.0,f12e5db4e36db0bb1fa54d2c4cad0efc349050ca,if you are going to offense just respec shadow 
64.0,aa7865d413096dcdb3802cebd0e85ccf76f90e25,use normal heal not flash 
65.0,071173a26e79becf0a3ad34ad34f7319ae89cfe6,renew 
65.0,11aac2f0f2bb3fcf081892dc9dd22a65f7664e6a,this new game seems perfect for swifty 
70.0,071173a26e79becf0a3ad34ad34f7319ae89cfe6,flash heal 
70.0,722bcf2a8ddfbb5ae77d499870b95d8783c8a640,and fear again in 26 sec 
71.0,e8c1fce3f73c36a4d8c62deacd6d416d07936288,3 min cd on wotf 
74.0,bb3fa4a1cf6308fb7ceee23973b9d213019a5513,stoneform 
76.0,39740d147a4beb3000d79ea65cb1e5a193aaa80c,d9f3f65e05146e9f5cf80b983a0783a79fc03d06 then you cast a heal if that fails then cast mind control 
76.0,b671d76d2cd2efee70bd9ad88fa324b1442f388b,gamble 25% 
77.0,2b3c20acded8129f191ccd40237cb5568de8046f,stone form 
79.0,8d595081f968014030d9ab6791f2d54b887a352e,fear > dot > mind blast > wand 
81.0,93a01904835b97c3244d4720a38580504efe6b05,gamble all 
85.0,071173a26e79becf0a3ad34ad34f7319ae89cfe6,fear bubble renew flash heal 
91.0,ede04b66c0098e97209ad4296465a227355b3c1e,can you shackle undead 
91.0,0718100403cd7a14827996cb3a9d146c901752ea,desperate prayer 
92.0,6496f114f7e9d9fb622cdd02594ba7eed478b8af,points 
97.0,ca1e7d4386ba64155f1c773e5424947ea14363d7,ziqo 
101.0,fe4fd9596dd709a776379f249317caa42109b298,gamble all 
101.0,2b3c20acded8129f191ccd40237cb5568de8046f,swiftyderp 
103.0,e4bb3c927b8969d747d0e110ccfe616b25ee2606,should be dropping fear wards on ppl too d9f3f65e05146e9f5cf80b983a0783a79fc03d06 
103.0,8212397ff873fa173d8d3394387b9d0e1b09efa2,why heal go for the smite priest 
104.0,6f5308f6f24acd34c60a06592a374bad188ae907,points 
104.0,2b3c20acded8129f191ccd40237cb5568de8046f,atheneriot atheneriot atheneriot 
106.0,0518009d1b7ae8250b6080ca0fe8f306b4bd3cbb,heal heal heal and wait for help 
107.0,8212397ff873fa173d8d3394387b9d0e1b09efa2,it's a reaml thing 
107.0,6496f114f7e9d9fb622cdd02594ba7eed478b8af,gamble all 
107.0,37fddc24559287f28ef037a4fbea5fea769e3ef4,d9f3f65e05146e9f5cf80b983a0783a79fc03d06 if they are undead use the undead root skill 
111.0,2b3c20acded8129f191ccd40237cb5568de8046f,voteyea 
