Time,User,Message
0.0,d636b0c82cf8d1be9a72f296674df044791e6440,pepehands 
2.0,5ca76a21ccb715f20395c93755bbfd1738b14b9c,lol 
3.0,544148280dba59dd52d9762a470cab9bd4addcd9,its over pepehands 
3.0,0a52360d5dfbd5d8ccf64779b50733e8c5615275,n omegalul 
4.0,7839460734aa8df341ac3ff5e9b7f5e5c28d5683,no :d 
5.0,e51a2e6129d8ff877acc20743de12e19ae797ba0,perma death pog 
6.0,9d77c6eee053ad2b63a0c28b84425e0061cb3a6b,you have to delete now dbdf0f135d107a0cd3bb6331ee366ceb463ff944 
8.0,b8524b6b844557661aca21205aeacf41370d6f0f,banish black guard pepega 
9.0,a460eb99849f09ccc83397153568517cb69ecf8a,kekw n omegalul 
9.0,21309e123926317c9b89d06e5050152a0ba5e357,whats the best stat to aim for on a lock int 
13.0,53d097a8d14e84c84c04e1b27af10338cb6691a8,pepehands 
17.0,336dba637a73c850dd2ca07dc8597b400cb0c7ac,dbdf0f135d107a0cd3bb6331ee366ceb463ff944 do you use mouse wheel up/down for any binds 
20.0,6ea1d930f9841a81c0a38b14348a740d5014a7c2,f 
20.0,4b2ac1d44d84bffb7fafc6280f017253b8b2dbe9,giving up after 1 wipe what an bfa player kekw 
20.0,8145a7f1e700721eb9da8a5cfbed3352b0f459d2,tired d: 
23.0,3bd19a12746dce34dd749da20f59e738ba511a72,what a quitter 
23.0,130b08446f3bca240ecff51715e1a5d20da65766,what raid addons do you recommend dbdf0f135d107a0cd3bb6331ee366ceb463ff944 
24.0,b450a4e62883ccfcaf63b902f7d97b62018209d9,who knows how to switch to the old twitch this shit is dogshit omegalul 
25.0,bf56aa6c64421a8244650c678bbeaf8b0ca4ec40,so just get a overpowered tan to come by and boost ya through it 
25.0,20583f3c83ac4fde1063982434e89d5f0ec3d0b1,wipe in deadmines lul 
26.0,7839460734aa8df341ac3ff5e9b7f5e5c28d5683,dog :o 
27.0,bb0ae56f2795aa7c65b7717bccbf04102263ea2f,addons 
28.0,ca67c7c9a46c0fa06bb7d1f4ba8368557e6cd873,ur dog wants food 
28.0,86796e3da4c3057c9ca54b3f8aabcc9ce7c46a3c,didnt staysafe 
30.0,d636b0c82cf8d1be9a72f296674df044791e6440,21309e123926317c9b89d06e5050152a0ba5e357 full strength staff mele 
30.0,1fd03eeb089fa469a1fd23c5128250df7de5880a,21309e123926317c9b89d06e5050152a0ba5e357 int>stam>spirit 
33.0,2747c5e7cbd41a55c0ca85ddd2436ee12d3154c8,uptime 
34.0,335f8a3fcb2cec0ada64b430c70c026a401328f4,boomer nap time 
36.0,b8524b6b844557661aca21205aeacf41370d6f0f,bigbrother what 
37.0,1a3138539acf7802dc0ad45a10c9dbc4ecdaf9e0,gold 
39.0,0b5b74b3b3431a5e628951e6efe869911535e7b5,tank 
40.0,ca44da9e40bbf3c8cce0543742e060289392e29c,uninstall 
40.0,900befa3fbf6e34abc93c3a953bf347691cdc7cf,dbdf0f135d107a0cd3bb6331ee366ceb463ff944 hardest classes/specs to play in classic 
45.0,cd433f3f9c1e3e31ceb131e316bdc4c4a4c55c15,dbdf0f135d107a0cd3bb6331ee366ceb463ff944 is spellpower worth getting while leveling 
47.0,130b08446f3bca240ecff51715e1a5d20da65766,addons 
47.0,cd24e8074541f258041278c3e22080e55c7409e7,pog 
48.0,31e2ceca78275f51f7ca814317ff65ec24db260a,ohmydog m 
48.0,e7afaf63efe9f869609c35413913ed0ffff77d05,pepehands 
49.0,9314f83d49e15f103547eea378ff2fbc81f68072,hats off to ya 
50.0,7271c9bb48bbca93646a1acbec64d50738bfa974,<3 
50.0,1aad6fe8fc50cfb01513d697b2e754d29bb679e7,does wanding count as a spell 
