Time,User,Message
0.0,16d2f13289d9909dd3b46438b7479a4d3362eae6,sixteenth chappelle 
1.0,edcd84ce6c470c69efdc101ae8ffd9b2172b6dfb,team needs time no co ordination 
2.0,bf199f1091c1b0f1def732a046b89436eaaa1820,what 
5.0,6ba95ff34427e5b6772f3ae1be9192b30d1c4b59,jackz still can't frag ffs 
5.0,92e5df882ae32804db853f8631872f1d37287f67,afkz 
6.0,bd408c04beabf3836ebec95863f1d5460465d6f1,kio was the problem lul 
7.0,98a65a1b026c52899417e4ac06c69e6087a98392,nt 
8.0,aafb785634c2dc758fa69bf969a60da7377eb4b9,wutface 
12.0,f08f73f25a17d1d3622971fa9a1fc6901ac8ac6e,phoon 
13.0,cdc55519a3b2230c3e2b952ae7ea1dec90e84d03,ez win 
14.0,f7e3d308e0133697f5ed50125105b7f2796904c7,fucking ads 
14.0,9c054c4cf39fe94a376439b4c13b056aeaa1e8cf,shox found his home now 
15.0,1879d9b3943f43a66b2e994ad694740d87fd9974,jackz so bad lulw 
15.0,03c03b062f65890f05ad2926ccedf7c8ecc3f6f9,991416e53786e7f7f0c6ddbd36de9f8891246baf are you implying it is bad t obe gay forsenweird 
17.0,5f995fa75248a65cf535a1ed6d19fadccffff930,jackz is wearing knicker bockers 
17.0,f2ba624048d5731225efc87ced0badd38144a03c,where is freeman 
17.0,5709166099c1f4db3e2ef745228d81a6c7bfb75a,hahaa kekw hahaa kekw hahaa kekw 
17.0,87da0d5aba81c9e943010acd340e268b6104adc8,imagine kicking lucky and kio but keeping amanek and jackz kekw 
18.0,24479143f2ac6e8260850931ac6c2b8881871168,arnold schwarze______ 
19.0,b8798db82fe42fc8f4fff7795e10107cf521752b,1-6 
19.0,de28cdb77715734100360b9792bfe54794bc071e,gg 
21.0,c65eda9d23f3811c6ba148daa79319797277c1e2,get pooped on dude 
21.0,8f473a5d0330af80823ba955c24d736c8fd33795,vac is back lul vac is back lul vac is back lul vac is back lul 
22.0,4a7561ff73e96ce8c2b46a040d0f92a21ce986e4,shox was the problem kekw 
23.0,50129357fa88761dd64a8f7cfd4d7ad430112ead,french cs omegalul 
23.0,80fffbdec7eba050b78663824293daa105530847,g2 fail kekw 
24.0,d3273273a80907218d38f09793a6021480f9ff16,where is kio monkaw 
25.0,c543af1cde3ca4fe5618184ec1834e61ba4a10c7,rouge casters 
25.0,92e5df882ae32804db853f8631872f1d37287f67,g2 era 1 game lul 
26.0,a684148a9c33324b971630e4a17747a8f957e711,flusha greatest player to ever touch the game 
26.0,cfef99d392cfc9bfa1129423f8110cc900436593,g2 let thijs play pls kekw 
27.0,a2b0ab0518ff164d228b4a807adfbab51dc3ae45,1 1 1 
27.0,6802f79008335a1fac57fd83d90b8a41d97b650d,when does ence play 
28.0,bd0608708ad57975fc5eb1f93e11fa8d1528b3f5,lucky was the problem lul 
28.0,2809483965ed6f05c3fa2abe524b08b8b4b30497,lulw jasonrkekw lulw jasonrkekw lulw jasonrkekw lulw jasonrkekw 
28.0,629ee80fd547a110bc18fca2dcea9a78e268da0b,g2 going to lose golden always plays great in train 
28.0,a224a54f2af46dd1b840fa2e0e302316b27ef5d8,cr4zy carry lul 
29.0,ddf641dfe18ca7ecc340f5069d9c801037c42846,87da0d5aba81c9e943010acd340e268b6104adc8 imagine spamming a chat with useless things that nobody cares about lul 
32.0,c4bb1dfbf89bd5c8a459d08468d1a5fbdf28b10d,chuyjhek 
32.0,eae8740f8943d7fe2c72306fceed07bd985f4886,fluke2 
32.0,98a65a1b026c52899417e4ac06c69e6087a98392,lmao you all expect him to win 1v3 against awp 
33.0,36523f58afeed1fc1bbb4358dd38801c35e4e720,g2 - 16 
35.0,360bd6b9e7f7e7084382c307610a1c4b76de6ed1,cr4zy still trying to carry this terrible g2 team 
