Time,User,Message
0.0,7aaa31b36e7b834ecfe51eca6e09ac18247714e6,awww 
12.0,6b58eb5a4dcc355e396041fe48e85fa387b30fc5,you both played well as supports you just can't support dumb 
20.0,b00dd8a0142b3fa768ccd938cf02ead0dc8e8812,2633b0e76b84a5bcc38e1e2d566be8fa17c7e4ea *internet hug* tyrhug 
21.0,689d8f82eab15bd94490269805a11d6effe8a9a7,but i just got here 
42.0,50d5537172adeed840d52bd8b575a803b57ad362,showlove100 showlove100 showlove100 for good luck <3 
46.0,689d8f82eab15bd94490269805a11d6effe8a9a7,oh okay ;~; 
52.0,5d9e1fbdf79b43689d21c1271855c261afc79b01,life of a support main :p 
52.0,689d8f82eab15bd94490269805a11d6effe8a9a7,you're so kind 
53.0,7c981570f1934560df3e04dbdbad1118e556b7c5,he'll be here agin on his next stream too :d 
91.0,4582f2f2496608359a72ecc23e8018c638c58a55,least i'm here to watch the last game i put you on in the background for drops and i'm very surprised you're still playing thanks dude 
92.0,71778b85b819bbd0a3fd7579c4f600107e9a173d,you can just watch the stream back on replay :p 
93.0,5653edaae7c4f602dcb5f215a4f2ca544d4eb9d4,love the gold claws o3o 
93.0,d60a0c54841893222a16fc939f8471204a864567,anon100 
111.0,5653edaae7c4f602dcb5f215a4f2ca544d4eb9d4,yes indeed~ 
118.0,7c981570f1934560df3e04dbdbad1118e556b7c5,d60a0c54841893222a16fc939f8471204a864567 tyrlove tyrlove tyrlove tyrlove tyrlove tyrlove 
127.0,4582f2f2496608359a72ecc23e8018c638c58a55,oh and good luck on the game :) 
128.0,2633b0e76b84a5bcc38e1e2d566be8fa17c7e4ea,b00dd8a0142b3fa768ccd938cf02ead0dc8e8812 tradition yes tolerable location i would say thanks to the all mighty the lord for the gifts that he gave to use all 
135.0,f9dc6b6ab065c25984e32cde05a6e5c39a8e22cf,i love watching the stream when i am working lol i wouldn't make it with out my favorite streamer tyrlove tyrhug tyrlove 
147.0,d297bdd57a738a60e25a4c06783d5b4e3e2628fe,tyrlurk 
153.0,6b58eb5a4dcc355e396041fe48e85fa387b30fc5,hecking hanzo 
156.0,e75c51faeb657bfad418a72519a167a06291b38a,watchtime 
167.0,e75c51faeb657bfad418a72519a167a06291b38a,uptime 
