Time,User,Message
0.0,dca904dced381399c13ce16dd186012f7cbfa836,300 dps lulw 
1.0,95a9777528fc590870689aba1408ed3d04514d8c,you're overgearing the 1st one by quite alot :o 
7.0,55e3cfbdd0dc1d70368315feda6076505848b4b6,youre always #1 in our eyes :) 
24.0,55e3cfbdd0dc1d70368315feda6076505848b4b6,27 is max buff slots 
26.0,56c40095bbbd0319e239081965f4c1abe96f925b,just clap them next week and get #1 everywhere 
34.0,a4db90f2f3f6a17d44da90246b6fbe69d5246dab,this song reminds me of meatspin 
35.0,b413c52974139e2aec146fcbdf386781dc34c0d4,quin's dps 
36.0,976af53d3c4c0f32ee83ade9d35a240430c42422,suuuure 
45.0,01c8dada18b741329ba02890049b8864c48ea26f,de04533cd7ca44880f976a4146d1517c7c785bef you sure you wanna jump head in into all the dick measuring through logs kapp 
46.0,0118d5fc1efccf45d515d918d1228739f1d7ced7,4th *low* 
46.0,936429bfd053c7a097e7151ab253dd87c8d64aa3,gachibass 
48.0,669651121f5d4e4c8ad267c07c4950248a2e4d15,182 lulw 
52.0,328a9f78bc461dbee52a93d945e60b88bfac1114,warcraft logs is so misleading it doesnt take stuff like that into account 
56.0,21befbd5fae4b54895d5c03e01ef68dab614a9e7,ooff i live the song 
62.0,56808c7e92682ee3621225758ea19b9649c4be72,just need shazz to teleport onto the melee instead of ranged de04533cd7ca44880f976a4146d1517c7c785bef 
70.0,56808c7e92682ee3621225758ea19b9649c4be72,ez #1 for ya 
72.0,1b331ff503225f4d101503142398d014a2749725,de04533cd7ca44880f976a4146d1517c7c785bef mc https://www twitch tv/esfandtv/clip/uglyattractiveasteriskpjsugar?filter=clips&range=24hr&sort=time 
81.0,0118d5fc1efccf45d515d918d1228739f1d7ced7,crushed golemagg pogu 
87.0,03512bf6efe17c7fed4b505bbc7ed37b5f2381c5,mccool pog 
88.0,21befbd5fae4b54895d5c03e01ef68dab614a9e7,i mean i love that song 
102.0,2df3615944c1f3973494017f320db1446204e446,domer 
102.0,ee8733c0246998723d587236a478a636f900bfc2,squadd 
104.0,9cb037884ec831bf89c2e908b808f604e3621649,warcraft logs is all about who ignores the most mechanics de04533cd7ca44880f976a4146d1517c7c785bef 
105.0,72b5fd8866a58e0eb738f38afad0e63f74d32a05,328a9f78bc461dbee52a93d945e60b88bfac1114 what a shit take lmao 
109.0,15b593044a999c542699d28b534e0db4cf89ae0b,peped 
119.0,328a9f78bc461dbee52a93d945e60b88bfac1114,72b5fd8866a58e0eb738f38afad0e63f74d32a05 
120.0,936429bfd053c7a097e7151ab253dd87c8d64aa3,just go for the good percentiles when the raid is on farm 
133.0,4fa989497d2e5fa486229650d791f482a51e08c4,domo squadr 
137.0,9ffc261361e5f63427315e9e53e76cf6ff3bba21,paladin dps logs is like special olympics 
146.0,c8776e4eae4f063d4cae1fa7ce256bd37bc9abe6,lol 
153.0,db5b5465ee971be113d6bcfe55dc0046e009d4fc,logs shmogs 
153.0,328a9f78bc461dbee52a93d945e60b88bfac1114,72b5fd8866a58e0eb738f38afad0e63f74d32a05 who are you again 
156.0,c8b9daf9d75d393f0505b918fc8a8f6e7a7e4fd4,number 
158.0,c8b9daf9d75d393f0505b918fc8a8f6e7a7e4fd4,1 
