Time,User,Message
0.0,8ffa709116e8fd64db006beaaf0f2df60570d66a,is the bot still moderating 
8.0,8ffa709116e8fd64db006beaaf0f2df60570d66a,or is it a person 
16.0,6a1eff528dbadba8bff89ad32cb59208a1c5b1fd,hi 
23.0,3aed7c1bc236506cb331ee3da22624fe25941082,easy free skins 
30.0,8ffa709116e8fd64db006beaaf0f2df60570d66a,wow this is so real 
32.0,d05822cf10f88a1d715c08958be181fed01104a7,giveaway 
39.0,6a1eff528dbadba8bff89ad32cb59208a1c5b1fd,poor people who think this is real 
40.0,3c53752e1134bbbf003d78bc523675df0bd4de80,giveaway 
47.0,8ffa709116e8fd64db006beaaf0f2df60570d66a,it is real 
66.0,6a1eff528dbadba8bff89ad32cb59208a1c5b1fd,you right they are real my bad 
73.0,3c4535d589fe813d5cc94c42eceec4e22417c8e6,i wait trade 10 min and its come cool 
98.0,462e39568242348c4a39e2775a3b220f1aa6b51f,i get gloves 
111.0,e6a9392a93f509e691ecc9fc6f41cdb0e93f64e4,giveaway 
121.0,bd4f8f58edcd2e98f49d303fad423e43d2da216a,giveaway 
123.0,686860389eef2583c2152d4fd9905f62fd44fa86,its true they send me knife 
148.0,9bf816012b6107230d7323b9c8401a27eb32f64f,giveaway 
173.0,6c20d8f4e462977ee8671cc108b4824ce098b5df,free 100$ xd cool 
198.0,3aed7c1bc236506cb331ee3da22624fe25941082,easy free skins 
215.0,b45bc7e4f041bab4819a81b51d4641ce9b39f21a,easy free scam 
223.0,3c4535d589fe813d5cc94c42eceec4e22417c8e6,i just win asimov 
232.0,9f6b945e633050c37799ab5ea79ebad91bf1b372,give me a knife nerd 
248.0,870f074adbd481ca48bc19920570e99c18fa4af1,i get gloves 
288.0,c75d050e0ff9ea4e387e59c21d9eace2043d8c8d,giveaway 
298.0,870f074adbd481ca48bc19920570e99c18fa4af1,i get gloves 
316.0,50cdf5ae35f6f51eda0db853e359bc152d04ee08,wow nice new id again 
323.0,daa3241a1a60d511399fda4d57c1de21baab254f,lol its rly work 
323.0,20b2160737655d8274df2a1c41d0a42d61f5ba6b,scam 
326.0,d05822cf10f88a1d715c08958be181fed01104a7,lol 
331.0,d05822cf10f88a1d715c08958be181fed01104a7,how it works 
332.0,20b2160737655d8274df2a1c41d0a42d61f5ba6b,fake 
348.0,bb6bc90618fcedbfec352bbffa876a38caaa0da6,free 100$ xd cool 
355.0,d05822cf10f88a1d715c08958be181fed01104a7,hahaha scams 
365.0,d05822cf10f88a1d715c08958be181fed01104a7,take care 
366.0,50cdf5ae35f6f51eda0db853e359bc152d04ee08,macs 
375.0,d05822cf10f88a1d715c08958be181fed01104a7,giveaway 
376.0,50cdf5ae35f6f51eda0db853e359bc152d04ee08,careful moobot delete that 
392.0,50cdf5ae35f6f51eda0db853e359bc152d04ee08,no tyask me to sign in no ty 
398.0,2278262b448d37d384f15b1b9743fff60ea65e37,cooooooool 
423.0,899a2616047a684bd9ddd3470147f8639fb28ac1,trade with my knife come <3 
448.0,686860389eef2583c2152d4fd9905f62fd44fa86,site cool 
473.0,49c7b8f155b443265bc46f46f602e11913198c3c,lol its rly work 
476.0,d05822cf10f88a1d715c08958be181fed01104a7,doesn't receive my skins scammas 
498.0,bb6bc90618fcedbfec352bbffa876a38caaa0da6,free 100$ xd cool 
500.0,d05822cf10f88a1d715c08958be181fed01104a7,need to log in to have access on steam easy scams 
506.0,befe8d220be2605f3571e8d3e07b9f7072a5064a,scam 
519.0,3e84ace67f6560a5ab9e475aa5b07ab7cced8052,ребята это все пиздежь не верьте 
523.0,b2842d4b883dca99d3d1f886b2def719876aae24,giveaway 
548.0,bd52e543e13707aca4c0bb4e7a49d4f9c1c3cbfd,i just win asimov 
563.0,86d20c2f984d2b75be8fc202bc71cdb53fe37016,giveaway 
573.0,2f3e838c46366c41c886e7ef601044524c677942,i get gloves 
589.0,f53001b1b6396a6646968cefb79cc5d01498a6c8,giveaway 
598.0,5fc6b261e9d55e16c1a308c63b787926954c75b8,giveaway 
623.0,1f83b2b76058453ba30f707783b9f866be2b440a,lol i cant belive i win howl 
648.0,69d0cd085b4ad13e207c8958b7beef2f82dd42d3,esl i love you 
673.0,c8d7a2f519901b35ef6f4104b4d1fd66bb22eae9,i have knife 
692.0,fa23e6b8e8f34a2512ae9cc406a006492669027f,how i can join= 
698.0,6a0b56e25b5497801824b9dabfd715671f6a7b8b,its true they send me knife 
706.0,b7d42c8453677fe65f4dc3051af00a567493fa34,i cant log in to steam it says note that astralisgo cf is affiliated with steam or valve 
709.0,d588ac2cea289303ae454124a931c564e1df9051,lol this is the biggest scam ever 
723.0,53a2d1dcf7387dc328c1ee663f9650bec8f72fa2,i have trade hold i cant accept trade 
728.0,b7d42c8453677fe65f4dc3051af00a567493fa34,i cant get in to giveaway 
747.0,fa23e6b8e8f34a2512ae9cc406a006492669027f,lol 
748.0,bed1e7ed69f7781858e17d860982730d976b7741,easy free skins 
754.0,fa23e6b8e8f34a2512ae9cc406a006492669027f,this is nice botted :d 
767.0,fa23e6b8e8f34a2512ae9cc406a006492669027f,do not go to that link llol 
798.0,6c100adafab3ca3c0319d596ab9adf90533ca879,lol i cant belive i win howl 
823.0,6c100adafab3ca3c0319d596ab9adf90533ca879,trade with my knife come <3 
828.0,7222c3b542387072eaccc733cdefee1cbb374c4d,wow i won a scamm 
830.0,b7d42c8453677fe65f4dc3051af00a567493fa34,it says note that astralisgo cf is affiliated with steam or valve 
862.0,7222c3b542387072eaccc733cdefee1cbb374c4d,thats totally legit yes 
872.0,6c3daa62a03bb3d1062aed4b49c2a11188fe3509,lol i win souveni stattrack dragon lore factory new 
873.0,0ef9187ca996471d67976d53511e2b630d41ae06,giveaway 
876.0,3debd8636008144bbe880e315cfd8e4e0e35fa63,giveaway 
898.0,39123ce0a12f055fabf6d9db870942c6366e126f,its cool site 
923.0,7e900add1bd8a089ac120a8945a804df3b69b074,all work 
948.0,bed1e7ed69f7781858e17d860982730d976b7741,site cool 
962.0,7222c3b542387072eaccc733cdefee1cbb374c4d,sure i hope i can win the kidney i probably lose on this web <3 
973.0,822e8ecf3451200140f89607a21e9bcb683b519d,i wait trade 10 min and its come cool 
991.0,67a1d9af80e6f7d4f971ad9a588f833fce00146f,s c a m 
998.0,6226edcc965b02c8cb3203dd21e9b5cd29f665a0,easy profit 
1008.0,6f0b61bddd72c26b6b88f1a6141b027cab8ae1df,giveaway 
1015.0,63dcf69664629371fab4472e44a828ebd2d60370,giveaway 
1023.0,d1705e8567348579f058828301bb2a9df6f0c171,giveaway 
1039.0,63dcf69664629371fab4472e44a828ebd2d60370,seems like a scam lel 
