Time,User,Message
0.0,ee01b5ebbf80b18090269c78dc558c5a8c1fa74c,130814d88bbbb431fc2569aee1b3961a0c619237 nah she's fucking beautiful wtf 
1.0,0f60f0b2c2637f3fb65314a1fa1364884b597d3e,its ok you are playing killer after all 
1.0,d5635a532cced1b1db662da1e069c25f2816e230,probs green key 
7.0,584ec86db8030e3423da315c47e70505b58194ea,3d975834ea5adc39046e763630b287ffec96f503 i just feel like people should be better i gotta pretend its little baby ignorant children or ill go bonkiers 
14.0,ec04a199397807a5ac734af1965191fa733b0761,f6cfb5494b503b6c2349dc8b6fbddce8a43f62e8 that happened over a year ago don't forget 
22.0,09cae1deb6e2f2e868bd96e80b2b5d32f3ffde6c,update the cat is falling asleep and now i legally cant move my arm 
25.0,11662aad77974b6e0b61e2f3573e81a7ca4a3caa,i respect killers rights to dc on haddonfield just respect my right to dc on spirit :) 
34.0,584ec86db8030e3423da315c47e70505b58194ea,09cae1deb6e2f2e868bd96e80b2b5d32f3ffde6c i have a sleepy dog on my arm wanna share 
37.0,585855922e53b828172d60725942cc4ec35a3fb8,11662aad77974b6e0b61e2f3573e81a7ca4a3caa i dc on spirit too 
40.0,b9e49f0808260fff3c89c214b77bacd5ef3bb669,i didnt know that hole existed there 
40.0,17f2bf88beccfff8f66efcd75e14f900ed6ad3cc,poggers 
41.0,585855922e53b828172d60725942cc4ec35a3fb8,dont u worry 
41.0,07130e689ed0671221843ccdf23672e28687ab72,df60cd99d3b55c13ec5a6d6575bfa1e1b0bea151 now you gotta remember their names so you can mori them next game :grinning_face_with_big_eyes: 
42.0,b9e49f0808260fff3c89c214b77bacd5ef3bb669,wtf 
42.0,c3c64c3bf82a5c8990559689cdd1f9765fe4f4c7,is anna playable in this version of dedicated servers 
47.0,ff6de8ed6fc0382d0b18273940efdaa5a91779fc,kittyzhi 
56.0,585855922e53b828172d60725942cc4ec35a3fb8,ff6de8ed6fc0382d0b18273940efdaa5a91779fc umbrahug 
66.0,ff6de8ed6fc0382d0b18273940efdaa5a91779fc,585855922e53b828172d60725942cc4ec35a3fb8 umbrahug 
66.0,9c0e68c7662d4c9124bd2228cf232f235417267f,dc'ing on a spirit is so pog kittyzlewd 
69.0,3f27445a1c76f52277bc19cd35ae7df6da6156b6,ff6de8ed6fc0382d0b18273940efdaa5a91779fc 
71.0,2b07af92962af2651b489be74fabbe505d56cde5,aye i gots rank 1 killer :d 
78.0,584ec86db8030e3423da315c47e70505b58194ea,2b07af92962af2651b489be74fabbe505d56cde5 grats 
78.0,ff6de8ed6fc0382d0b18273940efdaa5a91779fc,3f27445a1c76f52277bc19cd35ae7df6da6156b6 hihi umbrahug 
80.0,55fa149dac1715ecfef405e9c6e3b17695f6a5f3,i feel like anybody can dc anytime they want you paid for the game with your own money but like don't be a dick about it is the thing 
83.0,ee01b5ebbf80b18090269c78dc558c5a8c1fa74c,ff6de8ed6fc0382d0b18273940efdaa5a91779fc tony boyolove geislove 
90.0,2b07af92962af2651b489be74fabbe505d56cde5,584ec86db8030e3423da315c47e70505b58194ea thanks :d 
91.0,02685447589cfdc700e81a63af0f28577ae2cb5f,the ol hatchet hole 
92.0,03b872932d047372c9dc20a2ffa7d7d6963cdf4e,df60cd99d3b55c13ec5a6d6575bfa1e1b0bea151 got any tips for me on being a good hunttress 
95.0,ff6de8ed6fc0382d0b18273940efdaa5a91779fc,ee01b5ebbf80b18090269c78dc558c5a8c1fa74c josh fengplhug 
98.0,3d975834ea5adc39046e763630b287ffec96f503,584ec86db8030e3423da315c47e70505b58194ea well most of the time they make me laugh cuse the way they talk and its cracks me up to hear a 13 year old braggin bout the amount of joints he smokes a day 
103.0,584ec86db8030e3423da315c47e70505b58194ea,i just think dcing like doesnt that hurt hte other survs more 
115.0,b9e49f0808260fff3c89c214b77bacd5ef3bb669,bro my brain 
116.0,c3c64c3bf82a5c8990559689cdd1f9765fe4f4c7,guide 
