Time,User,Message
0.0,c776341eb0b367bee1357ac46a07bfff6a0f6fae,i recommend dont solo queue cause whenever i play with someone i go back to c1 
4.0,8a95114b50b2c35ddb4fea2997a7a90aa5aaa57a,hi 
5.0,c776341eb0b367bee1357ac46a07bfff6a0f6fae,when i solo queue i lose like 10 games 
7.0,7289204b16779601f51ec170433aa6c347ac03d6,save widepeepohappy 
12.0,1454ad931c73539150745723afd5dc32f7c6a9b7,wtf 
19.0,7e0f6f6cce6191797fcdb73362fae1e7e885e285,if u cant win in soloqueue you dont deserve yo rank 
25.0,7289204b16779601f51ec170433aa6c347ac03d6,they're usually up this time to grind you i guess 
32.0,7920a2e4e0c9a892376ed7bf9c42e63987168850,racist again 
43.0,4b46d8522c8925ee3a3feb39c400e9b025103b92,wutface song 
43.0,c776341eb0b367bee1357ac46a07bfff6a0f6fae,nah the kids in solo queue at diamond 3 are terrible like you dont understand 
43.0,1324b8d4a38ebc95641be2a4051651b1d1a21f93,demos are so broken 
49.0,4718e5189aed3dd5770626632b04a2f0ccb84e80,that was right at the drop too lol 
51.0,2c6708783721edb7a7b662b0d4f207800ba97b95,playlist 
58.0,7289204b16779601f51ec170433aa6c347ac03d6,save widepeepohappy 
59.0,42389080149bce7f5c8afe62796ba152fc60dbca,save 
60.0,c776341eb0b367bee1357ac46a07bfff6a0f6fae,solo queueing at low ranks is asking to derank 
61.0,4e3e8a54d8671519596b4883fb39f6ba9ffc2280,heya e013a57d70a261c41cf7012bb9731c7ad9d97f7b 
65.0,42389080149bce7f5c8afe62796ba152fc60dbca,widepeepohappy 
67.0,c0c28c7d2cd4a48756c560621ef9d00ffeac06bb,e013a57d70a261c41cf7012bb9731c7ad9d97f7b u would make a good coach if you were not an elite player 
70.0,8a482ec81e0e89986b265a0c7b7b007dc7182ca3,loool 
71.0,72c08f86a84a80f4ec2a7083578a640d2912afc3,kekw 
76.0,13360c289af5ceed15e96c1eb3a8cbb07e1316a4,: 
76.0,1454ad931c73539150745723afd5dc32f7c6a9b7,worst lobby lmao 
77.0,7e0f6f6cce6191797fcdb73362fae1e7e885e285,lol trust me the skill level from diamond 3 to champ 1 is just different work on your pace 
79.0,7e0f6f6cce6191797fcdb73362fae1e7e885e285,go full tryhard 
80.0,2c3e786ec7a5db3f9286a909c3d89e292231fdb0,e013a57d70a261c41cf7012bb9731c7ad9d97f7b yoour nuts dude try not to be affected by shitters i watched you live at rlcs and you're probs my favorite player at this point 
80.0,13360c289af5ceed15e96c1eb3a8cbb07e1316a4,feelsbadman 
82.0,2c3e786ec7a5db3f9286a909c3d89e292231fdb0,stay strong man 
83.0,7e0f6f6cce6191797fcdb73362fae1e7e885e285,tryhard ballchase 
85.0,e4e44b82886cd43c631e1f16e72b499b75beecef,do u watch swampletics 
85.0,7289204b16779601f51ec170433aa6c347ac03d6,b7bdf43633101fd643ca6b7552c2bf0de30ff080 kekw 
89.0,1ec0dab62203801eb49440554282ffdfd051c592,q with jessie 
101.0,42389080149bce7f5c8afe62796ba152fc60dbca,do some replay reviews kappa 
102.0,e4e44b82886cd43c631e1f16e72b499b75beecef,season finaleeee 
103.0,13360c289af5ceed15e96c1eb3a8cbb07e1316a4,e013a57d70a261c41cf7012bb9731c7ad9d97f7b widepeepohappy cheer up 
106.0,8febc2d7d1107c55baa4d2cf82ad974b09821b06,peepohey 
112.0,4e3e8a54d8671519596b4883fb39f6ba9ffc2280,heya e013a57d70a261c41cf7012bb9731c7ad9d97f7b 
115.0,6bb713d1ea4c226cf0f9b327af82dac9cea26d04,c776341eb0b367bee1357ac46a07bfff6a0f6fae yes its fucked up everybody is trying to scoore a airdirbble it's not like i can not do that but my mates can not do it but try it in the round 
117.0,13360c289af5ceed15e96c1eb3a8cbb07e1316a4,peepohey 
123.0,42389080149bce7f5c8afe62796ba152fc60dbca,peepohappy 
125.0,7289204b16779601f51ec170433aa6c347ac03d6,what about a replay review from 2s against ahmed 
126.0,4b46d8522c8925ee3a3feb39c400e9b025103b92,widepeepohappy we wide 
132.0,13360c289af5ceed15e96c1eb3a8cbb07e1316a4,ending was awful lulw 
133.0,2c6708783721edb7a7b662b0d4f207800ba97b95,is this a sportif playlist :) 
137.0,4e3e8a54d8671519596b4883fb39f6ba9ffc2280,e013a57d70a261c41cf7012bb9731c7ad9d97f7b you can review one of my games i can just go play one 4head 
139.0,13360c289af5ceed15e96c1eb3a8cbb07e1316a4,tilted off the planet as usual 
140.0,7e0f6f6cce6191797fcdb73362fae1e7e885e285,6bb713d1ea4c226cf0f9b327af82dac9cea26d04 airdribbles is efficient lol you gotta go for them 
149.0,13360c289af5ceed15e96c1eb3a8cbb07e1316a4,but overall good stream 
156.0,c776341eb0b367bee1357ac46a07bfff6a0f6fae,you dont need air dribbles at diamond 3 lmfao 
158.0,995831df66e950496abab4cb468003b944d870fa,frtyd 
171.0,42389080149bce7f5c8afe62796ba152fc60dbca,and agane pogslide and agane pogslide and agane pogslide and agane pogslide and agane pogslide and agane pogslide 
183.0,538fdbe635dc28299f6c1c26651cffdb63171970,alright trihard alright trihard 
192.0,538fdbe635dc28299f6c1c26651cffdb63171970,nice 1 wallis failfish 
193.0,8febc2d7d1107c55baa4d2cf82ad974b09821b06,what do you expect from that game in ranked e013a57d70a261c41cf7012bb9731c7ad9d97f7b you gonna play against the same players 10 times in a row feelslagman 
205.0,7e0f6f6cce6191797fcdb73362fae1e7e885e285,c776341eb0b367bee1357ac46a07bfff6a0f6fae well why not go for them get comfortable with them and you'll have it easier staying in champ just take every game as a possibility 
