Time,User,Message
0.0,47dac4898eec71e793206a68eccd1a679eae2529,that's how to do it :) 
1.0,00a8c8288732e3ce02df239d853ba646d539cf55,lope had some 5 am nights 
10.0,47dac4898eec71e793206a68eccd1a679eae2529,cool 
13.0,2b0998ac3a189ee6d9f3170ef3f4c296cd117b53,ceezpogitivity 
16.0,6f60007a2a64dc70975659fa5c1819d4558f8ff9,roommate gachihyper 
21.0,aa1ed12497c9e0e62b2d22d0d23f3dfdbde1af96,dreads went streaking after the after party kappa 
33.0,00a8c8288732e3ce02df239d853ba646d539cf55,i'm just so damn happy i didn't get sick 
44.0,47dac4898eec71e793206a68eccd1a679eae2529,i have a 2 yr old and a 4 yr old and they are both banned from school due to e coli - they are fine - so i will live vicariously through your fun ; 
55.0,47dac4898eec71e793206a68eccd1a679eae2529,they have it 
58.0,0dbd4cd0e48bd28268d2277f3835b003e38a2275,hello my man nice number i see here 
66.0,47dac4898eec71e793206a68eccd1a679eae2529,they are ok - weren't even that sick 
70.0,08f1770c3fe8705e7dca1a310f00933c0c9b7131,pally going smorc 
73.0,a4fea103057006d6f270ebb5144d11289b63d705,seppo is a finnish name 
75.0,008b2c11ebd8e6a58e21d5c9e6324665d9ae04b4,there's e coli in all our bodies 
76.0,102c7af45c701ddabaef7f07e0566e5909ee65c7,twice the lifedrinker 
79.0,47dac4898eec71e793206a68eccd1a679eae2529,but they tested and got flagged to the health dept 
85.0,008b2c11ebd8e6a58e21d5c9e6324665d9ae04b4,most types of e coli are harmless 
89.0,47dac4898eec71e793206a68eccd1a679eae2529,who called us and they can't go to school until it is clear 
96.0,e6b6da1addc8530023cd6a57fe053e6244d04c96,fooooocussss 
101.0,47dac4898eec71e793206a68eccd1a679eae2529,gg 
105.0,1e6a3dac1efd9a989837fc4e0e51be8e850402e1,sup cantelope how's your night going so far feeling old timey 
125.0,2b0998ac3a189ee6d9f3170ef3f4c296cd117b53,sourpls 
126.0,4262148c59c54966450a139245a241feeb282467,lopega lopega 
138.0,1e6a3dac1efd9a989837fc4e0e51be8e850402e1,wow seemsgood 
138.0,47dac4898eec71e793206a68eccd1a679eae2529,whoa 
145.0,6c6daa4f38de400a6f39ac6ca94659551cd29ac3,always nice when the streamer has a good time 
156.0,1e6a3dac1efd9a989837fc4e0e51be8e850402e1,yeah i figured 
171.0,6f60007a2a64dc70975659fa5c1819d4558f8ff9,lopehype 
171.0,1e6a3dac1efd9a989837fc4e0e51be8e850402e1,makes sense with you hitting legend so early 
180.0,47dac4898eec71e793206a68eccd1a679eae2529,i'm up for anytime you tft too - :) 
195.0,1e6a3dac1efd9a989837fc4e0e51be8e850402e1,damn it really is 
196.0,0fa7125e8e087ace38651a20f591ecdc3b1b9724,why is the streamer black and white 
201.0,47dac4898eec71e793206a68eccd1a679eae2529,there's some open field there 
202.0,776a169de9dd6c687ed8d57ad667e982cdfdd0f8,^ 
207.0,008b2c11ebd8e6a58e21d5c9e6324665d9ae04b4,0fa7125e8e087ace38651a20f591ecdc3b1b9724 he's just trying it out 
215.0,47dac4898eec71e793206a68eccd1a679eae2529,it's like dog scarra and becca lol 
215.0,6f60007a2a64dc70975659fa5c1819d4558f8ff9,i love knights in tft rn 
218.0,6f60007a2a64dc70975659fa5c1819d4558f8ff9,so fun 
