Time,User,Message
0.0,0e67bf6273e5c110593cdb32ece0fe686ef1e84e,428cb20d1356982095bca3792cd72f00d2b0b8d8 what time of day do you prefer to go 
6.0,32b8ba7d6740f836a34f162e403ce145c3d1af41,3873608427144b261776b269f4c7226e8ca473cf lickl 
8.0,9412bdeb682685a92aaacda2a31088f13d1c7852,action * 22 sub train one minute warning * 
9.0,c35ee1e8625b654574c1ca1efba57a3bbe49b7ce,e01f457700ce2ce47dc8d5f824c6ebb9fc609b5d pugsalute 
10.0,ae2d8310a503162352692e7fdafbe3b65a577a75,ooooof 
12.0,d11e17ecb6dd340cd4933cebd38ecae85cf7ade2,air chainsaw 
21.0,f7c2045fc7164292b58ea3fcccb18974f5531ef4,lul lul 
23.0,6ff94e3a52ea98b2d0c85fbdb259a0c5abe7ff70,top rope 
26.0,428cb20d1356982095bca3792cd72f00d2b0b8d8,0e67bf6273e5c110593cdb32ece0fe686ef1e84e i like to get started by 3:30-4pm during the week 
30.0,0e54d28692d83526246199e13c2bb5d79fde1e02,c35ee1e8625b654574c1ca1efba57a3bbe49b7ce pugsalute 
32.0,0e67bf6273e5c110593cdb32ece0fe686ef1e84e,428cb20d1356982095bca3792cd72f00d2b0b8d8 lul ikr like get your granma ass outta my way please thanks 
34.0,428cb20d1356982095bca3792cd72f00d2b0b8d8,0e67bf6273e5c110593cdb32ece0fe686ef1e84e weekends 5-7pm is when i start 
38.0,9412bdeb682685a92aaacda2a31088f13d1c7852,action * 22 sub train 30 second warning * 
46.0,f7c2045fc7164292b58ea3fcccb18974f5531ef4,gg 
51.0,ae2d8310a503162352692e7fdafbe3b65a577a75,lil thor 
51.0,4eb7f5664d67c1cbe5b11b55617d43b655ecad35,what's the top perk 
55.0,428cb20d1356982095bca3792cd72f00d2b0b8d8,0e67bf6273e5c110593cdb32ece0fe686ef1e84e its not just the grandmas its young guys too like dont come to the gym if you arent ready to bust ass 
59.0,e01f457700ce2ce47dc8d5f824c6ebb9fc609b5d,pugsalute john_j_rambo 
59.0,c35ee1e8625b654574c1ca1efba57a3bbe49b7ce,0e54d28692d83526246199e13c2bb5d79fde1e02 pugsalute 
68.0,9412bdeb682685a92aaacda2a31088f13d1c7852,action * sub train ended at 22 puga 
71.0,ae2d8310a503162352692e7fdafbe3b65a577a75,good waste those pallets early 
