Time,User,Message
0.0,f4f59109b6a5f8040c0a2e44220faf61c8e36045,yes he did 
13.0,f4f59109b6a5f8040c0a2e44220faf61c8e36045,shayne's bone 
37.0,e4c673e379d33a7067a2fb021619b04f76fca120,bones pog 
50.0,3d862ce44550133f4f4ec6d5083fb1d41fddf4cf,bones for dog pog 
55.0,f4f59109b6a5f8040c0a2e44220faf61c8e36045,bonr 
59.0,92fa21884b767512d8936af48be362f452ed2335,b o n e s 
62.0,810702713e8aaa3b1ed4882fe418dc948c6b388a,monkamega 
72.0,ed9ab633ecaa746ad258701f82a7d8fd0800cbb7,i think youre missing your boots 
80.0,7dc52b96b1c34544605f55a20a8888fe5f412815,in b4 golem 
83.0,810702713e8aaa3b1ed4882fe418dc948c6b388a,phase one monkas 
90.0,e4c673e379d33a7067a2fb021619b04f76fca120,i made this my home in my world 
95.0,69fb89a8e77abf57459b9ff05dc188d199fdfc32,he likes mining barefoot really feeling the dirt between his toes 
101.0,e4c673e379d33a7067a2fb021619b04f76fca120,then i got onehot by a fireballing mob :) 
111.0,60be565a97ba462f4d38606c7a57c7e2568a9495,how do you do proximity chat like that 
125.0,7dc52b96b1c34544605f55a20a8888fe5f412815,e4c673e379d33a7067a2fb021619b04f76fca120 put out fires / lava asap or they spawn fire elementals that will insta kill you with headshots 
138.0,05eb583a653676dbd54a752976e38359e789058e,this mod is so tilting lol 
149.0,5d3ca8f90798fd4b44c5d43fa564292d9c650213,they use mumble i believe 60be565a97ba462f4d38606c7a57c7e2568a9495 
149.0,e4c673e379d33a7067a2fb021619b04f76fca120,it was a gahst fireball and it killed me instantly 
151.0,6d384e81b2c777cc0049d8aa0833f5a055dfad2e,pepega 
155.0,e4c673e379d33a7067a2fb021619b04f76fca120,on impact 
161.0,e4c673e379d33a7067a2fb021619b04f76fca120,i had full health 
163.0,e4c673e379d33a7067a2fb021619b04f76fca120,and armour 
166.0,e4c673e379d33a7067a2fb021619b04f76fca120,it's bs 
168.0,7dc52b96b1c34544605f55a20a8888fe5f412815,05eb583a653676dbd54a752976e38359e789058e need advice 
185.0,2492f2f8adccf59547f032822606311cee23a0ca,cinder projectiles can only set things on fire but things that light people on fire deal initial fire damage 
186.0,05eb583a653676dbd54a752976e38359e789058e,nah i know how to survive 
187.0,7dc52b96b1c34544605f55a20a8888fe5f412815,e4c673e379d33a7067a2fb021619b04f76fca120 wait you went to the nether 
