Time,User,Message
0.0,2dedc81188d13397527197818b4aa9af1eb02cd7,besttry 
1.0,b1969e8ce46354ef8c23b8120e1023cce3881433,holaa adashhv 
2.0,e0f4389ab275bf6cebe784a62fe14b587415415f,konahh pog 
2.0,26b89dd757a11a4a9b8c157cd20918681ddc8182,title 
2.0,b83f6b0a55cb045716ee5d9636c2b0e213399b58,wipes 
3.0,e180e5cab894067a2ce4b51b3d45e32a91dd9de6,i was here 
3.0,5c12801f270d052168df805db33c99bd8831482b,pepelaugh boss actually dies today 
3.0,b4946c9835e828d5a2990b3d779ed492b262d81f,015b9aad315ef5414de301906cb34638f527761d hey fuck you 
4.0,df865ebb674cceb13906406763304bf1d5f84625,inb4 potter dies 
4.0,20ca16d70da2d349ce9621d92b44de669814666a,josh tell me : boss actually dies today feelsbadmanjosh tell me : boss actually dies today feelsbadman josh tell me : boss actually dies today feelsbadman josh tell me : boss actually dies today feelsbadman 
6.0,f43c8ffc079e465d05fb240b0c60fa239623957f,squadw squadw squadw squadw squadw squadw squadw 
7.0,192ebc775b24cf4638c6368d494e60813f97e78e,kkona getting the big heals clap 
7.0,0587731c9b3931d6456f56ad78d53192aa44fb66,clip 
7.0,890eebddbd6ff4ccacbdb52a8d8171caecd58de3,pepegahands they will wipe again 
7.0,b66b91a16c94a232759bcb0cbe44639f5eb74154,3ff2c5ad6b76518b0f8efada29821b0053f7689d asmonm stop sperging around with wall of emotes 
8.0,1294a99f4ffd1be9f23482c233d0f4349e70d6a6,brahtvhype 
8.0,51dbb7df0b353a6deb622b7143717aba7fb9fff2,ducks fly together 
9.0,49dba94f239641359ae337aa9b2b2607bb9a724e,forsen1 forsen2 \ 
10.0,278fa625c21a674239f476d8592c3a83d91e0da5,pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman 
10.0,4f8498edbafc418b5ec638418a2e52ea7dfad20f,forsen3 forsen4 
10.0,6da0fbe711eef36deb25f9d785b58b6a2a7defca,monkas :backhand_index_pointing_right: title 
12.0,59982eaf5fb9ec74fc3bec0a9ff0a394c202cec6,how many pulls they have 
12.0,f6f3d21e513c7f33507425bc6cadbd5f61170644,6826b2e1c09d5fe0380a9198e4de8e4084401ba7 yeah i think they stream fulltime so thats normal but hell the fuufuuu over 700 wipes goddamn 
16.0,015b9aad315ef5414de301906cb34638f527761d,imagine being liverpool fan lulw 
16.0,3ff2c5ad6b76518b0f8efada29821b0053f7689d,pepoclown honk 
17.0,09ef3fb639c4c96e34c8451e465c4c2b99c6a346,best 
18.0,49dba94f239641359ae337aa9b2b2607bb9a724e,forsen1 forsen2 ~ 
18.0,4f8498edbafc418b5ec638418a2e52ea7dfad20f,forsen1 forsen2 
18.0,21f9c6d4c6c3018d5dc9d6947edbc238417e36e5,pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman 
19.0,568dedd332ee24f683a9fc421e7ac02d772907c1,does today mean tomorrow lul 
20.0,c732a98acfcd98ba5592599396e3695df4fadc69,pepelaugh 
20.0,278fa625c21a674239f476d8592c3a83d91e0da5,pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman 
20.0,b83f6b0a55cb045716ee5d9636c2b0e213399b58,pulls 
20.0,ed3f4d7586fe1a9a773e0c82368c4aa0ee87b8e2,here we go boys this is really it pog here we go boys this is really it pog here we go boys this is really it pog here we go boys this is really it pog 
21.0,1294a99f4ffd1be9f23482c233d0f4349e70d6a6,brahtvmethod brahtvcreepy brahtvflex 
21.0,89ad1289dd6f8f0827597ff36a4841d089cfc3bd,▬▬▬▬▬▬▬▬▬▬▬just▬▬▬▬▬▬▬▬▬▬ 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head ▬▬▬▬▬▬▬▬▬▬▬kill▬▬▬▬▬▬▬▬▬▬ 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head ▬▬▬▬▬▬▬▬▬▬▬the▬▬▬▬▬▬▬▬▬▬ 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head ▬▬▬▬▬▬▬▬▬▬▬boss▬▬▬▬▬▬▬▬▬▬ 
22.0,55faf35ea3249c755ec3083c87f1c0b105804b8b,pog 
22.0,b11a3ad6362bc2be2d3a1bd2daf9c51b3dd3013c,this boss looks pretty easy 
22.0,129879e47d0da5c00f906b4631c3b3505ea1d3e6,trihard 
23.0,b2f487d62daa1a8cd8502bb93b94885ccc028c14,uptime 
24.0,38e4d7dcdbd07ffc57e34f4cc6d1489cfd9dd4d6,omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman 
25.0,48a9e1d9fbef3fd791c4f00a84d924d06e033eb8,pepega 
28.0,3ff2c5ad6b76518b0f8efada29821b0053f7689d,asmonprime :question_mark: 
29.0,8434ae51531cd4911ef03f70ced4702ec720ff21,forsene lets forsene go forsene forsen forsene forsene lets forsene go forsene forsen forsene 
29.0,a7735c02af46e22035d70474b5886e897c474e87,▬▬▬▬▬▬▬▬▬▬▬▬i▬▬▬▬▬▬▬▬▬▬▬ pog pog pog pog pog pog pog pog pog ▬▬▬▬▬▬▬▬▬▬▬was▬▬▬▬▬▬▬▬▬▬ pog pog pog pog pog pog pog pog pog ▬▬▬▬▬▬▬▬▬▬▬here▬▬▬▬▬▬▬▬▬▬ pog pog pog pog pog pog pog pog pog ▬▬▬▬▬▬▬▬▬▬▬club▬▬▬▬▬▬▬▬▬▬ 
30.0,077aa6962494443c6d5699685ebe6830a71758d7,i was there 
30.0,54672fd0b53af1201683c63b879aa794d393c8d0,widepeeposad 
30.0,332ba3e4cb3d6655736386f45f4428b27b520ca5,best 
33.0,278fa625c21a674239f476d8592c3a83d91e0da5,pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman pepelaugh i guess feelsbadman 
34.0,6b93bc4813b780c3cfa413159f43316ab378e041,▬▬▬▬▬▬▬▬▬▬▬just▬▬▬▬▬▬▬▬▬▬ 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head ▬▬▬▬▬▬▬▬▬▬▬kill▬▬▬▬▬▬▬▬▬▬ 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head ▬▬▬▬▬▬▬▬▬▬▬the▬▬▬▬▬▬▬▬▬▬ 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head 4head ▬▬▬▬▬▬▬▬▬▬▬boss▬▬▬▬▬▬▬▬ 
34.0,4f5f9b8a87f2d930d540546845d49855f92e724e,asmonprime asmonprime asmonprime 
36.0,edac69ade2733d99ff21265c0788768ef2f29e84,wipes 
37.0,39119db2112ca3fbe362e6c7cee42ffb088824ec,feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman omegalul i guess feelsbadman 
