Time,User,Message
0.0,ae5e97bbdeffc977efb76d164d5d2eb3dadc2822,you're on west coast na 
1.0,ac28d672c9ffbf5c9fc3ba9d0be7ed3caf02b253,d4e0f03fa7868cf5c74edd307d443a268270dc15 :grinning_squinting_face: it makes a difference to everything tbh desktop even more responsive lol 
4.0,f0ebeab251c12972ef4ba17d5829240199bf0c3f,how do u see the ping in my game 
11.0,401e91c63837196fdf46e8bcfc4ed07250c51e9c,ping 
12.0,f0ebeab251c12972ef4ba17d5829240199bf0c3f,what option 
20.0,801554ff5f3e05a1b0d0e50465073619c897d90b,you'r ping :sleeping_face: 
23.0,2921a3ce87d9968e0e072d3ff4ac9f75bab7d393,turn off the vpn lul lul lul 
24.0,4d249b0fa77295b50fda7ef4982815faefaafbac,f0ebeab251c12972ef4ba17d5829240199bf0c3f there is a setting network diagnostics or something 
28.0,a32b156831dd0907c90c6742742f3b5691dce43c,do you use vpn 
30.0,e8828351e4367843180f6a2334c7185e7fa4a5b3,maybe isp issue 
30.0,06926c496852565293460b6403a16cec1b85909f,vss skin no longer available e33e743ad31396a23a331f5c72d62a3d72d2b548 
31.0,ae5e97bbdeffc977efb76d164d5d2eb3dadc2822,e33e743ad31396a23a331f5c72d62a3d72d2b548 does it say eu down at the bottom 
51.0,3b5b3e9f6b94f92f4e320fa80c15a4386a355ed0,e33e743ad31396a23a331f5c72d62a3d72d2b548 do you think a curved monitor is good for fps games 
51.0,ac14163d985430321d3db1bf6b63b44e69c4f4ce,skin 
67.0,df636881dd866e73c939d48341606500d419eb37,wackyjheswacky 
73.0,ac14163d985430321d3db1bf6b63b44e69c4f4ce,wackyjheswacky 
75.0,54ba85c4ec243264382aa0789fb521552d47abeb,just joined u play na servers 
78.0,d6fdf53c3e241766cfa6e320e1bc5d380f86b67f,chocotpog 
79.0,8abe178ffcbdb380165a4b23ebfbcc8754f29522,eu 
82.0,401e91c63837196fdf46e8bcfc4ed07250c51e9c,not a vanilla stream today guys watch out 
87.0,06926c496852565293460b6403a16cec1b85909f,iam going to kill myself 
101.0,8abe178ffcbdb380165a4b23ebfbcc8754f29522,we got pistols and high ping up in heya 
109.0,a32b156831dd0907c90c6742742f3b5691dce43c,is there a ninja suit skin 
112.0,0b76d6d9c5320c066062a52a1653f2e49c24f734,sprinkles on top 
119.0,2921a3ce87d9968e0e072d3ff4ac9f75bab7d393,i love pistol only i think the game would be much more fun 
135.0,df636881dd866e73c939d48341606500d419eb37,go john wick on em 
143.0,8abe178ffcbdb380165a4b23ebfbcc8754f29522,2921a3ce87d9968e0e072d3ff4ac9f75bab7d393 come saturday we do custom games usually warm up with pistol only headshot mode :d 
