Time,User,Message
0.0,3d9231bee706842c16a3c9c12e5415ecc18d76ee,drop that ump 
3.0,8dcd42efddfae5b1e5d7a62d7299532d0b35bed7,lurn choco duos 
3.0,e7d8e967cf88850a5abe89640407298e69687be0,chocotohbaby chocotsub chocotohbaby chocotsub chocotohbaby chocotsub chocotohbaby chocotsub chocotohbaby chocotsub 
5.0,30b9ca0b0b0f4144d989f871a51188532bbccdb0,chocotpog 
7.0,4dd44f231253785ea36759d16cc6f8151ea0553d,chocotsub chocotsub chocotsub chocotsub chocotsub 
8.0,994eafd798b7ab184f8020cd6e18bcb9f64abed1,omg your becoming a crazy cat lady next step is to start hoarding cheer100 cheer100 
10.0,ec5e14918af87cba9457f8a0583451f2b736dca7,holy shit that loadout 
11.0,082d026342fb98aa9ae7f82e3467831e32309eaa,chocotsub welcome to the new taquitos 
13.0,c604c52f70c106b96799cf432c4d9998543a47e6,awmmk 
13.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,**rules** 1 be chill racism hate speech threats explicit violent or sexual comments and general incivility will not be tolerated 2 no hostile stream sniping 3 no advertising 4 don't import trouble or arguments this chat is not the place for it 5 english chat only please 6 no spamming 7 mods are the final arbiters of what is or isn't appropriate thank you 
13.0,15a07b09dd498669616a9f6670fa00f4957eb905,poggers 
14.0,e26085ce524a3023e66136efb83a850d9c1651fd,chocotsub chocotsub chocotsub chocotsub 
16.0,fe4dc06b12695c550de6aa8f072265e45b0fcfb9,big gun 
20.0,a5506380a7770bc52593a369c63649cad2960dde,hi taco 
23.0,6a7f04fe8035bc9fce94064f86846fdf1de40df5,rip 8x 
25.0,aadb0ca739b3b02d4a970e2bf95d24c526de4a78,hey e409d01ecf8925415cead609933923bedd1437b5 i went to the range last night and shot a suppressed vector with a vert grip it was terrifying :face_with_tears_of_joy: 
28.0,a7c8e1e3c34103b5cbe1119c4bda840aa0134e04,question: now that i'm subscribed can i also watch past streams without commercials 
30.0,36ce7f339b30acd204d79f489bead10e08aa6db9,cray cat lady rule is #bedrooms > # cats 
36.0,dc609c4f53a70dc8bb5dafdaccfb1d96a30ba5fd,chocotsub 
39.0,e38726e131abefc898a18663ff6803c282aa5f7c,chocotrich chocotrich chocotcsi chocotcsi 
39.0,f27bdd80590d9fa6bbb2bcd2f9048cf857e08c1c,bucking bronco time 
41.0,7a96dd533c050b5bf039be81fce384dc83ecf8a2,chat - make sure you link your discord to twitch if you wanna play in customs 
45.0,e7d8e967cf88850a5abe89640407298e69687be0,chocotdead chocotdead chocotdead 
46.0,75fcf3221a6bc1b5ece257084a0b60bd94840602,who's more of a cat person you or beth e409d01ecf8925415cead609933923bedd1437b5 
48.0,a7c8e1e3c34103b5cbe1119c4bda840aa0134e04,i really love watching choco play solo dont really like squad 
48.0,dc609c4f53a70dc8bb5dafdaccfb1d96a30ba5fd,chocotdab1 
54.0,e38726e131abefc898a18663ff6803c282aa5f7c,plan 
54.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,solos til customs :) 
55.0,75269cb73c63fdc54687d7a763f2e9e01f41adb3,amanda2 no u 
57.0,56be834b7a69851e90bdbe50ce0a77e27530bc19,7a96dd533c050b5bf039be81fce384dc83ecf8a2 i cant play tonight can you sub in for me 
65.0,7a96dd533c050b5bf039be81fce384dc83ecf8a2,addban 75269cb73c63fdc54687d7a763f2e9e01f41adb3 
65.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,75269cb73c63fdc54687d7a763f2e9e01f41adb3 -> larkshark has been banned too many times to count but ok +1 more 
67.0,a9a9ee35c55cd6209b7eb7988e1f2fb113e1af34,plan 
67.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,solos til customs :) 
71.0,a4dca4b2f8f95c66b05a3d4e2749bd5ade74e95d,awm over ump smacecomeagain 
72.0,75269cb73c63fdc54687d7a763f2e9e01f41adb3,d: 
78.0,7a96dd533c050b5bf039be81fce384dc83ecf8a2,56be834b7a69851e90bdbe50ce0a77e27530bc19 pepehands i wish 
79.0,a5506380a7770bc52593a369c63649cad2960dde,e409d01ecf8925415cead609933923bedd1437b5 why dont you play tournement and ruin everybody and show them how to play pubg 
80.0,75269cb73c63fdc54687d7a763f2e9e01f41adb3,lul thereclusegoose 
80.0,4dd44f231253785ea36759d16cc6f8151ea0553d,sounds like more loot 
83.0,147284d1bdfdfee5bb04b5481a3765be65deb796,house camping with best guns and armor :( 
87.0,a7c8e1e3c34103b5cbe1119c4bda840aa0134e04,wins 
87.0,d6ed73b9f884e2f3820ea83db2182f68d3434436,uptime 
88.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,choco has won 1 games of pubg today chocotdecent 
88.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,chocotaco has been live for 47m28s 
89.0,7a96dd533c050b5bf039be81fce384dc83ecf8a2,56be834b7a69851e90bdbe50ce0a77e27530bc19 can you send me your pc and i'll try kappa 
91.0,44f6ebaf26c9851042488337fc52f8b38578ac7f,plan 
91.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,solos til customs :) 
97.0,44f6ebaf26c9851042488337fc52f8b38578ac7f,oh snap custos :o 
99.0,75269cb73c63fdc54687d7a763f2e9e01f41adb3,obiwanncoyote don't worry i'll carry whoever begs me for you 
103.0,33c8adbf34d86b562a74b6ca2e67bce766c3d00f,lmilurk 
112.0,75269cb73c63fdc54687d7a763f2e9e01f41adb3,lurking lumi 
112.0,4b5d2684e2e2c3db363b8592d1113d78aa1845ea,yuk 
117.0,ac258a0ccf294f39723cb5a4fe656cc37ca2215a,most epic game ever 
123.0,67ba2d5895077e81501986fd2173ade56a4f0dd8,plan 
123.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,solos til customs :) 
131.0,c2f9ecfda0724f2842bc87776fae45d847093164,hello 33c8adbf34d86b562a74b6ca2e67bce766c3d00f 
136.0,41e18cde649765bc51d1367cf297cb8abd6a8686,plan 
137.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,solos til customs :) 
138.0,3968519606564854b38d8ff52e6f82fd45d6f249,beng beng 
139.0,56be834b7a69851e90bdbe50ce0a77e27530bc19,75269cb73c63fdc54687d7a763f2e9e01f41adb3 omegalul 
141.0,09f1798100e56427f8f97ce74633c0d1ba4a58d1,comp shmomp 
142.0,6a7f04fe8035bc9fce94064f86846fdf1de40df5,destroyed 
142.0,47447cfbf0272081af01c1184b7101573f012f09,discord 
142.0,a9a9ee35c55cd6209b7eb7988e1f2fb113e1af34,whats the eta of customs anyone know i've been gone from the strem for a while 
143.0,3de985a467ddcbf5a75b0c4b04b51f052c592305,https://discord gg/chocotaco make sure to link your twitch account -> go into your discord settings>connections and link twitch 
143.0,4dd44f231253785ea36759d16cc6f8151ea0553d,he dead 
148.0,533cd4c3c7127114dc1edf2286eb5e1eeaf884a7,lumi and lurn what a great night 
