Time,User,Message
0.0,8fc9439f455931636d04d7dae53123fbeafc0620,9e3bf4cfa269c08a2b776133798a7013b31d0ace i drive a 20 year old civic so no show or go for me lol 
1.0,9a27d50f036bd02b900835f9e0a4c1c347e89726,i think he just let you rotate em 
16.0,d635789e9d1506d042c6da4d11c520635938236a,fastest 400$ ever made thanks to a mustache 
19.0,d7f26da7be539b69fd54232cd8a4e026fa5b9a75,it is the stache 
31.0,7718842eefa4644c00262e292c91200ba1db7c5d,no homo i think it looks fine on u 
34.0,b8b56611de02722c1f7c5f6b500bf957864027c3,i mean sequisha the doc you hmmm 
36.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,i just heard we were droppin bits so i wanted to join ; 
48.0,8c3ddca341e66867464bb1ef39b4da58b6eab0c4,f6ce928e0f2b530bb2277e2f8c857aee18dd293b kappa kappa 
58.0,f6ce928e0f2b530bb2277e2f8c857aee18dd293b,lul 
63.0,d7f26da7be539b69fd54232cd8a4e026fa5b9a75,i can 100% confirm its the stache 
81.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,alright but im headed to bed just wanted to drop by and resub and say hi :d 
86.0,8c3ddca341e66867464bb1ef39b4da58b6eab0c4,when can u teach me how to not succccc at dribbling kappa 
91.0,9a27d50f036bd02b900835f9e0a4c1c347e89726,gn dad jokes u rock <3 <3 
94.0,799322126ca91e373a9c9c59649d0a8d4b6cd9fa,just grow stache forky ezpz 
103.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,9a27d50f036bd02b900835f9e0a4c1c347e89726 gn lady <3 
111.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,alright 1 more 
118.0,d7f26da7be539b69fd54232cd8a4e026fa5b9a75,its gonna take another year or 2 for that im afraid 799322126ca91e373a9c9c59649d0a8d4b6cd9fa 
119.0,7718842eefa4644c00262e292c91200ba1db7c5d,it's nice bro no homo keep it 
119.0,dd59f0a5d5ec9a74c787379ed92e8da7f1cd9cde,have a good night 9e3bf4cfa269c08a2b776133798a7013b31d0ace 
119.0,5bca324b1d71fd631d8b5b6aa148b679e3926c49,8c3ddca341e66867464bb1ef39b4da58b6eab0c4 whatcuuu meeeaan you're good at dribblin 
128.0,8c3ddca341e66867464bb1ef39b4da58b6eab0c4,thats the only one i can do kappa kappa 
146.0,dd59f0a5d5ec9a74c787379ed92e8da7f1cd9cde,they look like brie cheese 
147.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,you can't run through a campsite you can only ran because it's passed tents 
147.0,8c3ddca341e66867464bb1ef39b4da58b6eab0c4,5bca324b1d71fd631d8b5b6aa148b679e3926c49 kappa kappa kappa 
149.0,9a27d50f036bd02b900835f9e0a4c1c347e89726,r u hungry msaking that reference 
157.0,9a27d50f036bd02b900835f9e0a4c1c347e89726,words are hard this late at night 
164.0,799322126ca91e373a9c9c59649d0a8d4b6cd9fa,hit up joe rogan for some testosterone pills lol 
172.0,5bca324b1d71fd631d8b5b6aa148b679e3926c49,8c3ddca341e66867464bb1ef39b4da58b6eab0c4 djkoeflex djkoeflex djkoeflex djkoeflex 
182.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,anytime dj :d 
185.0,7718842eefa4644c00262e292c91200ba1db7c5d,799322126ca91e373a9c9c59649d0a8d4b6cd9fa lol nice 
190.0,dd59f0a5d5ec9a74c787379ed92e8da7f1cd9cde,are you talking to me elle 
190.0,8c3ddca341e66867464bb1ef39b4da58b6eab0c4,5bca324b1d71fd631d8b5b6aa148b679e3926c49 im basically a 2000 mmr gc kappa 
192.0,dd59f0a5d5ec9a74c787379ed92e8da7f1cd9cde,becuase if so 
