Time,User,Message
0.0,397e8b634bb3f4d7eca3fb490116a6102aeaa561,true_randomness avi 
6.0,1bc83a9cd7c5fedc6c4eca6fd89a949fcfbaad5c,that was really sad 
27.0,efbb38c983853c9c2163aeccc27211938b3efa11,isn't frilled good against oketra 
42.0,73065269600fd650928d758d4a14a10b63856859,krasis would be good 
55.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,i mean 
59.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,it's also good with oketra 
65.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,wait 
70.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,why isn't frilled in this deck 
72.0,d7cb2f42ee8d5cdc864cbd24aa148ea281294812,deck suggestions for my dino deck any 
73.0,d7cb2f42ee8d5cdc864cbd24aa148ea281294812,https://www mtggoldfish com/deck/1878135#paper 
74.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,doesn't it work with vann 
77.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,or am i missing something 
80.0,efbb38c983853c9c2163aeccc27211938b3efa11,it is it was on the side 
80.0,aaa3916224eb5581714adb6e3a8b37b679491da8,decklist 
88.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,ah 
90.0,6a5098835ec29b3846bab11cec65c34d8bb0c8e3,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54 cant vannifar at instant speed 
90.0,c3e9268893733a8e25b57385442281aa90f59951,vannifar is only sorcery speed sammie 
97.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,ah 
101.0,c3e9268893733a8e25b57385442281aa90f59951,but it does work well with the arkbow 
128.0,a15ea85192047734538d658c204ba5526dfd1b7a,thus it begins 
147.0,73065269600fd650928d758d4a14a10b63856859,notlikethis 
161.0,20b9987b81dad0e4100a99141019c4184bd0326f,who needs a fourth land 
177.0,45bd9703f15ad82548364429921f7435b78b8576,uptime 
177.0,f4af044c696a45d4ef55d590216b65135ac797fb,mtggoldfish has been live for 2 hours 40 minutes 
192.0,01ba5a8010e91017d3edec33183f25f3b1e58314,deck 
196.0,c68c0d808fde9c06db351abc4ab817841acd4a15,water 
218.0,f1f7abfe6206fedbe6bd84ff9485a90a3f27239a,e6f5b534861e18fb50e350c8ee31a40db797695e when can we do direct challenges 
223.0,e6f5b534861e18fb50e350c8ee31a40db797695e,scoopscheer 
228.0,73065269600fd650928d758d4a14a10b63856859,i like the wild growth walker package in bant 
239.0,f1f7abfe6206fedbe6bd84ff9485a90a3f27239a,or a five-color deck 
268.0,206679e39b82f02de7cccc2706062c3132eb1e28,what happened when avacyn tried to turn the angels of innistrad against the humans she was close but no sigarda 
274.0,45bd9703f15ad82548364429921f7435b78b8576,e6f5b534861e18fb50e350c8ee31a40db797695e seth i don't think twitch wants me to watch the stream i never get a notification when the stream starts :( 
289.0,c740b380da96b43c68ded3c16d2e6ff112dbafab,206679e39b82f02de7cccc2706062c3132eb1e28 a- 
307.0,20b9987b81dad0e4100a99141019c4184bd0326f,206679e39b82f02de7cccc2706062c3132eb1e28 *golf clap* 
315.0,a6834b1144b05f821dc587a1c161d5d1f0717910,top right fantastic make sure that the bell is selected and not crossed out 
321.0,a6834b1144b05f821dc587a1c161d5d1f0717910,sometimes you can follow without alerts 
329.0,74385cc777ff852e64216e3ae60709d2dcf2f7d7,hey seth how do i submit a decklist for you for budget magic 
335.0,e6f5b534861e18fb50e350c8ee31a40db797695e,scoopscheer 
338.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,arkbow is like super card draw 
342.0,f1f7abfe6206fedbe6bd84ff9485a90a3f27239a,45bd9703f15ad82548364429921f7435b78b8576 we do streams teusday and thurday 6-9 pm and on monday most of the time 2-5 pm all eastern time 
342.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,that gets around narset 
345.0,a6834b1144b05f821dc587a1c161d5d1f0717910,send it to his email generally 74385cc777ff852e64216e3ae60709d2dcf2f7d7 
366.0,e6f5b534861e18fb50e350c8ee31a40db797695e,scoopscheer 
379.0,36e09eae38348225d4ce0c85765c9bc8adede0e9,deck 
417.0,a9643a2d43e00e69df23eac4b69a31f2805127ac,why is this card an artifact it make no sens 
421.0,74385cc777ff852e64216e3ae60709d2dcf2f7d7,a6834b1144b05f821dc587a1c161d5d1f0717910 what is his email thank you 
429.0,01ba5a8010e91017d3edec33183f25f3b1e58314,i have been trying to work vannifar and neoform in a deck like this annnnnnnddd you did it e6f5b534861e18fb50e350c8ee31a40db797695e 
435.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,the grind out the opponent game 
442.0,a6834b1144b05f821dc587a1c161d5d1f0717910,e6f5b534861e18fb50e350c8ee31a40db797695e your email is saffronolive@mtggoldfish com right 
454.0,efbb38c983853c9c2163aeccc27211938b3efa11,add the mana 
458.0,c43523c8894374cf3b5d4b8736566e09048fca11,viviens arkbow actually doing something pogchamp 
458.0,e61616df1f90c4e944ad2f5037286bc367b10544,well its a bow 
463.0,efbb38c983853c9c2163aeccc27211938b3efa11,ah too late 
478.0,73c9fbcc60549ecfa040aa2604bae75debaaca4f,it's got to be an artifact it would make no sense as an enchantment 
480.0,45bd9703f15ad82548364429921f7435b78b8576,thanks guys just unfollowed and refollowed with notifications i'll try to remember the stream schedule 
499.0,470eb141de0878394dbef73ce831ca1516ff85d9,do you think we're gonna get a snow and tell in horizon 
502.0,f4af044c696a45d4ef55d590216b65135ac797fb,bloodtrail boros fist bump to you todays storm count: 13 
506.0,e6f5b534861e18fb50e350c8ee31a40db797695e,scoopscheer 
508.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,oketra is also good with tuck effects 
515.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,we can just pay 5 and put it back on the bf 
519.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,cause we know where it is 
520.0,43554930deda07491b387ab1bf4b1ba6536765c9,you dont need to know the stream schedule if youre like me and just wait at your pc till seth goes live kappa 
533.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,seth 
536.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,it was imposssible 
538.0,efbb38c983853c9c2163aeccc27211938b3efa11,arkbow into oketra 
538.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,notlikethis 
552.0,84b76ddeff6025e3dee69b22b75648a1c9ac64c9,yay ur streaming 
561.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,seth please notlikethis 
572.0,a6834b1144b05f821dc587a1c161d5d1f0717910,i mean i am either streaming or watchin seth anymore it feels 
577.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,not putting oketra back in just for vivien feels like a bad line 
614.0,01ba5a8010e91017d3edec33183f25f3b1e58314,what the trick into getting out of gold e6f5b534861e18fb50e350c8ee31a40db797695e 
616.0,a6834b1144b05f821dc587a1c161d5d1f0717910,oketra in response 
623.0,efbb38c983853c9c2163aeccc27211938b3efa11,that seems so wrong by op 
625.0,20b9987b81dad0e4100a99141019c4184bd0326f,flash god 
641.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,this is gonna be such a grind 
646.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,if they have more board wipes 
673.0,20b9987b81dad0e4100a99141019c4184bd0326f,guide to thin the deck 
676.0,489728250e2d990fedc78d8720a5c0bf11a618bc,you have flash timing for creatures hold off 
683.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,yeah 
712.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,boo and his 
719.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,hiss 
724.0,489728250e2d990fedc78d8720a5c0bf11a618bc,discount karn 
727.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,uh oh 
728.0,397e8b634bb3f4d7eca3fb490116a6102aeaa561,seth no 
730.0,f1f7abfe6206fedbe6bd84ff9485a90a3f27239a,punt 
730.0,f4af044c696a45d4ef55d590216b65135ac797fb,"a punt has been initiated need 2 more punt""s to consider this a punt "
731.0,27140805ecd42f185f655ae16352fae52a4129bc,yikes 
732.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,that's no bueno 
733.0,2c12bf498a59f098535e1dd5e2fb7c0cbc227f98,punt 
733.0,13b82aa95deda1631289625f3750a687613fcdb7,lul 
734.0,b843843dc6b81d82c800292a31376383fa0e7a89,punt 
736.0,20b9987b81dad0e4100a99141019c4184bd0326f,ugin + karn = bffs 
736.0,13b82aa95deda1631289625f3750a687613fcdb7,punt 
736.0,f4af044c696a45d4ef55d590216b65135ac797fb,the punt is real gabyrtfc today's punt count: 2 0 7 punts per hour total punt count: 1061 
737.0,84b76ddeff6025e3dee69b22b75648a1c9ac64c9,punt 
738.0,489728250e2d990fedc78d8720a5c0bf11a618bc,bunged 
740.0,a6834b1144b05f821dc587a1c161d5d1f0717910,you can still arkbow 
741.0,4f24507c1fdbd69c088064f015c63dbad6a7fdff,punt 
744.0,c3e9268893733a8e25b57385442281aa90f59951,oops 
747.0,2c12bf498a59f098535e1dd5e2fb7c0cbc227f98,arkbow 
751.0,2c12bf498a59f098535e1dd5e2fb7c0cbc227f98,punt 
751.0,618f098838d27809b6ccbcd9fc30df71cf054757,punt 
754.0,9803acd0866fb9127998d16fa90e6254db14956c,punt 
758.0,03bbb9a25911bf6876c9151d42b96ea305354689,punt 
758.0,a6834b1144b05f821dc587a1c161d5d1f0717910,punt 
761.0,e6f5b534861e18fb50e350c8ee31a40db797695e,scoopscheer 
766.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,yeah that was a huge punt 
767.0,a2bd94a903b03067933490b24e91a51000c51522,should have flashed in the deputy to make a 4/4 
773.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,like probably game losing punt 
782.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,we might still win 
786.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,but if he has a board wipe 
790.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,that sets us back a lot 
832.0,c740b380da96b43c68ded3c16d2e6ff112dbafab,like when cheon charted a course against a narset 
834.0,e920013b4d9b280f6f264dea609200a19ff7331b,original teferi was the same way back in the day was fun in tournies 
837.0,20b9987b81dad0e4100a99141019c4184bd0326f,well reading is fundamental 
838.0,c0074e9e100fa7f58eba5e22839f885eaeb97bd1,i punt into narset on daily basis 
838.0,e2a3e730836148f37a81a764384045f4ee906c64,i love opts vs narset xd 
841.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,esper superfriend 
843.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,notlikethis 
847.0,03bbb9a25911bf6876c9151d42b96ea305354689,tamiyo's static ability made me punt twice in a row had to shame scoop 
856.0,bd91f05f723e465b23b94cf5477143d899fd00dc,instant speed boardwipe incoming 
858.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,it's like espercontrol but just a couple more planeswalkers than the usual kappa 
860.0,489728250e2d990fedc78d8720a5c0bf11a618bc,we need to kill kid teferi 
860.0,31b54528b2390495b33181ffa36c3ee5bf655b93,he's gonna wrath at istant 
869.0,45bd9703f15ad82548364429921f7435b78b8576,e6f5b534861e18fb50e350c8ee31a40db797695e who is your favorite commander 
889.0,27140805ecd42f185f655ae16352fae52a4129bc,squeeeee 
890.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,mine is sen triplets 
898.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,it will probably always be sen triplets 
901.0,a9643a2d43e00e69df23eac4b69a31f2805127ac,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54 having3+ pw on board is the best feeling in this game imo 
904.0,74385cc777ff852e64216e3ae60709d2dcf2f7d7,alright seth i sent you my decklist for budget magic i think it can put up results 
909.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,second favorite being dimir lobotomist 
911.0,03bbb9a25911bf6876c9151d42b96ea305354689,seth are you planning on building a ninja deck after mh 
915.0,2c15369cd45ea1093f0d3bfa937c73530b0cac68,e6f5b534861e18fb50e350c8ee31a40db797695e you seemed to have a lot of fun with aminatou 
925.0,c3e9268893733a8e25b57385442281aa90f59951,ragnar with morphs 
928.0,6cb67fcf801555a0165d9da8cfb2b4e03e52ba8e,marrow gnawer rats are king 
930.0,c0074e9e100fa7f58eba5e22839f885eaeb97bd1,first sliver kappa 
931.0,bd91f05f723e465b23b94cf5477143d899fd00dc,the cascade cascade thingy 
935.0,cf85a012d42950ca28593caff06b31ccfdcfb4c2,man i'm having to get a mtg slang dictionary out to follow this chat 
942.0,d7cb2f42ee8d5cdc864cbd24aa148ea281294812,obviously panharmonicon blood moon combo 
954.0,20b9987b81dad0e4100a99141019c4184bd0326f,signed animar: all creature build 
960.0,e2a3e730836148f37a81a764384045f4ee906c64,commander is funny only when u are not playing stupid combos extra turns and 1000 tutors 
961.0,3fea32c71400ad284d4ef4459a6b42bf6b065908,razaketh 
965.0,2c15369cd45ea1093f0d3bfa937c73530b0cac68,e6f5b534861e18fb50e350c8ee31a40db797695e favorite commander from war of the spark 
972.0,a9643a2d43e00e69df23eac4b69a31f2805127ac,defender drake is fun 
976.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,not many 
981.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,the only good one imo is niv 
982.0,13c31c8cca2d619f983091ab52ef78377ad2a53d,e6f5b534861e18fb50e350c8ee31a40db797695e merieke ri berith kappa 
983.0,9aa1eb686b7af5aeab01c64c54cd05e8c15e25fa,zo-zu because the less fun other players have the more fun is left for me 
985.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,the rest are all planeswalkers 
993.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,which are technically not allowed as commanders 
1003.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,i wish they would just make planeswalkers legal as commanders 
1007.0,b6f5bfdb3334ff74506c87e97c920362beb25a2e,does this deck have trostani / concave cavalier that's what my jank bant vannifar has 
1008.0,ed34bd5e7f21c03d18f82bd29fdc6210a0b1544e,niv 
1009.0,c3e9268893733a8e25b57385442281aa90f59951,niv 
1012.0,2c15369cd45ea1093f0d3bfa937c73530b0cac68,probably niv 
1013.0,620884532802a18fb60c79313acf8759e56c1068,deck 
1013.0,dea614e648edf44657794f6fca5ea3b3c16edaf9,decklist 
1014.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,and ban just like other commanders 
1019.0,20b9987b81dad0e4100a99141019c4184bd0326f,feather seems fun 
1022.0,a2bd94a903b03067933490b24e91a51000c51522,ilharg is awesome 
1022.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,i have no idea why they haven't allowed them yet 
1025.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,it's so stupid 
1058.0,1ef9e177f32c455c9f7478b8fc3a779b81193e2d,poppin off 
1063.0,e2a3e730836148f37a81a764384045f4ee906c64,edh is format for fun so make ur onw rules :p 
1063.0,2c15369cd45ea1093f0d3bfa937c73530b0cac68,e6f5b534861e18fb50e350c8ee31a40db797695e ilharg alter - https://scontent-sjc3-1 xx fbcdn net/v/t1 0-9/61191761_589865038089142_996806044761980928_n jpg?_nc_cat=108&_nc_oc=aqncyouqadldv6sl98ooeay8n6k1dzha6zwb99duyfr197vw0-x24ma-km_udqu0avp18evtoxidifvuwvfo-bgt&_nc_ht=scontent-sjc3-1 xx&oh=54bfe2e3345424c9a2c6e69065bd40bd&oe=5d5fac20 
1069.0,03bbb9a25911bf6876c9151d42b96ea305354689,through the punts 
1076.0,ed34bd5e7f21c03d18f82bd29fdc6210a0b1544e,niv reborn 
1084.0,1932a1a509a99b4db712f63ad5b93af116c1fbe8,feather or vannnifar 
1086.0,489728250e2d990fedc78d8720a5c0bf11a618bc,that was explosive 
1087.0,d82cce4b22d26a4a8b23cf4e887e04310fe45af8,risky click of the day 
1087.0,618f098838d27809b6ccbcd9fc30df71cf054757,bontu 
1090.0,b6f5bfdb3334ff74506c87e97c920362beb25a2e,i pulled niv mizzet + ilharg in prerelease 
1096.0,74baa5e8a6b185fa991220568d3a6d5a1b97f6b7,voxrtvneve voxrtvrpun voxrtvshed 
1097.0,a2bd94a903b03067933490b24e91a51000c51522,how many turns did you keep that deputy in hand 
1101.0,3cfaa23f61d304ac399feb975674198689542053,fblthp edh pogchamp 
1107.0,549bcb68e2b6c8e94c91ad0b0448fe9d1841b18a,e6f5b534861e18fb50e350c8ee31a40db797695e unpuntished 
1110.0,962951c0b711c57779fd28097e730245627930a4,from war massacre girl 
1113.0,74385cc777ff852e64216e3ae60709d2dcf2f7d7,https://www mtggoldfish com/deck/1959463#paper 
1120.0,573991d0feb96c1da67b0a4a351515b69910862c,every time seth says go down i keep hearing the mary poppins song 
1124.0,20b9987b81dad0e4100a99141019c4184bd0326f,niv seems the most fun to build around 
1128.0,a6834b1144b05f821dc587a1c161d5d1f0717910,rofl 
1133.0,74385cc777ff852e64216e3ae60709d2dcf2f7d7,for anyone interested in the budget magic deck i made 
1139.0,74385cc777ff852e64216e3ae60709d2dcf2f7d7,i'm open to suggestions 
1142.0,575938f37576326d6ebb0b727d6ecc84da42c962,e6f5b534861e18fb50e350c8ee31a40db797695e is there pelaka wurms in the format 
1145.0,575938f37576326d6ebb0b727d6ecc84da42c962,srry caps 
1149.0,45bd9703f15ad82548364429921f7435b78b8576,74baa5e8a6b185fa991220568d3a6d5a1b97f6b7 hey another voxy sub voxrtvhi 
1151.0,a2f8c145b8df4ae375c1a2dd3b1e6d9774a7f0d8,i got an ob nixilis altered art + a niv mizz reborn out of a jap wots booster :d 
1164.0,a2f8c145b8df4ae375c1a2dd3b1e6d9774a7f0d8,today 
1166.0,e68c7db43f2aaf9608e32d996eb7acada44b8b42,keep one spark double to have double shalai 
1173.0,74baa5e8a6b185fa991220568d3a6d5a1b97f6b7,45bd9703f15ad82548364429921f7435b78b8576 voxrtvhi 
1174.0,74385cc777ff852e64216e3ae60709d2dcf2f7d7,it has consistently put out wins by turn 4 
1174.0,a2bd94a903b03067933490b24e91a51000c51522,575938f37576326d6ebb0b727d6ecc84da42c962 pelakka wurm is in m19 so it's still in 
1190.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,how much are japanese weeb cards going for right now 
1191.0,2c15369cd45ea1093f0d3bfa937c73530b0cac68,e6f5b534861e18fb50e350c8ee31a40db797695e ilharg alter i found on facebook today - https://scontent-sjc3-1 xx fbcdn net/v/t1 0-9/61191761_589865038089142_996806044761980928_n jpg?_nc_cat=108&_nc_oc=aqncyouqadldv6sl98ooeay8n6k1dzha6zwb99duyfr197vw0-x24ma-km_udqu0avp18evtoxidifvuwvfo-bgt&_nc_ht=scontent-sjc3-1 xx&oh=54bfe2e3345424c9a2c6e69065bd40bd&oe=5d5fac20 
1196.0,962951c0b711c57779fd28097e730245627930a4,i can't wait to turn my chainer commander into yawgmoth 
1201.0,575938f37576326d6ebb0b727d6ecc84da42c962,a2bd94a903b03067933490b24e91a51000c51522 then it should be asideboard card 
1201.0,f16a8ed01a05a4a58bb4b5d81dc91744fa0ab8e0,deck 
1203.0,13c31c8cca2d619f983091ab52ef78377ad2a53d,74385cc777ff852e64216e3ae60709d2dcf2f7d7 trash compared to rdw 
1203.0,c3e9268893733a8e25b57385442281aa90f59951,yeah was just gonna say my sultai vannifar runs the big momma pelakka 
1216.0,575938f37576326d6ebb0b727d6ecc84da42c962,or even 1 main 
1218.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,i say weeb cards with all the love and affection my dying heart can muster 
1220.0,d7cb2f42ee8d5cdc864cbd24aa148ea281294812,e6f5b534861e18fb50e350c8ee31a40db797695e any ideas for my dino standard deck https://www mtggoldfish com/deck/1878135#paper 
1228.0,74385cc777ff852e64216e3ae60709d2dcf2f7d7,13c31c8cca2d619f983091ab52ef78377ad2a53d wow thats harsh lol 
1262.0,19e883f9bbed80473c26b6478601b997d75baabb,foil japanese liliana is going for $1000 
1263.0,57ab0aac50e21f7db33ab9cb25bfc645adfe2656,idk last time i checked on liliana ahe was like 1200 
1265.0,59cdd5ee828f4a798f6b3f93abc1261e1d04c780,no vintage vube 
1293.0,45bd9703f15ad82548364429921f7435b78b8576,e6f5b534861e18fb50e350c8ee31a40db797695e i've been playing electro end a little bit and you were right mentors/pyromancers in the sideboard also i thanked somebody out with blood moon for the first time the other day 
1299.0,e2a3e730836148f37a81a764384045f4ee906c64,those japanese walkers are awful :/ 
1301.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,169 dollars for non-foil liliana 
1302.0,1932a1a509a99b4db712f63ad5b93af116c1fbe8,e6f5b534861e18fb50e350c8ee31a40db797695e must-haves for a bant proliferate deck 
1303.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,puke 
1311.0,49730293dafa087f72a4be122affdd4892a8a356,lotusliana 
1318.0,9aa1eb686b7af5aeab01c64c54cd05e8c15e25fa,i'd run a few more savage stomps that card is so damn annoying to play against 
1322.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,oh god 
1326.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,1200 dollars 
1327.0,13c31c8cca2d619f983091ab52ef78377ad2a53d,74385cc777ff852e64216e3ae60709d2dcf2f7d7 cry ritual of soot 
1328.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,for foil 
1331.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,my sides 
1332.0,57ab0aac50e21f7db33ab9cb25bfc645adfe2656,i want lili cause ff artist lol 
1337.0,e68c7db43f2aaf9608e32d996eb7acada44b8b42,d7cb2f42ee8d5cdc864cbd24aa148ea281294812 deafening clarion 
1339.0,57ab0aac50e21f7db33ab9cb25bfc645adfe2656,yeaaap it hurts 
1347.0,efbb38c983853c9c2163aeccc27211938b3efa11,vivien giving vigilance to paradise druid is nice 
1359.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,i actually like some of them 
1363.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,some of them look eh 
1366.0,7ddff481311622e7dcbce39cd1bbcb3b1ab36a54,but some are good 
