Time,User,Message
0.0,a5c97ed1e8a7d941cd9ac93368056f8c4cfd9acf,crate 
13.0,45db5404eef29d9de2c181e56225b564ee62f1b3,yea hopefully it isnt overseas cuz thats alot 
23.0,5aae392876e53d222bd7f3b18db1b60cd4f2d844,i think i like one of the wheels that's it 
43.0,5aae392876e53d222bd7f3b18db1b60cd4f2d844,crate farmer confirmed kappa 
55.0,0e539e9b5ca883b2cfe53d9c37b4f5f5e6b18508,isn't that porter robinson in the bg 
83.0,307079cffc719f1c5784ee20972ba8f2c810aa3a,5aae392876e53d222bd7f3b18db1b60cd4f2d844 lmao 
110.0,13e45dab32a2ab8f672ee88aa58e58438f8d3cf0,like are the crates in your inventory gonna get wiped or they just gonna leave those 
126.0,0e539e9b5ca883b2cfe53d9c37b4f5f5e6b18508,they gonna get turned into blueprints 
126.0,a6033086d3d06e6f3a5c0fe70be8aa2d8898f17d,13e45dab32a2ab8f672ee88aa58e58438f8d3cf0 they're supposedly getting turned into blueprints 
131.0,45db5404eef29d9de2c181e56225b564ee62f1b3,bang 
134.0,0e539e9b5ca883b2cfe53d9c37b4f5f5e6b18508,and keys turn to credits 
154.0,a5c97ed1e8a7d941cd9ac93368056f8c4cfd9acf,bigphish 
157.0,13e45dab32a2ab8f672ee88aa58e58438f8d3cf0,ok what are blueprints sorry i used to no life rl and it's just all weird to me now 
159.0,23aae4a3e80493ddd027c262917d217eb2c7d167,the wheels all probably have special edition variants as well 
162.0,f39867c278b796b1cdfabdf034b1bbf23743a8ee,wow 
176.0,f39867c278b796b1cdfabdf034b1bbf23743a8ee,lul 
192.0,f39867c278b796b1cdfabdf034b1bbf23743a8ee,your good 
193.0,5aae392876e53d222bd7f3b18db1b60cd4f2d844,no booli 
196.0,45db5404eef29d9de2c181e56225b564ee62f1b3,lul the bumps 
212.0,307079cffc719f1c5784ee20972ba8f2c810aa3a,at school we're doing a poster with inspirational people lol i threw down kro's name of course 
215.0,13e45dab32a2ab8f672ee88aa58e58438f8d3cf0,is there a video online i could watch to learn about this 
215.0,842fc76c40ab44d7ba3d046cd55234261773b50f,caught any of the oce scene kro 
218.0,5e7f7a98d214b5e3ba0531c3d54291bc016b25c6,hi kro 
221.0,f39867c278b796b1cdfabdf034b1bbf23743a8ee,lul lul goalllll 
221.0,45484b0b84b02c35c28e0ac725ca5ceeecacd5ff,e78b7d9261573cbd06c9d144c556cd77d11371fe are players allowed to use controllers with paddles at lans like a scuff 
223.0,7d68c3753eb17afea67e1b335cb6badf3e6fcef6,nailed it 
229.0,7d68c3753eb17afea67e1b335cb6badf3e6fcef6,d3viniooof 
245.0,842fc76c40ab44d7ba3d046cd55234261773b50f,chiefs and renegades 
246.0,5e7f7a98d214b5e3ba0531c3d54291bc016b25c6,what about oce 
250.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,842fc76c40ab44d7ba3d046cd55234261773b50f hey man 
268.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,cjcj 
270.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,express 
272.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,drip 
276.0,a5c97ed1e8a7d941cd9ac93368056f8c4cfd9acf,wooow 
282.0,307079cffc719f1c5784ee20972ba8f2c810aa3a,thanovic 
282.0,f39867c278b796b1cdfabdf034b1bbf23743a8ee,wutface wutface wutface 
286.0,842fc76c40ab44d7ba3d046cd55234261773b50f,rng is torsos kamii siki 
288.0,31c7d96c7d673993f83224e22d547821bb7ed408,torsos went oce 
291.0,5e7f7a98d214b5e3ba0531c3d54291bc016b25c6,hey kro how do i become a good player 
291.0,73f4dc4b548f0454828d55392567ed665a9e90b6,i love quidditch and you 
296.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,torsos never left oce 31c7d96c7d673993f83224e22d547821bb7ed408 
302.0,31c7d96c7d673993f83224e22d547821bb7ed408,oh lol thought he was eu 
310.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,if only :( 
321.0,f39867c278b796b1cdfabdf034b1bbf23743a8ee,notlikethis 
325.0,842fc76c40ab44d7ba3d046cd55234261773b50f,ground zero is probably only team with upset potential 
329.0,842fc76c40ab44d7ba3d046cd55234261773b50f,like last season 
332.0,2ebbed3a9e95c83b353e3b1c9450f53fda5c1f58,drippay left oce 
332.0,4576b4bf7f89278f1d28b90c71e9ce01f0aac5ee,are you excited for this weekend 
340.0,af674558a39bb863a4aaa100837f19130c9f768e,drip is back in oce 
341.0,2ebbed3a9e95c83b353e3b1c9450f53fda5c1f58,did he go back 
353.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,842fc76c40ab44d7ba3d046cd55234261773b50f you mean overt 
358.0,842fc76c40ab44d7ba3d046cd55234261773b50f,lmao 
362.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,overt third best team pog 
365.0,72904a89e99404ba14b3f7ba2476b353fd35eab5,chillin homie stoked to catch a stream finaaally 
367.0,842fc76c40ab44d7ba3d046cd55234261773b50f,no way 
369.0,dfe9bd1c4b04c4aa42dd03dbe3f86cd47956b197,e78b7d9261573cbd06c9d144c556cd77d11371fe thanks for streaming again i am going through a really tough time in my life and your streams make it better i really wish i had money to sub to you i really want to support you thanks for all you do routing for you this weekend 
371.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,kia lan carry bro 
375.0,39eb20d87f96d91d80439a16d18e44e711ba5940,crate crate 
376.0,0e539e9b5ca883b2cfe53d9c37b4f5f5e6b18508,crate 
377.0,39eb20d87f96d91d80439a16d18e44e711ba5940,crate 
384.0,842fc76c40ab44d7ba3d046cd55234261773b50f,b67e913cafbed9b3016c54a4c1d2228767e63eab but they gotta make top 4 first 
388.0,d7c57a862abfdb4bf9180006e66bb310cda0aac7,crate\ 
393.0,b16ccf7de213c7abf6172a8f680c5154ab5e7a99,craaate 
405.0,0bf3b6d7707481641c733c1f95529199fc935110,clap 
406.0,45db5404eef29d9de2c181e56225b564ee62f1b3,campog campog campog campog campog campog 
409.0,d1c3e2e571243cf71b338e7e354be55b82312c43,crate lmao 
410.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,842fc76c40ab44d7ba3d046cd55234261773b50f they have a decent shot since they beat mindfreak 
411.0,e2f80636f3f2362057cc5280ce51a9805f00bbb9,dibs 
418.0,90b822e8c89f8ac1cfed9e15520c4e2b585c4bd6,crate 
420.0,764b64c660673029fc5475c3758ddfe7087362cd,omegalul 
422.0,dc9b16dfff7ac5e664fe11563b6cbdb1e5127a08,lol 
423.0,0e539e9b5ca883b2cfe53d9c37b4f5f5e6b18508,it's karma 
426.0,45db5404eef29d9de2c181e56225b564ee62f1b3,wholesum 
426.0,0df308bda4c95d26b1c91081059dc27c147acdcd,sumsmash 
427.0,842fc76c40ab44d7ba3d046cd55234261773b50f,b67e913cafbed9b3016c54a4c1d2228767e63eab did you hear about the gz meetup nextweek 
441.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,yeh kinda its in perth right 
446.0,842fc76c40ab44d7ba3d046cd55234261773b50f,yeah i'm goin 
452.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,pogchamp 
456.0,b67e913cafbed9b3016c54a4c1d2228767e63eab,get to meet billy 
