Time,User,Message
0.0,d166fc960e927523eb097bcb917b302ef63890d1,just noticed the time no wonder i'm hungry i've only had bacon roll today xd 
26.0,d166fc960e927523eb097bcb917b302ef63890d1,gonna go grab some food 
45.0,d166fc960e927523eb097bcb917b302ef63890d1,get back to sepulcher 1st 
558.0,489dfd5316774486e5955a434b117c47277a98c1,fair well chaps have a good one 
588.0,bc97a042297dfd2584f81456786e1abb077c95af,brb gonna check on my slow cooker 
800.0,6fbc19d9d0243b03b7f7939362b8da0351d4c7f4,join the factionless community co-owned by dauntlessgg verticalsprite oldmanrenz and me https://discord gg/zz4qrh8 
855.0,d166fc960e927523eb097bcb917b302ef63890d1,back ^_^ 
1038.0,d166fc960e927523eb097bcb917b302ef63890d1,i sent ralark 3 of the basic 6 slot bags as that's the best i can make currently 
2506.0,e57720f25afd703b9bcf240d7a344917d044d390,nice 
2590.0,d166fc960e927523eb097bcb917b302ef63890d1,oh i need to remember and download the t-800 in mk11 
2654.0,d166fc960e927523eb097bcb917b302ef63890d1,guessing he asked for too much money for voice and appearance so they just went with appearance 
2654.0,6fbc19d9d0243b03b7f7939362b8da0351d4c7f4,like me https://www facebook com/dorkanaught/ 
2713.0,d166fc960e927523eb097bcb917b302ef63890d1,nah it doesn't sound like him 
2762.0,d166fc960e927523eb097bcb917b302ef63890d1,thumbs ups in t2 is the only time i've seen him do it 
3025.0,d166fc960e927523eb097bcb917b302ef63890d1,shouldn't he-man be in eternia kappahd 
3048.0,d166fc960e927523eb097bcb917b302ef63890d1,skeletor kappahd 
3080.0,d166fc960e927523eb097bcb917b302ef63890d1,levelling a priest is sloooooooow 
3178.0,d166fc960e927523eb097bcb917b302ef63890d1,destroy him orcaa don't let him see it coming 
3238.0,e57720f25afd703b9bcf240d7a344917d044d390,black dragons 
3554.0,6fbc19d9d0243b03b7f7939362b8da0351d4c7f4,follow me https://twitter com/orcanaught 
3854.0,d166fc960e927523eb097bcb917b302ef63890d1,is fused around 
3886.0,d166fc960e927523eb097bcb917b302ef63890d1,meth 
3898.0,bc97a042297dfd2584f81456786e1abb077c95af,sup spectre 
3905.0,d166fc960e927523eb097bcb917b302ef63890d1,fusedenberg 
3917.0,d166fc960e927523eb097bcb917b302ef63890d1,o/ fusedfury 
3921.0,bc97a042297dfd2584f81456786e1abb077c95af,thats a secret i told you never to repeat dammit 
3958.0,d166fc960e927523eb097bcb917b302ef63890d1,i'd like 1kg of your finest methanthetamine 
3983.0,bc97a042297dfd2584f81456786e1abb077c95af,certainly sir ill even do you mates rates 
4002.0,d166fc960e927523eb097bcb917b302ef63890d1,did you see the custodes fused 
4245.0,2f8ba88236e4289f44ee97b79c95ea112994d023,hi 
4250.0,2f8ba88236e4289f44ee97b79c95ea112994d023,:waving_hand_light_skin_tone: 
4254.0,d166fc960e927523eb097bcb917b302ef63890d1,e7d45b69ee894221fa5fbace3e6815de3f768105 what's daunt's character in wow and is she alchemy 
4258.0,2f8ba88236e4289f44ee97b79c95ea112994d023,how is life going 
4346.0,e57720f25afd703b9bcf240d7a344917d044d390,hello going well 
4454.0,6fbc19d9d0243b03b7f7939362b8da0351d4c7f4,action come join the community https://discord gg/djdrhpm 
4569.0,bc97a042297dfd2584f81456786e1abb077c95af,yeah spectre they are looking nice 
4614.0,d166fc960e927523eb097bcb917b302ef63890d1,:) 
4732.0,d166fc960e927523eb097bcb917b302ef63890d1,black purple and gold 
4798.0,bc97a042297dfd2584f81456786e1abb077c95af,feeling like crap so i made a beef stew today and its amazing 
4819.0,e57720f25afd703b9bcf240d7a344917d044d390,get well soon :) 
4836.0,bc97a042297dfd2584f81456786e1abb077c95af,thanks e57720f25afd703b9bcf240d7a344917d044d390 
4848.0,e57720f25afd703b9bcf240d7a344917d044d390,owl2019hype 
4858.0,d166fc960e927523eb097bcb917b302ef63890d1,i'm off for now 
4859.0,d166fc960e927523eb097bcb917b302ef63890d1,bye 
4891.0,e57720f25afd703b9bcf240d7a344917d044d390,czarlitealuv 
4950.0,bc97a042297dfd2584f81456786e1abb077c95af,nn spectre 
5354.0,6fbc19d9d0243b03b7f7939362b8da0351d4c7f4,check out our bttv emotes orckappa orcrage orcsip orcwagh orcwut orchype download bttv here: https://nightdev com/betterttv/ 
5436.0,bc97a042297dfd2584f81456786e1abb077c95af,drunken brawlers gonna get ya lul 
5546.0,bc97a042297dfd2584f81456786e1abb077c95af,inb4 you get bum raped and he takes over all your territories lul 
6538.0,e57720f25afd703b9bcf240d7a344917d044d390,nice one 
8609.0,e57720f25afd703b9bcf240d7a344917d044d390,okay 
8780.0,c5311298ffb38de858e6d511b5e438e1929fb15b,lol just one more game :p 
8781.0,6fbc19d9d0243b03b7f7939362b8da0351d4c7f4,join the factionless community co-owned by dauntlessgg verticalsprite oldmanrenz and me https://discord gg/zz4qrh8 
8967.0,c5311298ffb38de858e6d511b5e438e1929fb15b,cya o/ 
