Time,User,Message
0.0,3867151477cc39c0a248bcbb5702a2b93d6f2230,how do you recommend getting the travelers pledge 
23.0,e8d583a63c19333af20899aa6a574f8e787b197b,3867151477cc39c0a248bcbb5702a2b93d6f2230 lon wol is strongest for monk this season 
42.0,f4303d5963ad154c9aacde12b50a934405a9d67b,bluddwave 
135.0,e8d583a63c19333af20899aa6a574f8e787b197b,lod* my bad lul 
145.0,c4b37cc4864c4e2d214eae86d372abc40ea2a647,hey man how are you 
182.0,d103ec185f5e52a28c1950814d8de68905245a44,profile 
184.0,f4303d5963ad154c9aacde12b50a934405a9d67b,i just made a vyr archon wizard today for the first time and trying to learn it 
197.0,d103ec185f5e52a28c1950814d8de68905245a44,battlenet still down residentsleeper 
230.0,c51748e39f080f0be36a05d43b2eb3222a60ffac,can we please rebrand it as battlenot please 
233.0,c51748e39f080f0be36a05d43b2eb3222a60ffac,i beg 
235.0,c51748e39f080f0be36a05d43b2eb3222a60ffac,please 
248.0,cafc5f0895211690dcde3687f8c368169ad35a25,sup leviathan 
283.0,d103ec185f5e52a28c1950814d8de68905245a44,armory down for like 1 week already and still not fixed pls blizzard babyrage 
291.0,e82e9bb34428b06972e216d895b04ba22dbb830f,ssf 
291.0,cafc5f0895211690dcde3687f8c368169ad35a25,yep good now im able to push on my necro 
305.0,cfea5989b55da3035770381aaa33eec039249775,it's a ploy to get people to use cellphone browsers to look at profiles kappa 
586.0,c51748e39f080f0be36a05d43b2eb3222a60ffac,let the conspiracy theories begin: battle net is busted intentionally to disable datamining of the diablo 4 internal alpha because the client is designed to broadcast certain achievements to bnet friends and it was easier to break the network than break stuff in the d4 test client and cause false-positive bugs 
646.0,f4303d5963ad154c9aacde12b50a934405a9d67b,5head 
930.0,f3d048150c0d6f796642e74b780e33ed9eb6fee9,tbs dang 
1004.0,f3d048150c0d6f796642e74b780e33ed9eb6fee9,whats faster for forgotten souls rifts or gr 
1005.0,110ea3d09eb16076730858d0dfd5cc8fe15dce31,builds 
1105.0,1e75188d96021b90726457f349508fcc3c15fcd3,fastest way to get forgotten souls is to party with 3 other people who don't need them anymore and have them throw you legendaries levilul 
1149.0,3867151477cc39c0a248bcbb5702a2b93d6f2230,are there any good crusader builds 
1237.0,1e75188d96021b90726457f349508fcc3c15fcd3,condemn is kind of like vyrs on steroids in that both use spheres of damage but condemn has had its spheres shrunk by the steroids levilul 
1281.0,d103ec185f5e52a28c1950814d8de68905245a44,condemn pogchamp 
1377.0,d103ec185f5e52a28c1950814d8de68905245a44,i wish condemn would be pog again feelsbadman 
