Time,User,Message
0.0,2552d29d5e671493dd76a1dea17f77b694768c6a,a096e6f3f09916a1635d8471c2d33e270972068e yeah 
3.0,608dfa9ebd7b165e8020bf8b28dfa89f5c841118,skyrim a096e6f3f09916a1635d8471c2d33e270972068e 
3.0,a096e6f3f09916a1635d8471c2d33e270972068e,thanks 
8.0,4e5a9d8bde90293403e70c1680a4617c5fdb2a25,you need a viewing platform 
8.0,2552d29d5e671493dd76a1dea17f77b694768c6a,barbok 
16.0,9cfe59ad04f104297070d3ae38193c9e8d41745d,is this your crib 
17.0,4d6516bf899fd2c99aedb14007146202696fa89f,any plans to play new vegas 
26.0,9cfe59ad04f104297070d3ae38193c9e8d41745d,you built that 
29.0,9cfe59ad04f104297070d3ae38193c9e8d41745d,barbshock 
30.0,c4d2d60570db7c4504ee1e86fdc9202da33b366e,hi barb that's so sick just joining 
46.0,7eebff948c9231f8d4788d419e082014e056dd8c,barbok 
58.0,5cd25ad9f704babf8d7c35c39caae60e80785e72,worth it 
60.0,33d6fd98b61832a5342123f261bbbb8830ff7867,off stream barb is wholesome and cute and builds pixel art marios 
74.0,ab59ee02e7391ad85ea7f9ae306a9aad6d478e54,realm 
91.0,7edd64c25a64b6ef6cf44945283eecf0b85c1bc8,those pillars are sick though i wish you'd add more of them 
92.0,933b7675cf3ceb58d8607690db80295e2b11f09e,how did you pick up the ice silk touch or water buckets 
111.0,4b7a584574d5bd7dc2505f5ac06f8082f2f071cb,which house is this is this the big tower 
130.0,33d6fd98b61832a5342123f261bbbb8830ff7867,time for an adventure 
139.0,b3af4bd58f4393db8bbfc2eca1406aa17587052f,is this a new map 
146.0,2552d29d5e671493dd76a1dea17f77b694768c6a,b3af4bd58f4393db8bbfc2eca1406aa17587052f same map 
166.0,b3af4bd58f4393db8bbfc2eca1406aa17587052f,2552d29d5e671493dd76a1dea17f77b694768c6a then i have missed a lot 
173.0,4a99ec7917b672df8aea7b333e3e2298d58b49f8,is that why it never snows here i don't get visits from santa 
181.0,33d6fd98b61832a5342123f261bbbb8830ff7867,spam it everywhere 
185.0,2552d29d5e671493dd76a1dea17f77b694768c6a,b3af4bd58f4393db8bbfc2eca1406aa17587052f lol yeah 
196.0,2552d29d5e671493dd76a1dea17f77b694768c6a,lol 
228.0,b3af4bd58f4393db8bbfc2eca1406aa17587052f,barb can you bring up the map for a sec 
248.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,it's just a penis 
257.0,8d633c9de804cebe799878ed8cc44679e64bdf9e,pretty much 
259.0,06384a33db12c9e658dc6eedcece68db5d8ac0cd,cird 
269.0,7eebff948c9231f8d4788d419e082014e056dd8c,barbtoxic 
277.0,d81448f312524428bec673ed523d1df4fbe7527a,barbsailor 
278.0,d2f89348ec7764ce491831411dcbd91b66143430,i though t it was closer to your house barbt 
283.0,2552d29d5e671493dd76a1dea17f77b694768c6a,barbeyes 
291.0,33d6fd98b61832a5342123f261bbbb8830ff7867,i think osu wanted your approval to build the station close to you 
295.0,6d90a255eae6e2200336bb8b32f3b58cee33611f,everyone hide your bnelongings 
307.0,b3af4bd58f4393db8bbfc2eca1406aa17587052f,for the longest time i thought the that's a penis gif was from night court 
336.0,d122ba3b11bde10149b2b6442f5d36f86514477e,what a noble steed 
338.0,8e14db64601dd02859e80735566206054a361ecf,riding a boat with a llama thats sick 
348.0,e0717b5e951bbc438b7224e3bff6c2f44c39b92b,wait its not b3af4bd58f4393db8bbfc2eca1406aa17587052f 
365.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,lol just pickaxe your way in 
367.0,cfda79d6c91026189340fd7f4816fa87365b676a,could always dig in 
368.0,b3af4bd58f4393db8bbfc2eca1406aa17587052f,e0717b5e951bbc438b7224e3bff6c2f44c39b92b it's from himym i think 
375.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,oh hey my house 
387.0,e0717b5e951bbc438b7224e3bff6c2f44c39b92b,i would have bet money on night court lul 
394.0,3ace6e6c1320d2bbe462c5215f801b4464beb135,llama power is more revolutionary then steam 
398.0,cffcb6e42e9c843d4da892bff01c795fbfa983da,i made this :) 
401.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,you're closer than i thought you were 
408.0,d2f89348ec7764ce491831411dcbd91b66143430,i haven't had any time to mess with tings lately barbhard 
413.0,67fc74a21eb72c807aabe7643fe776837b0b2b81,people are so far spread out you cant even find all houses barblul 
415.0,cfda79d6c91026189340fd7f4816fa87365b676a,take his boat lul 
420.0,2552d29d5e671493dd76a1dea17f77b694768c6a,lol 
426.0,b3af4bd58f4393db8bbfc2eca1406aa17587052f,e0717b5e951bbc438b7224e3bff6c2f44c39b92b https://knowyourmeme com/memes/thats-a-penis 
438.0,0a27f31c62a88b092a6620e5bac82bff3ca4bc9d,this is the suburbs 
445.0,46d4b4525d2acbfa29c0365662c829b8d8f6f701,found another water temple 
447.0,e0717b5e951bbc438b7224e3bff6c2f44c39b92b,thanks for setting me straight b3af4bd58f4393db8bbfc2eca1406aa17587052f 
452.0,cfa9965db99b8c1400eb7fcced2ec620d1c1ee15,uptime 
453.0,71549cac65138f900deabf8283cba7c12d48f1f0,barb has been streaming for 6 hours 43 minutes and 42 seconds 
455.0,0e9a90d80b2ad2119974c712bfdb6bc44665bc89,wtf 
455.0,2cb48db064f0855f43bbb5615f52de907c241e4c,wtffffffff 
456.0,0e9a90d80b2ad2119974c712bfdb6bc44665bc89,wow 
458.0,b1a7d8a657deaf11b7913a8a0e4c1031e00dfa57,antbarbtica 
458.0,67fc74a21eb72c807aabe7643fe776837b0b2b81,wily doin work lul 
459.0,002ce77e80be490ef2a238ebeb1b8a238b589aef,you out in the boonies 
459.0,7918ed078096524b9a01425aaad6d0f44f183e64,lol 
462.0,a7bdaf00be706ac169239bba43bd456a44509d6a,whoa wtf 
463.0,2cb48db064f0855f43bbb5615f52de907c241e4c,theres an apartment building 
463.0,7918ed078096524b9a01425aaad6d0f44f183e64,civilization pog 
466.0,80d334b4d1c7d5ded585481a6e7d8a7cb1aef822,feennerd 
467.0,cfda79d6c91026189340fd7f4816fa87365b676a,that's a fucking parking garage lul 
471.0,d2f89348ec7764ce491831411dcbd91b66143430,that tower is hideous 
472.0,a1e31b1d4b9bb764ce893fe42c8ac90f5f213d2d,the cold country 
473.0,7d6c86820567b990c92829e1f34c7382fbda4fa5,parking garage 
473.0,baab55fa79a9d6dcc36e15d05f5ff84f58e4f7ee,yeah but that's like a north korean building with nothing inside it 
473.0,2552d29d5e671493dd76a1dea17f77b694768c6a,cfda79d6c91026189340fd7f4816fa87365b676a lol 
473.0,d2f89348ec7764ce491831411dcbd91b66143430,and pointless 
474.0,715f1351013a73065415927a5d14e77d9d360d2e,damn thats a huge mob grinder 
481.0,933b7675cf3ceb58d8607690db80295e2b11f09e,that's an old school mob spawner lol 
482.0,33d6fd98b61832a5342123f261bbbb8830ff7867,go inside the giant building 
485.0,57561a56ecfcfe0e8892588da15ddf8ad487ec2e,is there a height limit to how high you can go 
485.0,8d633c9de804cebe799878ed8cc44679e64bdf9e,*music intensifies 
485.0,2cb48db064f0855f43bbb5615f52de907c241e4c,oh shit the dome is lit 
485.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,i intentionally moved away from the city 
487.0,7eebff948c9231f8d4788d419e082014e056dd8c,barbeyes barbeyes barbeyes 
490.0,0a27f31c62a88b092a6620e5bac82bff3ca4bc9d,how many people are in this server 
490.0,d2f89348ec7764ce491831411dcbd91b66143430,the giant building is just empty 
492.0,2552d29d5e671493dd76a1dea17f77b694768c6a,it looks cool 
495.0,e0717b5e951bbc438b7224e3bff6c2f44c39b92b,the old world sure has come a long way 
496.0,4d6516bf899fd2c99aedb14007146202696fa89f,dont make fun of him just because hes bald 
498.0,2552d29d5e671493dd76a1dea17f77b694768c6a,ahahahaha 
499.0,7918ed078096524b9a01425aaad6d0f44f183e64,thats cool 
504.0,3db5f59c924c36b36897bf6bc30c8e449cee19f1,burn it 
505.0,d2f89348ec7764ce491831411dcbd91b66143430,burn it 
505.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,and now barb moving west has brought the city my way 
505.0,a1e31b1d4b9bb764ce893fe42c8ac90f5f213d2d,burn it 
506.0,002ce77e80be490ef2a238ebeb1b8a238b589aef,yes 
507.0,7d6c86820567b990c92829e1f34c7382fbda4fa5,burn it 
508.0,69e52b93cf08f4e1a463da435c39f262e4f5c7c3,no lul 
509.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,do it 
509.0,c0d907a4d7737c988a82fdeadcbeb65ca337e8ad,do do do burn your shit down 
509.0,e057358ce01e12f4a7584cdf1f548233f22ea933,yes 
509.0,b1a7d8a657deaf11b7913a8a0e4c1031e00dfa57,sure 
509.0,8d633c9de804cebe799878ed8cc44679e64bdf9e,yes 
509.0,3db5f59c924c36b36897bf6bc30c8e449cee19f1,burn it yes 
510.0,b3af4bd58f4393db8bbfc2eca1406aa17587052f,e0717b5e951bbc438b7224e3bff6c2f44c39b92b it's a sign we're both old enough to remember night court 
510.0,2552d29d5e671493dd76a1dea17f77b694768c6a,barblaw 
510.0,d81448f312524428bec673ed523d1df4fbe7527a,funeral pyre 
511.0,af286b10d54525974dd324e570a6c32f1bb6c07f,monkas 
511.0,7eebff948c9231f8d4788d419e082014e056dd8c,barbtoxic 
512.0,7918ed078096524b9a01425aaad6d0f44f183e64,burn 
512.0,715f1351013a73065415927a5d14e77d9d360d2e,ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf :ship: ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf ruyuf 
512.0,5f2e5f3780884dbedbf5c34043737df3eef3624d,burn it 
513.0,002ce77e80be490ef2a238ebeb1b8a238b589aef,burial at sea 
513.0,5994d7519613ec62a146eb4e5ccacf91606e0970,is that where he sacrifices people 
513.0,627dc7b0813366421a894c997f4dbc8eae82cfe8,yes 
513.0,0e9a90d80b2ad2119974c712bfdb6bc44665bc89,kill it with fire 
513.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,poochatsplain poochatsplain poochatsplain 
516.0,ab59ee02e7391ad85ea7f9ae306a9aad6d478e54,burrnn ittt 
516.0,4d6516bf899fd2c99aedb14007146202696fa89f,burn it 
517.0,8fa6fce5babc6bf12fe8629d4eb6abc45a202468,you're burning history 
517.0,2623bf0360ba423fbb7c4d1848a8c3f3cc40b850,noooooo 
517.0,6d90a255eae6e2200336bb8b32f3b58cee33611f,do it for content 
518.0,9cfe59ad04f104297070d3ae38193c9e8d41745d,burn it burn it burn it burn it burn it burn it burn it burn it burn it 
520.0,a795d6da9a7b01a23194e6970bc709fb06201b6f,dracarys 
521.0,67fc74a21eb72c807aabe7643fe776837b0b2b81,barblul 
521.0,508356abc622f12dbd3e0f2b040546b4fd045403,viking funeral 
522.0,2cb48db064f0855f43bbb5615f52de907c241e4c,the llama 
522.0,8c0d7b8048b2bc27edfb576e4d9b31d3588dba20,barblul 
523.0,a1e31b1d4b9bb764ce893fe42c8ac90f5f213d2d,noooo llama friend 
523.0,69e52b93cf08f4e1a463da435c39f262e4f5c7c3,karma lul 
524.0,b1a7d8a657deaf11b7913a8a0e4c1031e00dfa57,hahaha 
525.0,5ddda98e29a79c75c3ce10dfabaaf73d791d309f,yes 
525.0,2552d29d5e671493dd76a1dea17f77b694768c6a,oh damn lol 
525.0,2cb48db064f0855f43bbb5615f52de907c241e4c,noooooo 
