Time,User,Message
0.0,c049a6ba092dcd79b86be70f7b24c28cf804577a,im to high for this 
2.0,b2cfd3fa7a50eb5941d9b33cd66b724c5b6d65a8,scout is so good now 
8.0,2180ce9f20a86be434b6cb59c9261143feea78c0,lol nice 
9.0,c049a6ba092dcd79b86be70f7b24c28cf804577a,im crying 
19.0,c049a6ba092dcd79b86be70f7b24c28cf804577a,r99 gang tho 
20.0,2b0998ac3a189ee6d9f3170ef3f4c296cd117b53,c049a6ba092dcd79b86be70f7b24c28cf804577a cigrip 
33.0,6f879d7f8e2b29997acc8fc130edbf9bcb11ae30,gang gang gang 
39.0,8277d6b5fc119b4160c7a1430a173abaf81428c1,rip light ammo 
43.0,bb1f27125cb86ca43dee7aae674381e10b1f1106,ned stark 
45.0,c049a6ba092dcd79b86be70f7b24c28cf804577a,eat 
47.0,86631ed4874215ec25c5b171d42fb2e701b0fe28,aaayyyy 
53.0,d39a590e4779d458e6f2c7c20c50c444de7fb468,ping 
56.0,d14b40561782c7e9db366ef1e51cc56ae4064c1b,audio where 
63.0,e2ab6d2e868064a9770f34fbe726b2aff782e5b7,that was yo moment 
64.0,c049a6ba092dcd79b86be70f7b24c28cf804577a,nah game chats ass 
68.0,7bb53a3fb64d92e0de8d18e73bfb0796c391628c,the sounds in apex is wack u can hear real loud from ages away and barely hear them close 
75.0,b6168fb8e1cbd3c9aa6d601542bdf62aca608c96,what a skin 
77.0,e187dd795222715685c6dae4f7aa5e107aafa28c,that pathfinder skin ceezch 
78.0,e425ac88887f7b70317a3aa317917f5ae7922ac8,ned stark of the stark ned starks 
78.0,c049a6ba092dcd79b86be70f7b24c28cf804577a,lets goooooo 
79.0,d14b40561782c7e9db366ef1e51cc56ae4064c1b,no footsteps 
81.0,2b0998ac3a189ee6d9f3170ef3f4c296cd117b53,dat scout 
88.0,4c13fae99fb533ea1b11c3fddb6fd5f7ec07d287,dang multiple squads 
88.0,e6bdf5039fb0f8ef2100eeead70130ccc8a527d5,anotha one 
91.0,5df75601d9506ddf3fd13b7ef636830ee87b56a0,thot cross buns lol 
98.0,a2f88e3ce8649158751da9995d75f557bdecc417,geeeg 
102.0,cb7dae0a951162ad26acc19e454adfc08e65741f,req lul 
103.0,15311fe108994f5b8b4d7f03190f1fadcf57f864,bruv wheres tha music sourpls 
104.0,3659dac6054b4ab1394f86d9ac7a311c9cb0657a,yo e9242bff3adf18ea9905a87c9a11a9774809a004 foot step quality is kinda bad in this game 
105.0,4e4f23ea7cdfb74f619d1d597524400f6c05b58a,audio in this game is trash 
105.0,ef6dba92fc9cebf8989853078821215d9f7e7232,they don't do footsteps well in this game 
106.0,e2ab6d2e868064a9770f34fbe726b2aff782e5b7,teams on teams 
106.0,d1bd4e814068fd4bd1ec864506b8c1f658b2d546,ceezgeeg 
108.0,3b7db7760f0dc4d63ec91d9b3cdb68840e524ba3,what game is dis 
108.0,7951f460269cfbc06694495bc7183178f0ba6d36,the audio is so bad in this game 
108.0,6da68a64917bf454623b53365f7b881a1caddee4,ooof 
111.0,bb1f27125cb86ca43dee7aae674381e10b1f1106,welcome to apex ceezlul ceezlordus 
