Time,User,Message
0.0,1442ebdef3fb987d10ac1f396a4cda968418a4c3,i love the music damn 
18.0,2fc5564df2e4017acc2aacc670c872fe865cea6c,hoping cody can finesse the dong out of their hands 
30.0,e020311ea7e25493f099f7738a604da109366fe5,hopefully it wont be a flaccid defense kappa 
39.0,6890050f056baea1c335c81d9f818ad26103f0b8,time to get those choke points set up 
49.0,0a47e40b5338e7801c0113771257cb5ca9cab831,you have to pry my dong from my cold dead hands 
65.0,9f46b85d4df755f585351911bb5b22e03786b54a,camp like 
70.0,8f3c3a41a792c796a7cdb19aaf09014f0bc3b721,wang lang's siege of dong think i've seen this on pornhub 
81.0,73844bcd4ccaf319d8fd42cacdb951c9977e3dbe,thats pretty neat 
90.0,89ee00fcf6bd719b8b5b43d1347526f5b4d79ddc,so you have towers but no walls intressting 
91.0,7f14fcf80926d626fa81e44d1c72b57aa7182207,<insert chinese name/penis reference here> 
92.0,64fd557da7d40b00faf6c77ef8a6b48bab9e79e4,i wonder what type of defense the army shall erect 
106.0,64fd557da7d40b00faf6c77ef8a6b48bab9e79e4,what sort of strategy they will mount if you will 
123.0,2fc5564df2e4017acc2aacc670c872fe865cea6c,taugames the historians will write about dong's long and hard siege 
129.0,6890050f056baea1c335c81d9f818ad26103f0b8,definitely interested to see how they mount the dong 
132.0,64fd557da7d40b00faf6c77ef8a6b48bab9e79e4,definitely facing stiff opposition 
137.0,1d365716307651d016ff06f644337084332db283,the wordplay is getting out of hand just like the dongs 
141.0,0a47e40b5338e7801c0113771257cb5ca9cab831,penis joke 
145.0,73844bcd4ccaf319d8fd42cacdb951c9977e3dbe,does the towers have a deadzone though dany 
147.0,2fc5564df2e4017acc2aacc670c872fe865cea6c,taugames dong fighting off a jerk 
174.0,e7e9b8fdf9c3779c1da90d4ecaa2c045e1dc40ce,these puns are killing me 
174.0,70fd1200b1c9a2220c2182b98071a6a25ef12d00,click negotiate next time you are asked for peace itll open up a different map that you can look at shit better 
179.0,64fd557da7d40b00faf6c77ef8a6b48bab9e79e4,when fighting around dong always be mindful of the enemy circling round the back - confucius 
222.0,ee483b7724c91777f132b7a9260d2f4072c5d4f7,yeah mines are one the easier locations to defend 
289.0,e020311ea7e25493f099f7738a604da109366fe5,gotta have adequate protection working the dong 
325.0,64fd557da7d40b00faf6c77ef8a6b48bab9e79e4,the outskirts of dong are heavily forested 
364.0,a8b1b0732604bf436fe8fc9495b72ba950540380,this is giving me flashbacks of bfme 1 and 2 
366.0,6890050f056baea1c335c81d9f818ad26103f0b8,being able to distract entire archery groups with cavalry is amazing 
422.0,e020311ea7e25493f099f7738a604da109366fe5,my kingdom for a vargeist 
464.0,5db3024ba1297e083b85c5930d0fb07d58f05816,just tuning in how's the game overall 
506.0,e020311ea7e25493f099f7738a604da109366fe5,everyone wants cody's dong mine 
520.0,e792cb7508f90517988ec54235645e5f1444052e,lul 
539.0,ad474bcc4debc3636f0d0d862aa299abb7bf3c5f,proxderp 
540.0,5db3024ba1297e083b85c5930d0fb07d58f05816,interesting 
541.0,e792cb7508f90517988ec54235645e5f1444052e,i just fought two generals who killed 1000 of my men between the two of them fuck me 
