Time,User,Message
0.0,4dbffdfde934e2d1167fe62e76f3c55dc2a9ff2c,esportsearnings com 
1.0,048f0d673ce4199027f8badf110e3afad669ead3,chuan is pretty old too 
5.0,2297092e8ae5ad8c7a9054726debd6bff3610d2e,i would assume moba players have a longer career than fps 
21.0,2b46487d515ee8636596a809d2cc65c4da3067c5,they do 
22.0,2796857ed7a5c976041ecb414c2528609d45b546,fear oldest one lol 31 hahaha 
23.0,88a5c6b599c02ccbc58c1eafddfac11c01e1d34c,kuroky old too 
24.0,0e9f83a18fd273272895ae660930f8977a94f0a8,you're basically naming teammates of ferrari 
27.0,e3a3a749a7748d072c0c21347fd032de67627782,ez f10 typhoon 
34.0,f2d0f12c4fe7c463cdadbf7ac7cf30ce839e799d,miraclul i think the best midlaner 
38.0,d8c25bb7a7d7b7073d2f28f0be3049e3cc5652cd,-2 
41.0,4dbffdfde934e2d1167fe62e76f3c55dc2a9ff2c,kuro is the highest earner for dota 
48.0,2796857ed7a5c976041ecb414c2528609d45b546,im 27 year old 
50.0,0e9f83a18fd273272895ae660930f8977a94f0a8,name a mid laner older than ferrari right now i dare anyone 
59.0,88a5c6b599c02ccbc58c1eafddfac11c01e1d34c,most payed actor lul 4dbffdfde934e2d1167fe62e76f3c55dc2a9ff2c 
60.0,124747f7ab38c2fdaa0aa881bd970f41510bd90c,me :) 
61.0,2796857ed7a5c976041ecb414c2528609d45b546,still in archon 
61.0,0e9f83a18fd273272895ae660930f8977a94f0a8,amateurs dont count 
65.0,048f0d673ce4199027f8badf110e3afad669ead3,me im 32 kappa 
80.0,f2d0f12c4fe7c463cdadbf7ac7cf30ce839e799d,0e9f83a18fd273272895ae660930f8977a94f0a8 kappa 
84.0,3ec3dfb33a98d1f19d0d1f4e35ca4dd0b27d1486,thirty something 
90.0,5dd5361c960ec0c0a4e1559730d0de7ff9b7d109,score now kappa 
92.0,88a5c6b599c02ccbc58c1eafddfac11c01e1d34c,5million boyz for kuro 
99.0,0e9f83a18fd273272895ae660930f8977a94f0a8,illteracy is rampant here its okay though 
105.0,0e9f83a18fd273272895ae660930f8977a94f0a8,kappa 
105.0,2796857ed7a5c976041ecb414c2528609d45b546,we can play dota until 35 old 
111.0,07d9e7906271c7126bf284ce2598ad8122546e79,5-6 
113.0,88a5c6b599c02ccbc58c1eafddfac11c01e1d34c,most paid actor 
119.0,d8fdbfa865c89bea67db0fd9c4aa844a356bb043,omegalul 
121.0,2796857ed7a5c976041ecb414c2528609d45b546,no problem with reaction 
123.0,4dbffdfde934e2d1167fe62e76f3c55dc2a9ff2c,puppey is pushing 30 
127.0,238b609519d735cd72a5e74b0cee9dd77d97b347,ravage 4 wat lul 
128.0,8581314faa9113138bdd50b2f42bb445639d0194,it's twitch chat full of sleep deprived losers grammar doesn't matter 
128.0,88a5c6b599c02ccbc58c1eafddfac11c01e1d34c,and remember me when spamming in twitch chat 
128.0,3e8c076f6473e468ceda7d75cffad0863cb7bed7,07d9e7906271c7126bf284ce2598ad8122546e79 who 6 
137.0,048f0d673ce4199027f8badf110e3afad669ead3,pyrion flax is 43+ and he play mid ocassionally kappa 
139.0,e6edf78146946e2426f0bca162ce6a406295cdf4,dive tower blow ravage no worries 
145.0,5dd5361c960ec0c0a4e1559730d0de7ff9b7d109,500$ tide helm pogg 
147.0,bc49e5a47683071db9622465ba1f7271301902a1,street fighter has 40 year olds that still finish high 
153.0,88a5c6b599c02ccbc58c1eafddfac11c01e1d34c,all this boyz are playing from doto 1 
158.0,ca107b804ede06c7b28048d8f8a8d0fffc075a3c,typhoon used their 2 stuns better call it 
162.0,b7175e26e8eb427e7f960bcc118df0a6b05651bc,liquids current roster is great 3 years and still managed to take a 2nd place at a major his recent interview was pretty interesting where he said that as an older team they've sorta been figured out but they are still sticking together 
166.0,048f0d673ce4199027f8badf110e3afad669ead3,bc49e5a47683071db9622465ba1f7271301902a1 infiltratro 
171.0,b7175e26e8eb427e7f960bcc118df0a6b05651bc,monkas 
172.0,048f0d673ce4199027f8badf110e3afad669ead3,infiltrator 
181.0,048f0d673ce4199027f8badf110e3afad669ead3,hes like 35 
183.0,0e9f83a18fd273272895ae660930f8977a94f0a8,one thing i noticed in common with all these responses is no pro mid laner older than ferrari was named 
186.0,169781bbf07cb9841434259a17aff5501d85dfa0,lul 
189.0,bc49e5a47683071db9622465ba1f7271301902a1,sako 
191.0,0e9f83a18fd273272895ae660930f8977a94f0a8,lul 
191.0,f2d0f12c4fe7c463cdadbf7ac7cf30ce839e799d,end kreygasm 
193.0,0e9f83a18fd273272895ae660930f8977a94f0a8,jebaited 
196.0,4dbffdfde934e2d1167fe62e76f3c55dc2a9ff2c,infilitration from street fighter lul 
200.0,2796857ed7a5c976041ecb414c2528609d45b546,i love to watch ehome and team secret games 
202.0,2b46487d515ee8636596a809d2cc65c4da3067c5,yeah this game is over 
208.0,d6580a80cada5b0a0337179a6b88e2798645e2c9,totaly outclass 
209.0,0e9f83a18fd273272895ae660930f8977a94f0a8,daigo the beast umehara 
214.0,2796857ed7a5c976041ecb414c2528609d45b546,midone is really good mid 
215.0,078c9bcec910871b0e69ba0b9b1597670a0b41ee,terrible draft from typhoon 
218.0,d8c25bb7a7d7b7073d2f28f0be3049e3cc5652cd,+10 int 
221.0,f2d0f12c4fe7c463cdadbf7ac7cf30ce839e799d,never end not consistent now his best year is when he is on vgr way back 
221.0,88a5c6b599c02ccbc58c1eafddfac11c01e1d34c,wtf am i watching sea doto 5v5 15 mins in no damage to kill 
223.0,b7175e26e8eb427e7f960bcc118df0a6b05651bc,midone mk pog 
233.0,2796857ed7a5c976041ecb414c2528609d45b546,yes mk op 
234.0,2e0a0c529a56fc9c5475baa4d7b601747191d490,theres a bunch of old fgc dudes 
238.0,bc49e5a47683071db9622465ba1f7271301902a1,sako from street fighter 
253.0,097c8b042af12a13d1ae39ed3e5416374da12fbc,four treety 
253.0,a4d3d6ea71b74e31fc515d8b4a2570d1c63e5301,daigo the beast kreygasm 
253.0,2796857ed7a5c976041ecb414c2528609d45b546,others teams game just a time wasters lol 
277.0,d8fdbfa865c89bea67db0fd9c4aa844a356bb043,$$ 
279.0,2796857ed7a5c976041ecb414c2528609d45b546,not interesting that fights etc 
293.0,f2d0f12c4fe7c463cdadbf7ac7cf30ce839e799d,ez odds ehome 2-0 kreygasm 
308.0,048f0d673ce4199027f8badf110e3afad669ead3,is net / yamateh still playing 
