Time,User,Message
0.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,:eyes: what scent 
10.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,lul 
31.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,yeah they are great ngl 
59.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,wonder if i could find some halloween or autumn scented :thinking_face: 
168.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,yeah that's what i'd guess 
222.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,monkas 
307.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,oh shots fired pogchamp 
318.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,i need a mod for this with modern day insults 
343.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,your mother 
344.0,6d9a06878972de3ee50ec49900f7459c26f9bb32,gym selfies holiday photos and pictures of my pupper : https://instagram com/themounting/ 
413.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,goof going ligerhype 
416.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,good* 
429.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,true tho opieop 
434.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,poggers 
458.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,seemsgood 
597.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,weba ting 
623.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,np :d 
647.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,yeah it looks awesome 
657.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,decorating for halloween :eyes: 
662.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,opieop 
698.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,no execution feelsbadman 
749.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,that's why you have chat we love carnage darkmode 
888.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,pogchamp 
1085.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,awh hell yeah ligerdark 
1115.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,monkas 
1115.0,6d9a06878972de3ee50ec49900f7459c26f9bb32,i add discussion and share awesome things on twitter follow me at: https://twitter com/themounting themou1love 
1122.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,pepsi pogchamp 
1138.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,no more ting 
1143.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,lul 
1154.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,yeah why not treat yourself 
1172.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,seemsgood 
1187.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,monkas 
1199.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,at least it's not spiders 
1210.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,or even flies 
1244.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,seemsgood 
1266.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,eeeeeeww that's creepy i hate that d: 
1287.0,6d9a06878972de3ee50ec49900f7459c26f9bb32,they have given up on patrolling make them regret that join by the following raid amount 
1292.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,raid 6969 
1292.0,6d9a06878972de3ee50ec49900f7459c26f9bb32,sampson_h is trying to get a raiding party together in order to hit the nearest town -everyone can join!- in order to join type raid amount 
1368.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,themou1rip 
1472.0,6d9a06878972de3ee50ec49900f7459c26f9bb32,the warriors have assembled you now head for the town with your longships swords axes and shields at the ready 
1474.0,6d9a06878972de3ee50ec49900f7459c26f9bb32,sampson_h should of saved the ale for after the raid stumbling in front of the saxon's archers left you in a difficult situation now you are feasting with the gods in valhalla 
1506.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,lul 
1523.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,ligerrip that too 
1556.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,hi strimr 
1560.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,add archers 
1604.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,monkas 
1630.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,anytime opieop 
1715.0,6d9a06878972de3ee50ec49900f7459c26f9bb32,want to talk with me and the community inbetween streams join our discord here: https://discord gg/xygpbwh 
1793.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,hi 
1805.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,ligerhey smittendemonkitten 
1823.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,yeah that's better 
1829.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,b1c6aa6769cbeda484d5e3f864e21917a726af0d sokkzvlove 
1850.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,i got no waving emotes 
1857.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,np lul 
1880.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,i thought i did lol 
1907.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,koncha 
1908.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,otherwise i just use the default twitch ones vohiyo koncha 
1910.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,there 
1912.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,^ 
2039.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,the ai is annoying 
2073.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,brb 
2113.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,several squares of units and it seems like thy run if a single one is targeted making yours chase why getting attacked 
2169.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,in another game at least it was a nightmare to charge an enemy unless i targeted everything with a separate unit 
2235.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,back got jaffa cakes cliffeaww 
2241.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,themou1rip 
2246.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,foooood 
2257.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,but wut are those 
2286.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,https://en wikipedia org/wiki/jaffa_cakes 
2315.0,6d9a06878972de3ee50ec49900f7459c26f9bb32,gym selfies holiday photos and pictures of my pupper : https://instagram com/themounting/ 
2323.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,and i love pepsi opieop we can't all have what we want 
2325.0,962c2b7b4ff92f3c46fa5e96e71d0a8c7e49e043,good evening 
2334.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,ligerhey hey falcon 
2344.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,gimmeeeee 
2373.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,action shares giveplz 
2398.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,but ting won't share his pepsi ligercry 
2458.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,seemsgood 
2468.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,opieop 
2511.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,can i get them anywhere 
2533.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,japan 
2544.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,mainly uk 
2553.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,idk if you could order them :thinking_face: 
2571.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,sourpls 
2632.0,3d0f5c0f674c620f002ff2b06028e3a82816540a,should go there just to buy enough to fill my basement 
2673.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,^^^ 
2677.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,lul 
2728.0,f6e0be2c85b204ff31ccbf35bb9816a1aefced42,wait sampson you're a pepsi fan 
2736.0,f6e0be2c85b204ff31ccbf35bb9816a1aefced42,notlikethis 
2753.0,b1c6aa6769cbeda484d5e3f864e21917a726af0d,f6e0be2c85b204ff31ccbf35bb9816a1aefced42 what's wrong with pepsi themou1rage 
