Time,User,Message
0.0,8de222987c5986e38e16dbddce820b10f3d1c45f,mods doing gods work a38fc65795f27142bff6b487f26e00893a49dfcd 
1.0,d3a18ccb33c8a053016329c7df599f56630e0cc2,but attack has better guns and acog 
1.0,defda0ef083d50abd0d56b39839dd5bdf2f2e4c1,emote 
9.0,70cdfb00dc765d624620ff9319afde17767a182b,hes dead haha 
13.0,d3a18ccb33c8a053016329c7df599f56630e0cc2,didn't mean caps lock 
19.0,13ec87130d6e23b53dc89ddb8326acbb7d38fc81,sens 
20.0,54a6a0e187eb61fa9691068997089f521a56c3db,attackers got to get in that's the hard part 
31.0,a38fc65795f27142bff6b487f26e00893a49dfcd,i think they do that already with standard edition 65bdfaf85203b2a847fc44ebf360e5149fd36b29 
35.0,3f85199bfb833d34b09a770cf8808f406a082106,do you know that uuno will replace joonas in g2 
36.0,d3a18ccb33c8a053016329c7df599f56630e0cc2,exactly 
36.0,13ec87130d6e23b53dc89ddb8326acbb7d38fc81,uptime 
41.0,98ddf7fea516d784e51db75fa867c94593021af2,have thy fixed clash and claymore/shield glitch yet 
41.0,a38fc65795f27142bff6b487f26e00893a49dfcd,3f85199bfb833d34b09a770cf8808f406a082106 he does 
46.0,a38fc65795f27142bff6b487f26e00893a49dfcd,nope 
48.0,3f85199bfb833d34b09a770cf8808f406a082106,cool 
59.0,98ddf7fea516d784e51db75fa867c94593021af2,dorn 
59.0,fcd6bdb97315c37fcb3d2e6d74a1c47f9b785330,near fatal 
61.0,fcd6bdb97315c37fcb3d2e6d74a1c47f9b785330,but u got him 
62.0,e6e0f3df4da9b4443ef46ee048d4f32727fa5d58,seemsgood 
64.0,defda0ef083d50abd0d56b39839dd5bdf2f2e4c1,98ddf7fea516d784e51db75fa867c94593021af2 n 
76.0,d504eb4f776348ea5a924ca1f74e78137dc7ae35,well played tho 
76.0,dd30e2cdbfa9dd7d57fb4d6ead66997b237cfa26,5f36cce0bd60d437e594a1a6c9f0ac99331043b2 nothings coming up bruh and im just being a troll xd 
79.0,f2899b2f1bb95b8ac7056af512b2a8b265d44445,gave them a fresh haircut lol 
83.0,65bdfaf85203b2a847fc44ebf360e5149fd36b29,that silent step might of helped you out 
93.0,2848affc7bc349cb481b0d80c0e0b34d7ed79694,flanked you should try the d-50 with the muzel break it's op 
93.0,8de222987c5986e38e16dbddce820b10f3d1c45f,aye a38fc65795f27142bff6b487f26e00893a49dfcd how did you become a mod 
101.0,a38fc65795f27142bff6b487f26e00893a49dfcd,here or pengu 
109.0,8de222987c5986e38e16dbddce820b10f3d1c45f,modding seems dope both 
116.0,a38fc65795f27142bff6b487f26e00893a49dfcd,oh it's not trust me lul 
118.0,e55dbac55741573c3788da3131798ce37799f7e9,do you think nokk is a good operator overall 
120.0,2e58de574108e87cccac651dc396e1006d0020ec,eb09a6ae06d6185e3295af5f50d331d1399fad67 what is nokk's 2 sidearms 
120.0,02d791244d9bc9e927a999512577dd4ea74efce0,flank thank a veteran everyday but don't forget today is for the ones who didn't make it back veterans day is for the one who made back 
123.0,a38fc65795f27142bff6b487f26e00893a49dfcd,shit can be mentally painful 8de222987c5986e38e16dbddce820b10f3d1c45f 
131.0,8de222987c5986e38e16dbddce820b10f3d1c45f,ooof 
132.0,c2cecd2174b06993fc61361c7c32b15208076340,penta picks up pengu 
133.0,bc121b1bd83b716c5f075e4b40071f397989827f,modding is a thankless job 
137.0,e00d02c2f5a9e20a87b7137f337b72e90ec719ab,as jager not echo monkas 
143.0,c2cecd2174b06993fc61361c7c32b15208076340,if only tho 
148.0,8de222987c5986e38e16dbddce820b10f3d1c45f,you have to be a mod to gift subs a38fc65795f27142bff6b487f26e00893a49dfcd 
150.0,65bdfaf85203b2a847fc44ebf360e5149fd36b29,02d791244d9bc9e927a999512577dd4ea74efce0 he was talking about that 
157.0,a38fc65795f27142bff6b487f26e00893a49dfcd,8de222987c5986e38e16dbddce820b10f3d1c45f nope 
161.0,a38fc65795f27142bff6b487f26e00893a49dfcd,but don't x 
165.0,e00d02c2f5a9e20a87b7137f337b72e90ec719ab,i'm hyped for uuno joining g2 
166.0,ae19cd2bc16e6e14192a511e006c2c383f90b2e2,are claymores back in the live server 
168.0,8de222987c5986e38e16dbddce820b10f3d1c45f,how do you gift 
172.0,a38fc65795f27142bff6b487f26e00893a49dfcd,not yet ae19cd2bc16e6e14192a511e006c2c383f90b2e2 
177.0,e55dbac55741573c3788da3131798ce37799f7e9,mrdestructoid mrdestructoid 
181.0,ae19cd2bc16e6e14192a511e006c2c383f90b2e2,biblethump 
182.0,8de222987c5986e38e16dbddce820b10f3d1c45f,cause beenz on 874400cc43b277ebb9c2f378a05400d2a2917af0 keeps gifting me 
184.0,5f36cce0bd60d437e594a1a6c9f0ac99331043b2,dd30e2cdbfa9dd7d57fb4d6ead66997b237cfa26 alright brother but its n8 frags on xbox just watch what you say bc there are so many more ppl that wouldn't taken what you said so much more seriously too many toxic ppl that ubi is trying to fix just make there job or anyones experience harder 
186.0,a38fc65795f27142bff6b487f26e00893a49dfcd,8de222987c5986e38e16dbddce820b10f3d1c45f you click on the username and it should say gift sub 
188.0,a38fc65795f27142bff6b487f26e00893a49dfcd,toxic pog 
191.0,a38fc65795f27142bff6b487f26e00893a49dfcd,pogchamp * 
197.0,02c6e22fc5328d087dedea19003e967ace416dd6,wait thats what you look like 
199.0,8aefa96698b5f01b525e1d308761c257c3c7bac4,flanked i can do modding for u all i ask in return is for u not to ban echo 
200.0,dd30e2cdbfa9dd7d57fb4d6ead66997b237cfa26,rip 
202.0,169f9bab0a8a0c0972b482c6b3ead1090bf1c12c,lit 
208.0,83ad067436b4b95af0379c5125786b61595fb60b,toxic lul 
208.0,635193ef56da85830676754a5dda29df4194f680,im not sure if i should be disgusted or impressed 
209.0,02c6e22fc5328d087dedea19003e967ace416dd6,in my head i was thinking you looked more like serenity lol 
212.0,8de222987c5986e38e16dbddce820b10f3d1c45f,huh maybe not mobile 
213.0,65bdfaf85203b2a847fc44ebf360e5149fd36b29,love red dot for those clean headshots 
214.0,02371068338fb2d297cf289408c61e5b69ed7651,anytime i see jager with red dot it reminds me of the acog days 
216.0,97a1691e8d696eb482dc1fc77668c5fae7154353,age 
219.0,1bcc8c8e2764df2f87e938aafc1b9d51adcb9d65,getfla1flanked getfla1flanked getfla1flanked getfla1flanked getfla1flanked getfla1flanked 
220.0,a38fc65795f27142bff6b487f26e00893a49dfcd,8de222987c5986e38e16dbddce820b10f3d1c45f don't worry about it x 
224.0,ceb554858f0be4ba750614f8074f8a8e81412efc,hiya flanked 
225.0,bc121b1bd83b716c5f075e4b40071f397989827f,red dot 
231.0,02c6e22fc5328d087dedea19003e967ace416dd6,wait a38fc65795f27142bff6b487f26e00893a49dfcd you're a mod here too 
235.0,c2cecd2174b06993fc61361c7c32b15208076340,we need another plant 
239.0,a38fc65795f27142bff6b487f26e00893a49dfcd,yea idk why flanked modded me 02c6e22fc5328d087dedea19003e967ace416dd6 
240.0,ceb554858f0be4ba750614f8074f8a8e81412efc,bc121b1bd83b716c5f075e4b40071f397989827f it's not that bad 
246.0,bc732be5c19f5c48975d30c17d974d082726ec78,is that compensator or muzzle on ur gun 
249.0,a38fc65795f27142bff6b487f26e00893a49dfcd,i'm probably gonna unmod myself at somet point 
249.0,bc121b1bd83b716c5f075e4b40071f397989827f,hmmmmmmmmmm 
249.0,02c6e22fc5328d087dedea19003e967ace416dd6,a38fc65795f27142bff6b487f26e00893a49dfcd wtf lmaoo thats nuts 
256.0,a890fdee4d6136a4327418b92d89514892eff089,settings 
262.0,02c6e22fc5328d087dedea19003e967ace416dd6,when did you get mod 
268.0,a38fc65795f27142bff6b487f26e00893a49dfcd,2 weeks ago ish 
275.0,02c6e22fc5328d087dedea19003e967ace416dd6,why dont you want to be mod 
284.0,c5aa014385c31d84ff8ab04d5dbaf497b394794a,commands 
287.0,02371068338fb2d297cf289408c61e5b69ed7651,bc121b1bd83b716c5f075e4b40071f397989827f the red dot sits like a acog being elevated 
289.0,ceb554858f0be4ba750614f8074f8a8e81412efc,why was that maverick there lmao 
289.0,72dbcc7726a1da5f2b0bbc5fc8bcf67310d73fa4,why was this bot still in supply closet 
289.0,65bdfaf85203b2a847fc44ebf360e5149fd36b29,gg 
291.0,2848affc7bc349cb481b0d80c0e0b34d7ed79694,ooof 
294.0,ceb554858f0be4ba750614f8074f8a8e81412efc,your team's inside buddy 
294.0,6cbb8697b7eee2c79da662c03fdadd3309fe56b0,hey flank and chat 
296.0,e00d02c2f5a9e20a87b7137f337b72e90ec719ab,why is he there lmao 
298.0,dd30e2cdbfa9dd7d57fb4d6ead66997b237cfa26,5f36cce0bd60d437e594a1a6c9f0ac99331043b2 what ranks have you been in the past i see where you r coming from 
299.0,a38fc65795f27142bff6b487f26e00893a49dfcd,cause there's enough mods here and not really neede where's pengu does 02c6e22fc5328d087dedea19003e967ace416dd6 
300.0,02c6e22fc5328d087dedea19003e967ace416dd6,hey 6cbb8697b7eee2c79da662c03fdadd3309fe56b0 
303.0,d15c5e6fcb476000b0a4f272ea246264792f7535,headset 
305.0,5f36cce0bd60d437e594a1a6c9f0ac99331043b2,yea red dot fits a lot of ppl coming from games like cod flanked or just other games where red dot is really good 
314.0,169f9bab0a8a0c0972b482c6b3ead1090bf1c12c,chat which barrel attachment do y'all use for alibi 
327.0,8de222987c5986e38e16dbddce820b10f3d1c45f,i used comp on alibi 
331.0,02c6e22fc5328d087dedea19003e967ace416dd6,why did pengu stop streaming anyways i went afk on tts since they arent slow q's a38fc65795f27142bff6b487f26e00893a49dfcd 
333.0,bc121b1bd83b716c5f075e4b40071f397989827f,i've run exclusive halo sight on defense and now moving to reflex 
334.0,8de222987c5986e38e16dbddce820b10f3d1c45f,but it's all i've ever tried 
337.0,a38fc65795f27142bff6b487f26e00893a49dfcd,scrims 02c6e22fc5328d087dedea19003e967ace416dd6 
340.0,ae19cd2bc16e6e14192a511e006c2c383f90b2e2,flash 
341.0,c2cecd2174b06993fc61361c7c32b15208076340,we need another plant denial 
345.0,bc732be5c19f5c48975d30c17d974d082726ec78,i use flash on alibi 
351.0,fb5e2588f058d43bb17219b22ad0a00eac035809,sup man 
353.0,02c6e22fc5328d087dedea19003e967ace416dd6,a38fc65795f27142bff6b487f26e00893a49dfcd ahhh okayyyy 
354.0,8de222987c5986e38e16dbddce820b10f3d1c45f,no we dont c2cecd2174b06993fc61361c7c32b15208076340 
356.0,3f85199bfb833d34b09a770cf8808f406a082106,theoretically phantom sight will be out in live server on two weeks later 
360.0,72dbcc7726a1da5f2b0bbc5fc8bcf67310d73fa4,02c6e22fc5328d087dedea19003e967ace416dd6 he didn't stop he was streaming earlier today i believe 
360.0,e55dbac55741573c3788da3131798ce37799f7e9,what are your thoughts on nokk and wardens weapons 
366.0,e00d02c2f5a9e20a87b7137f337b72e90ec719ab,eb09a6ae06d6185e3295af5f50d331d1399fad67 what do you think about uuno joining g2 
368.0,8de222987c5986e38e16dbddce820b10f3d1c45f,we now have an op to pair with a plant denial as welp 
369.0,9f3157152f553f9b1d9f8ed561e19e10433d7633,c2cecd2174b06993fc61361c7c32b15208076340 no 
369.0,169f9bab0a8a0c0972b482c6b3ead1090bf1c12c,i've been running flash hider on most of my weapons and figuring giving compensator a try 
370.0,8de222987c5986e38e16dbddce820b10f3d1c45f,well 
374.0,fb5e2588f058d43bb17219b22ad0a00eac035809,e55dbac55741573c3788da3131798ce37799f7e9 he made a video of that añready 
376.0,bc121b1bd83b716c5f075e4b40071f397989827f,3f85199bfb833d34b09a770cf8808f406a082106 three weeks now 
377.0,169f9bab0a8a0c0972b482c6b3ead1090bf1c12c,wanted to check out how popular it was i mean 
382.0,dd30e2cdbfa9dd7d57fb4d6ead66997b237cfa26,eb09a6ae06d6185e3295af5f50d331d1399fad67 u have a free sopt 
383.0,8de222987c5986e38e16dbddce820b10f3d1c45f,warden+smoke =ultimate plant denial 
388.0,dd30e2cdbfa9dd7d57fb4d6ead66997b237cfa26,spot* 
394.0,3f85199bfb833d34b09a770cf8808f406a082106,okay still have to wait :( 
398.0,8de222987c5986e38e16dbddce820b10f3d1c45f,we need an op to help jager 
399.0,966773397fcfd597c362c9456d48218986f2223d,when did they announce that 
400.0,5f36cce0bd60d437e594a1a6c9f0ac99331043b2,dd30e2cdbfa9dd7d57fb4d6ead66997b237cfa26 my highest has been gold 1 for way too long now for a lvl 240 cant find a team bc im not playing with the 80% of toxic ppl that play this game so i play with a couple friends that might not be the best at siege but we have a lot of fun 
402.0,02c6e22fc5328d087dedea19003e967ace416dd6,72dbcc7726a1da5f2b0bbc5fc8bcf67310d73fa4 yes i was in his stream earlier this morning and then he stopped for scrims 
405.0,8de222987c5986e38e16dbddce820b10f3d1c45f,or to seal maverick holes 
406.0,c2cecd2174b06993fc61361c7c32b15208076340,mrreimr0c2456 yes we do when ban comes to ranked we won't be able to play echo 
406.0,ceb554858f0be4ba750614f8074f8a8e81412efc,bc121b1bd83b716c5f075e4b40071f397989827f red dot has the balance between casing and reticle 
409.0,a38fc65795f27142bff6b487f26e00893a49dfcd,hour a go 966773397fcfd597c362c9456d48218986f2223d 
410.0,bd0c44f69bf0375f2e32f397d15e94a984d97b30,is nokk out already 
