Time,User,Message
0.0,1e9190815aaa54ed93420e269210bafbd8f08fb7,07e887d80e2f8f3e2cc5a18aecdebf637a1068a8 welcome into the clan vandyoath vandyoath vandyoath 
32.0,1e9190815aaa54ed93420e269210bafbd8f08fb7,twitch is being annoying today > > 
53.0,1e9190815aaa54ed93420e269210bafbd8f08fb7,twitch needs to stop being twitchy xd 
110.0,1e9190815aaa54ed93420e269210bafbd8f08fb7,i still blame twitch > > 
110.0,0355331d7114eb8d1b35957c5924e657960838e8,any na sc monks willing to lootshare almost got my monk geared out add me robgatti#1618 
169.0,1e9190815aaa54ed93420e269210bafbd8f08fb7,ceriously i'm getting buffers every few minutes ever since i got in xd i blame twitch 
181.0,91700534ccd30f8015d151b1c9c9335cf2c9344a,morning pkingzzz 
201.0,1b685f6c6114a4dd7766564e14dacf4b3ef0d787,just checked online twitch is under a ddos atm 
211.0,1b685f6c6114a4dd7766564e14dacf4b3ef0d787,all streams are being choppy 
231.0,8d72be5ba43119c7e49cb453c410d9c32b1250a5,ebffb72269e01e7522d0997fed84d4d4f8127789 twitch is getting ddos attacked so it is a mix 
266.0,6769135fa257cab9aec43e7348c8eb298c1aede9,yeah streams are cutting out big time also hey man 
305.0,7e8c5d75d1499e1720a24dee941a700d8f2d044b,it's because regardless of your own upload you are uploading to twitch's servers so that's why the ddos affects you 
341.0,3c38683a5a6e6538cf4a4159729dfb543f7c1979,audio only stream lets goooo 
342.0,6a4589bf0e8bf3082ff3e33bc92baa3b5bf032b5,i vote keep going 
402.0,7e8c5d75d1499e1720a24dee941a700d8f2d044b,keep going 
413.0,7e8c5d75d1499e1720a24dee941a700d8f2d044b,most likely it will clear up eventually 
441.0,7030fa28f4e1f0fb097270a2d99baaf00b0f5d66,hey you follow me on twitter for updates and buffoonery www twitter com/vanderforge 
457.0,0deaf2f3cb7ee5bd38c9b54f81595a8ba5310bce,jordaaaaaaaaaaaaan laural3love laural3love wwtvhorns wwtvhorns wwtvhorns wwtvhorns wwtvhorns 
459.0,1b52b6625eedc32e6f64b137c46bfaa25723eb7f,crap wesker isn't here how am i to tank him 
470.0,1b52b6625eedc32e6f64b137c46bfaa25723eb7f,hello vander 
