Time,User,Message
0.0,8d6c03b61428e42f2d180d8c0e2ce85cee96d8d6,prune gang owns this city 
2.0,4daadab63070b4b48a1cc22281b4395ed070359a,pepepls 
3.0,947478f92d1a0554c19ded3563e10b3a41428b93,kyleisdab 
7.0,d3c740ac47005aae3da0f7c52751abe5870b1f1b,dd8c84997e98099040bca8ea57db0b76d7c269b5 you know how i know you are a joshog fan lol 
7.0,2d9524f2d658e8d1a0fd92c6ac071f0ba84ff04c,uptime 
7.0,9acf268b4360532fb98161300157239ecc94284b,love gladys vadeheart vadepg 
7.0,066a869dcacfb71a5c903159d306d52c5ad7c4ba,dd8c84997e98099040bca8ea57db0b76d7c269b5 god damn you 
8.0,ca4b7d3c417eee4da3cdf7940953cf2d587fe836,eb53a4bd9b1bb6e78d46be0210ef1ea6675d169e vadersabers 
12.0,dd8c84997e98099040bca8ea57db0b76d7c269b5,i'm blue i would beat off a guy i would beat off a guy i would beat off a guy i would beat off a guy i would beat off a guy i would beat off a guy 
12.0,2c517d01ddcf35eba365fdbcbb7a677c9a2ef6a2,all the blue 
12.0,79d45397e1ab81f8d5a431f1be80cd818a1bae73,pepepls 
13.0,fa887aceab89ea8b0ff2ff1118c269e9b5a00b1c,blessrng 
17.0,eb53a4bd9b1bb6e78d46be0210ef1ea6675d169e,vadeheart vadeheart vadeheart 
18.0,a1e51290c2042550faafa390cb04be27cc1b3fcd,pog 
18.0,e450ec4da7acb5bcd7c0c50b5c8de630e1464f03,fable 
19.0,a43f0d4933f2dbffc6205f36c783f0b45b7ecb5e,ec1827bbf21625f3c65433976153f3fbcd0a3d54 please don't play chumbawamba next 
20.0,4870f3174de9971b63a96eb300958c5b81620dc8,vade2_sg 
21.0,732a46e4b2b2b3feea95dcb44f68698550603277,brink had a hype ass trailer but game play lasted like a few weeks such a let down 
21.0,ca4b7d3c417eee4da3cdf7940953cf2d587fe836,vadersabers rarevader vadersabers rarevader vadersabers rarevader vadersabers rarevader vadersabers rarevader vadersabers rarevader vadersabers rarevader 
23.0,c16990872c1b2e541cc4778214e41f2a2a0e3359,rp time 
23.0,30d5daad78c84ad1cb79ceaaee77bbf3cee16ef9,waifu pog 
23.0,dd72fbedce964ab9faaf6bc445a0d1184099204c,vadeprime 
23.0,55e2a5bd00d2e730d26f387096b0bf6e406a2ccc,loved this song brings back memories 
24.0,95f7e12d9aba8dde1822a2aabe6581fbd3411634,tata 
25.0,eb53a4bd9b1bb6e78d46be0210ef1ea6675d169e,vadeprime vadeprime 
27.0,c648a4c44822373dcfbf236ea5984b876e7c94cb,ameno 
27.0,6e6053cd3f5430c32f9ba897cdfbc0c13f5bdf66,everyone loves fable 
28.0,fb594e1e8a783c63dc338b5eb9e3f4e8673aad08,:) 
29.0,eb53a4bd9b1bb6e78d46be0210ef1ea6675d169e,vadeprime vadeprime vadeprime vadeprime vadeprime vadeprime 
29.0,e03920fbc88eb5e727e90f537fb211bb52076c60,eb53a4bd9b1bb6e78d46be0210ef1ea6675d169e vadeheart vadeheart vadeheart 
29.0,ef29cee061c3f1322c28196efae7d3fb1e161dad,chevcreep 
30.0,db4f461fb3035403e4d686bec203371bd99d6cb2,fable 1 pog 
31.0,77e7424627b185ced560705d631cb63805b3a796,has anyone here played the long dark 
31.0,8e3baa08b6b1e8f6fb1949a392b1217076cd79ab,oh yea fable was awesome 
32.0,f712cfe3a6315b8c05ec3e39a45dcc986a9a8a09,might as well go full who let the dogs out 
32.0,947478f92d1a0554c19ded3563e10b3a41428b93,tenchu 
34.0,6e6053cd3f5430c32f9ba897cdfbc0c13f5bdf66,chicken chaser 
34.0,d6ae4c333ec932d0e0d1da2c7959e93589515021,vadetata vadetata 
35.0,918adecb38c7f7b84b8c1c20780c71081e55b2e5,tanked after that 
36.0,2afafc7c33bbe5c608555d3782840bc864c2eebe,this was my favorite song in kindergarten weirdchamp 
36.0,64b1e553121bff9f792304415e962f47b19e66b7,chicken chaser 
36.0,0195c4bd2b5de6be504d49b65d2f589c05828778,zizc blue 
37.0,bb7a4769da81ece11137d174498f54d75308a5b6,i love fable 
37.0,8e3baa08b6b1e8f6fb1949a392b1217076cd79ab,jade empire was another underrated game 
38.0,fc79159cbeedf7a8fd78a66cc89545cb010e4c6e,those guys and producers who made this song are so rich now 
38.0,9f6b31357f8ec28bd3df7e9ac6b27662b2b9e80d,uhsnowk9 
39.0,a76d86a201af0c7ea9d86ee032daa97bef28ee53,og xbox days 
39.0,f4e89aca8c68ceb14fcd4d93f7e991f518a07a81,dabu dee dabu dai dabu dee dabu dai dabu dee dabu dai 
41.0,eb53a4bd9b1bb6e78d46be0210ef1ea6675d169e,vadelewd 
41.0,79fa98c18532c8ea9a600ded97079791a8bae9db,never played fable 
41.0,dacd7d7b73d6ec7054040b412e1b3a8b3740dbbb,vade3 vade2 vade1 vade3 vade2 vade1 vade3 vadel vade1 
42.0,0fca24bfa23765ffe4c4a29d0eb0401d789da288,goat carts 
42.0,d9c81bfb8fd19a71de84a26b212d546fac69590b,almost dropped out of college with championship manager 2 :/ 
43.0,db4f461fb3035403e4d686bec203371bd99d6cb2,fable 3 was poopy whipmad 
