Time,User,Message
0.0,bb42480262b2bb7af1465a4753820197077b649d,wraxuglare wraxuglare wraxuglare 
1.0,d754a67dea36eca91a3bfc513fb17ede77531fbb,<-< 
4.0,8c9b485fb105bbb271b9f1dc25ea5465c5a407c4,ec27baeb29c8959d3de8e5436ba0976aeb24a247 they don't know pepelaugh 
4.0,576cf4b60dfc8d277c687e734548c17a546dc764,kapp 
6.0,1d4c9081f695251a21a8be0a8d0fc07cfb46a36e,iddthump 
6.0,bb42480262b2bb7af1465a4753820197077b649d,chat look at him in anger 
7.0,a6cf2affafc0d9c184416e2690ef33f78c7dd7f6,ec27baeb29c8959d3de8e5436ba0976aeb24a247 is that really all there is to it what if you come to a situation where you can't line up 
17.0,0a487a6b6db4365432af28116a2a1589753a4302,; 
18.0,d754a67dea36eca91a3bfc513fb17ede77531fbb,love u 2 3head 
18.0,07b4049c1289e2a53f99e1919abc892e025f7998,bb42480262b2bb7af1465a4753820197077b649d lul 
19.0,6d2125e4e0882875ae596373311fcf0d589b784e,ec27baeb29c8959d3de8e5436ba0976aeb24a247 face cam 
22.0,ebaae62e6e8b87b513341ea058e0e2f5d607e68c,calculate the days to the next month kappa 
24.0,430e842e48dd43266484ab39225b5687fb6ef011,jardiohmm jardiohmm jardiohmm jardiohmm 
25.0,14b22971bd8be3caadc7d7a2afceff2f24f09d26,kragiecozy kragiecozy kragiecozy 
32.0,8c9b485fb105bbb271b9f1dc25ea5465c5a407c4,oh no no no no pepelaugh chat lacks some information 
33.0,27ef9c3381f8a6989732d02e66a82250af5d47bb,kephriievil 
44.0,8c9b485fb105bbb271b9f1dc25ea5465c5a407c4,27ef9c3381f8a6989732d02e66a82250af5d47bb wutface 
45.0,ec27baeb29c8959d3de8e5436ba0976aeb24a247,iddlurk 
47.0,332a44fb1c9fc378a48608133c14192ac15a612e,kragiethinking wait which date is it again 
49.0,27ef9c3381f8a6989732d02e66a82250af5d47bb,lmao 
52.0,bb42480262b2bb7af1465a4753820197077b649d,that's it i'm getting a lollipop 
55.0,9161c4fc7e693dccabc7ca3e8ffe12208a31d99c,chat really doesnt keep up with dates 
55.0,137722c68341a06d06e0ec22de64dc758037dbe5,clone16eugh pastathat 
61.0,5a51212062a485c65445a538d6c0f023db479e55,pepejam 
62.0,3c1c8b055529f979b8ff36bbb5b8df45aa3190c1,i think you only learn to count in masters or so 
62.0,07b4049c1289e2a53f99e1919abc892e025f7998,ec27baeb29c8959d3de8e5436ba0976aeb24a247 franlul 
