Time,User,Message
0.0,a2857e3a192579c31150950992e8bffd49bd57f4,are you playing on making a push to get on the grand master circuit 
0.0,99af0d4289d27960cd288e6bed4063e901ac59e2,undeertakah paladin wins ez control warriors 
3.0,178eeed473e7d88cdd76fde428467cf778ab0a60,zihi is still really strong in a lot of decks they're just not popular right now 
4.0,639c980d56b0c7f0d540634d7e608797c09e3625,warrior are updating decks and adding silence too so meta is mutating owl has good value with brewmaster 
6.0,711c560c7f51df3ebf555291e2a7760fb2a6d006,do it 
10.0,178eeed473e7d88cdd76fde428467cf778ab0a60,just a thought 
12.0,a3c73f48f8936d06cd62940006edcd9626f1ce53,ft 
14.0,34c42b80961fcba83fa047da8e0fa2414b36c4fd,c827f3de47bdbab2433303affc3828e9d57e54b1 with eggs mech welp and undying army 
14.0,e26804208a5ff7274dfd191c665c186832c9be6c,do you like billie eilish 
23.0,1640e50dee42976da53566964b6e359e27f773bb,4dea7dedbc2e5a0f05b736b469a7e47fa62f9f43 ye it's super inconsistent there's that one tempo mage list that apxvoid made that's pretty fun 
25.0,d27598613b67422c4459356fb81883caaedcaeb4,handlock with jaraxxus is hard for warrior to handle and jaraxxus is great to deal with it if you play zihi after jaraxxus you cancel all the omega cards 
26.0,c034e5b09205d68fc7d00997b22716f05bfe6791,deck 
26.0,e0c8364bce4602deaf34e6cbc35a67c7f26e5986,if you've teched owls then mech hunter is easy 
30.0,aeba6eac99ee1c931a79bf348aa096e37e374cb2,mech pally mech hunter if you nine lives the whelps and mage are really good 
31.0,f4e395f163c176ef9186c996ccf2b99ddbaedb66,a4caa2c63907712bfd858fd10de933f89fac782d nomi priest is a fun deck to play but can be very hit and miss 
35.0,a595f07e5f202bbc6d51e980ac488edde6965633,i'm finding zoolock good agaist warrior 
36.0,c034e5b09205d68fc7d00997b22716f05bfe6791,mage 
37.0,74c7bb0d7f911002fd31647e4209dd9142de1773,hey ed0c645a0b539a2767ff8d90a25d921e2c27040c i just joined f2k community a few days ago i'm a gold streamer now and wanted to say what up 
45.0,bf2632cf30be66126cdbf842d135fc1726805282,hey ed0c645a0b539a2767ff8d90a25d921e2c27040c hope your day is going well 
48.0,9ad8337f1dc3fe015d65d3b636e63d934f753dd6,e0c8364bce4602deaf34e6cbc35a67c7f26e5986 really because the warrior who just played 2 owls against me really couldnt handle my 17th 7-7 :p 
52.0,e71d4480c6e96939c05cb2a427df6adb9b286f50,do you guys remember c'thun warrior 
59.0,e71d4480c6e96939c05cb2a427df6adb9b286f50,its was really fun 
64.0,e0c8364bce4602deaf34e6cbc35a67c7f26e5986,9ad8337f1dc3fe015d65d3b636e63d934f753dd6 i'm not saying everyone plays well 
65.0,07cd52728c0852406f2a78c1b35ee3d1169d9c8c,rogue 
65.0,178eeed473e7d88cdd76fde428467cf778ab0a60,cartoon cartoon cartoon 
74.0,34c42b80961fcba83fa047da8e0fa2414b36c4fd,warrior generally struggles vs mech decks since dyn-o-matic is pretty useless 
77.0,4dea7dedbc2e5a0f05b736b469a7e47fa62f9f43,in all days mage hand was 2 fireball2 frostball blizzard flam firelands portal and now he have 10 minions 
85.0,f5348d148667ea952222f42423cb88aa0bd57469,e71d4480c6e96939c05cb2a427df6adb9b286f50 that was the first deck i played 
85.0,639c980d56b0c7f0d540634d7e608797c09e3625,if mage become more prevalent the wareioe decks will go back to double collider 
92.0,bed00e6aaf4b9bd887a7b39651e2ee0a12b3754b,is nomi priest good got nomi and i only miss like 4 cards 
97.0,9ad8337f1dc3fe015d65d3b636e63d934f753dd6,e0c8364bce4602deaf34e6cbc35a67c7f26e5986 i have 97% winrate against warrior across 30 games at rank 5 to legend this month warrior has nearly no chance against mech hunter 
106.0,1198d6e24390acad9d4aae1effd973f99247a998,nomi priest is meme deck 
108.0,178eeed473e7d88cdd76fde428467cf778ab0a60,it is very strong just not brain dead bed00e6aaf4b9bd887a7b39651e2ee0a12b3754b 
108.0,de4e1dc5f7991867934598376bb31d9ce0a9a22b,e0c8364bce4602deaf34e6cbc35a67c7f26e5986 silencing doesn't keep you from pulling mechanical whelp with nine lives 
114.0,4e8fde8c692023b4920dee30506606062f18e31e,play call with khadgar 
130.0,9b00406a5e52f846d87099366a9a5b80d2f5e17b,book would be nice 
130.0,1759ebaed3b0c84790a234a1ae4319e43857bddb,germany alliehandsup 
140.0,1759ebaed3b0c84790a234a1ae4319e43857bddb,subhype 
142.0,d70116a8012368e178a98e62a8c7407116fd8779,this is better than khafgar 
144.0,639c980d56b0c7f0d540634d7e608797c09e3625,nomi is very technical to get any decent w/l rate 
154.0,1759ebaed3b0c84790a234a1ae4319e43857bddb,lol 
156.0,1759ebaed3b0c84790a234a1ae4319e43857bddb,lulw 
157.0,e71d4480c6e96939c05cb2a427df6adb9b286f50,f5348d148667ea952222f42423cb88aa0bd57469 this was when i first started playing ladder seriously he to save up like 2800g for league of explorers 
163.0,25f3a95bd07ded3be7c5bd90aac7ba869fad4c2f,bonjour are u a good win ratio with this deck 
174.0,99a07a6051c9d4d1a2e27b61f671a7512012dc54,:turkey: clap 
175.0,25f3a95bd07ded3be7c5bd90aac7ba869fad4c2f,win rate* 
179.0,a3c73f48f8936d06cd62940006edcd9626f1ce53,:d 
181.0,1759ebaed3b0c84790a234a1ae4319e43857bddb,should we add turkey noises to the strasza dictionary kappa 
186.0,5d2c555f8cf22356c65b456eb4b921e5b53834c9,reminds me of my favorite video of the dude laughing at the turkeys 
