Time,User,Message
0.0,a39d33fa97ca002b91ab13347a2764c19e9cfe8a,draco 
1.0,845a9513bd954a30b676b3c1837158ddc6ce8078,buddhaaww tony 
3.0,ea4ca2c0a2c63e863056d1cdabbc6476f624780d,denzel was one of ed boys yes 
3.0,33f4b231de8cefd418ad24effbf49c14de38036a,705b9d25e2b41d0a105597481402bc7200d83151 u followed saab for 2 hours are you high 
3.0,a9d65a55f7b82fcee8127dd4e6378f30dda3bd9a,buddha went to the heck realm for a vacation 
5.0,c08c45edc9e153e02b2f369f67e2428409a77d57,it's trash 
7.0,49a4c7b6551ed8da30e11180cc2395b9112ca6f0,saabnom 
7.0,4041b0f6aab329d55b8de8d6f7e1f6312cd44020,duckerz 
7.0,5d7c84f0e14ab25da92b280686ac10b0b188df56,lul 
7.0,8df1bd6e12ff23663727db722e3fbe344769900d,lol 
8.0,1a6f364007a5e40496f97cccc267a9d5adf6e3da,duckerz 
9.0,48b22b55f431801d413152a2f98372fc89bce9c6,awite 
10.0,ff67744661e68bf9122e166bf2aa4758e28cdfee,tony getting ready for war 
11.0,2329b2ddd21322d56af4c7170876a91ee93ba3b6,duckerz 
11.0,67555414f54f4af65f4e762cf33007d324412ef4,war saabpog 
12.0,cd80f455ad64f4513646220fa95ee4eea7de6416,how are saab and tony still on 
12.0,b4883a5e1b8040b56fde430b06ed5062443a90c7,toonydz toonydz 
13.0,1e517710854f5c565bb69e5f1fee40e0335ae9fc,duckerz ya awite 
14.0,299ae90ede3e39f213170ea74ada47e5ca562064,yes denzel is one of the gunrunners for ed 
15.0,aa8a9a7e7e4533a80f346b8fee54f59fc16d8158,ssaab buy a sniper pog 
18.0,29b9bf01406c9ddd77cdb5d22660e57aea326db5,automatic shotgun 
18.0,28389def35f41f02af1833d8c1d49ae3a6713a01,lulw 
19.0,1c5e309a8ec3bd70d60dfdd061c92dacaa154345,lol 
19.0,5069ee4c25d65b46fcb0ebffd3c25cef9ed2dd0a,italian accent playing a black dude lul pog 
19.0,f2057034d6b13d79a6bf0b39a4c6655b8f00362e,lulw 
20.0,e7862c647ea14ca3944ec52dbff74b2b021561db,lulw 
21.0,6902ea3d79e542f7c488d588363e3aada80832d5,lul 
21.0,2329b2ddd21322d56af4c7170876a91ee93ba3b6,lul 
21.0,e22a96b54353eb02d089f3b11e3100cbccb4c548,lul 
21.0,92ecd11f45ef341c483c4b74d66b56492fb18bdd,lul 
22.0,23709e9d577742bce40115538a332af825238692,buy a nuke pog 
23.0,481945c1b90eca9f45549e0cb73f45fa10068b4d,toonydz toonydz toonydz toonydz 
23.0,9e541808383ddc4cfc31480a86b5bee2d428b3c1,notlikethis notlikethis notlikethis 
23.0,ff67744661e68bf9122e166bf2aa4758e28cdfee,lul 
