Time,User,Message
0.0,e512884c3af97674bb218a103f2e298f86f8ba6e,0dfda09c63aa8bd426040488ccea469c05d9ed28 doodsteve 
3.0,36d5df51b87e46cb2fea0a97a5e48380eb59c12b,coxpb coxpb 
5.0,a2287587d63ec3bda7ef000e05578e950a58ccf6,2c1955f01c3a1b3290fd6dee6051c9218274bb08 keep enjoying your weekend 
6.0,e512884c3af97674bb218a103f2e298f86f8ba6e,evo19gg shad0wmeh 
10.0,698b3e58ba2c735a8b71f6e02b2a954ac3c32bc6,man i can't belive they put gorillas in blackout 4head 
12.0,d70e800cd0810e65cf93cba057eac7c367e4e86a,gorillaz 
12.0,b095b4789ec31c062043eb2412eb21cdd04aacb7,lul lul 
13.0,25b0707b2b8cf87d2ca5c9736a9a23161232b367,gorrilaz: i'm happy i'm feelin fine 
17.0,2c1955f01c3a1b3290fd6dee6051c9218274bb08,that goes for you too chat have a terrific night or morning or whatever it is you're up to and i hope you guys get all the wins you could want 
21.0,50ed85b1e552fa5763eb5ea402e8b219a8e063a5,34162b09cf6b5359eae1fb254780db0f6f57305e trunoomfight 
23.0,af35f00349fc22de6e45d772571ae43b112fd1b5,gorillaz in da mist 
23.0,df31b3170538766414de3f0ed854d92b8e50ead4,hey 
25.0,d70e800cd0810e65cf93cba057eac7c367e4e86a,haha 
27.0,87f2817afd5d202ef69aa329f94739471116fbf7,it's the children again 
38.0,b6533145225eb1c75daedf90e986eefd9bec16f4,omegazerox2 just lmk ign as well so i know it's you and not another rando lul 
39.0,34162b09cf6b5359eae1fb254780db0f6f57305e,2c1955f01c3a1b3290fd6dee6051c9218274bb08 i hope you have a wonderful night now get out ya jerk lytbadman 
41.0,2c1955f01c3a1b3290fd6dee6051c9218274bb08,you guys are the greatest doodgood 
42.0,0dfda09c63aa8bd426040488ccea469c05d9ed28,kkenlul 
42.0,d39e16ec229b5a031311b137b21556abcb3a822c,aww yee i randomly unlocked the best emote doodlewd 
42.0,4955d48c99e779558bc8abd971cadf49ad0fbc9c,i need to make me dragoon team with two reberta's and enhanced cid and see how that goes 
43.0,a2287587d63ec3bda7ef000e05578e950a58ccf6,2c1955f01c3a1b3290fd6dee6051c9218274bb08 doodbro 
43.0,22783b8f155a2746545dafdf95c7589d1cad17fd,2c1955f01c3a1b3290fd6dee6051c9218274bb08 doctorhandshake 
48.0,beb1bacc43b393a34869f67f8ac2775cbbb37c74,bitrate 
