Time,User,Message
0.0,67e54871c5621260ea487556fc2b6ba6e2af7183,he just came back for revenge 
1.0,ee135ec59a76a24f0bb90ab689e1eb087b904946,thats rumble for ya 
3.0,a510125e205b276733eaf2f50d1a739c4fe65752,ninja 
4.0,c63831ca788c919142c5684417ad8cb9cd20157e,what is this 
10.0,1ebecd469130941fddcab9cafe322429a031ef51,clapping your cheeks lmao 
10.0,5b5426f576f88d4eb41488c36f1a6f7706e818a3,hi friends 
13.0,8f67eb4801cc4c2fe018a1fb7bddacf5411faa68,get a ss to help you out as someone just said 
14.0,0a83cdf356a893bf79ad532e0bc1b3869972adc3,get highdistortion for a 4th 
17.0,dcb946973f1624bf99425c2dda9e59c0ff16137d,everyone has glider redeploy 
20.0,4ee07c0deaf0229a82d10ec677f95d0ccd631bcd,that guy could not hit the sky 
22.0,92b9425e285de3239811a155b1d1712cfe5cc0d3,5b5426f576f88d4eb41488c36f1a6f7706e818a3 hi 
24.0,bd6992eb247e968dbd1d1ca3839930073838ee18,hey 5b5426f576f88d4eb41488c36f1a6f7706e818a3 
24.0,3c36c169e8cb787f381ac4d102cf0733ba77501a,hi river 
27.0,4221f2d3288feb413afcdeea688b813b6ecbf05f,clap 
28.0,e7ca20366729238292728c2618bd4ac4b612533b,got you 
30.0,e7ca20366729238292728c2618bd4ac4b612533b,lol 
31.0,ab36ca118c97376171a5fc0b53465cea165b6d76,lul lul 
32.0,c913ec0567d1af66d93524b054787be153ebfc45,no people do that he knew you were hurt 
35.0,3c36c169e8cb787f381ac4d102cf0733ba77501a,i don't think maddy is in chat efe0e6af1e5b4104e45d3c1c2789ec8794cb3fef 
37.0,5ca27e4a57c0fc6f4b1ac672f566f32d4ff180df,5226f992f39f220b761cb5ac71eed55d0c86f241 
37.0,a8f15d5febd7da5344d49726077c1bd503a8fd8b,lul 
38.0,3c36c169e8cb787f381ac4d102cf0733ba77501a,kappa 
39.0,7b8cae9be7b222d9dbcf65ba491bcb8481fb6d1b,he's not wrong though 
40.0,4ee07c0deaf0229a82d10ec677f95d0ccd631bcd,lmao 
42.0,4ee07c0deaf0229a82d10ec677f95d0ccd631bcd,rip 
45.0,fe7273d03d0a1d1486ecda3c5a9313be9126972e,pog 
46.0,17732681b39269591de1806d7506e4e697eaa852,joon 
47.0,356a06c304f0cda75fc4fce1b1ce783f4fa59cc2,what is twitchconwhat is twitchconwhat is twitchconwhat is twitchconwhat is twitchconwhat is twitchconwhat is twitchconwhat is twitchcon 
48.0,a17bcddc8d023630c77f73c7584d394842913cdb,yes reverse i'm listening 
48.0,5ca27e4a57c0fc6f4b1ac672f566f32d4ff180df,she's here 
53.0,4ee07c0deaf0229a82d10ec677f95d0ccd631bcd,3c36c169e8cb787f381ac4d102cf0733ba77501a you should make a command for twitchcon 
55.0,3c36c169e8cb787f381ac4d102cf0733ba77501a,spam 
56.0,8f67eb4801cc4c2fe018a1fb7bddacf5411faa68,ur done ur headshot challenge already efe0e6af1e5b4104e45d3c1c2789ec8794cb3fef 
66.0,4ee07c0deaf0229a82d10ec677f95d0ccd631bcd,that guys name was enderdragon lol 
67.0,5b5426f576f88d4eb41488c36f1a6f7706e818a3,eliot <3 
69.0,28e1ef71847bb3df03d2e424429ad33d7045bc0f,hoodie reverse trihard pogu 
71.0,347961fcc71d7caa438da502ad24e548d46c004f,tsm reverse sounds pretty fire 
73.0,17732681b39269591de1806d7506e4e697eaa852,hello 
75.0,bd6992eb247e968dbd1d1ca3839930073838ee18,hey 3c36c169e8cb787f381ac4d102cf0733ba77501a for got to say hi sorry 
77.0,9daf809122d608bae41e6a8c26923bf9505afb0b,wdym maddie is right in front of you 
83.0,60fced59a1d4f1f153384466b9d517acada654f4,is ninja not going to twitchcon 
85.0,bd6992eb247e968dbd1d1ca3839930073838ee18,hey 5b5426f576f88d4eb41488c36f1a6f7706e818a3 :waving_hand: 
85.0,bc915837082a07d50d3ccaf1673fb682437e1573,org 
90.0,9daf809122d608bae41e6a8c26923bf9505afb0b,why doesn't reverse date maddie 
95.0,5b5426f576f88d4eb41488c36f1a6f7706e818a3,hi bd6992eb247e968dbd1d1ca3839930073838ee18 
95.0,17732681b39269591de1806d7506e4e697eaa852,tfue 
95.0,8aa2f6baec8bf511142c6d10af3a94e974f4e347,fuck off 
95.0,ee135ec59a76a24f0bb90ab689e1eb087b904946,lul 
99.0,4ee07c0deaf0229a82d10ec677f95d0ccd631bcd,lol 
105.0,4221f2d3288feb413afcdeea688b813b6ecbf05f,heeeeeey whats up dude 
106.0,34dd15be267ef073477887d773a4efb8ea7b2717,twitchcon is a thing for twitch streamers 
108.0,b13536b2ba0d8e243cf98f2bcc91d2e3319e2c38,lmaooo 
111.0,698a72505e1d6b25fd9f69012027e1c74df06699,my viewwers now 
117.0,d072d6b6de0e929aa1a7ad6f7922c07e9712d9a9,hahahaha 
119.0,8aa2f6baec8bf511142c6d10af3a94e974f4e347,usa code tfue 
120.0,4ee07c0deaf0229a82d10ec677f95d0ccd631bcd,f 
120.0,2aa007fd0d5b4d2d7087f7a036787af6fec06deb,just go into a real game and build battle somebody and ninja can knock it down 
123.0,d27771343591ce108558d833d8209dd81d74059f,hi 
129.0,92b9425e285de3239811a155b1d1712cfe5cc0d3,what w 
130.0,4221f2d3288feb413afcdeea688b813b6ecbf05f,+ 
133.0,f9a2bba0a90cc3da2ed048d1ed879d4b053525a6,kids just keep landing on you after you kill them 
133.0,a8f15d5febd7da5344d49726077c1bd503a8fd8b,lul 
134.0,17732681b39269591de1806d7506e4e697eaa852,shit fuck up 
136.0,f9a2bba0a90cc3da2ed048d1ed879d4b053525a6,that's how it goes 
138.0,241b2ce91a51c6aaa30f76452855e26acf48a3e5,you and ninja stream snipe eachother 
139.0,92b9425e285de3239811a155b1d1712cfe5cc0d3,what are they trying to do 
143.0,5ca27e4a57c0fc6f4b1ac672f566f32d4ff180df,i'm about to try and stream snipe into your game to let you get this 
144.0,b7cc32997225d4faeaf343e8d8a8ca794aaad83c,drink a mini 
146.0,b497c5cbe0ad5f41e3d9a468beb3853d0b78c0ee,visstsm visstsm visstsm visstsm visstsm nickmercsreal nickmercsreal nickmercsreal nickmercsreal 
151.0,f75960c58ff8fdfa6d27c40356447c34ee034e54,get a stream sniper won't be difficult with u and ninja on 
155.0,2c8587dc2232bf78ae019c446c15e6c9875f150f,color mode chat 
156.0,8aa2f6baec8bf511142c6d10af3a94e974f4e347,theilluminati theilluminati theilluminati theilluminati theilluminati theilluminati theilluminati 
159.0,1ebecd469130941fddcab9cafe322429a031ef51,lol someone stole ninjas board 
