Time,User,Message
0.0,98425868ded423d64eff71fbcbaf9293ce06dd17,yea 5000 hours worth lmao 
3.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,i'm almost diamond and i literally only have like 105 hours 
14.0,38d8bd900794922e60f7295309507c4edf583a0e,thats nothing 
25.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,getting the wins out here 
30.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,unfortunately the skill gap between diamond and gc is wumbo 
33.0,38d8bd900794922e60f7295309507c4edf583a0e,i got like 10 15 days 
38.0,e1c41e284a39e216bd34ee47f7ff0b548fe2f973,not lamao but lamoo aka the musty laugh 
50.0,e842336f90574d36c08bf81d6e13c4d88476848f,wumbology the study of wumbo 
59.0,e842336f90574d36c08bf81d6e13c4d88476848f,its 1st grade spongebob 
68.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,it's 3rd grade spongebob 
70.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,you wumbo i wumbo 
90.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following sepkramer04 
91.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,he she we: wumbo 
94.0,e842336f90574d36c08bf81d6e13c4d88476848f,wumbo wumboing 
97.0,3cc2a7189c9a42ef1b7153f9341122aec00df5a2,this gameplay makes my loins tingle 
126.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,i miss thirty seconds ago 
128.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,make sure to smack that follow button if you are enjoying the content 
130.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,when i hadn't read that 
139.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,ohhh classic song right here 
150.0,e842336f90574d36c08bf81d6e13c4d88476848f,6d0b2c1c6a98e377820f40835e81a41a4fe94271 i just pretended i didn't ever read it 
169.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,bruh moment 
178.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,i got a question can i borrow 200 mmr 
190.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,what does this look like 
200.0,e842336f90574d36c08bf81d6e13c4d88476848f,can i have like 250 mmr 
204.0,a2a62ddc31927e98c40ce5781a854847f9dc5970,mathces in gc are literally the same as mines ofc just they are in gc rank misses balls etc 
208.0,4d9849b43118ece014f5055f40dc3d7eb3955cea,holy that pass 
217.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,ima need tree fitty 
248.0,eb45439286f4baf2b79ac7836238fe6ea651107d,greetings outta germany heyguys 
268.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,texas:cowboy_hat_face: 
271.0,d7fe9552c7d8743c413ca552236ca4d46f8a1536,how much point you got 
277.0,c50beedf882c30036b239e8e788b518868a9818b,what's the name of your playlist 
301.0,e842336f90574d36c08bf81d6e13c4d88476848f,https://open spotify com/playlist/5yeduuf3kjuox9bpc8xnzi?si=5-69yghyr6oz0d69o_jdla 
315.0,c50beedf882c30036b239e8e788b518868a9818b,thanks 
322.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,everyone misses the ball gc isn't king of all ranks even if it is technically the highest 
327.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,rank don't matter in rl 
337.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,i mean 
342.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,that's a brash statement 
349.0,e842336f90574d36c08bf81d6e13c4d88476848f,if that were true i'd be pro aussie lul 
357.0,d7fe9552c7d8743c413ca552236ca4d46f8a1536,ofc rank matter its just that rocket league is really hard to master 
367.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,facts 
377.0,e9ac8cf01b4bfd8c11562d07b6499366a3bac1ee,what was that 
384.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,obviously going pro means you need to be gc but since who cares about leaderboards or ranks 
392.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,lebron needs rings 
395.0,d7fe9552c7d8743c413ca552236ca4d46f8a1536,every one can miss a ball doesnt mean garbage diamond are the same than gc 
403.0,e9ac8cf01b4bfd8c11562d07b6499366a3bac1ee,looked like you're playing rumble with spikes 
403.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,rude 
433.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,i never said diamonds are gc lol i also never compared them to gc's i just said rank doesn't matter 
441.0,e842336f90574d36c08bf81d6e13c4d88476848f,f0fdcb97ab1af72fe7cf141a8e7eae62c5f5d0c2 bitch what you mean i started in season 4 and i understand lul 
448.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,aussie you sound mad cuz you're wrong 
463.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,yep you got me i am livid lol 
471.0,e1c41e284a39e216bd34ee47f7ff0b548fe2f973,футбол 
475.0,3872ee46ced3a0bde3cd56a88afbee97039a7638,if ranks don't matter then why are golds are not gc yet 
490.0,e842336f90574d36c08bf81d6e13c4d88476848f,e1c41e284a39e216bd34ee47f7ff0b548fe2f973 uhhh english 
494.0,e842336f90574d36c08bf81d6e13c4d88476848f,please 
495.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,if rank doesn't matter why is there even rank :flushed_face: 
506.0,3872ee46ced3a0bde3cd56a88afbee97039a7638,^ 
507.0,e842336f90574d36c08bf81d6e13c4d88476848f,^ 
513.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following rydroofficial 
543.0,e842336f90574d36c08bf81d6e13c4d88476848f,actually if you are gc in 2's you are probably gc in 3's as well 
547.0,3872ee46ced3a0bde3cd56a88afbee97039a7638,gc in 1s > any playlist gc 
559.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following biker32 
570.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,1's doesn't require rotation 
580.0,3872ee46ced3a0bde3cd56a88afbee97039a7638,1s is so overwhelming but help you to get faster and smarter 
593.0,e842336f90574d36c08bf81d6e13c4d88476848f,where the fuck did 115 viewers come from 
601.0,3872ee46ced3a0bde3cd56a88afbee97039a7638,pogchamp 
611.0,3872ee46ced3a0bde3cd56a88afbee97039a7638,from twitch 4head e842336f90574d36c08bf81d6e13c4d88476848f 
612.0,e842336f90574d36c08bf81d6e13c4d88476848f,i am 1 mod i can't fucking handle 115 fuckin people 
630.0,e1c41e284a39e216bd34ee47f7ff0b548fe2f973,give me the mod bro xd 
630.0,6d0b2c1c6a98e377820f40835e81a41a4fe94271,they heard aussie say rank doesn't matter and came to smoke him 
636.0,e1c41e284a39e216bd34ee47f7ff0b548fe2f973,i'll mod for you as well 
640.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following masta_c3 
641.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,e842336f90574d36c08bf81d6e13c4d88476848f of course you can i do it in mitts chat with 300+ 
659.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following gioiotti05 
661.0,e842336f90574d36c08bf81d6e13c4d88476848f,77b3d929c89b47f8ed8973f429187ac676f0c0e1 you have other mods bitch lul 
672.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,e842336f90574d36c08bf81d6e13c4d88476848f not late night streams lmao 
673.0,e1c41e284a39e216bd34ee47f7ff0b548fe2f973,11am europe 
679.0,e842336f90574d36c08bf81d6e13c4d88476848f,the other mods here are not even fuckin here 
688.0,77b3d929c89b47f8ed8973f429187ac676f0c0e1,most are lurking or sleeping lol 
691.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following mrschneids 
700.0,38d8bd900794922e60f7295309507c4edf583a0e,wahhh 
