Time,User,Message
0.0,b7df2f52b4e23266e7671e3ab076a656989b794a,what is this kkona song lulw 
8.0,94d0e8d174a097447ae780f653907651f687d8b5,i got 425 spyglass on my alt weirdchamp 
9.0,befb632c394643afe7d22c9747aa99e929890c3b,what is the spinning circle thing 
27.0,36073646f43cdf2c6f91cd57ead07f149165a9e6,marks 
64.0,befb632c394643afe7d22c9747aa99e929890c3b,it marks the mobs 
96.0,81003ac39907f7aa9a3dcd4aca7bcaa39b2ec2ec,befb632c394643afe7d22c9747aa99e929890c3b its called opie 
101.0,94d0e8d174a097447ae780f653907651f687d8b5,its opie addon 
102.0,bb8c5141a80c734693ce3b7d867c53f8b7079644,whoa what is the lock on wa that marks you and shows the target that is on you f62dabe38853fd624f1c195449ef9c2d09349290 
115.0,befb632c394643afe7d22c9747aa99e929890c3b,thx :) 
136.0,bb8c5141a80c734693ce3b7d867c53f8b7079644,targeting 
145.0,bb8c5141a80c734693ce3b7d867c53f8b7079644,thank you sir 
162.0,b7df2f52b4e23266e7671e3ab076a656989b794a,peepopoopoo 
166.0,b7df2f52b4e23266e7671e3ab076a656989b794a,nice emote feelsgladman 
179.0,4ba5300e7138500cdf882ede4e042b7e6963fab3,d: 
180.0,b7df2f52b4e23266e7671e3ab076a656989b794a,heck yeah handsup 
192.0,d05a340f7fe4b7bc52459256213f944b850805a5,aw what happened to the 25 
214.0,b7df2f52b4e23266e7671e3ab076a656989b794a,f62dabe38853fd624f1c195449ef9c2d09349290 when uu'nat but she keeps succin pepelaugh 
219.0,36073646f43cdf2c6f91cd57ead07f149165a9e6,i jinxed it :( 
223.0,90dfea2818a2998b4cf95d928a1160cbd86463be,gamble all whosemans 
235.0,4ba5300e7138500cdf882ede4e042b7e6963fab3,b7df2f52b4e23266e7671e3ab076a656989b794a lulw 
242.0,de241055661e01f917f06c689a2b0c0acaa4f566,b7df2f52b4e23266e7671e3ab076a656989b794a good luck dude 
262.0,b7df2f52b4e23266e7671e3ab076a656989b794a,good luck with what monkahmm 
266.0,94d0e8d174a097447ae780f653907651f687d8b5,peepohappy 
266.0,4ba5300e7138500cdf882ede4e042b7e6963fab3,ok monks are broken as shit too 
271.0,6f4a5ddb1bc3a2c687f892290780ab85ba14a879,gamble all 
286.0,de241055661e01f917f06c689a2b0c0acaa4f566,b7df2f52b4e23266e7671e3ab076a656989b794a before the school with the mmmmppphhh 
298.0,b7df2f52b4e23266e7671e3ab076a656989b794a,de241055661e01f917f06c689a2b0c0acaa4f566 pepelaugh 
303.0,b7df2f52b4e23266e7671e3ab076a656989b794a,shak doing 24 
