Time,User,Message
0.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,us ee that 
10.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,680 cost for heavy spear catachrapth's 
12.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,lol 
21.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,soon its gonna be lower soon it wil be mine :d taht horse thing 
429.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,fuck lu bu 
436.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,he is only a problem wil give me civil war 
457.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,iw ant zhang liao 
1155.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,my heavy catachrapt's cost nothing in the west so funny 600 gold lol 
1785.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,wtf 
1787.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,bs 
1803.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,zhoa yun loses vs a no cannot be 
2449.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,wtf that resolve my ass hahaha 
2846.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,somebody took lu bu 
4856.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,death to the traitor 
4878.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,i wi l totely destroy him 
4882.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,on the map that fucking cunt 
4887.0,f7229d5601611ae6f4b5eb5ed2c3ac5613b9ed4a,lost many gold bequz of him 
