Time,User,Message
0.0,063548fe055292d4aa15d46b72fc99897bf2e501,nyzechsmug 
8.0,4196daad7559a7bdf8428c951192e0fad16d5fba,wgamer 
11.0,4b5f5ec933ca301cfcdf0051747953fad2855d6f,action runs a pallet summoning ritual kittyzisee 
11.0,fb6f055eb6302891e9e4b5545cf64eff84b55b96,3092778c47fe60cbf37e1d746507a2a2c4b080e5 i'm doing alright just woke up moments ago jenz how are you 
16.0,6c3f4103ca0edfe0e4fbe745ef2163410e0d15e2,the music reminds me of gta 
31.0,199f6098de0257568ee49bb7c705b6ece98155d8,nyoom - billy 
38.0,fb6f055eb6302891e9e4b5545cf64eff84b55b96,4b5f5ec933ca301cfcdf0051747953fad2855d6f if only that was possible kittyzlul 
54.0,3092778c47fe60cbf37e1d746507a2a2c4b080e5,fb6f055eb6302891e9e4b5545cf64eff84b55b96 me too i'm getting sick i think i'm glad you're doing well eartht5love 
60.0,c3939ee9f321873ff25cdcd7ce0d6a4ecc90c3f5,don't forget the mori :p 
65.0,063548fe055292d4aa15d46b72fc99897bf2e501,pepehands 
68.0,191a8f87a9ce9790b2e58fd969a1a064bfaf20ab,ok this game been going on so freaking long 
78.0,199f6098de0257568ee49bb7c705b6ece98155d8,lmao 
92.0,d88d7ddc8420f799d43f883734d54c33da69630c,imagine healing yourself 
92.0,0aa45345a72b142d38ace3c03d83a7086c559610,lol 
92.0,9723286d62dfa3c3181e749edef6662ea5e31746,feng 
93.0,b21e0e0e0c403c8e1c86bb566d67817864e87803,shredd6ree shredd6ree 
94.0,21eb83108c32607d0aaf22457a8b87c88616f593,self caring against a billy that one hits you 
99.0,1f3e2b946e5f5915b6fef3a74678695a6f794054,i do that biblethump 
100.0,6cbc020c9bb90e39aef077823d800c41cf53cd5c,she maxed survival points at this point omegalul 
105.0,c3939ee9f321873ff25cdcd7ce0d6a4ecc90c3f5,kittyrage 
108.0,577ce4e3c5188de09704c8a529f9822d60111d93,this feng is a pepega 
110.0,4196daad7559a7bdf8428c951192e0fad16d5fba,shane gets all this extra time kittyzhyperrage 
110.0,df0ae1298442d19949d703e534181afb28bae161,i don't think you've ever been this mad haha 
113.0,c26adb7f609f7378248601e778a3b81db564adf5,danger36hype danger36hype danger36hype 
116.0,b98430eec483e9a1c3716ca22ccbe8e9754dfd5e,how else will she get survival points kitty lul 
121.0,4212b6f5c3b09e98dac602bb4bb7663b8d9c2b72,incoming pop gamer 
121.0,aa5f0dfe20be695c7330f8740cb051b9205edd0c,kittyzhyperrage puppfire 
122.0,063548fe055292d4aa15d46b72fc99897bf2e501,no clue i just got here 
128.0,b5980d8f5e58f5b8a0790fd8bf71a3d7ebd21ebd,this is exactly the kind of game i would need to wake up 
138.0,063548fe055292d4aa15d46b72fc99897bf2e501,pop goes my brain cells 
140.0,c3939ee9f321873ff25cdcd7ce0d6a4ecc90c3f5,this game is actually upsetting 
148.0,d88d7ddc8420f799d43f883734d54c33da69630c,didnt they add other ways to get survival points or have they not done that yet 
153.0,f4d7a53187a19c3e4161717e76fd5d876e7e7ece,okay kitty i dmed you the album on spotify 
163.0,f4d7a53187a19c3e4161717e76fd5d876e7e7ece,i mean discord 
171.0,0636d730a82eb1c5b815b6e593daf1135276b46e,mine usually take 5 minutes because i die nkofine 
177.0,8e07a42799e4ccf2acf0dda4c557c23a8e3eb15e,i had 35 min game yesterday becouse a demo was teleporting from gen to gen ocasionally hit somebody and didnt commit to anything 
180.0,577ce4e3c5188de09704c8a529f9822d60111d93,who do killers enjoy these matches 
183.0,3bcb34d1df7bac0fafe6ad48496c0a991562888a,boyowow prideballoons kittychapz 
187.0,f4d7a53187a19c3e4161717e76fd5d876e7e7ece,not good enough to do gens 
192.0,f79558814496699ebb9e6e213b2821bdb0a93756,roogasm 
197.0,4212b6f5c3b09e98dac602bb4bb7663b8d9c2b72,al jenhug 
201.0,9b7685561cd1b756cea9092e280109fbba588ab3,boyo roopog 
202.0,063548fe055292d4aa15d46b72fc99897bf2e501,feelsrareman 
203.0,7b8eb263596ea70e036a12f736ac85aa5b1a276b,:o 
204.0,4b5f5ec933ca301cfcdf0051747953fad2855d6f,boxzpat 3bcb34d1df7bac0fafe6ad48496c0a991562888a 
204.0,3092778c47fe60cbf37e1d746507a2a2c4b080e5,3bcb34d1df7bac0fafe6ad48496c0a991562888a hey al brocohai 
210.0,6cbc020c9bb90e39aef077823d800c41cf53cd5c,that quentin fucking lives in a locker 
214.0,63aea3daeac11c608cf8e46e004387ae536d73c6,kgothpogby sllrrp 
219.0,3bcb34d1df7bac0fafe6ad48496c0a991562888a,chat boxzpat 
225.0,fb6f055eb6302891e9e4b5545cf64eff84b55b96,if i see a teammate self caring i'm tempted to stand in front of them while they're on a hook until they die boyomad 
228.0,f4d7a53187a19c3e4161717e76fd5d876e7e7ece,kitty literally all my games have been pop ruin dying light and overcharge 
228.0,674fe16491cdf10bdf10a1f78d8d372ae75525b1,you know that bitch was standing there self caring 
228.0,94b132ff166bbca12a3ee73c5d4f5a528901885c,is that the quentin that has alredy been pulled from a locker earlier this game lul 
230.0,577ce4e3c5188de09704c8a529f9822d60111d93,shes gunna go heal again 
231.0,80ec9a5958d69af8d50028b5e806408d37a8a306,hi everyone roohug 
237.0,fb6f055eb6302891e9e4b5545cf64eff84b55b96,al boxzpat 
238.0,063548fe055292d4aa15d46b72fc99897bf2e501,i saw that lul 
241.0,d88d7ddc8420f799d43f883734d54c33da69630c,hi 80ec9a5958d69af8d50028b5e806408d37a8a306 
241.0,4212b6f5c3b09e98dac602bb4bb7663b8d9c2b72,boyovv how are you al 
244.0,2c21542728bc3f450a15a79482d0123b4a175bb0,billy never double backs and then fakes the double back lul 
248.0,063548fe055292d4aa15d46b72fc99897bf2e501,he didn't moonwalk he just pumped the brakes omegalul 
249.0,9723286d62dfa3c3181e749edef6662ea5e31746,boyoz 
254.0,3bcb34d1df7bac0fafe6ad48496c0a991562888a,oi umbracomfy 
255.0,80ec9a5958d69af8d50028b5e806408d37a8a306,g1ng3rbreadman vicksyhiyo 
255.0,63aea3daeac11c608cf8e46e004387ae536d73c6,80ec9a5958d69af8d50028b5e806408d37a8a306 roohug 
261.0,80ec9a5958d69af8d50028b5e806408d37a8a306,phthaloblu3 roohug 
262.0,199f6098de0257568ee49bb7c705b6ece98155d8,mindgamed himself 
271.0,5ef743ee700b41ab6450ea6785643bcd89be2544,she self cared again 
272.0,b5980d8f5e58f5b8a0790fd8bf71a3d7ebd21ebd,pepehands we lost the obsession 
278.0,b5980d8f5e58f5b8a0790fd8bf71a3d7ebd21ebd,now we have to suffer dying light 
286.0,ea7851f376e0928fb9a703a5d96578ecec366202,happy hewwoween kitty and chat uwu kittyz3 
286.0,7de9f575b77be7ae256d05fc6104177024069364,i was 20 years old when that game started now i am 85 
289.0,063548fe055292d4aa15d46b72fc99897bf2e501,splitting up on gens is a thing they can do 
291.0,00b29d3089cc42b95b3af449a8f98fe7447b6ced,i wanna join in but im also still waiting on my food to arrive 
295.0,4196daad7559a7bdf8428c951192e0fad16d5fba,pop goes the braincell really taking a toll on that mans brain 
296.0,f4d7a53187a19c3e4161717e76fd5d876e7e7ece,pop needs some counter play fr 
298.0,fb6f055eb6302891e9e4b5545cf64eff84b55b96,let him die 
304.0,3092778c47fe60cbf37e1d746507a2a2c4b080e5,ea7851f376e0928fb9a703a5d96578ecec366202 thekin66uwu hello 
308.0,063548fe055292d4aa15d46b72fc99897bf2e501,locker soadachamp 
312.0,063548fe055292d4aa15d46b72fc99897bf2e501,sodachamp 
314.0,2c21542728bc3f450a15a79482d0123b4a175bb0,lul 
316.0,fb6f055eb6302891e9e4b5545cf64eff84b55b96,if he dies dying light is gone 
316.0,063548fe055292d4aa15d46b72fc99897bf2e501,typing 
319.0,f4d7a53187a19c3e4161717e76fd5d876e7e7ece,or separate perks into they're function so they can't stack 
319.0,6cbc020c9bb90e39aef077823d800c41cf53cd5c,f4d7a53187a19c3e4161717e76fd5d876e7e7ece don't do gens tru3lul 
321.0,22b468d0bc3fce817854b59891a6d4dfaa9d89d2,he knows pepelaugh 
326.0,d88d7ddc8420f799d43f883734d54c33da69630c,i drank an energy drink 2 nights ago and with my meds it makes me hyper and i tried to play huntress but i was so shaky my aim was super bad 
328.0,4212b6f5c3b09e98dac602bb4bb7663b8d9c2b72,gamer time 
329.0,674fe16491cdf10bdf10a1f78d8d372ae75525b1,smh not committing to the gen 
330.0,2c21542728bc3f450a15a79482d0123b4a175bb0,pepehands 
330.0,f79558814496699ebb9e6e213b2821bdb0a93756,moon2a 
331.0,199f6098de0257568ee49bb7c705b6ece98155d8,pepehands 
332.0,577ce4e3c5188de09704c8a529f9822d60111d93,noooooooooo 
332.0,b5980d8f5e58f5b8a0790fd8bf71a3d7ebd21ebd,pepehands 
337.0,674fe16491cdf10bdf10a1f78d8d372ae75525b1,pepehands 
337.0,27fbc808cf7b26180573817b87ad133acb27fd31,f for the gen 
337.0,d88d7ddc8420f799d43f883734d54c33da69630c,did this guy have ruin 
338.0,0ba74dc72e5d6e047a37ad4176b0630733621934,nuuuu 
338.0,3092778c47fe60cbf37e1d746507a2a2c4b080e5,monkas 
338.0,063548fe055292d4aa15d46b72fc99897bf2e501,xqcrage my gen 
339.0,63aea3daeac11c608cf8e46e004387ae536d73c6,pepehands 
342.0,f578d716650e161e12208938e20a0287d7b2ab90,nice timing pepelaugh 
346.0,c3939ee9f321873ff25cdcd7ce0d6a4ecc90c3f5,dem jesus ballz though 
348.0,c26adb7f609f7378248601e778a3b81db564adf5,kittyzhyperrage kittyzhyperrage kittyzhyperrage kittyzhyperrage 
356.0,aa5f0dfe20be695c7330f8740cb051b9205edd0c,puppre puppre kittyzhyperrage kittyzhyperrage 
362.0,4212b6f5c3b09e98dac602bb4bb7663b8d9c2b72,is this jekk with these m1's jensksksk 
362.0,ec91748547e8819a1ad697f9a321f4e165861ea7,balls of yisus? pogchamp 
364.0,836f1685d1bb51f6746422440e39288888233ac9,tokkipanic 
368.0,3092778c47fe60cbf37e1d746507a2a2c4b080e5,he's learning brocosweat eartht5ree 
374.0,2c21542728bc3f450a15a79482d0123b4a175bb0,hahahah 
374.0,063548fe055292d4aa15d46b72fc99897bf2e501,jensksksk 
375.0,199f6098de0257568ee49bb7c705b6ece98155d8,lmao 
375.0,1ff9419cab0bf9998522a48093f1cfa640a4219e,lul 
375.0,5ef743ee700b41ab6450ea6785643bcd89be2544,lol 
376.0,b5980d8f5e58f5b8a0790fd8bf71a3d7ebd21ebd,lul 
377.0,df0ae1298442d19949d703e534181afb28bae161,lol 
378.0,f79558814496699ebb9e6e213b2821bdb0a93756,lul 
378.0,9b7685561cd1b756cea9092e280109fbba588ab3,pepega 
