Time,User,Message
0.0,09fe343920bd38df1ae40007c2e01dbfa80114c8,1600 
5.0,c9e06cd837c2221fd6bbd6e8f97d0df581405ac0,cntrol 4 pls 
7.0,5e86cb7e28bf7fc6a511c34220ad0027abd8673a,100fbd5172ff2a265d83c6c58f51b683d880d085 thank you :) 
14.0,dfa5c0728fe0bb877c5301b0c78bf6fae8ae2c3d,i dont play nearly as much but have rsi injury fml 
20.0,aeae5b8096bdcce6efbe8ad765f43da60dffbcab,prime 
23.0,aeae5b8096bdcce6efbe8ad765f43da60dffbcab,:) 
29.0,de6e74bbd29b0ea48a042dfd5a6036b0a5d89c4c,0fcc8b7dc1d3188dcaa83e7c254017f983550e48 ok no 
37.0,9e699ba75126ef68c68ee85dce80c90101d9ccac,8457c41c7f343ff1167b2ea657c614650884cb18 aside from what the other person just said red smite does reduce damage if your goal is focusing an adc 
41.0,47cc99cd3585c03cea385a8367ef0b9ee750e606,karasmchao 
46.0,88a49f06b79d4dd891d49119c9223cac3988911c,i sometimes see electrocute over conq 
57.0,b4e2b9b937ba651c6f036db1306b1895e7ae86c9,heyguys im alistar and i g2g 
59.0,4f6d6ac4cabf4c5b603162b398edec4f03fabe46,5000 games in one season is 18 games a day on average wtffffffffff 
60.0,c358c7e3c3767293f795768e4259620ef60a5a11,lul 
89.0,7fff563963a991cf70d89baece8bc5801358da70,how is he moving the camera so fast 
95.0,7fff563963a991cf70d89baece8bc5801358da70,is he just pressing f1 f2 or whatever 
101.0,42371cbfe07061a842fffce424814c95ec769351,ye 
106.0,27206aa62e8eb166c3a77efc2e3c4ebab8114213,i've always been told never to gank early cause it shows your position 
107.0,9e699ba75126ef68c68ee85dce80c90101d9ccac,7fff563963a991cf70d89baece8bc5801358da70 muscle memory or buttons i assume 
116.0,7fff563963a991cf70d89baece8bc5801358da70,tyty 
118.0,27206aa62e8eb166c3a77efc2e3c4ebab8114213,at leat not unless you have 100% kill 
140.0,f3ef5aa07f56e0dc0276c7ddfbecb4ad263c30fc,ganks arent always about kills 
141.0,887730fc551e2e0f9d3b36582736c6944cc1455f,he's using the f keys yeah 
143.0,9d51cfa77f848418cc75947a358b1ad13041c1a3,27206aa62e8eb166c3a77efc2e3c4ebab8114213 that's a shitty advice 
150.0,9e699ba75126ef68c68ee85dce80c90101d9ccac,not /remake :thinking: 
153.0,f3ef5aa07f56e0dc0276c7ddfbecb4ad263c30fc,- flash = sucesful gank 
154.0,fd64141adfe750c52bb17c6023aaec8ea3925e69,no remake 
160.0,27206aa62e8eb166c3a77efc2e3c4ebab8114213,i think it's right his blue is probably gone now 
169.0,171b3f704632d1eb444757518890c0f3d42c163b,f3ef5aa07f56e0dc0276c7ddfbecb4ad263c30fc yup sometimes chasing a champ off is just as good as a gank 
170.0,887c40146d7e95a47962de9b2146478c48413cd3,can't remake since the guy who dc'd moved 
174.0,27206aa62e8eb166c3a77efc2e3c4ebab8114213,oh it was about to be 
174.0,e5c3ee8f9aa29a78ed1414fa924d81f1abb06e66,fd64141adfe750c52bb17c6023aaec8ea3925e69 cant remake when he moved 
175.0,971b256429415e8c0303e7f1f2c394e45853a6ee,27206aa62e8eb166c3a77efc2e3c4ebab8114213 getting a sum is almost worth as much as a kill cause it later turns into a kill 
175.0,566b1ceeed15df19c50a74f8a05d4021ad4a441a,commands 
183.0,f3ef5aa07f56e0dc0276c7ddfbecb4ad263c30fc,thats why he warded bluu 
183.0,0d445916fa15798bd908405ed0d6ee3ed12b8a2a,oof 
187.0,9e699ba75126ef68c68ee85dce80c90101d9ccac,27206aa62e8eb166c3a77efc2e3c4ebab8114213 it's a trade off early ganks can be unexpected and snowball your laner 
203.0,d3bb5e05fabd27c96559b9fcb0f8c231c4b47f7b,how does he check on lanes so quickly 
212.0,bdd7c5408c3d9aef78bb9d546a5e7067b1378ef8,pogggggggg 
213.0,e21efe9cec3380352261d85a4e6dc2df12340197,ali back pog 
216.0,f3ef5aa07f56e0dc0276c7ddfbecb4ad263c30fc,f1 f2 
217.0,887c40146d7e95a47962de9b2146478c48413cd3,f1 2 3 4 5 
217.0,23bc9bf9b46569a79383069b76b015a6c4aad205,pog\ 
219.0,887730fc551e2e0f9d3b36582736c6944cc1455f,f keys 
221.0,bdd7c5408c3d9aef78bb9d546a5e7067b1378ef8,winner winner 
222.0,171b3f704632d1eb444757518890c0f3d42c163b,f1-f5 keys 
222.0,279003bc54aea40f8b04f25b693779994a6dee2e,d3bb5e05fabd27c96559b9fcb0f8c231c4b47f7b f1-f5 
224.0,9e699ba75126ef68c68ee85dce80c90101d9ccac,d3bb5e05fabd27c96559b9fcb0f8c231c4b47f7b the f keys on top of the keyboards can center on your teammates quickly 
225.0,4f6d6ac4cabf4c5b603162b398edec4f03fabe46,f keys 9e699ba75126ef68c68ee85dce80c90101d9ccac 
227.0,7f11a796745b17ad990d0f3a040ce0c623531fa4,f1 f2 and so on 
228.0,68636d8b46c765c79fb0dbf4abcaf91b765f1a7a,pepega autism 
229.0,d3bb5e05fabd27c96559b9fcb0f8c231c4b47f7b,oh 
231.0,566b1ceeed15df19c50a74f8a05d4021ad4a441a,does he prefer red or blue kayn with this runes 
234.0,23bc9bf9b46569a79383069b76b015a6c4aad205,leona tho lul 
235.0,11e3cff0713fe2e694518704583b07da4caf7c53,fk keys 
237.0,b4e2b9b937ba651c6f036db1306b1895e7ae86c9,damn people here asking day 1 questions 
242.0,27206aa62e8eb166c3a77efc2e3c4ebab8114213,i used to gank early a lot and got punished a lot for it 
243.0,f3ef5aa07f56e0dc0276c7ddfbecb4ad263c30fc,conq = red ayn 
