Time,User,Message
0.0,a52d5f7b3ef5e9f30352e7a1fb194fc8b06fbe05,d: 
1.0,7b626e9227064296da985cd57c137bf5cb9595a5,sketchful wtf lulw 
4.0,5490372b13fbeb439a2da73bef3af4bb9e8f226a,d: 
4.0,3b9d4fcb9f0928bb9e500bec089546953c916475,i'm ok pepege 
6.0,db2eaf80d63680f349abf87c4ce28823fd2f1788,pepehand cat 
6.0,430d68ad38eafc3559ece18e7bbee94292841f70,f7ff130feccf68b371e7a44df595cfaae5aec059 so if you have instant spells you have to have the land untapped for them so sometimnes you don't want to play creatures 
9.0,9b56286ffdf26b2d263edde63f65ce04b9df56c8,yooo movie yuuu gii ohhh 
9.0,f787d75366eff9dacaaac4a335352af8b727dbaa,lul 
10.0,aedda2eb7bfc8acbe0407ba4e2240bedc559af3a,l 
10.0,3b9d4fcb9f0928bb9e500bec089546953c916475,d: 
10.0,8ad26d8c016b79d2180ba426548c2af39d9ca11b,murder incoming pepelaugh 
12.0,7b626e9227064296da985cd57c137bf5cb9595a5,kkonalookingoutofhisbarnwindow damn right brother 
12.0,4e2e64077ca0e2e35e0f13c78643bb4b8cdd36b0,d: 
13.0,131cfd46ebf3a2b7b630b22ece13cf2ec138a5e7,jebaited 
13.0,64c4c2fa8cdd60216ac4b336259454a9cb6d438c,flooded pepehands 
13.0,5e1d67fa4793c2b42e7a4e136b62972fb9ad7e96,d/ 
13.0,66c39b4178d72435e87df6c86fbc88b093061ddb,d: b 
16.0,46861ba21b602fd5d834abd76b44ef36dd9feb34,mooooowwww lirikn 
17.0,efd94287c4f4f2342354b50e2988613e75a8bf7b,get her under your skin 
20.0,5e1d67fa4793c2b42e7a4e136b62972fb9ad7e96,jebaited 
21.0,120ee2d251fc20ba9552fcdfe6c3ff7b2681a1ce,jebatied 
23.0,5a950a57fba6e08ccb82ee3c64c39d5dc55f4fa4,liriklul 
23.0,018f161b2ce548dc7abf00cda3a8db1589c03c19,damn him playing creature before land is triggering me for no reason notlikethis 
25.0,f4df88b8c0625f180f5f4d2e02a5e89541222190,lirikhmm 
26.0,3dd6eb01e69feee5e5dc744606af2dd0cc4732e2,jebaited 
26.0,8c69bd4348c080c1cefaf8edb20569266a785c09,flash aaaaaaah 
27.0,596781641e91c37e6a6e263ba99c3d064fabe0a5,lirik would do well with a jund deck 
27.0,120ee2d251fc20ba9552fcdfe6c3ff7b2681a1ce,jebaited 
27.0,c7fa0b1e2f94924b30a5071742a4af8425a4247a,kkonalookingoutofhisbarnwindow 
29.0,3297f9ea030c6146e9f402650a91541fa02d13a3,ffs now i wanna play gwent or something 
29.0,91872f2f37960a493b25ad6a3084670fd1aeaa79,jebaited 
33.0,1552bb2b03b9df571bae9b4a6108b13416e7580c,jebaited 
33.0,5874c6ace5b6431ca5c2db340c3573b5c016fa06,yes 
33.0,a92656a998c71f431708187db7aa2eade3d6488a,maybe don't attack 
34.0,94d851582d01ac673d76bccbb1e13a3bda8680fb,jebaited 
34.0,6344f98145f3312331690905e41756a485320981,haven't played recent enough wtf is flash lol 
34.0,66b4f4645b31f36165cc51aa0dea50e940bea79d,:pouting_face: 
38.0,7c9ff1838e1199af4ec8917ac033b8adb89fc6ed,jebaited 
39.0,d5563e62f4309abe7b6026969f3c85baaea9fbb6,peeposad why 
41.0,f4df88b8c0625f180f5f4d2e02a5e89541222190,ore no turn 
41.0,7d719bd42c639db5af32594a550ab46588ec2e43,use land first 
42.0,5bc21597d3c776f5de3aea3c129fdf9303c11d15,018f161b2ce548dc7abf00cda3a8db1589c03c19 lulw 
43.0,9d0c6202806b619f2e577adfdbac40b5f8472d98,f7ff130feccf68b371e7a44df595cfaae5aec059 just saw your limited cyberpower pc video on youtube pog 
43.0,f8299bbc3d9bd15c977c87ac8e898a13635c81e3,where can you download the game 
45.0,741c939db31af896e4e8c539fa4294cdd66a466d,murder incoming jebaited 
46.0,9f1980d7d4e3f2f4a2a1b7165496c06e7ac539a9,in response 
50.0,02bf8c9547ace7f527078d9f092bf8f601661911,land plesae 
51.0,c182a4ec11ad2814e5bc0ea38a5f9464c9ef7cfa,64c4c2fa8cdd60216ac4b336259454a9cb6d438c yes it uses black land but its known as black kew 
51.0,8dcfcd1f7e5bfeab934f836ef154574257048916,3297f9ea030c6146e9f402650a91541fa02d13a3 gwent is actually great atm 
53.0,f3f3fb355d171bcae14100d0bbee49fc3416c019,ded 
53.0,131cfd46ebf3a2b7b630b22ece13cf2ec138a5e7,epic trap card pepelaugh inc 
53.0,1daed1922929cce1f5f1f390d06bfd6aac8bffe0,f7ff130feccf68b371e7a44df595cfaae5aec059 i already got coffee stains under liriksmart on the new mousepad 
54.0,f08670b0efef1df6c2de01d60e0973436f22fed2,hahaa 
54.0,e678759db7467782aa6073a922caf12f622ddd71,f8299bbc3d9bd15c977c87ac8e898a13635c81e3 you forgot ad 
54.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,rynoek with 27 months sub lirikh 
56.0,3f7e7de18b9ec63a0191ffda43dea7c0155664f4,8th pepega 
56.0,8ad26d8c016b79d2180ba426548c2af39d9ca11b,murder incoming jebaited 
58.0,ae2dc2ee5071b39c33f498e3329885cdf8890853,kekw 
59.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,quidow with 50 months sub lirikh 
59.0,19226f98ccfa120f5bff9e6362bc93335203d364,lulw 
59.0,741c939db31af896e4e8c539fa4294cdd66a466d,lul 
59.0,30985f3e41753274ac6ed9b98ec06028daa3b96e,lul 
59.0,ea8d4bd989be33f0cecc4d2416c5a66340ea0e16,lul 
60.0,9f707cef9bd6e8d7eefce93027d01e1dfb0f220a,the card art pog 
60.0,d12a828718b1c2d0a53a38726a822a403369d09e,kekw 
61.0,792a5d2fd5716e548017f8fc2b78a5b700a15a65,lul 
61.0,d2f34beafb351cea6dfb88332c8ce1d66e8a8011,kekw 
61.0,c48833a2c930d87a28adecf1149cafb667e83fa4,lolllll 
62.0,ec86b781ac0ce228d4d7390b1a98a3d9d50c6e4d,scripted 
63.0,be712d096855bf776ea9b91aec41705fdfbc9a34,lul 
63.0,66c39b4178d72435e87df6c86fbc88b093061ddb,lulw 
63.0,1de8541fbaa79dd4b827fdd5804833f883773783,it's funny how a playstyle in a game can trigger so many people pepelaugh 
64.0,f787d75366eff9dacaaac4a335352af8b727dbaa,f8299bbc3d9bd15c977c87ac8e898a13635c81e3 google mtga 
64.0,9b56286ffdf26b2d263edde63f65ce04b9df56c8,kekw 
64.0,f455810c1f69b9735436c6eb500af7f725240468,8 pepega 
64.0,91872f2f37960a493b25ad6a3084670fd1aeaa79,kekw 
65.0,b572148682309019f330e9676928131d6906faba,its tutorial 
65.0,7e893133504dcf5f21c973362a3fa2ec20ffef82,d: 
66.0,b4d8cf22135c2a3a35d3ed5fed3b895abe97a355,lul 
66.0,179b4ae05e75c5596e9aa33e768a4fefc3bfc98c,waste her resources 
66.0,29094846caa2c31ea81c43ad9bca42209654b926,because it's tutorial lulw 
66.0,596781641e91c37e6a6e263ba99c3d064fabe0a5,no pacifism 
66.0,999f7ba4242a0697ad7801dd64551358bd6fc839,dansgame 
66.0,d271535acb8e6751c2e7b70f05cedbaa7f049bc7,scripted kekw 
67.0,d338b2b428883083f1c1df411f2438c0379d2b82,jebaited 
67.0,430d68ad38eafc3559ece18e7bbee94292841f70,block what 
68.0,66b4f4645b31f36165cc51aa0dea50e940bea79d,cuz its the tutorial 
68.0,e58169fc6a55990118c67dd7d7da880446063758,block ehat 
68.0,c7644d09e2198a28b582840d6e38de20a84c782e,black has no haste 
68.0,4e15a9956d9b8019eca060dee0d3fef07e7bf6bb,because tutorial 
69.0,ab2b7563a28ca1ca864bcbeb70e42590c77c4727,vote noita 
69.0,99134fbb415f746fa7300d7c780280ab9ba9e60a,blcoking what 
69.0,0076793e813572ca8c65536f1723bc12cd69abe0,f7ff130feccf68b371e7a44df595cfaae5aec059 its a scripted tutorial 
69.0,6ed98b68b196d14b597ae161127155fdfff43207,tutorial 
72.0,3297f9ea030c6146e9f402650a91541fa02d13a3,8dcfcd1f7e5bfeab934f836ef154574257048916 is it though i used to be master but they changed it so much i got annoyed 
73.0,64c4c2fa8cdd60216ac4b336259454a9cb6d438c,there's nothing to block though lulw 
75.0,6344f98145f3312331690905e41756a485320981,lirikobese lirikpoop 
75.0,9f1980d7d4e3f2f4a2a1b7165496c06e7ac539a9,in response i 
75.0,120ee2d251fc20ba9552fcdfe6c3ff7b2681a1ce,jebaited 
78.0,c48833a2c930d87a28adecf1149cafb667e83fa4,the playsss 
79.0,a92656a998c71f431708187db7aa2eade3d6488a,wtf lul 
