Time,User,Message
0.0,065bc3dd4440c643c1347022a6bd8de300c5094d,hey jamie could you give me some advice on my team 
3.0,0304342d655934671987d2385c57ba3bc65e3571,thats pretty dope i thought 
11.0,091fdb8ecfc894a05df513ec3982cd4800d3a621,065bc3dd4440c643c1347022a6bd8de300c5094d sub perk 
11.0,66e4f9e3d5e0b36bea6dd7276bdc2808cb5de84f,ive just spent the last 1 hour teaching my friend how to play fut 
12.0,ee7b6def1506e5033ed28aecf703f8a86cf6ae9f,i wish i was in amsty right now 
15.0,065bc3dd4440c643c1347022a6bd8de300c5094d,ah cool cool 
18.0,6edd4ad40329542255277972f15fa0b6d529c6dd,hahhahaha 
18.0,0304342d655934671987d2385c57ba3bc65e3571,with all your subs 
19.0,0304342d655934671987d2385c57ba3bc65e3571,kappa 
20.0,980456c3ced6adf9844be1a554cad913aed492aa,still lost to spurs 
20.0,c938e29ec36f4d43469b82d28a51886b262e7c17,what in reds 
22.0,66e4f9e3d5e0b36bea6dd7276bdc2808cb5de84f,i want to pull my hair out 
32.0,35f3d385702d1aee6d3ce8a1c9c22ca2dd04caa2,all the subs in the crowd pogchamp 
45.0,33f5f17b545ab859a3d161e87fed37f43874e5e8,only subs allowed 
51.0,f3331ebc44110c4b5aa045e55f70cb2d4e61bf62,lmfao 
53.0,f3331ebc44110c4b5aa045e55f70cb2d4e61bf62,wowwwww 
54.0,4c4f6e40e77957622e22803aa84d5afa4cceb01f,buy varane now if you are even thinking of getting him he is super cheap atm 
55.0,66e4f9e3d5e0b36bea6dd7276bdc2808cb5de84f,lul 
55.0,35f3d385702d1aee6d3ce8a1c9c22ca2dd04caa2,lul 
60.0,0304342d655934671987d2385c57ba3bc65e3571,jamodolul jamodolul jamodolul jamodolul jamodolul jamodolul jamodolul 
60.0,f3331ebc44110c4b5aa045e55f70cb2d4e61bf62,i haven't typed in like 45 mins 
63.0,66e4f9e3d5e0b36bea6dd7276bdc2808cb5de84f,wow 
63.0,6edd4ad40329542255277972f15fa0b6d529c6dd,lul lul lul 
64.0,f3331ebc44110c4b5aa045e55f70cb2d4e61bf62,and i get disrespected 
65.0,e12ae82ad3e1c1e83c0e3629bded934678823b29,wot 
67.0,0304342d655934671987d2385c57ba3bc65e3571,i feel bad for jun 
67.0,c938e29ec36f4d43469b82d28a51886b262e7c17,lmaooo 
67.0,35f3d385702d1aee6d3ce8a1c9c22ca2dd04caa2,jamodol f3331ebc44110c4b5aa045e55f70cb2d4e61bf62 
72.0,6b27be0f046ac1be754516e69d8ea995b1f3b180,please put sancho cm and mbappe rw so its symetrical chem 
72.0,0304342d655934671987d2385c57ba3bc65e3571,first the pack luck 
78.0,f3331ebc44110c4b5aa045e55f70cb2d4e61bf62,unreal disrespect 
83.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,hows sancho 
83.0,e12ae82ad3e1c1e83c0e3629bded934678823b29,has anyone tried van basten :d 
96.0,c938e29ec36f4d43469b82d28a51886b262e7c17,e12ae82ad3e1c1e83c0e3629bded934678823b29 i love him 
106.0,0304342d655934671987d2385c57ba3bc65e3571,nah im done 
108.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,dam i kinda want to try him 
115.0,0304342d655934671987d2385c57ba3bc65e3571,i finally got a walkout from 81+ 
115.0,d448e42c422a67e3ee3821d599ede0903a8ef0fd,jamie gullit or vieira considering vieira is much cheaper 
115.0,e12ae82ad3e1c1e83c0e3629bded934678823b29,c938e29ec36f4d43469b82d28a51886b262e7c17 u use him as st 
119.0,0304342d655934671987d2385c57ba3bc65e3571,neuer 
121.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,honestly for me personally 
122.0,0304342d655934671987d2385c57ba3bc65e3571,dead 
123.0,6edd4ad40329542255277972f15fa0b6d529c6dd,how come you use him at rb 
124.0,fc0243c03a5c1f9873349c459a45d715471c0d75,told you hes a freak can i have an apology f9265852c671a6e610f7964ff042c3f4aebea0fa 
127.0,c938e29ec36f4d43469b82d28a51886b262e7c17,e12ae82ad3e1c1e83c0e3629bded934678823b29 yessir 
136.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,cr7 if its not the 98+ is not worth 
138.0,6edd4ad40329542255277972f15fa0b6d529c6dd,yeah 
138.0,af8b50c5a239c79547ec8ab9814f143fab62582e,how is doherty f9265852c671a6e610f7964ff042c3f4aebea0fa 
141.0,9d2e7061eddc77dbc7354df643c3ff6a679ad327,oi download the golf club 2019 
144.0,9d2e7061eddc77dbc7354df643c3ff6a679ad327,its free 
150.0,e12ae82ad3e1c1e83c0e3629bded934678823b29,c938e29ec36f4d43469b82d28a51886b262e7c17 hope he is dope for me too then i ve started crafting him :) 
151.0,9d2e7061eddc77dbc7354df643c3ff6a679ad327,we will play it on stream soon 
153.0,c938e29ec36f4d43469b82d28a51886b262e7c17,9d2e7061eddc77dbc7354df643c3ff6a679ad327 that game is so fire 
154.0,05266abc4a00d2d6f2f689917901d05b3e3132ab,get a new right back 
162.0,af8b50c5a239c79547ec8ab9814f143fab62582e,can i share my team in the chat 
162.0,6378191ee02b3c45008040b15dd184f15ec1936a,f9265852c671a6e610f7964ff042c3f4aebea0fa does sancho composure let him down 
168.0,0304342d655934671987d2385c57ba3bc65e3571,9d2e7061eddc77dbc7354df643c3ff6a679ad327 lucky we didnt those regular gold upgrades ey <# 
171.0,a1c07be9ae4cd7ee43d3ffebf46ef555ae3faad4,yo jamie have u tried out moment blanc 
173.0,2eb2149ce24b235de3fc565fd4b10ae166755a27,hey jamie 
174.0,065bc3dd4440c643c1347022a6bd8de300c5094d,dumfries da beassttttt 
174.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,but trust me eder militao is crazyyyy 
175.0,35f3d385702d1aee6d3ce8a1c9c22ca2dd04caa2,doherty is king 
176.0,6edd4ad40329542255277972f15fa0b6d529c6dd,get trent tots his unreal 
176.0,9d2e7061eddc77dbc7354df643c3ff6a679ad327,c938e29ec36f4d43469b82d28a51886b262e7c17 going to be a great laugh 
177.0,ee7b6def1506e5033ed28aecf703f8a86cf6ae9f,who you like better esubio or r9 
179.0,6b27be0f046ac1be754516e69d8ea995b1f3b180,will dumfries get a tots 
184.0,4c4f6e40e77957622e22803aa84d5afa4cceb01f,aye im getting dumfries as well 
190.0,c938e29ec36f4d43469b82d28a51886b262e7c17,e12ae82ad3e1c1e83c0e3629bded934678823b29 some people love him some hate him but i absolutely live him 
192.0,065bc3dd4440c643c1347022a6bd8de300c5094d,f9265852c671a6e610f7964ff042c3f4aebea0fa try da costa should be good with a formation change 
195.0,5812563b6d9e2eb1ed59461bb34df56e5ae0eb2a,get himm 
198.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,hes a better ramos for me :) 
198.0,af8b50c5a239c79547ec8ab9814f143fab62582e,share 
199.0,66e4f9e3d5e0b36bea6dd7276bdc2808cb5de84f,messidyeah 
204.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,better workrates and pace 
206.0,9d2e7061eddc77dbc7354df643c3ff6a679ad327,0304342d655934671987d2385c57ba3bc65e3571 finally paid me back for that sniper you shot at me 
212.0,4c4f6e40e77957622e22803aa84d5afa4cceb01f,my dream back 4 is robbo virgil de ligt and dumfries 
214.0,6edd4ad40329542255277972f15fa0b6d529c6dd,costa is shocking trent is unreal on another level 
216.0,df33125e301f9a4054c7ec3150a34646e7d6684a,ac31085f6b280d2224cfdddf03b1511aeaa5cf01 yoooo 
219.0,fe08175de1727e9fb3153716c85752ae5971a128,you should purches pogba 
225.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,dwyerrr yoooo 
225.0,2eb2149ce24b235de3fc565fd4b10ae166755a27,did you get shafted by ea again in rewards 
229.0,e12ae82ad3e1c1e83c0e3629bded934678823b29,c938e29ec36f4d43469b82d28a51886b262e7c17 one of my other fav st this year is pato so i think i ll be fine with van basten :) 
229.0,065bc3dd4440c643c1347022a6bd8de300c5094d,hm did you play mbabu tbh he's better than anyone else for me so far 
232.0,4c4f6e40e77957622e22803aa84d5afa4cceb01f,varane and ramos are way better 
236.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,100% and that link with him and telles is so good 
236.0,534d4a20e4ae1f4f027be850302c8106a8763c61,jamodosiuu jamodosiuu jamodosiuu jamodosiuu 
238.0,f44192bbaad5b8c0c8c82be2d373c9a2d2f6cabc,my first time on the stream and all ready lovin it keep it up bro 
239.0,6378191ee02b3c45008040b15dd184f15ec1936a,f9265852c671a6e610f7964ff042c3f4aebea0fa sancho composure is so dead 
244.0,0304342d655934671987d2385c57ba3bc65e3571,9d2e7061eddc77dbc7354df643c3ff6a679ad327 jamodolul 
246.0,df33125e301f9a4054c7ec3150a34646e7d6684a,ac31085f6b280d2224cfdddf03b1511aeaa5cf01 what you get in rewards 
247.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,he benched prime moments maldini for me lul 
253.0,4c4f6e40e77957622e22803aa84d5afa4cceb01f,next year ramos varane and militao will all play together 
254.0,0db858a9fb3580f999d3a3634f2d90653fe98896,eusebio or ronaldinho at st 
257.0,ee7b6def1506e5033ed28aecf703f8a86cf6ae9f,who you like better esubio or r9 
257.0,c938e29ec36f4d43469b82d28a51886b262e7c17,e12ae82ad3e1c1e83c0e3629bded934678823b29 should be fine mate he doesn't miss for me 
259.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,dwyerrr r9 rai will be opening my rewards later ; 
260.0,e38605d957d14f24a5d64924491c720983bfb165,534d4a20e4ae1f4f027be850302c8106a8763c61 shuffuluv 
261.0,065bc3dd4440c643c1347022a6bd8de300c5094d,i mean mbabu just feels like a gullit that can't shoot and is way faster 
262.0,de7362febfb99c36c83b6fe7326e6593721905a8,wl 
262.0,8a25d901f86388232c9e84bb112157d193d02b2a,f9265852c671a6e610f7964ff042c3f4aebea0fa i've just started doing eusebio 2/13 should cost me 900k ish 
265.0,c938e29ec36f4d43469b82d28a51886b262e7c17,534d4a20e4ae1f4f027be850302c8106a8763c61 hey bro 
269.0,6edd4ad40329542255277972f15fa0b6d529c6dd,you got new overlays looking fireee 
270.0,e12ae82ad3e1c1e83c0e3629bded934678823b29,c938e29ec36f4d43469b82d28a51886b262e7c17 what chem u use 
273.0,de7362febfb99c36c83b6fe7326e6593721905a8,record 
273.0,0304342d655934671987d2385c57ba3bc65e3571,hey jamie do some bundes upgrades 
275.0,f44192bbaad5b8c0c8c82be2d373c9a2d2f6cabc,what up bro 
276.0,534d4a20e4ae1f4f027be850302c8106a8763c61,e38605d957d14f24a5d64924491c720983bfb165 yooo 
277.0,0304342d655934671987d2385c57ba3bc65e3571,worked for liam 
283.0,0b12695a7ee9afbe742599dcc2548016355e4fcd,my name is jamie o'doherty and i play fifa professionally for team futwiz i've played fifa casually my whole life however i started taking it more seriously in fifa 17 where i attended two ea sports regional finals my road to becoming a pro started off as a fifa youtuber and i've always had a passion for content creation which is why i love streaming on twitch 
286.0,df33125e301f9a4054c7ec3150a34646e7d6684a,ac31085f6b280d2224cfdddf03b1511aeaa5cf01 nice nice he got 2 sanchos for people so hopefully you get something good too 
288.0,a0e3db5970af6da82ac50ed29d22b856c59ba5a0,065bc3dd4440c643c1347022a6bd8de300c5094d feel like gullit kappa kappa 
295.0,f44192bbaad5b8c0c8c82be2d373c9a2d2f6cabc,holidayornament holidayornament 
295.0,534d4a20e4ae1f4f027be850302c8106a8763c61,c938e29ec36f4d43469b82d28a51886b262e7c17 how you doing 
296.0,a013a3ff9f6ea6627fe637f7f4e1025370ed16ca,my name is jamie o'doherty and i play fifa professionally for team futwiz i've played fifa casually my whole life however i started taking it more seriously in fifa 17 where i attended two ea sports regional finals my road to becoming a pro started off as a fifa youtuber and i've always had a passion for content creation which is why i love streaming on twitch 
301.0,f44192bbaad5b8c0c8c82be2d373c9a2d2f6cabc,what up bro 
302.0,c938e29ec36f4d43469b82d28a51886b262e7c17,e12ae82ad3e1c1e83c0e3629bded934678823b29 chem style if so engine 
304.0,065bc3dd4440c643c1347022a6bd8de300c5094d,i mean it may be the hair tho lul 
304.0,de7362febfb99c36c83b6fe7326e6593721905a8,f9265852c671a6e610f7964ff042c3f4aebea0fa you are top 100 player 
308.0,2eb2149ce24b235de3fc565fd4b10ae166755a27,the overlays look fire 
309.0,534d4a20e4ae1f4f027be850302c8106a8763c61,i'm sick on mobile currently 
310.0,8a25d901f86388232c9e84bb112157d193d02b2a,action my name is jamie o'doherty and i play fifa professionally for team futwiz i've played fifa casually my whole life however i started taking it more seriously in fifa 17 where i attended two ea sports regional finals my road to becoming a pro started off as a fifa youtuber and i've always had a passion for content creation which is why i love streaming on twitch 
313.0,a013a3ff9f6ea6627fe637f7f4e1025370ed16ca,0b12695a7ee9afbe742599dcc2548016355e4fcd congrats on verification 
314.0,6edd4ad40329542255277972f15fa0b6d529c6dd,pogchamp pogchamp pogchamp pogchamp 
319.0,0b12695a7ee9afbe742599dcc2548016355e4fcd,ty 
324.0,f9265852c671a6e610f7964ff042c3f4aebea0fa,https://twitter com/dailyrender/status/1134093779768619009 
325.0,f9265852c671a6e610f7964ff042c3f4aebea0fa,https://twitter com/dailyrender/status/1134093779768619009 
327.0,e12ae82ad3e1c1e83c0e3629bded934678823b29,c938e29ec36f4d43469b82d28a51886b262e7c17 yes chem style engine nice i ll try to complete him soon :) 
327.0,c938e29ec36f4d43469b82d28a51886b262e7c17,534d4a20e4ae1f4f027be850302c8106a8763c61 good brother you hope the streams are all going well brother 
329.0,065bc3dd4440c643c1347022a6bd8de300c5094d,mbabu hair > gullit hair facts 
334.0,a013a3ff9f6ea6627fe637f7f4e1025370ed16ca,nah 
336.0,4c4f6e40e77957622e22803aa84d5afa4cceb01f,will there be a aussie is from the same hometown as jamie 
341.0,4c4f6e40e77957622e22803aa84d5afa4cceb01f,i think thats a must 
341.0,4b1abdeb07599cb353405c6f95e726cb7b83f749,bryce bryce bryce bryce 
342.0,a013a3ff9f6ea6627fe637f7f4e1025370ed16ca,gullit hair is way better 
344.0,a0e3db5970af6da82ac50ed29d22b856c59ba5a0,b87jamie b87jamie 
345.0,c938e29ec36f4d43469b82d28a51886b262e7c17,e12ae82ad3e1c1e83c0e3629bded934678823b29 good luck bro 
