Time,User,Message
0.0,c42bf1f226d8580c32ab1fe3197bc8b5b730ae3a,you're bad at lands today 
14.0,151972dc027b2b26c75e92ef81ae2bf3b1cb94ac,hows it going 
17.0,5ed554324e75c91eb88dcbe9fb8a93a2ebafad48,is arena a pay-to-draw-lands game 
41.0,53cee26ce9a3fc22bc7b367d8adffc5496c72e50,what set is bladewing from 
42.0,cb101295836360e6eafe64bf3039ad9034cd072d,or stop drawing 14 in a row game basically 
55.0,b8d144e8833ea61e9253028d7a75847c020a96ce,lul 
57.0,527c92efe35aaee12f8f5b125025a6b493194814,well 
58.0,e3df960cad17dd4dbf1b3893d3f4c03fbeb3c10f,nice 2 
59.0,527c92efe35aaee12f8f5b125025a6b493194814,you found land 
91.0,124d660ffeab250fd082dbd3ea755f6a87919935,i read the title and came right away 
95.0,00fc21aebf23ea6121de4afdef818f5d7609c491,3 lander smh 
99.0,e74afe7dd1ba3b45228e5de002181776c822c336,t2 flame pogchamp 
104.0,c19de24df03eb6bdefc7f66e5537edaad25d7b19,i've had many 1-2 starts that end with 5-7 wins 
110.0,00fc21aebf23ea6121de4afdef818f5d7609c491,t2 flame of keld ez 
118.0,d09713326ad82d9fb7f1f979da4c10b48cfbbf0c,blade wing is m19 innit 
120.0,c19de24df03eb6bdefc7f66e5537edaad25d7b19,also had plenty that end at 2-3 
122.0,65d7b52ce6f6f752f9b2802878dd02bfb581e114,mtg yikes 
123.0,b3b0727a63c7c0d3777fed947e9fd74be3939579,fervent strike doing a good job as a land taunt 
139.0,65d7b52ce6f6f752f9b2802878dd02bfb581e114,inc deal 7 to flyer 
144.0,d09713326ad82d9fb7f1f979da4c10b48cfbbf0c,nvm it's dom 
148.0,00fc21aebf23ea6121de4afdef818f5d7609c491,better to lead on keldon raider to draw towards a 5th land 
155.0,a9b6554026f00e8397f67563546abcefa64d104d,whats up lord beardface 
165.0,08b70aa78459f7b924b0bc6d22d8f91f81b1b898,seismic shift in a deck dansgame 
167.0,973834b07bb5285eb0350e0947fcbe9d124dd803,i'm sorry fa0324736c63ec4f04639ced42d763fb8a82397c u just got screwed 
183.0,00fc21aebf23ea6121de4afdef818f5d7609c491,im down for stone rain here 
185.0,55230e84790f0e7403402956595e22edc990f4ae,i mean if there ever was a time to shift its now right 
200.0,a9b6554026f00e8397f67563546abcefa64d104d,how ya doing boogy oogy 
208.0,55230e84790f0e7403402956595e22edc990f4ae,oh i forgot it has the no block clause 
247.0,21af4cd07a4b0b73b8a34db0f942c7e775816225,swing and fervent strike 
258.0,413b2edf94a97557579f1487d00413d6e1532768,i like garna on their turn then shift next turn 
269.0,f29eb7cfda0c488cc78134f4f65c7ae77340921d,um caleb i think it's subscribers not submissives but i'll do whatever u say 
287.0,2cac2304b37a0e1304675fb6a47b8a20eb11f834,evening caleb chat 
309.0,973834b07bb5285eb0350e0947fcbe9d124dd803,i think fa0324736c63ec4f04639ced42d763fb8a82397c will win this game 
310.0,f4af044c696a45d4ef55d590216b65135ac797fb,hey rastlin thanks for supporting the stream for 0 months calebdbustin calebdcorn calebdcorn today's sub count: 25 calebdcorn 
331.0,2cac2304b37a0e1304675fb6a47b8a20eb11f834,smorc good 
331.0,6c9a3398fe0095a2bcffa739b5a0bfeed92ce45e,fyi my son was released form the hospital this morning with a recovering bill of health 
349.0,d729d75be00558a7f8b11ceddb3f22298ba3950a,open vault 
350.0,04cb759419a181af79d127e34eb2047181a4db8e,careful there are two more dave cooks out there waiting 
352.0,20fc0ee3d8292add72d409e20d2535d3ea8b8557,next you must defeat the final boss dave chef 
354.0,a9b6554026f00e8397f67563546abcefa64d104d,whose a prophet 
356.0,2cac2304b37a0e1304675fb6a47b8a20eb11f834,6c9a3398fe0095a2bcffa739b5a0bfeed92ce45e good to hear jorbslove 
361.0,28da9ba583cdd0ea9ab04be4815c6d1a083291b5,drafting dominaria was so much fun 
409.0,0a74511a4861478e63f3aa94b3b306d00990aed5,did you draft mono red 
414.0,28da9ba583cdd0ea9ab04be4815c6d1a083291b5,it was it was a great set 
421.0,973834b07bb5285eb0350e0947fcbe9d124dd803,best of 1 is so much more enjoyable to watch 
423.0,c19de24df03eb6bdefc7f66e5537edaad25d7b19,much better than i have oketra i win format 
457.0,01508b52d914f024e1dca8df2cb9bff73f58b399,uw flyers in dominaria is real good 
479.0,c19de24df03eb6bdefc7f66e5537edaad25d7b19,best of one is actually fun for limited terrible for constructed 
508.0,dc1c0e15b539a1f6b6e7bbc518c69aef4843cb0b,do we know what's happening with sets that rotate out of standard on arena are they just useless or is there going to be standard and some non-rotating format for them 
544.0,dc1c0e15b539a1f6b6e7bbc518c69aef4843cb0b,ok cool :) 
544.0,dfb4d6ee680de87ba78b439283fe774b4a8de1bc,they will let you look at them 
548.0,01508b52d914f024e1dca8df2cb9bff73f58b399,contemporary 
551.0,01508b52d914f024e1dca8df2cb9bff73f58b399,instead of modern 
553.0,0a74511a4861478e63f3aa94b3b306d00990aed5,surely kaladesh and amonkhet are still in the system somewhere to help that eternal format 
558.0,2e0f5ff97e22b6e3c27a66e76f4941bf5bef028a,i think they said it would happen this winter 
566.0,82d7c8fa2ae388153fe0c7fd995ab8c125eae914,i don't want amonkhet with this stuff 
567.0,c19de24df03eb6bdefc7f66e5537edaad25d7b19,post modern kappahd 
568.0,497002daadd1f8651ddfa6b3c5472c9abb6c83c9,0a74511a4861478e63f3aa94b3b306d00990aed5 help 
572.0,a9b6554026f00e8397f67563546abcefa64d104d,rub them on your body beats playing magic any day 
574.0,82d7c8fa2ae388153fe0c7fd995ab8c125eae914,can you imagine dealing with current rdw with a hazoret 
577.0,dc1c0e15b539a1f6b6e7bbc518c69aef4843cb0b,0a74511a4861478e63f3aa94b3b306d00990aed5 it would seem crazy to have spent all that time implementing mechanics to then throw them all out 
599.0,2e0f5ff97e22b6e3c27a66e76f4941bf5bef028a,i'm pretty sure they said there would be one this winter 
606.0,79433fd64f0be0654db6ca24c305393f1d68fbe9,control is also probably gonna be pretty crazy 
612.0,0a126b72adfc908a341712274f8c53e238990c95,every 20 of a rarity equals 1 refunded wildcard of same rarity 
619.0,0a74511a4861478e63f3aa94b3b306d00990aed5,slowly build backwards so we can play frontier as intended 
621.0,c19de24df03eb6bdefc7f66e5537edaad25d7b19,i'd be just fine with new eternal format being ixalan forward and ignoring kaladesh and amonkhet 
674.0,00fc21aebf23ea6121de4afdef818f5d7609c491,what's the 4 mana draw 7 
682.0,e49b7b02895e7ecb7fe64e8b3f8975459f60f339,diminishing returns 
689.0,c2ac278e4075e0623ae0c4d8c6b650c8f34db28e,day of undoing exsists 
694.0,1cdc407c9d64f28a459af652c511dc4091c77c1f,i just want to play chandra torch on arena just ban energy problem solved 
696.0,3dde6021f08ef81126ee10e9ed4abedcbd4cef25,faithless looting 
697.0,e49b7b02895e7ecb7fe64e8b3f8975459f60f339,day is terrible in storm decks c2ac278e4075e0623ae0c4d8c6b650c8f34db28e 
699.0,3a973aba399467de319e6726f6ed289010075de3,its a 3 mana draw 7 
700.0,00fc21aebf23ea6121de4afdef818f5d7609c491,diminishing returns 
705.0,f4af044c696a45d4ef55d590216b65135ac797fb,diminishing returns {2uu} sorcery each player shuffles their hand and graveyard into their library you exile the top ten cards of your library then each player draws up to seven cards 
736.0,0b1a21a8f7807a0c70ef92291dc37c05941729d9,do you think led is banworthy 
