Time,User,Message
0.0,eba7a4d638fcde0987f2fffab94b55e2ba727035,how are you fab733d9bf64a4b08469d4d5802fa39810be0102 
0.0,42b1668c04964f2f61a1642082bb68ac15006703,hello 
5.0,41f897021fd272cd8238391fa30128c062cf9e6b,they just played border 
8.0,f70c65fa4685b790094a16e771f0ec28137de84c,9c3341f57d6b7291d53904e05b11acf8c037bf30 it security eh thats the field that i want to work in im thinking of pen tester or some sort of network manager 
10.0,41f897021fd272cd8238391fa30128c062cf9e6b,the other team 
19.0,44937af601f940875d7d7d189f7153d0f502e473,heyguys 
20.0,9c3341f57d6b7291d53904e05b11acf8c037bf30,pog t1beriu5 
22.0,6af153423f4a59573a1babd06014e63bcdc6fa13,uptime 
27.0,ad1a2aa14e29a2ab32f1aa45c993929ba2852e80,are you playing go4 
33.0,ad1a2aa14e29a2ab32f1aa45c993929ba2852e80,or esl or just ttm 
42.0,41f897021fd272cd8238391fa30128c062cf9e6b,ad1a2aa14e29a2ab32f1aa45c993929ba2852e80 go4 
45.0,ad1a2aa14e29a2ab32f1aa45c993929ba2852e80,specs 
46.0,f70c65fa4685b790094a16e771f0ec28137de84c,9c3341f57d6b7291d53904e05b11acf8c037bf30 big pog 
51.0,ec597dde655421fa3840c79367404d390c6325c4,blessrng blessrng blessrng 
70.0,717eb0e158ff1e496be50fa1976f7049f483bd28,hi 
74.0,9eced21e74e1c072f51a12adb683946b16e54ac9,after watching milan i could live without seeing oregon for a while notlikethis 
82.0,34e75f1abd69720e6701f38f9ff974967d71120a,just finished building my new pc 
97.0,67daa5ffb05cd61478eac28596859067f7a0e69b,34e75f1abd69720e6701f38f9ff974967d71120a whats in it 
103.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,i still cant believe ubisoft hasnt implemented a faceit style game launcher 
110.0,9eced21e74e1c072f51a12adb683946b16e54ac9,34e75f1abd69720e6701f38f9ff974967d71120a nugpog 
113.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,having to add and invite is ridicoulous 
124.0,ec597dde655421fa3840c79367404d390c6325c4,justin is sexy diamond kappa 
134.0,41f897021fd272cd8238391fa30128c062cf9e6b,12e0061ce408925f88b33f3ebff4ddff9cd49b2b true especially for esl hosting weekly tournaments 
143.0,642eaf650f31fbb021fb4e536a2913e471990131,i've been playing battalion this weekend actually fun as fuck and the faceit integration 
145.0,753a4598c6a1fe62e012bb2e5ca3151e1fb4f434,is this your smurf account or somehting 
145.0,f70c65fa4685b790094a16e771f0ec28137de84c,fab733d9bf64a4b08469d4d5802fa39810be0102 do you use push to talk or push to mute in discord which key do you have it binded to 
146.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,it just doewsnt make sense 
147.0,51b0f08285da8e1b279928a3170be12d9d298c43,monkaw 
147.0,134353302709bfa80ddcf2e191541e5bd8d83e7f,monkaw 
153.0,d07ab7a8ada80287e0a633fcfacd847722dd9e65,monkaw 
160.0,34e75f1abd69720e6701f38f9ff974967d71120a,ryzen 2700x 32 gb ram rtx 2070 1000 psu f470 f gaming mother board 
168.0,d07ab7a8ada80287e0a633fcfacd847722dd9e65,lol 
173.0,134353302709bfa80ddcf2e191541e5bd8d83e7f,wutface 
174.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,comp r6 has been around for so long and they have never made an effort to implement anything\ 
175.0,41f897021fd272cd8238391fa30128c062cf9e6b,i mean this is only the 167th go4 
176.0,0ad1fffac0295ff277b288471c8e56406897c91e,monkaw 
178.0,9eced21e74e1c072f51a12adb683946b16e54ac9,you about to get keylogged 
179.0,d07ab7a8ada80287e0a633fcfacd847722dd9e65,lulw 
180.0,9eced21e74e1c072f51a12adb683946b16e54ac9,lulw 
182.0,2efb8042ed174787671b41e24ed2a94d9ed3a14f,wtf 
182.0,4b8e69daf215d31784bd818fb8941549fb8d3255,monkaw 
184.0,9c3341f57d6b7291d53904e05b11acf8c037bf30,lulw 
184.0,a6ca6eadad94dec769a92566b2b40a620aa53829,lul 
185.0,e2b5bea371d2361864639213ed0d5c285263a141,totally normal kappa 
194.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,wait whats that for 
199.0,e3f867ec7e0d7250e18eecffada2de7fef297d9f,consider all your private info leaked lul 
200.0,fbed0ca4c512a3768aa7263d95ce62b0310e7f84,just9n3 just9n4 
200.0,ec597dde655421fa3840c79367404d390c6325c4,lul lul lul lul lul 
202.0,51b0f08285da8e1b279928a3170be12d9d298c43,wonder if it's mining bitcoin pepelaugh 
205.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,ahh scuffed anticheat 
207.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,wtf 
208.0,642eaf650f31fbb021fb4e536a2913e471990131,i assume screenshots of local screen every 120s 
209.0,67daa5ffb05cd61478eac28596859067f7a0e69b,34e75f1abd69720e6701f38f9ff974967d71120a solid shit i would have waited for the new ryzen shit tho 
209.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,lul 
214.0,8d3a8b3f9dfa48b16dba3d057df99605689282a8,12e0061ce408925f88b33f3ebff4ddff9cd49b2b it's to catch cheaters 
218.0,bf67f5ab2375c0846985566a0cc942bcb9499755,you playing a go4 
218.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,justin 
224.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,just9n voice cute 
225.0,fd9c1bef101bf1e7c8fbe764e88df9739a928749,what is your rank 
228.0,642eaf650f31fbb021fb4e536a2913e471990131,monkagiga 
232.0,41f897021fd272cd8238391fa30128c062cf9e6b,fd9c1bef101bf1e7c8fbe764e88df9739a928749 plat 1/diamond 
233.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,voice so cute 
236.0,676d0aa16ea72492e18342ff18b9d5c75ba87125,invite lurn to the game 
236.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,his rank is literallyy 
237.0,ec597dde655421fa3840c79367404d390c6325c4,play pubg 
238.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,nevermind 
241.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,hi jaardan 
247.0,d07ab7a8ada80287e0a633fcfacd847722dd9e65,qbalihek lurn1 
247.0,5e1e36ec755700c282342d2ac212b88aa3710072,whats the best operators to buy 
247.0,41f897021fd272cd8238391fa30128c062cf9e6b,12e0061ce408925f88b33f3ebff4ddff9cd49b2b lmao 
248.0,642eaf650f31fbb021fb4e536a2913e471990131,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3 okaychamp 
252.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,ya 
253.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,hi covert 
254.0,41f897021fd272cd8238391fa30128c062cf9e6b,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3 sup g 
255.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,imma peeporip 
255.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,der 
257.0,12e0061ce408925f88b33f3ebff4ddff9cd49b2b,gbye 
258.0,0ad1fffac0295ff277b288471c8e56406897c91e,peeporip 
258.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,der 
261.0,c1b63940ffeae4019f788b92b1efd98fdb1e7846,life isnt great i need to wake up in 6 hours 
262.0,34e75f1abd69720e6701f38f9ff974967d71120a,67daa5ffb05cd61478eac28596859067f7a0e69b i was still running on i5 first gen xd 
263.0,51b0f08285da8e1b279928a3170be12d9d298c43,:scissors: 
264.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,der der hi der 
270.0,e61390445f1b9cbff711143c42eca7fef8b7e73f,powersupply 
276.0,f70c65fa4685b790094a16e771f0ec28137de84c,forgot to say: loving the new alert and logo :d issa big pog 
279.0,5bb03f7c5d9d85170e12c4e295052438265ebe93,whats supppppppp 
285.0,ec597dde655421fa3840c79367404d390c6325c4,heyguys 
294.0,41f897021fd272cd8238391fa30128c062cf9e6b,in go4 higher seeded team hosts right 
306.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,just9n how's your day been my broy 
308.0,9c3341f57d6b7291d53904e05b11acf8c037bf30,yeah alerts are poggers 
315.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,hi zephyr 
318.0,9c9a2bf740410806e220677d2b4cb98216b9ce87,fab733d9bf64a4b08469d4d5802fa39810be0102 whats good what was the name of the survival game you were playing with shroudy it was hilarious:rolling_on_the_floor_laughing: 
318.0,1769bea80a485a8e6e086ccd923de8999a8216a2,solo q 
322.0,d994b78f1cf5c247f52a3f88025fd1334bd0e296,what's yerr team name 
332.0,b82c9e6d0ee635a52e71d5cd9b8b84f8d8f779d3,ah alright 
333.0,41f897021fd272cd8238391fa30128c062cf9e6b,charm hoarders d994b78f1cf5c247f52a3f88025fd1334bd0e296 
336.0,f70c65fa4685b790094a16e771f0ec28137de84c,solo queue go4 lulw 
351.0,9c9a2bf740410806e220677d2b4cb98216b9ce87,the hunting one 
356.0,5bb03f7c5d9d85170e12c4e295052438265ebe93,whens everything kicking off 
360.0,67daa5ffb05cd61478eac28596859067f7a0e69b,34e75f1abd69720e6701f38f9ff974967d71120a super solid upgrade you should run everything super good 
362.0,ec597dde655421fa3840c79367404d390c6325c4,why you not play with shroudwy 
365.0,11928e328d9b62ca64daaeffc0cef341f21a3541,lul 
369.0,41f897021fd272cd8238391fa30128c062cf9e6b,5bb03f7c5d9d85170e12c4e295052438265ebe93 they are setting up 2nd round right now 1st round bye 
377.0,f70c65fa4685b790094a16e771f0ec28137de84c,ec597dde655421fa3840c79367404d390c6325c4 shroud doesnt play r6 
378.0,9c3341f57d6b7291d53904e05b11acf8c037bf30,qbali lurnv 
392.0,f70c65fa4685b790094a16e771f0ec28137de84c,ec597dde655421fa3840c79367404d390c6325c4 but they do play other games together 
399.0,9c9a2bf740410806e220677d2b4cb98216b9ce87,ahh you should play it again sometime:face_with_tears_of_joy: :face_with_tears_of_joy: 
