Time,User,Message
0.0,1056fe6bcd01eb7894c0da1e3319efb42cca70a2,nahhh wtf 
0.0,142ebda1d81923222ee3dc06ab02e0a80ed4a7f6,c4b83189ad4797680b794408ef6f385daac676fe chilling man you 
4.0,ce4c510d3cb7d09d6feef5d3d1f4cc8ce95a936f,night fbfc353eb790fcf76c552cf9b926ae5e17f2fb40 and chat 
4.0,50f8aaa179025972bcc8bc6c6c647bd5d45d7244,record 
6.0,cc8d6e4a1e00cf062e90e6005a73663a654ca9bb,record 
7.0,e4f262a3f32926e18f6c0edfb08f1a7842595c92,2 shotz 
13.0,f960bf02fe3c0ed15810c9d0cbe13fa6659fe3bd,record 
30.0,c4b83189ad4797680b794408ef6f385daac676fe,142ebda1d81923222ee3dc06ab02e0a80ed4a7f6 alright got thorgan hazard completed 
42.0,696ad6a925a9ac5a16f3008ec9aaf57c9a006d93,record 
43.0,3f4272fa00fc9e6e35c9dea37cf383d2ec0d7fcf,sr https://www youtube com/watch?v=i_gxp28agla 
47.0,365437acc9e11427d857a98e42e4a29b9c91b93c,gg on new partnership 
60.0,365437acc9e11427d857a98e42e4a29b9c91b93c,n28love 
68.0,d7cca38a841226be3773c67cdb494a2140990b1d,wtf 
69.0,678ce0b1567223157a7adad58560c5637d8d0b61,cmonbruh 
71.0,d22cffc82c2ac0a36ec94f38511cb1b7af07da44,poggers 
73.0,bd4a08a0e9778d322c987027a9946dbacc456379,chat my bday end in 43 mins n28fbm 
74.0,6db2a9951f005f0f2cf8894ecd9e2a60621a917f,is it just me who wants a telles/ militao tots over any of the bundesliga players 
74.0,7acf6a828c0793423ca4f1df846d2e8b1bbf195f,skip 
75.0,117a1d2e7f8b2b45c1a38285ddbabafe8e63ccef,n28wut n28wut n28wut n28wut n28chins 
75.0,620a553e4024646fbb2de269ec1a9bd4d3cb9509,tf n28lul n28wut 
76.0,c4b83189ad4797680b794408ef6f385daac676fe,n28vip x11 
78.0,d22cffc82c2ac0a36ec94f38511cb1b7af07da44,d7cca38a841226be3773c67cdb494a2140990b1d its here 
79.0,d7cca38a841226be3773c67cdb494a2140990b1d,notlikethis 
81.0,067753a2a4d48f104d927656e6e9c8dea4345377,lol 
82.0,678ce0b1567223157a7adad58560c5637d8d0b61,matty b n28wut 
83.0,d7cca38a841226be3773c67cdb494a2140990b1d,officialrebel notlikethis 
83.0,8e46c356c82bd89eab7ac710ca55bc8f0b37eac2,tuneee 
83.0,f842eacd34e9a892244e14d12d6509017bc3266e,n28wut 
84.0,7fa36b21475714659c253e276229bc49686f1aa7,wtf matty b 
84.0,dedc583af12e5e4124e7f28476c7e5c33e85b9d2,skip 
86.0,8e46c356c82bd89eab7ac710ca55bc8f0b37eac2,lol 
87.0,50e768071a032e9242a0180f99f98c35041094a4,skipsong 
88.0,00a3eec1a5b812e4bf9c82ec83a1a1ef73f08f90,what is thiiiiiiis 
88.0,50e768071a032e9242a0180f99f98c35041094a4,sr https://www youtube com/watch?v=yw74sdwph7u 
90.0,bb30ba301dc3e8fc4ee343bc83d92062d847d89a,is this matty b 
91.0,3f838b990307e4cc80f4adf16b6d1ed0820c2b26,skip 
91.0,c4b83189ad4797680b794408ef6f385daac676fe,n28wut 
91.0,49076f359d18c8b5eb6240e48dea46336fda4649,lul 
94.0,42880ba98117c96d67e5513272428c0b0b386769,lmao 
95.0,f6b178a62248b8c534a2e8c332481f7be1999ddd,some people 
95.0,87f2e581e73015867c02cb18c14ef5b600d19871,sr https://youtu be/snh-iw7gsui 
95.0,3601c9a9f349c947555dc90821690e3fa8198a55,opieop lul lul lul 
95.0,e9e1260cef51f5de5fd047a44d7abc57db5a0045,lol 
96.0,43b8b51c7eeb50c0307aeffbe64f36cb7f52ab02,record 
96.0,e3ed30f4e89574f5a3fb153f7ff2deee2818bfbb,n28chins 
96.0,76aa6fab9586b1343115f1743fff250fb73ff8f6,n28lul 
97.0,5aaa7a7f963c30c05f2c537a31e39786984988ea,sr get hyper - droideka 
97.0,bb6c7f0847a15b971187f767d5d62473521df33d,n28lul n28lul n28lul n28lul 
98.0,0e755fdaf1835e6470f9d72863556d387572038b,what the fuck is this shite 
98.0,d22cffc82c2ac0a36ec94f38511cb1b7af07da44,d7cca38a841226be3773c67cdb494a2140990b1d whats this baby shit i want the real one :pouting_face: 
104.0,cc62f0db6e313dacd105ab3d742611dc7ada4392,lol 
105.0,85db56ea5f14cb92a76072acd86a7282d505646b,the fuck is this n28wut n28wut 
107.0,50e768071a032e9242a0180f99f98c35041094a4,n28wut 
108.0,54400313cecf1d44c013b0ff1f6b57cc0a54157c,n28wut n28wut n28wut 
108.0,b772a663b7f4978eb888823c744a61223e2df688,n28lul n28lul n28lul n28lul n28lul n28lul n28lul 
108.0,8e46c356c82bd89eab7ac710ca55bc8f0b37eac2,n28lul 
110.0,a274e959ea5456beb70d8a0860556eb390f9e15c,redord 
111.0,05538656172d7d5e7ff5eb1258c81b14649a6b40,sr magic in the air 
112.0,a1a1a8e90764a5e7df01389a0cf936f9144ed651,n28wut n28wut n28wut 
115.0,dedc583af12e5e4124e7f28476c7e5c33e85b9d2,skip 
115.0,069d15b030451dc6340dcd9accdf16ec55fd5bd3,n28lul 
116.0,a274e959ea5456beb70d8a0860556eb390f9e15c,record 
117.0,0e724b0a6cc0c5e2c9b1d8fe6bebaff9265f4303,n28d n28lul n28lul 
117.0,9895dd009e90b34b5ae5254486b7d89398e6253a,record 
118.0,d22cffc82c2ac0a36ec94f38511cb1b7af07da44,sounds like optimus prime 
120.0,bc6d4ff98eb4b6e532b0bba126601bb045468109,n28wut 
122.0,678ce0b1567223157a7adad58560c5637d8d0b61,caught me off guard im in bed n28lul 
123.0,ecad58160b1f70677b0c901c260d0996d76afd4a,n28love n28love n28love n28love n28love n28love n28love n28love 
123.0,a274e959ea5456beb70d8a0860556eb390f9e15c,sorry i'm atupid 
124.0,54400313cecf1d44c013b0ff1f6b57cc0a54157c,currentsong 
126.0,49076f359d18c8b5eb6240e48dea46336fda4649,what ar these songs today lul 
127.0,0a1d43e67920123ce639b573fb6a771baf16cd71,fifa 13 this right 
130.0,696ad6a925a9ac5a16f3008ec9aaf57c9a006d93,sr https://m youtube com/watch?v=wm_jvz_tm8u 
130.0,54400313cecf1d44c013b0ff1f6b57cc0a54157c,n28wut n28wut 
131.0,42880ba98117c96d67e5513272428c0b0b386769,gold 2 clutched up :) 
131.0,3f0a39a3258dfcb90c7fd7cdfcad5c2dd6003363,was this recorded in a washing machine 
132.0,4455bd9e2a0170353ca86017d9796d2d567051a6,feel like most of these people shouldn't be allowed to request music lol 
135.0,50e768071a032e9242a0180f99f98c35041094a4,primeme brainslug primeme brainslug primeme 
136.0,1056fe6bcd01eb7894c0da1e3319efb42cca70a2,sr new level 
139.0,643c7646eedff6e64267f1665b0e6f36d72c2b7b,n28wut n28wut 
141.0,edb72b2432f31c08bd6a4446fdb26c998fbb7553,42880ba98117c96d67e5513272428c0b0b386769 gg get that reus poggers 
145.0,04f4c621c02bf713f99d6ca68146a6fc86f74e64,just packed tots kostic let's gooo 
