Time,User,Message
0.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,5147457d0803ebfc5414440cdc5b7b8c44f02969 this is chinese 
12.0,7e9a210d66bc2f8a3334a3026452f63993ec8437,oh whoops 
13.0,5147457d0803ebfc5414440cdc5b7b8c44f02969,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f okay well the same thing stands 
40.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,he plays it for the stalkers as he thinks they say the one i love :d 
61.0,74cb0bffdc2309aafab022915f834dcfac9b1104,this zerg misaki ;;;; 
111.0,903e894ab446a3c664aec57f2fc90a8dbef02a00,stormers 
156.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,+3 = 43 or 47 dmg from arcons ouch 
180.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,is mcanning playing on asian server 
181.0,675f0818615a9d5c3dc7b7ee5a82d34ba5357a38,hurricane katrina 
209.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,bb395a7f8501434e840da9e9ebbf4efa1224223c yes 
218.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,kr server 
226.0,7b04624f8ba67f73fca5bbc22210ea20e953da64,server in top left bb395a7f8501434e840da9e9ebbf4efa1224223c taiwan 
233.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,oh thanks 
253.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,so i assume this is asia realm right 
274.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,yes 
280.0,ee2b840c94baacaf33936aee69d2238be0ce5d63,the overlords 
299.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,gg 
313.0,ee2b840c94baacaf33936aee69d2238be0ce5d63,crazy game gg 
327.0,675f0818615a9d5c3dc7b7ee5a82d34ba5357a38,how much damage does a +3 dt do 
362.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,too much demularva 
364.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,what do you see different between kr server and na the aggression 
377.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,bb395a7f8501434e840da9e9ebbf4efa1224223c the level of play is better 
405.0,e38adcd5fd01c7a1b21cee0180e6517c61dcdae7,korean server has 200apm minimum 
459.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,so thier skills are then higher 
460.0,cba117ac64b4fc76a1056225da0e57ad41132236,fc9e9147c0875782952125056f2cdb8b98e4e339 i get it 
462.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,ahh ic 
476.0,9e1d864d40e3853f1eb745cc09a84370d9c3c63d,agree 
484.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,more people at higher skilll level then their % of skilled players his higher 
487.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,is* 
492.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,isnt there more terrans in kor server 
493.0,2ce9826dc072e2bb33c06d393baab1493aad6166,"the can laying down the no""s tonight "
501.0,2ce9826dc072e2bb33c06d393baab1493aad6166,silence these whiners 
502.0,4f01831888b39351e86dd34a5a599610ef72b24a,i play on n'a because people are less bm i feel 
513.0,4f01831888b39351e86dd34a5a599610ef72b24a,na 
514.0,cba117ac64b4fc76a1056225da0e57ad41132236,bb395a7f8501434e840da9e9ebbf4efa1224223c if there are games being won there is a terran somewhere close\ 
532.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,but if you say 16 - 20 in us and 150 in kr then thats like 75% more skilled players no 
539.0,2ce9826dc072e2bb33c06d393baab1493aad6166,o queene was protoss always thought she was z lmao 
555.0,6a2b0de20fcbd801ebdd6a94c1f48e48d70a7296,its got to be hard to know how much better 1 person is than you when you only see them in ladder games 
566.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,oh sorry i miss heard you 
567.0,9e1d864d40e3853f1eb745cc09a84370d9c3c63d,yeah my mmr is the same or higher on europe but i'm ranked lower because the server has more players around my skill level 
569.0,cba117ac64b4fc76a1056225da0e57ad41132236,4f01831888b39351e86dd34a5a599610ef72b24a lot's of yanks i play against are nice at the start of the game butthen if i beat them they leave without saying gg :`( 
575.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,d07f782b0af245ef99664bd72a323b91b6a2d664 demulove 
586.0,70f1fb7c506ca57d08a7f21028853a5fd32eaf45,never get in a fight with a streamer 4head 
586.0,ee2b840c94baacaf33936aee69d2238be0ce5d63,yanks lol 
594.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,fc9e9147c0875782952125056f2cdb8b98e4e339 i thought you said something else sorry my dude 
604.0,5147457d0803ebfc5414440cdc5b7b8c44f02969,don't most of the wcs pros play on eu 
611.0,6a2b0de20fcbd801ebdd6a94c1f48e48d70a7296,for example you spend alot of your concentration interacting with chat which has to reduce your ingame effectiveness 
611.0,e9eeeeaa5eb245964107c29847157f8130325a26,i swear im not asking this to be a dick but i havnt watched sc2 in awhile is it still competitive/has a scene 
616.0,4f01831888b39351e86dd34a5a599610ef72b24a,cba117ac64b4fc76a1056225da0e57ad41132236 haha true 
633.0,cba117ac64b4fc76a1056225da0e57ad41132236,fc9e9147c0875782952125056f2cdb8b98e4e339 so the kr server is better than us 
639.0,cba117ac64b4fc76a1056225da0e57ad41132236,kappa 
642.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,70f1fb7c506ca57d08a7f21028853a5fd32eaf45 i dont think fighting is the right words i miss-heard him so was arguing a point no the streamer <3 
644.0,4f01831888b39351e86dd34a5a599610ef72b24a,cba117ac64b4fc76a1056225da0e57ad41132236 in eu they are not even nice in the first place 
673.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,but i apologise when i found out i was wrong which is the main thing :d 
682.0,cba117ac64b4fc76a1056225da0e57ad41132236,4f01831888b39351e86dd34a5a599610ef72b24a what excuse do they have to be mean nice weather pretty ladies good food why are they6 so salty 
686.0,b24fe18646e76d00f0c055b71862530d325f031a,e9eeeeaa5eb245964107c29847157f8130325a26 smaller scene than 2012/2013 but it's pretty stable and dedicated 
693.0,9e1d864d40e3853f1eb745cc09a84370d9c3c63d,alphax beat mkers 
698.0,9e1d864d40e3853f1eb745cc09a84370d9c3c63d,star killer beat soul 
701.0,9e1d864d40e3853f1eb745cc09a84370d9c3c63d,ponder that 
703.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,i think sc2 kr players are moving back to sc1 
706.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,not all tho 
710.0,9e1d864d40e3853f1eb745cc09a84370d9c3c63d,lul 
715.0,9e1d864d40e3853f1eb745cc09a84370d9c3c63d,no one is mentioning it 
717.0,4f01831888b39351e86dd34a5a599610ef72b24a,lul 
726.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,the thing is i don't even like protoss i just enjoy watching mcanning 
730.0,5147457d0803ebfc5414440cdc5b7b8c44f02969,everyone that was gonna move back to sc1 has already done it 
745.0,cc347b93fc0a571f71faf262ed93e1cb85fe5fae,all the pros that were going back to brood war already went 
749.0,4f01831888b39351e86dd34a5a599610ef72b24a,cba117ac64b4fc76a1056225da0e57ad41132236 and health care 
758.0,74cb0bffdc2309aafab022915f834dcfac9b1104,bb395a7f8501434e840da9e9ebbf4efa1224223c a lot of sc2 players are gone now 
767.0,74cb0bffdc2309aafab022915f834dcfac9b1104,bb395a7f8501434e840da9e9ebbf4efa1224223c i am korean 
786.0,bb395a7f8501434e840da9e9ebbf4efa1224223c,ooo where do you think they went 
794.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,retired mostly 
801.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,or changed games 
809.0,cc347b93fc0a571f71faf262ed93e1cb85fe5fae,if i ever go to korea i'll fly jin air 
824.0,cba117ac64b4fc76a1056225da0e57ad41132236,flash/jaedong/bisu :( 
832.0,74cb0bffdc2309aafab022915f834dcfac9b1104,bb395a7f8501434e840da9e9ebbf4efa1224223c don`t play this game but watching stream 
833.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,i just korean bbq if i go :d and to watch gdl 
835.0,9863cc1bbda3ba0056741f11e34dce7aedc325ac,how come the probes still speak english 
835.0,342a5e1903cdbcaadb5d76da4acdbe2290aac1fa,whos the next bonjwa 
836.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,gsl* 
843.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,serral is god 
850.0,0781dc0a81b3c80f5bbfdebc76982fb4e8b0199f,bow down to serral 
879.0,e9eeeeaa5eb245964107c29847157f8130325a26,dosnt everyone go bio vs toss i thought tanks were like never used vs toss 
894.0,9863cc1bbda3ba0056741f11e34dce7aedc325ac,tanks are super good for timing attacks vs toss 
